	Ob.EPA.a_S122_L007_R1_001	Ob.c_S136_L007_R1_001	Ob.1012.c_S140_L007_R1_001	WT.EPA.e_S151_L007_R1_001
EX_pydxn(e)_neg	0.0	0.0	0.0	0.0
EX_pyr(e)_pos	0.0	0.0	0.0	0.0
EX_pyr(e)_neg	0.0	0.0	0.0	0.0
EX_rbt(e)_pos	0.0	0.0	0.0	0.0
EX_rbt(e)_neg	0.0	0.0	0.0	0.0
EX_retfa(e)_pos	0.0	0.0	0.0	0.0
EX_retfa(e)_neg	0.0	0.0	0.0	0.0
EX_retinol(e)_pos	0.0	0.0	0.0	0.0
EX_retinol(e)_neg	0.0	0.0	0.0	0.0
EX_retinol_9_cis(e)_pos	0.0	0.0	0.0	0.0
EX_retinol_9_cis(e)_neg	0.0	0.0	0.0	0.0
EX_retinol_cis_11(e)_pos	0.0	0.0	0.0	0.0
EX_retinol_cis_11(e)_neg	0.0	0.0	0.0	0.0
EX_retn(e)_pos	0.0	0.0	0.0	0.0
EX_retn(e)_neg	0.0	0.0	0.0	0.0
EX_retnglc(e)_pos	0.0	0.0	0.0	0.0
EX_retnglc(e)_neg	0.0	0.0	0.0	0.0
EX_rib_D(e)_neg	0.0	0.0	0.0	0.0
EX_ribflv(e)_neg	0.0	0.0	0.0	0.0
EX_Rtotal(e)_pos	0.0	0.0	0.0	0.0
EX_Rtotal(e)_neg	0.0	0.0	0.0	0.0
EX_Rtotal2(e)_pos	0.0	0.0	0.0	0.0
EX_Rtotal2(e)_neg	0.0	0.0	0.0	0.0
EX_Rtotal3(e)_pos	0.0	0.0	0.0	0.0
EX_Rtotal3(e)_neg	0.0	0.0	0.0	0.0
EX_s2l2fn2m2masn(e)_pos	0.0	0.0	0.0	0.0
EX_s2l2fn2m2masn(e)_neg	0.0	0.0	0.0	0.0
EX_s2l2n2m2masn(e)_pos	0.0	0.0	0.0	0.0
EX_s2l2n2m2masn(e)_neg	0.0	0.0	0.0	0.0
EX_sarcs(e)_pos	0.0	0.0	0.0	0.0
EX_sarcs(e)_neg	0.0	0.0	0.0	0.0
EX_sel(e)_pos	0.0	0.0	0.0	0.0
EX_sel(e)_neg	0.0	0.0	0.0	0.0
EX_ser_D(e)_pos	0.0	0.0	0.0	0.0
EX_ser_D(e)_neg	0.0	0.0	0.0	0.0
EX_ser_L(e)_pos	0.0	0.0	0.0	0.0
EX_ser_L(e)_neg	0.0	0.0	0.0	0.0
EX_sl_L(e)_pos	0.0	0.0	0.0	0.0
EX_sl_L(e)_neg	0.0	0.0	0.0	0.0
EX_so4(e)_pos	0.0	0.0	0.0	0.0
EX_so4(e)_neg	0.0	0.0	0.0	0.0
EX_spc_hs(e)_pos	0.0	0.0	0.0	0.0
EX_spc_hs(e)_neg	0.0	0.0	0.0	0.0
EX_sph1p(e)_pos	0.0	0.0	0.0	0.0
EX_sph1p(e)_neg	0.0	0.0	0.0	0.0
EX_sphs1p(e)_pos	0.0	0.0	0.0	0.0
EX_sphs1p(e)_neg	0.0	0.0	0.0	0.0
EX_srtn(e)_pos	0.0	0.0	0.0	0.0
EX_srtn(e)_neg	0.0	0.0	0.0	0.0
EX_strch1(e)_pos	0.0	0.0	0.0	0.0
EX_strch1(e)_neg	0.0	0.0	0.0	0.0
EX_strch2(e)_pos	0.0	0.0	0.0	0.0
EX_strch2(e)_neg	0.0	0.0	0.0	0.0
EX_strdnc(e)_pos	0.0	0.0	0.0	0.0
EX_strdnc(e)_neg	0.0	0.0	0.0	0.0
EX_succ(e)_pos	0.0	0.0	0.0	0.0
EX_succ(e)_neg	0.0	0.0	0.0	0.0
EX_sucr(e)_pos	0.0	0.0	0.0	0.0
EX_sucr(e)_neg	0.0	0.0	0.0	0.0
EX_tag_hs(e)_pos	0.0	0.0	0.0	0.0
EX_tag_hs(e)_neg	0.0	0.0	0.0	0.0
EX_tagat_D(e)_pos	0.0	0.0	0.0	0.0
EX_tagat_D(e)_neg	0.0	0.0	0.0	0.0
EX_taur(e)_pos	0.0	0.0	0.0	0.0
EX_taur(e)_neg	0.0	0.0	0.0	0.0
EX_taxol(e)_pos	0.0	0.0	0.0	0.0
EX_taxol(e)_neg	0.0	0.0	0.0	0.0
EX_tchola(e)_pos	0.0	0.0	0.0	0.0
EX_tchola(e)_neg	0.0	0.0	0.0	0.0
EX_tcynt(e)_pos	0.0	0.0	0.0	0.0
EX_tcynt(e)_neg	0.0	0.0	0.0	0.0
EX_tdchola(e)_pos	0.0	0.0	0.0	0.0
EX_tdchola(e)_neg	0.0	0.0	0.0	0.0
EX_tethex3(e)_pos	0.0	0.0	0.0	0.0
EX_tethex3(e)_neg	0.0	0.0	0.0	0.0
EX_tetpent3(e)_pos	0.0	0.0	0.0	0.0
EX_tetpent3(e)_neg	0.0	0.0	0.0	0.0
EX_tetpent6(e)_pos	0.0	0.0	0.0	0.0
EX_tetpent6(e)_neg	0.0	0.0	0.0	0.0
EX_tettet6(e)_pos	0.0	0.0	0.0	0.0
EX_tettet6(e)_neg	0.0	0.0	0.0	0.0
EX_thf(e)_pos	0.0	0.0	0.0	0.0
EX_thf(e)_neg	0.0	0.0	0.0	0.0
EX_thm(e)_neg	0.0	0.0	0.0	0.0
EX_thmmp(e)_pos	0.0	0.0	0.0	0.0
EX_thmmp(e)_neg	0.0	0.0	0.0	0.0
EX_thmtp(e)_pos	0.0	0.0	0.0	0.0
EX_thmtp(e)_neg	0.0	0.0	0.0	0.0
EX_thr_L(e)_pos	0.0	0.0	0.0	0.0
EX_thr_L(e)_neg	0.0	0.0	0.0	0.0
EX_thym(e)_pos	0.0	0.0	0.0	0.0
EX_thym(e)_neg	0.0	0.0	0.0	0.0
EX_thymd(e)_pos	0.0	0.0	0.0	0.0
EX_thymd(e)_neg	0.0	0.0	0.0	0.0
EX_thyox_L(e)_pos	0.0	0.0	0.0	0.0
EX_thyox_L(e)_neg	0.0	0.0	0.0	0.0
EX_tmndnc(e)_pos	0.0	0.0	0.0	0.0
EX_tmndnc(e)_neg	0.0	0.0	0.0	0.0
EX_tolbutamide(e)_pos	0.0	0.0	0.0	0.0
EX_tolbutamide(e)_neg	0.0	0.0	0.0	0.0
EX_tre(e)_pos	0.0	0.0	0.0	0.0
EX_tre(e)_neg	0.0	0.0	0.0	0.0
EX_triodthy(e)_pos	0.0	0.0	0.0	0.0
EX_triodthy(e)_neg	0.0	0.0	0.0	0.0
EX_triodthysuf(e)_pos	0.0	0.0	0.0	0.0
EX_triodthysuf(e)_neg	0.0	0.0	0.0	0.0
EX_trp_L(e)_pos	0.0	0.0	0.0	0.0
EX_trp_L(e)_neg	0.0	0.0	0.0	0.0
EX_tststerone(e)_pos	0.0	0.0	0.0	0.0
EX_tststerone(e)_neg	0.0	0.0	0.0	0.0
EX_tststeroneglc(e)_pos	0.0	0.0	0.0	0.0
EX_tststeroneglc(e)_neg	0.0	0.0	0.0	0.0
EX_tststerones(e)_pos	0.0	0.0	0.0	0.0
EX_tststerones(e)_neg	0.0	0.0	0.0	0.0
EX_tsul(e)_pos	0.0	0.0	0.0	0.0
EX_tsul(e)_neg	0.0	0.0	0.0	0.0
EX_ttdca(e)_neg	0.0	0.0	0.0	0.0
EX_txa2(e)_pos	0.0	0.0	0.0	0.0
EX_txa2(e)_neg	0.0	0.0	0.0	0.0
EX_tymsf(e)_pos	0.0	0.0	0.0	0.0
EX_tymsf(e)_neg	0.0	0.0	0.0	0.0
EX_Tyr_ggn(e)_pos	0.0	0.0	0.0	0.0
EX_Tyr_ggn(e)_neg	0.0	0.0	0.0	0.0
EX_tyr_L(e)_pos	0.0	0.0	0.0	0.0
EX_tyr_L(e)_neg	0.0	0.0	0.0	0.0
EX_udp(e)_pos	0.0	0.0	0.0	0.0
EX_udp(e)_neg	0.0	0.0	0.0	0.0
EX_ump(e)_pos	0.0	0.0	0.0	0.0
EX_ump(e)_neg	0.0	0.0	0.0	0.0
EX_ura(e)_pos	0.0	0.0	0.0	0.0
EX_ura(e)_neg	0.0	0.0	0.0	0.0
EX_urate(e)_pos	0.0	0.0	0.0	0.0
EX_urate(e)_neg	0.0	0.0	0.0	0.0
EX_urea(e)_pos	0.0	0.0	0.0	0.0
EX_urea(e)_neg	0.0	0.0	0.0	0.0
EX_uri(e)_pos	0.0	0.0	0.0	0.0
EX_uri(e)_neg	0.0	0.0	0.0	0.0
EX_utp(e)_pos	0.0	0.0	0.0	0.0
EX_utp(e)_neg	0.0	0.0	0.0	0.0
EX_vacc(e)_pos	0.0	0.0	0.0	0.0
EX_vacc(e)_neg	0.0	0.0	0.0	0.0
EX_val_L(e)_pos	0.0	0.0	0.0	0.0
EX_val_L(e)_neg	0.0	0.0	0.0	0.0
EX_vitd2(e)_pos	0.0	0.0	0.0	0.0
EX_vitd2(e)_neg	0.0	0.0	0.0	0.0
EX_vitd3(e)_neg	0.0	0.0	0.0	0.0
EX_whddca(e)_pos	0.0	0.0	0.0	0.0
EX_whddca(e)_neg	0.0	0.0	0.0	0.0
EX_whhdca(e)_pos	0.0	0.0	0.0	0.0
EX_whhdca(e)_neg	0.0	0.0	0.0	0.0
EX_whtststerone(e)_pos	0.0	0.0	0.0	0.0
EX_whtststerone(e)_neg	0.0	0.0	0.0	0.0
EX_whttdca(e)_pos	0.0	0.0	0.0	0.0
EX_whttdca(e)_neg	0.0	0.0	0.0	0.0
EX_xolest_hs(e)_pos	0.0	0.0	0.0	0.0
EX_xolest_hs(e)_neg	0.0	0.0	0.0	0.0
EX_xolest2_hs(e)_pos	0.0	0.0	0.0	0.0
EX_xolest2_hs(e)_neg	0.0	0.0	0.0	0.0
EX_xoltri24(e)_pos	0.0	0.0	0.0	0.0
EX_xoltri24(e)_neg	0.0	0.0	0.0	0.0
EX_xoltri25(e)_pos	0.0	0.0	0.0	0.0
EX_xoltri25(e)_neg	0.0	0.0	0.0	0.0
EX_xoltri27(e)_pos	0.0	0.0	0.0	0.0
EX_xoltri27(e)_neg	0.0	0.0	0.0	0.0
EX_xyl_D(e)_pos	0.0	0.0	0.0	0.0
EX_xyl_D(e)_neg	0.0	0.0	0.0	0.0
EX_xylt(e)_neg	0.0	0.0	0.0	0.0
EX_yvite(e)_pos	0.0	0.0	0.0	0.0
EX_yvite(e)_neg	0.0	0.0	0.0	0.0
F1Atg_pos	0.0	0.0	0.0	0.0
F1Atg_neg	0.0	0.0	0.0	0.0
F1PGT_pos	2.859969548221026	3.15704371014558	2.4462562298895643	2.8135246892978105
F1PGT_neg	2.859969548221026	3.15704371014558	2.4462562298895643	2.8135246892978105
F6Tg_pos	2.8318772411916733	3.1667154449664223	2.6667565918848033	2.8875252707415875
FA120ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA120ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FA140ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA140ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FA141ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA141ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FA160ACPH_pos	7.873136468833458	6.50303064564116	9.159921779779072	6.6526298968407405
FA160ACPH_neg	7.873136468833458	6.50303064564116	9.159921779779072	6.6526298968407405
FA161ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA161ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FA180ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA180ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FA181ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA181ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FA1821ACPH_pos	0.0	0.0	0.0	0.0
FA1821ACPH_neg	0.0	0.0	0.0	0.0
FA1822ACPH_pos	0.0	0.0	0.0	0.0
FA1822ACPH_neg	0.0	0.0	0.0	0.0
FA182ACPH_pos	0.0	0.18903382439001715	0.0	0.0
FA182ACPH_neg	0.0	0.18903382439001715	0.0	0.0
FACOAL140i_pos	4.402585758232587	2.7311832415722	4.196134880765161	3.4342946179599254
FACOAL150_pos	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL150_neg	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL160i_pos	9.593895277619055	10.031149792847435	9.782146423554636	9.133630308021793
FACOAL161_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL161_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL170_pos	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL170_neg	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL180i_pos	9.561192462518719	10.011087452618659	9.750757224295361	9.092255016813027
FACOAL1812_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL1812_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL1813_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL1813_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL181i_pos	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL1821_pos	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL1821_neg	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL1822_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL1822_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL1831_pos	9.593895277619055	10.031149792847435	9.782146423554636	9.133630308021793
FACOAL1831_neg	9.593895277619055	10.031149792847435	9.782146423554636	9.133630308021793
FACOAL1832_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL1832_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL184_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL184_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL191_pos	9.832162155458176	10.381629467033664	9.726643921483994	9.804647329694111
FACOAL200_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL203_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL203_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL204_pos	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL204_neg	8.493255035120667	9.354050983959306	8.46972320817581	8.317955218312438
FACOAL2042_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL2042_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL205_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL205_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL206_pos	9.832162155458176	10.381629467033664	9.726643921483994	9.804647329694111
FACOAL206_neg	9.832162155458176	10.381629467033664	9.726643921483994	9.804647329694111
FACOAL224_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL224_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL2251_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL2251_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL2252_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL2252_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL226_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL226_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL240_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL240_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL241_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL241_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL244_1_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL244_1_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL245_1_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL245_1_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL245_2_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL245_2_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL246_1_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL246_1_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL260_pos	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL260_neg	8.334854269331633	9.309067020588001	8.313971371059019	8.196872568075241
FACOAL40im_pos	6.949651651195215	7.585112773628004	6.697384630764024	7.716579420796345
FACOAL80i_pos	4.402585758232587	2.7311832415722	4.196134880765161	3.4342946179599254
FADDP_pos	4.9823091301297735	5.2622828064206555	4.788163657037767	5.656210320182599
FADH2tru_pos	0.0	0.0	0.0	0.0
FADH2tx_pos	0.0	0.0	0.0	0.0
FADH2tx_neg	0.0	0.0	0.0	0.0
FADtru_pos	0.0	0.0	0.0	0.0
FADtx_pos	0.0	0.0	0.0	0.0
FADtx_neg	0.0	0.0	0.0	0.0
FAEL183_pos	0.0	0.09761079662642233	0.0	0.0
FAEL184_pos	0.0	0.09761079662642233	0.0	0.0
FAEL204_pos	0.0	0.09761079662642233	0.0	0.0
FAEL205_pos	0.0	0.09761079662642233	0.0	0.0
FAH1_pos	0.0	0.0	0.0	0.0
FAH2_pos	0.0	0.0	0.0	0.0
FAH3_pos	0.0	0.0	0.0	0.0
FALDH_pos	8.364835034919077	8.470414845805422	8.234050982892164	8.23854804628421
FALDH_neg	8.364835034919077	8.470414845805422	8.234050982892164	8.23854804628421
FALDtly_pos	0.0	0.0	0.0	0.0
FALDtly_neg	0.0	0.0	0.0	0.0
FALDtm_pos	0.0	0.0	0.0	0.0
FALDtm_neg	0.0	0.0	0.0	0.0
FAOXC11_pos	8.682222131403512	9.180307019969433	8.313109776295889	7.353058584570755
FAOXC140_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC150m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC160_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC16080m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC16080x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC161802m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC16180m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC170m_pos	8.682222131403512	9.180307019969433	8.313109776295889	7.353058584570755
FAOXC180_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC180x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC1811601m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC1811602m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC1811603m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC182806m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC18280m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC183803m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC183806m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC183806x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC18480m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC18480x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC200180m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC200180x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2031836m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC204_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC204184m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC2051843m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC2051843x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2242046m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC2242046x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2251836m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC2251836x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2252053m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC2252053x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC226_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC226205m_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAOXC226205x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC240200x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC241181x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2442246x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2452253x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC2452256x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC246226x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC260240x_pos	11.206265519322592	11.413211842599187	11.098988297385876	10.12275035890493
FAOXC80_pos	9.235607404610706	9.624301986217121	8.933484119406673	8.075051224664625
FAS100COA_pos	8.0946495465649	6.72091684605769	9.381953855268144	6.872972365374961
FAS120COA_pos	8.0946495465649	6.72091684605769	9.381953855268144	6.872972365374961
FAS140COA_pos	8.0946495465649	6.72091684605769	9.381953855268144	6.872972365374961
FAS160COA_pos	8.0946495465649	6.72091684605769	9.381953855268144	6.872972365374961
FAS180COA_pos	8.0946495465649	6.72091684605769	9.381953855268144	6.872972365374961
FAS80COA_L_pos	7.873136468833458	6.500802053057158	9.159921779779072	6.6526298968407405
FATP1t_pos	5.261530815243406	5.379898163524692	5.354734239970604	4.24260250592898
FATP1t_neg	5.261530815243406	5.379898163524692	5.354734239970604	4.24260250592898
FATP2t_pos	2.7782085763980877	2.8875252707415875	2.899175630480513	2.2141248053528475
FATP2t_neg	2.7782085763980877	2.8875252707415875	2.899175630480513	2.2141248053528475
FATP3t_pos	2.7782085763980877	2.8875252707415875	2.899175630480513	2.2141248053528475
FATP3t_neg	2.7782085763980877	2.8875252707415875	2.899175630480513	2.2141248053528475
FATP4t_pos	8.657139776593148	8.926918606474967	8.752046069779388	8.913128767819739
FATP4t_neg	8.657139776593148	8.926918606474967	8.752046069779388	8.913128767819739
FATP5t_pos	8.657139776593148	8.926918606474967	8.752046069779388	8.913128767819739
FATP5t_neg	8.657139776593148	8.926918606474967	8.752046069779388	8.913128767819739
FATP6t_pos	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP6t_neg	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP7t_pos	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP7t_neg	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP8t_pos	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP8t_neg	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP9t_pos	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FATP9t_neg	10.360013042204331	10.82955626066917	10.318994640286087	10.425635535367755
FBA_pos	12.783751292376353	12.639718292578479	13.32277880867094	11.405769047907759
FBA_neg	12.783751292376353	12.639718292578479	13.32277880867094	11.405769047907759
FBA2_pos	12.783751292376353	12.639718292578479	13.32277880867094	11.405769047907759
FBA2_neg	12.783751292376353	12.639718292578479	13.32277880867094	11.405769047907759
FBA4_pos	12.783751292376353	12.639718292578479	13.32277880867094	11.405769047907759
FBA4_neg	12.783751292376353	12.639718292578479	13.32277880867094	11.405769047907759
FBA5_pos	12.755786818974789	12.609917445296311	13.303837815681348	11.345205628675215
FBA5_neg	12.755786818974789	12.609917445296311	13.303837815681348	11.345205628675215
FBP_pos	10.449726433253185	10.55078525673805	10.549553664258069	9.536927113723818
FBP26_pos	10.490720537040838	10.590811576417844	10.588105577313145	9.609012476892838
FCLTm_pos	6.36737106564853	6.495215463520434	6.301404737564478	6.238022517825721
FCOAH_pos	0.0	0.0	0.0	0.0
FDH_pos	9.043328098590278	9.02167404285837	9.1458048061284	9.034083626615416
FE2t_pos	0.0	0.0	0.0	0.0
FE2tm_pos	0.0	0.0	0.0	0.0
FE3R2e_pos	0.0	0.18903382439001715	0.0	0.070389327891398
FK_pos	2.2600256559614555	2.8032270364349277	2.704871964456353	2.3868109464722167
FKYNH_pos	0.0	0.0	0.0	0.0
FMNAT_pos	4.594548549550354	4.886550147324343	4.597531174224212	4.592756010441026
FOLR2_pos	3.889473542531109	4.0900065299038175	3.7729413378313352	3.6599245584023783
FOLt2_pos	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
FOLt2_neg	3.203201156316611	3.9781956296816516	3.374343989038501	2.2957230245399685
FORMCOAtx_pos	0.0	0.0	0.0	0.0
FORMCOAtx_neg	0.0	0.0	0.0	0.0
FORt2m_pos	0.0	0.0	0.0	0.0
FORt2m_neg	0.0	0.0	0.0	0.0
FORtr_pos	0.0	0.0	0.0	0.0
FORtr_neg	0.0	0.0	0.0	0.0
FORtrn_pos	0.0	0.0	0.0	0.0
FORtrn_neg	0.0	0.0	0.0	0.0
FPGS_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS2_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS2m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS3_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS3m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS4_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS4m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS5_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS5m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS6_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS6m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS7_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS7m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS8_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS8m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS9_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGS9m_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FPGSm_pos	6.621905345519412	7.078417701647332	6.693208148910016	6.653776599367789
FRDPtc_pos	0.0	0.0	0.0	0.0
FRDPtc_neg	0.0	0.0	0.0	0.0
FRDPtr_pos	0.0	0.0	0.0	0.0
FRDPtr_neg	0.0	0.0	0.0	0.0
