	WT-1012-e_S152_L007_R1_001
ACACT10m_neg	13743.005368997021
ACACT10m_pos	9865.739632621879
ACACT1r_neg	7563.015640465683
ACACT1r_pos	16498.42649594026
ACACT1rm_pos	5320.330285555187
ACACT1x_pos	10141.869058169215
ACACT4p_pos	24770.76567603779
ACACT5p_pos	24770.765676037794
ACACT6p_pos	24770.765676037794
ACACT7p_pos	24098.836914549338
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	473.0674306614379
ACACt2_pos	473.0674306614379
ACACt2m_neg	1298.9483400199867
ACACt2m_pos	1298.9483400199867
ACACtx_neg	5963.848364280912
ACACtx_pos	0.0
ACALDt_neg	6325.661906263487
ACALDt_pos	5.236253828119777
ACALDtm_neg	8915.280357099668
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54916.74245781147
ACALDtx_neg	0.0
ACALDtx_pos	11.836704793375832
ACCOAC_pos	4281.92264918909
ACCOACm_pos	4288.44842196017
ACCOAL_pos	3323.943497282475
ACCOALm_pos	4456.914053833687
ACCOAgt_neg	0.0
ACCOAgt_pos	19563.015376723804
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1629.9393385074768
ACCOAtr_pos	1629.9393385074768
ACETONEt2_neg	10676.591871361454
ACETONEt2_pos	5.597705655724366
ACETONEt2m_neg	10676.591871361456
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11249.334691161792
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11249.334691161794
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9659.51409297377
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9659.51409297377
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9055.765470850185
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9055.765470850181
ACGALK2_pos	557.5554335989592
ACGALK_pos	556.5447245535102
ACGALtlg_neg	928.5471562562082
ACGALtlg_pos	0.0
ACGALtly_pos	556.54472455351
ACGAM2E_neg	4174.396273586295
ACGAM2E_pos	30359.484209057257
ACGAM6PSi_pos	3525.6682397659374
ACGAMK_pos	4174.396273586298
ACGAMPM_neg	0.0
ACGAMPM_pos	4174.396273586294
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	928.5471562562082
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	928.547156256208
ACGPID_pos	51.31497993111681
ACGSm_pos	0.0
ACHEe_pos	5475.212654283065
ACHVESSEC_pos	4144.811160154927
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6037.680378266018
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11403.559648248445
ACN13ACNGALGBSIDEtg_neg	11403.559648248447
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11403.559648248445
ACN23ACNGALGBSIDEtg_neg	11403.559648248447
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12626.538491529729
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12626.538491529727
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11421.850405316076
ACNACNGALGBSIDEtg_neg	11421.850405316078
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8741.483126861322
ACNAM9PL_pos	8452.381181067358
ACNAMPH_pos	8452.381181067358
ACNAMlt_neg	18089.048798864722
ACNAMlt_pos	0.0
ACNAMtn_pos	8834.499868653149
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10324.677778060048
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10324.677778060048
ACNMLr_neg	18859.19269628427
ACNMLr_pos	8452.381181067358
ACOAD10m_pos	314.3600552040963
ACOAD1fm_pos	18600.24637713251
ACOAD8m_pos	322.8157819794651
ACOAD9m_pos	12039.45947246244
ACOAHi_pos	3321.9355558875495
ACOAO7p_pos	18105.196298555456
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1186.456968845073
ACONT_pos	1186.456968845073
ACONTm_neg	343.5657379275705
ACONTm_pos	343.5657379275705
ACOX22x_pos	69210.06698105494
ACOX2x_pos	59146.783801510035
ACP1_FMN__pos	3433.9670782844655
ACRNtm_pos	2589.6722267543864
ACS2_pos	3303.460843598412
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3321.935555887548
ACSm_pos	4158.562000139878
ACTLMO_pos	5564.243276376159
ACTNMO_pos	14449.460671381166
ACYP_pos	3267.596344116621
ACt2m_neg	4313.022156988484
ACt2m_pos	4710.222119925329
ACt2r_neg	1273.7708003357156
ACt2r_pos	1273.7708003357156
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7606.378440976758
ADAe_pos	7770.233387434308
ADCim_pos	10676.591871361457
ADEt_neg	6166.772852461449
ADEt_pos	30829.98273776934
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1164.9405278107843
ADK1_pos	1164.9405278107843
ADK1m_neg	423.9910017926732
ADK1m_pos	423.9910017926732
ADK3_neg	1164.9405278107843
ADK3_pos	1164.9405278107843
ADK3m_neg	423.9910017926732
ADK3m_pos	423.9910017926732
ADKd_neg	1162.178311437887
ADKd_pos	1162.178311437887
ADMDC_pos	15371.20277880151
ADNCYC_pos	3376.1034801526066
ADNK1_pos	3348.969134259055
ADNK1m_pos	2410.3876815221947
ADNK3_pos	4246.6838589325935
ADNK4_pos	4246.6838589325935
ADNt4_pos	923.1406338945658
ADNt5le_pos	1389.1196183455784
ADNt_neg	923.1406338945658
ADNt_pos	1188.2003625557597
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5854.0530018808695
ADNtm_pos	8658.575417453902
ADPACDAc_pos	7966.194213847072
ADPACTD_neg	0.0
ADPACTD_pos	7966.194213847073
ADPCOACROT_neg	7966.194213847073
ADPCOACROT_pos	62439.87516248662
ADPCOAPTE_pos	7966.194213847074
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7942.7756157624735
ADPRDPm_pos	0.0
ADPRIBt_pos	18.336683193547724
ADPT_pos	3909.7630685448307
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.415886765201007
ADRNCOAtx_pos	15384.19608854162
ADRNCPT1_pos	332.7959636980699
ADRNCPT2_pos	332.7959636980699
ADRNCRNt_pos	332.7959636980699
ADRNLPVESSEC_pos	37369.701596402025
ADRNt_neg	1192.3895649051465
ADRNt_pos	1195.96992165649
ADSELK_pos	0.0
ADSK_pos	3363.3185917194364
ADSL1_pos	8983.305615263624
ADSL2_pos	20610.34792395096
ADSS_pos	8983.305615263624
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.54586284812177
AG13T10g_pos	10936.26186030529
AG13T11g_pos	10936.26186030529
AG13T12g_pos	10936.26186030529
AG13T13g_pos	10936.26186030529
AG13T14g_pos	10936.26186030529
AG13T15g_pos	10936.26186030529
AG13T16g_pos	7592.6994761940505
AG13T17g_pos	7592.6994761940505
AG13T18g_pos	7592.6994761940505
AG13T1g_pos	7610.651483368929
AG13T2g_pos	7610.651483368929
AG13T3g_pos	7610.651483368929
AG13T4g_pos	10936.26186030529
AG13T5g_pos	10936.26186030529
AG13T6g_pos	10936.26186030529
AG13T7g_pos	10936.26186030529
AG13T8g_pos	10936.26186030529
AG13T9g_pos	10936.26186030529
AGDC_pos	3525.668239765937
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23598.01061421577
AGPAT1_pos	10479.519310348782
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8782.350239814941
AGTix_pos	12333.583819761345
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2141.1640917968916
AHCYStd_pos	2141.1640917968916
AHCYSte_neg	27141.529758258806
AHCYSte_pos	11343.534184308633
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5769.236644798225
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9990.846790242394
AHEXASE2ly_pos	17380.639733006752
AHEXASEly_pos	17852.450509495276
AICART_neg	13049.232656529086
AICART_pos	11279.171247514136
AICARte_neg	12660.834042874723
AICARte_pos	11279.171247514136
AIRCr_neg	0.0
AIRCr_pos	20610.34792395095
AK2LGCHOLt_neg	6.899515865773967
AK2LGCHOLt_pos	6647.588993107478
AKGDm_pos	10668.34488512172
AKGMALtm_neg	549.8718668178391
AKGMALtm_pos	410.2481553840418
AKGt4_3_neg	768.5120457255101
AKGt4_3_pos	895.1766607687347
AKGtp_neg	0.0
AKGtp_pos	47.198589748664425
AKR1C1_pos	61939.84649820031
AKR1C41_pos	2101.8055389098117
AKR1C42_pos	2101.8055389098117
AKR1D2_pos	65374.78736007139
AKR1D_pos	11173.78699075262
ALA-DTDe_pos	1350.2899882410989
ALAALACNc_neg	0.0
ALAALACNc_pos	7404.778186821457
ALAALAPEPT1tc_pos	7404.778186821459
ALAASNNaEx_pos	722.2454057355859
ALAATB0tc_pos	1324.4580999384243
ALACYSNaEx_pos	768.1588800895532
ALADGLNexR_neg	716.4086621085727
ALADGLNexR_pos	627.6245131414818
ALADGLYexR_neg	583.7689874479593
ALADGLYexR_pos	535.4895642055723
ALAGLNNaEx_pos	722.2454057355859
ALAGLNexR_neg	377.35209138103875
ALAGLNexR_pos	377.35209138103875
ALAGLYexR_neg	583.7689874479593
ALAGLYexR_pos	435.6147918115372
ALAR_neg	2.4227551355345196
ALAR_pos	3748.468211273196
ALASERNaEx_pos	701.338109513971
ALASm_pos	357.1953618096128
ALATA_L_neg	4336.636249061593
ALATA_L_pos	3269.944105948226
ALATHRNaEx_pos	701.338109513971
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	468.9013918497182
ALAt2r_pos	583.7689874479593
ALAt4_pos	233.1775999361119
ALAtN1_neg	377.35209138103875
ALAtN1_pos	377.35209138103875
ALAyLATthc_pos	479.5409339297572
ALCD1_neg	6747.909135092746
ALCD1_pos	13.498882405668994
ALCD21_D_pos	415.95729216092684
ALCD21_L_pos	889.0012531978416
ALCD22_D_pos	299.51470068637263
ALCD22_L_pos	889.0012531978416
ALCD2if_pos	5.719642372315163
ALCD2yf_pos	5.7307009807928555
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.198589748664425
ALDD2x_pos	6941.712510353955
ALDD2xm_pos	8915.28035709967
ALDD2y_pos	6775.149298273353
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53559.274106618366
ALDSTRNtm_neg	53559.27410661838
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3163.3924737087636
ALOX5_pos	96.41374612622882
ALR2_pos	889.0012531978416
ALR3_pos	889.0012531978416
AMACR2p_pos	18570.27333192429
AMACR2r_pos	0.0
AMACRp_pos	59146.783801510035
AMACRr_pos	0.0
AMANK_pos	8452.381181067358
AMCOXO_pos	47.47857684531552
AMETr_neg	0.0
AMETr_pos	5769.236644798223
AMETt2m_neg	2141.1640917968916
AMETt2m_pos	2141.1640917968916
AMETtd_neg	2141.1640917968916
AMETtd_pos	2141.1640917968916
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6689.042121548067
AMPTASECG_pos	7350.198251995438
AMPTASECGe_pos	8536.46420811491
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.449096013045198
AMY2e_pos	13.449096013045198
ANDRSTRNGLCte_pos	70194.64602394201
ANDRSTRNGLCtr_neg	70194.64602394201
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56389.37811090281
ANDRSTRNte_pos	18.207788123205525
ANDRSTRNtr_neg	18.207788123205525
ANDRSTRNtr_pos	56389.37811090285
ANTHte_neg	10.889384221450616
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.909525218467174
AOBUTDsm_pos	12389.20060937213
AP4AH1_pos	0.0
APAT2rm_neg	13633.824479219618
APAT2rm_pos	10921.054252714392
APNNOXte_neg	7.54586284812177
APNNOXte_pos	0.0
APOCF_pos	5689.3162317139295
APOCFm_pos	6140.500057816613
APOC_LYS_BTNP_pos	5689.3162317139295
APOC_LYS_BTNPm_pos	6140.500057816613
APPNNte_neg	0.0
APPNNte_pos	7.54586284812177
APRGSTRNte_neg	61939.84649820032
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.433001631677191
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.433001631677191
ARACHCOAtx_neg	26612.344937593116
ARACHCOAtx_pos	11451.181409710412
ARACHCPT1_pos	11962.62922057422
ARACHCPT2_pos	11962.62922057422
ARACHCRNt_pos	11962.62922057422
ARACHDCOAtx_neg	4987.070032696632
ARACHDCOAtx_pos	194.28369460174525
ARACHDt2_neg	349.6072058212961
ARACHDt2_pos	353.1875625726395
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4389.7712594866825
ARACHt_neg	1204.8084621775724
ARACHt_pos	1208.388818928916
ARGATB0tc_pos	1765.7172227988592
ARGDCm_pos	23598.01061421577
ARGLYSex_pos	680.5212432280465
ARGN_pos	13774.945060198774
ARGNm_pos	14746.006990099062
ARGSL_neg	0.0
ARGSL_pos	13049.626541415166
ARGSS_pos	13049.626541415164
ARGt4_pos	1495.548917938252
ARGtiDF_pos	479.5409339297572
ARGtm_neg	1488.4587959623143
ARGtm_pos	1181.7665391608316
ARSA_pos	38641.38349057433
ARTCOAL1_pos	4970.344871371876
ARTCOAL2_pos	4970.344871371878
ARTCOAL3_pos	4970.344871371875
ASAH1_pos	38554.982567477724
ASCBOX_pos	8961.876157956793
ASCBSVCTtc_pos	3309.7405687828164
ASCBt4_neg	465.97273820734745
ASCBt4_pos	1257.412358745692
ASCBt_neg	1257.412358745692
ASCBt_pos	1260.9927154970355
ASNALANaEx_pos	722.2454057355859
ASNATB0tc_pos	1435.1045658336423
ASNCYSNaEx_pos	888.1706916582888
ASNGLNNaEx_pos	722.2454057355859
ASNNm_pos	8741.391943545856
ASNPHELAT2tc_pos	520.2983458017912
ASNS1_pos	7317.173662655953
ASNSERNaEx_pos	847.5291626339551
ASNTHRNaEx_pos	847.5291626339551
ASNt4_pos	324.6665203199514
ASNtN1_neg	324.6665203199514
ASNtN1_pos	508.37109082262367
ASNtm_pos	8741.391943545856
ASP1DC_pos	9235.650630019934
ASPCTr_neg	0.0
ASPCTr_pos	18848.493442882336
ASPDTDe_neg	11.609031297393534
ASPDTDe_pos	2150.251612555614
ASPDt6_pos	2150.251612555614
ASPDxt_neg	11.324084271915284
ASPDxt_pos	0.0
ASPGLUm_pos	2551.904208030644
ASPNATm_pos	7501.444632762171
ASPPROASCT1_pos	1845.7148044013113
ASPTA_neg	7222.359835672819
ASPTA_pos	2551.904208030645
ASPTAm_neg	2551.9042080306444
ASPTAm_pos	9215.068280549547
ASPt6_pos	2150.251612555614
ASPte_pos	1198.8177704433967
ATP1ter_neg	0.0
ATP1ter_pos	7186.2466647005585
ATP2ter_neg	4669.536825794923
ATP2ter_pos	4669.536825794923
ATPH1e_pos	14187.035972828826
ATPH2e_pos	3.072251952650647
ATPS4m_pos	1625.3716625294883
ATPasel_pos	24069.56580429807
ATPtm_pos	693.2238206580787
ATPtn_neg	0.0
ATPtn_pos	9671.541781146143
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4191.964740241663
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17662.96227930113
Asn_X_Ser_Thrtr_neg	17345.055634437413
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11475.347093071094
B3GALT41g_pos	12699.768294674674
B3GALT42g_pos	12886.828684325015
B3GALT43g_pos	13052.87505843017
B3GALT44g_pos	13324.9421435164
B3GALT5g_pos	10585.157881080759
B3GALTg_pos	11738.614719959489
B3GNT11g_pos	9911.454609508284
B3GNT12g_pos	9015.423005068686
B3GNT310g_pos	11667.599894189136
B3GNT311g_pos	9659.514092973772
B3GNT312g_pos	9911.454609508284
B3GNT313g_pos	9055.765470850185
B3GNT314g_pos	8409.834721203062
B3GNT315g_pos	9015.423005068686
B3GNT31g_pos	9795.439575614397
B3GNT32g_pos	9795.439575614397
B3GNT33g_pos	9795.439575614397
B3GNT34g_pos	9609.404576925544
B3GNT35g_pos	9609.404576925544
B3GNT36g_pos	928.5471562562079
B3GNT37g_pos	12617.260688540317
B3GNT39g_pos	29411.168268725552
B3GNT51g_pos	11667.599894189134
BAAT1x_pos	4022.0751383717834
BAAT2x_pos	3219.206704357115
BAAT3x_pos	18570.27333192429
BAAT4x_pos	4022.0751383717834
BACCL_pos	5689.3162317139295
BACCLm_pos	6140.500057816613
BALABETAtc_pos	1527.309589379788
BALAPAT1tc_pos	1442.4249371770081
BALAVECSEC_pos	4210.322298153246
BALAtmr_neg	13633.824479219618
BALAtmr_pos	10921.054252714393
