subsystem
Propanoate metabolism
Tyrosine metabolism
Sphingolipid metabolism
Tryptophan metabolism
Taurine and hypotaurine metabolism
Cytochrome metabolism
"Glycine, serine, alanine and threonine metabolism"
Lysine metabolism
Glutamate metabolism
beta-Alanine metabolism
"Valine, leucine, and isoleucine metabolism"
Cholesterol metabolism
Fatty acid oxidation
Phosphatidylinositol phosphate metabolism
Aminosugar metabolism
Pyruvate metabolism
Bile acid synthesis
Glycolysis/gluconeogenesis
Nucleotide interconversion
Arginine and Proline Metabolism
Keratan sulfate synthesis
Alanine and aspartate metabolism
Methionine and cysteine metabolism
N-glycan degradation
Purine synthesis
Citric acid cycle
Steroid metabolism
Eicosanoid metabolism
Glutathione metabolism
Pentose phosphate pathway
Urea cycle
"Transport, lysosomal"
Butanoate metabolism
N-glycan synthesis
Heme degradation
Biotin metabolism
"Transport, extracellular"
Glycerophospholipid metabolism
Other
O-glycan synthesis
Vitamin C metabolism
Fatty acid synthesis
Ubiquinone synthesis
Pyrimidine synthesis
Pyrimidine catabolism
Keratan sulfate degradation
Fructose and mannose metabolism
Galactose metabolism
Folate metabolism
Blood group synthesis
Starch and sucrose metabolism
Heparan sulfate degradation
Chondroitin sulfate degradation
Hyaluronan metabolism
Glyoxylate and dicarboxylate metabolism
Histidine metabolism
Inositol phosphate metabolism
Triacylglycerol synthesis
NAD metabolism
Purine catabolism
"Transport, mitochondrial"
Vitamin B6 metabolism
Oxidative phosphorylation
Heme synthesis
CoA synthesis
Vitamin A metabolism
Miscellaneous
Glycosphingolipid metabolism
Androgen and estrogen synthesis and metabolism
Vitamin B2 metabolism
ROS detoxification
Thiamine metabolism
Cysteine Metabolism
Unassigned
Tetrahydrobiopterin metabolism
CoA catabolism
"Transport, peroxisomal"
