	Ob-DHA-b_S132_L007_R1_001
ABO1g_pos	10359.900740562942
ABO2g_pos	9980.233753164466
ABO3g_pos	10159.807781177331
ABO4g_pos	9376.372230924895
ABO5g_pos	9376.372230924895
ABO6g_pos	8787.589777209194
ABO7g_pos	8787.589777209194
ABO8g_pos	9065.596413166457
ABO9g_pos	8148.80247845608
ABTArm_neg	9371.342216497866
ABTArm_pos	12455.36570691796
ABTD_neg	5063.649436265842
ABTD_pos	7.848787331828917
ABTti_pos	5063.649436265842
ABUTD_pos	12238.901218848963
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	497.01118587944626
ABUTt2r_pos	607.0654598456819
ABUTt4_2_r_neg	607.0654598456819
ABUTt4_2_r_pos	497.01118587944626
ACACT10m_neg	13485.275851638222
ACACT10m_pos	9692.067723729517
ACACT1r_neg	7050.307212486921
ACACT1r_pos	15819.627212684753
ACACT1rm_pos	5027.524495132344
ACACT1x_pos	9655.216037336006
ACACT4p_pos	23940.12843762438
ACACT5p_pos	23940.128437624386
ACACT6p_pos	23940.128437624382
ACACT7p_pos	23280.313701376333
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	389.86347806504307
ACACt2_pos	389.86347806504307
ACACt2m_neg	1244.068933855603
ACACt2m_pos	1244.068933855603
ACACtx_neg	5711.598046482615
ACACtx_pos	0.0
ACALDt_neg	6135.858906156844
ACALDt_pos	5.144777981922355
ACALDtm_neg	8786.909080791582
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	53986.6991436496
ACALDtx_neg	0.0
ACALDtx_pos	11.726258082786343
ACCOAC_pos	4119.226956083952
ACCOACm_pos	4209.234261381076
ACCOAL_pos	3168.2113990342586
ACCOALm_pos	4305.805591209931
ACCOAgt_neg	0.0
ACCOAgt_pos	19021.959745608645
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1480.4852262378442
ACCOAtr_pos	1480.4852262378442
ACETONEt2_neg	10512.018927366145
ACETONEt2_pos	5.5022054435113015
ACETONEt2m_neg	10512.018927366147
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10864.777298837522
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10864.777298837522
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9376.372230924895
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9376.372230924893
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8787.589777209194
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8787.589777209192
ACGALK2_pos	541.9432214492593
ACGALK_pos	540.9630268327725
ACGALtlg_neg	900.8546390748068
ACGALtlg_pos	0.0
ACGALtly_pos	540.9630268327725
ACGAM2E_neg	3894.2279548327374
ACGAM2E_pos	29646.949294481685
ACGAM6PSi_pos	3348.6271787839005
ACGAMK_pos	3894.2279548327374
ACGAMPM_neg	0.0
ACGAMPM_pos	3894.227954832737
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	900.8546390748065
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	900.8546390748065
ACGPID_pos	50.47149256419059
ACGSm_pos	0.0
ACHEe_pos	5339.247225119388
ACHVESSEC_pos	3998.3206593146674
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5731.068407160726
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11034.742883006631
ACN13ACNGALGBSIDEtg_neg	11034.742883006631
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11034.742883006631
ACN23ACNGALGBSIDEtg_neg	11034.742883006631
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12228.571430512782
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12228.571430512779
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11062.437737480217
ACNACNGALGBSIDEtg_neg	11062.437737480217
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8444.811471857725
ACNAM9PL_pos	8173.900007941705
ACNAMPH_pos	8173.900007941705
ACNAMlt_neg	17658.66964784251
ACNAMlt_pos	0.0
ACNAMtn_pos	8776.578106697381
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9999.998382476544
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9999.998382476542
ACNMLr_neg	18324.63871682757
ACNMLr_pos	8173.900007941705
ACOAD10m_pos	296.53069624614994
ACOAD1fm_pos	18182.396715578838
ACOAD8m_pos	323.12076291126493
ACOAD9m_pos	11854.707502457477
ACOAHi_pos	3162.0648336104264
ACOAO7p_pos	17603.380980461476
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1176.2477108025207
ACONT_pos	1176.2477108025207
ACONTm_neg	318.2596494382144
ACONTm_pos	318.2596494382144
ACOX22x_pos	68276.65570106417
ACOX2x_pos	58163.955940845
ACP1_FMN__pos	3249.20000873885
ACRNtm_pos	2299.5193480407747
ACS2_pos	3144.7609635974395
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3162.064833610425
ACSm_pos	4274.229518835624
ACTLMO_pos	5487.136454855273
ACTNMO_pos	14216.590648356987
ACYP_pos	3114.941135627095
ACt2m_neg	4122.104392346278
ACt2m_pos	4748.359653272313
ACt2r_neg	1218.3650228649253
ACt2r_pos	1218.3650228649253
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7410.764562630008
ADAe_pos	7571.730293434104
ADCim_pos	10512.018927366149
ADEt_neg	5975.547749919373
ADEt_pos	30137.839014833757
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1159.227244088309
ADK1_pos	1159.227244088309
ADK1m_neg	420.8775040111549
ADK1m_pos	420.8775040111549
ADK3_neg	1159.227244088309
ADK3_pos	1159.227244088309
ADK3m_neg	420.8775040111549
ADK3m_pos	420.8775040111549
ADKd_neg	1156.4798758717518
ADKd_pos	1156.4798758717518
ADMDC_pos	15074.959916529631
ADNCYC_pos	3210.403126092581
ADNK1_pos	3192.8310666169787
ADNK1m_pos	2374.3324409633883
ADNK3_pos	4093.6653312294025
ADNK4_pos	4093.6653312294025
ADNt4_pos	836.016087924428
ADNt5le_pos	1362.8186499301928
ADNt_neg	836.016087924428
ADNt_pos	1191.6511016088202
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5665.101173169427
ADNtm_pos	8235.580354427515
ADPACDAc_pos	7737.632365348169
ADPACTD_neg	0.0
ADPACTD_pos	7737.632365348169
ADPCOACROT_neg	7737.632365348168
ADPCOACROT_pos	61271.34794917396
ADPCOAPTE_pos	7737.632365348169
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7632.056413102816
ADPRDPm_pos	0.0
ADPRIBt_pos	17.476190125417553
ADPT_pos	3736.0792808267147
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.043144511678543
ADRNCOAtx_pos	14865.337449655672
ADRNCPT1_pos	326.5572978017382
ADRNCPT2_pos	326.5572978017382
ADRNCRNt_pos	326.5572978017382
ADRNLPVESSEC_pos	36772.85619049129
ADRNt_neg	1180.0709386466629
ADRNt_pos	1190.5991081383686
ADSELK_pos	0.0
ADSK_pos	3213.240894849852
ADSL1_pos	8711.07981233337
ADSL2_pos	20171.858552292677
ADSS_pos	8711.07981233337
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.4428116980869445
AG13T10g_pos	10619.695493706287
AG13T11g_pos	10619.695493706287
AG13T12g_pos	10619.695493706287
AG13T13g_pos	10619.695493706287
AG13T14g_pos	10619.695493706287
AG13T15g_pos	10619.695493706287
AG13T16g_pos	7394.509701588588
AG13T17g_pos	7394.509701588588
AG13T18g_pos	7394.509701588588
AG13T1g_pos	7423.696087598252
AG13T2g_pos	7423.696087598252
AG13T3g_pos	7423.696087598252
AG13T4g_pos	10619.695493706287
AG13T5g_pos	10619.695493706287
AG13T6g_pos	10619.695493706287
AG13T7g_pos	10619.695493706287
AG13T8g_pos	10619.695493706287
AG13T9g_pos	10619.695493706287
AGDC_pos	3348.6271787839
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23156.216828114113
AGPAT1_pos	10140.658540657942
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8704.565482277358
AGTix_pos	12021.203872063283
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2126.6116411942935
AHCYStd_pos	2126.6116411942935
AHCYSte_neg	26558.64405977291
AHCYSte_pos	11092.410194495995
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5692.280431240469
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9714.13985092051
AHEXASE2ly_pos	16964.080499434975
AHEXASEly_pos	17429.26991125854
AICART_neg	12854.911029265586
AICART_pos	10842.219481383003
AICARte_neg	12424.04301658923
AICARte_pos	10842.219481383005
AIRCr_neg	0.0
AIRCr_pos	20171.8585522927
AK2LGCHOLt_neg	6.792447745696687
AK2LGCHOLt_pos	6411.699772792377
AKGDm_pos	10531.724917733427
AKGMALtm_neg	456.47326231921613
AKGMALtm_pos	340.7585070766618
AKGt4_3_neg	715.343859135875
AKGt4_3_pos	826.1998995397996
AKGtp_neg	0.0
AKGtp_pos	45.772085251986525
AKR1C1_pos	61304.14492290041
AKR1C41_pos	2092.5122824280484
AKR1C42_pos	2092.5122824280484
AKR1D2_pos	64372.725493044825
AKR1D_pos	11325.137839914343
ALA-DTDe_pos	1331.4491394170234
ALAALACNc_neg	0.0
ALAALACNc_pos	7479.377013584696
ALAALAPEPT1tc_pos	7479.377013584694
ALAASNNaEx_pos	740.8907897175636
ALAATB0tc_pos	1288.8421905550272
ALACYSNaEx_pos	628.977632481484
ALADGLNexR_neg	658.218549986502
ALADGLNexR_pos	607.2884196225539
ALADGLYexR_neg	575.3381240647079
ALADGLYexR_pos	515.901988225296
ALAGLNNaEx_pos	739.9642799547747
ALAGLNexR_neg	366.4722353518203
ALAGLNexR_pos	366.4722353518203
ALAGLYexR_neg	565.1969978454448
ALAGLYexR_pos	424.51555682803814
ALAR_neg	2.408541184364395
ALAR_pos	3768.0457417518583
ALASERNaEx_pos	621.6270684756977
ALASm_pos	355.063520256836
ALATA_L_neg	4273.957860791008
ALATA_L_pos	2969.3738163476705
ALATHRNaEx_pos	685.7939421090327
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	471.53482585715864
ALAt2r_pos	575.3381240647079
ALAt4_pos	238.58957074933178
ALAtN1_neg	366.4722353518203
ALAtN1_pos	366.4722353518203
ALAyLATthc_pos	471.53482585715864
ALCD1_neg	6611.79458856215
ALCD1_pos	13.416420530642656
ALCD21_D_pos	396.9619306196371
ALCD21_L_pos	826.3641469432521
ALCD22_D_pos	299.1761266337442
ALCD22_L_pos	826.3641469432521
ALCD2if_pos	5.649483024186688
ALCD2yf_pos	5.651458033064708
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.772085251986525
ALDD2x_pos	6661.00118114317
ALDD2xm_pos	8786.909080791578
ALDD2y_pos	6507.001064742672
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52958.46078710858
ALDSTRNtm_neg	52958.46078710861
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3317.329212292234
ALOX5_pos	95.11800760822567
ALR2_pos	826.3641469432521
ALR3_pos	826.3641469432521
AMACR2p_pos	17965.87069739933
AMACR2r_pos	0.0
AMACRp_pos	58163.955940845
AMACRr_pos	0.0
AMANK_pos	8173.900007941705
AMCOXO_pos	46.80827636037051
AMETr_neg	0.0
AMETr_pos	5692.280431240469
AMETt2m_neg	2126.6116411942935
AMETt2m_pos	2126.6116411942935
AMETtd_neg	2126.6116411942935
AMETtd_pos	2126.6116411942935
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6424.033057828602
AMPTASECG_pos	6657.568885310853
AMPTASECGe_pos	7836.109123589313
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.44583699262272
AMY2e_pos	13.445836992622716
ANDRSTRNGLCte_pos	68740.66939686665
ANDRSTRNGLCtr_neg	68740.66939686662
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55417.08576801502
ANDRSTRNte_pos	17.659826760229937
ANDRSTRNtr_neg	17.659826760229933
ANDRSTRNtr_pos	55417.08576801502
ANTHte_neg	10.824402092003158
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.8997182849666014
AOBUTDsm_pos	12142.350339717153
AP4AH1_pos	0.0
APAT2rm_neg	13483.111579483153
APAT2rm_pos	10726.128207258418
APNNOXte_neg	7.4428116980869445
APNNOXte_pos	0.0
APOCF_pos	5440.942854277344
APOCFm_pos	5915.157294332001
APOC_LYS_BTNP_pos	5440.942854277344
APOC_LYS_BTNPm_pos	5915.157294332001
APPNNte_neg	0.0
APPNNte_pos	7.4428116980869445
APRGSTRNte_neg	61304.14492290039
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.3557511311004555
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.3557511311004555
ARACHCOAtx_neg	25755.903727876153
ARACHCOAtx_pos	11050.209008480548
ARACHCPT1_pos	11743.039307923547
ARACHCPT2_pos	11743.039307923547
ARACHCRNt_pos	11743.039307923547
ARACHDCOAtx_neg	4845.828330458532
ARACHDCOAtx_pos	190.0249566427612
ARACHDt2_neg	336.9770579010298
ARACHDt2_pos	347.50522739273543
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4239.632261246005
ARACHt_neg	1191.4868037319604
ARACHt_pos	1202.0149732236662
ARGATB0tc_pos	1696.7553112031649
ARGDCm_pos	23156.216828114113
ARGLYSex_pos	654.3768779113733
ARGN_pos	13426.209268872915
ARGNm_pos	14122.260757270098
ARGSL_neg	0.0
ARGSL_pos	12730.839933835892
ARGSS_pos	12730.83993383589
ARGt4_pos	1472.2594439332283
ARGtiDF_pos	471.53482585715864
ARGtm_neg	1472.2557371229263
ARGtm_pos	1172.451853067339
ARSA_pos	37795.42423297487
ARTCOAL1_pos	4826.581709091862
ARTCOAL2_pos	4826.581709091861
ARTCOAL3_pos	4826.581709091861
ASAH1_pos	37816.19872059562
ASCBOX_pos	8639.36263178303
ASCBSVCTtc_pos	3160.248394327354
ASCBt4_neg	425.0688950243265
ASCBt4_pos	1231.9925328826625
ASCBt_neg	1231.9925328826625
ASCBt_pos	1242.5207023743683
ASNALANaEx_pos	740.8907897175636
ASNATB0tc_pos	1383.5740439483243
ASNCYSNaEx_pos	888.1827533579619
ASNGLNNaEx_pos	740.8907897175636
ASNNm_pos	8500.249113155855
ASNPHELAT2tc_pos	507.8173330242075
ASNS1_pos	7188.941207558212
ASNSERNaEx_pos	874.3308119751491
ASNTHRNaEx_pos	923.6636525120794
ASNt4_pos	333.5923803121748
ASNtN1_neg	333.5923803121748
ASNtN1_pos	611.8332110816121
ASNtm_pos	8500.249113155855
ASP1DC_pos	9159.24529543866
ASPCTr_neg	0.0
ASPCTr_pos	18523.181882499688
ASPDTDe_neg	11.414210955030027
ASPDTDe_pos	2044.818638388103
ASPDt6_pos	2044.818638388103
ASPDxt_neg	11.159170119589405
ASPDxt_pos	0.0
ASPGLUm_pos	2483.8777784434205
ASPNATm_pos	7335.8993665124435
ASPPROASCT1_pos	1590.9717700061992
ASPTA_neg	7159.208685745273
ASPTA_pos	2483.877778443421
ASPTAm_neg	2483.8777784434205
ASPTAm_pos	9025.869903910076
ASPt6_pos	2044.818638388103
ASPte_pos	1187.8462358415436
ATP1ter_neg	0.0
ATP1ter_pos	7030.678595509884
ATP2ter_neg	4521.465734575983
ATP2ter_pos	4521.465734575983
ATPH1e_pos	13573.023567997423
ATPH2e_pos	3.024739009234229
ATPS4m_pos	1567.344680173156
ATPasel_pos	23493.62000186183
ATPtm_pos	620.3496999482966
ATPtn_neg	0.0
ATPtn_pos	9519.32704328125
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4060.02035987595
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17238.84557800417
Asn_X_Ser_Thrtr_neg	16929.369300214017
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11082.998277856375
B3GALT41g_pos	12279.987523974298
B3GALT42g_pos	12456.664410656103
B3GALT43g_pos	12628.53211123795
B3GALT44g_pos	12913.50280148899
B3GALT5g_pos	10255.802796779984
B3GALTg_pos	11394.239342100222
B3GNT11g_pos	9613.549457911193
B3GNT12g_pos	8738.013303760772
B3GNT310g_pos	11325.194682865336
B3GNT311g_pos	9376.372230924895
B3GNT312g_pos	9613.549457911193
B3GNT313g_pos	8787.589777209194
B3GNT314g_pos	8148.80247845608
B3GNT315g_pos	8738.013303760772
B3GNT31g_pos	9484.593106125054
B3GNT32g_pos	9484.593106125054
B3GNT33g_pos	9484.593106125054
B3GNT34g_pos	9293.887635650639
B3GNT35g_pos	9293.887635650639
B3GNT36g_pos	900.8546390748065
B3GNT37g_pos	12231.29578780024
B3GNT39g_pos	28799.666480984244
B3GNT51g_pos	11325.194682865333
BAAT1x_pos	4022.071157860955
BAAT2x_pos	3220.1893439766436
BAAT3x_pos	17965.87069739933
BAAT4x_pos	4022.071157860955
BACCL_pos	5440.942854277344
BACCLm_pos	5915.157294332001
BALABETAtc_pos	1497.8605990157398
BALAPAT1tc_pos	1419.892353157577
BALAVECSEC_pos	4075.583390575579
BALAtmr_neg	13483.111579483153
