	WT-911-d_S144_L007_R1_001
ACACT10m_pos	9895.824685608346
ACACT1r_neg	7650.841032388103
ACACT1r_pos	16657.822220722086
ACACT1rm_pos	5402.673146553662
ACACT1x_pos	10164.598771461433
ACACT4p_pos	24853.63480360265
ACACT5p_pos	24853.634803602643
ACACT6p_pos	24853.634803602647
ACACT7p_pos	24178.91096451928
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	473.0901720545319
ACACt2_pos	473.0901720545319
ACACt2m_neg	1305.625635186021
ACACt2m_pos	1305.625635186021
ACACtx_neg	5950.330217836306
ACACtx_pos	0.0
ACALDt_neg	6338.132559909472
ACALDt_pos	5.238081896726612
ACALDtm_neg	9053.468855868421
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54881.69564481725
ACALDtx_neg	0.0
ACALDtx_pos	11.827732014481727
ACCOAC_pos	4273.318173461477
ACCOACm_pos	4270.753974818451
ACCOAL_pos	3304.4849247628736
ACCOALm_pos	4537.065274633778
ACCOAgt_neg	0.0
ACCOAgt_pos	19659.84263164802
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1665.2952090321105
ACCOAtr_pos	1665.2952090321105
ACETONEt2_neg	10738.21526906623
ACETONEt2_pos	5.594636708318337
ACETONEt2m_neg	10738.215269066228
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11295.250397857852
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11295.25039785785
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9741.423394554948
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9741.423394554948
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9118.575728443508
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9118.575728443508
ACGALK2_pos	556.9431490430395
ACGALK_pos	555.9398957656508
ACGALtlg_neg	930.6171869699732
ACGALtlg_pos	0.0
ACGALtly_pos	555.9398957656509
ACGAM2E_neg	4189.068788503171
ACGAM2E_pos	30576.141758275557
ACGAM6PSi_pos	3538.4580493190388
ACGAMK_pos	4189.06878850317
ACGAMPM_neg	0.0
ACGAMPM_pos	4189.068788503171
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	930.6171869699732
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	930.6171869699732
ACGPID_pos	51.699265082241006
ACGSm_pos	0.0
ACHEe_pos	5371.431778679151
ACHVESSEC_pos	4138.306932109165
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6063.613914591868
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11464.702441960935
ACN13ACNGALGBSIDEtg_neg	11464.702441960937
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11464.702441960935
ACN23ACNGALGBSIDEtg_neg	11464.702441960937
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12658.335417446207
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12658.335417446211
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11477.332622139862
ACNACNGALGBSIDEtg_neg	11477.332622139864
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8769.019928176584
ACNAM9PL_pos	8448.227429623315
ACNAMPH_pos	8448.227429623315
ACNAMlt_neg	18142.06260151599
ACNAMlt_pos	0.0
ACNAMtn_pos	8855.602557491831
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10343.13135984647
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10343.13135984647
ACNMLr_neg	18970.89430755122
ACNMLr_pos	8448.227429623315
ACOAD10m_pos	320.1083070556501
ACOAD1fm_pos	18649.90904476703
ACOAD8m_pos	327.4057582661004
ACOAD9m_pos	12068.97576450169
ACOAHi_pos	3328.6986384342013
ACOAO7p_pos	18187.666629397536
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1191.2292187427415
ACONT_pos	1191.2292187427415
ACONTm_neg	345.68472742828385
ACONTm_pos	345.68472742828385
ACOX22x_pos	69054.80256916587
ACOX2x_pos	59183.77248942582
ACP1_FMN__pos	3422.671072163356
ACRNtm_pos	2640.5790238685995
ACS2_pos	3308.8238054194376
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3328.6986384342026
ACSm_pos	4377.43692898587
ACTLMO_pos	5545.9280551113425
ACTNMO_pos	14495.55231960998
ACYP_pos	3250.045316502257
ACt2m_neg	4342.131146879227
ACt2m_pos	4825.420762077605
ACt2r_neg	1275.451494823771
ACt2r_pos	1275.451494823771
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7611.121083512537
ADAe_pos	7764.2236249034795
ADCim_pos	10738.215269066231
ADEt_neg	6191.035281524238
ADEt_pos	30976.707742239876
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1000.5181616004803
ADK1_pos	1000.5181616004803
ADK1m_neg	443.6580641779449
ADK1m_pos	443.6580641779449
ADK3_neg	1000.5181616004803
ADK3_pos	1000.5181616004803
ADK3m_neg	443.6580641779449
ADK3m_pos	443.6580641779449
ADKd_neg	997.3228991421686
ADKd_pos	997.3228991421686
ADMDC_pos	15388.591228319961
ADNCYC_pos	3389.806034437289
ADNK1_pos	3334.7240721196986
ADNK1m_pos	2407.4753166099135
ADNK3_pos	4232.805737257588
ADNK4_pos	4232.805737257588
ADNt4_pos	933.9968860238625
ADNt5le_pos	1407.995514247279
ADNt_neg	933.9968860238625
ADNt_pos	1177.6810830176264
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5840.200855276068
ADNtm_pos	8640.499130417626
ADPACDAc_pos	8020.011192157862
ADPACTD_neg	0.0
ADPACTD_pos	8020.011192157862
ADPCOACROT_neg	8020.011192157864
ADPCOACROT_pos	62504.73942053403
ADPCOAPTE_pos	8020.011192157864
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8063.141484523259
ADPRDPm_pos	0.0
ADPRIBt_pos	18.309411190031025
ADPT_pos	3923.52266218736
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.486762888621183
ADRNCOAtx_pos	15439.395266439315
ADRNCPT1_pos	334.0144496225856
ADRNCPT2_pos	334.0144496225856
ADRNCRNt_pos	334.0144496225856
ADRNLPVESSEC_pos	37458.36025883698
ADRNt_neg	1205.7415110255574
ADRNt_pos	1205.7415110255574
ADSELK_pos	0.0
ADSK_pos	3357.4052001699215
ADSL1_pos	8993.880970764609
ADSL2_pos	20572.86797935208
ADSS_pos	8993.880970764609
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.510649772790002
AG13T10g_pos	10971.521789098895
AG13T11g_pos	10971.521789098895
AG13T12g_pos	10971.521789098895
AG13T13g_pos	10971.521789098895
AG13T14g_pos	10971.521789098895
AG13T15g_pos	10971.521789098895
AG13T16g_pos	7592.724269447056
AG13T17g_pos	7592.724269447056
AG13T18g_pos	7592.724269447056
AG13T1g_pos	7614.845470768335
AG13T2g_pos	7614.845470768335
AG13T3g_pos	7614.845470768335
AG13T4g_pos	10971.521789098895
AG13T5g_pos	10971.521789098895
AG13T6g_pos	10971.521789098895
AG13T7g_pos	10971.521789098895
AG13T8g_pos	10971.521789098895
AG13T9g_pos	10971.521789098895
AGDC_pos	3538.4580493190388
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23839.96746677137
AGPAT1_pos	10376.034185644185
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8792.09518951584
AGTix_pos	12511.947200388631
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2136.9674876553895
AHCYStd_pos	2136.9674876553895
AHCYSte_neg	27203.805870350574
AHCYSte_pos	11384.414017184235
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5771.347234730289
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10023.236417822898
AHEXASE2ly_pos	17416.267787002987
AHEXASEly_pos	17905.78806694825
AICART_neg	13087.931299553487
AICART_pos	11365.985259551428
AICARte_neg	12690.80917265445
AICARte_pos	11365.985259551428
AIRCr_neg	0.0
AIRCr_pos	20572.867979352082
AK2LGCHOLt_neg	6.919609035170843
AK2LGCHOLt_pos	6672.694201061959
AKGDm_pos	10606.628624231329
AKGMALtm_neg	569.9310433799463
AKGMALtm_pos	427.28678492487893
AKGt4_3_neg	857.863118065655
AKGt4_3_pos	976.3524371867234
AKGtp_neg	0.0
AKGtp_pos	47.492685196609116
AKR1C1_pos	62016.946484740336
AKR1C41_pos	2106.379872289818
AKR1C42_pos	2106.379872289818
AKR1D2_pos	65318.565942552355
AKR1D_pos	10895.547544210203
ALA-DTDe_pos	1356.0369456812323
ALAALACNc_neg	0.0
ALAALACNc_pos	7556.785345989398
ALAALAPEPT1tc_pos	7556.785345989399
ALAASNNaEx_pos	813.8888610257231
ALAATB0tc_pos	1318.0877112207245
ALACYSNaEx_pos	774.1007295604891
ALADGLNexR_neg	680.4501454560069
ALADGLNexR_pos	614.27557638148
ALADGLYexR_neg	570.4981813939778
ALADGLYexR_pos	519.9641129465158
ALAGLNNaEx_pos	813.8888610257231
ALAGLNexR_neg	367.4683616519284
ALAGLNexR_pos	367.4683616519284
ALAGLYexR_neg	570.4981813939778
ALAGLYexR_pos	425.6526495115516
ALAR_neg	2.415972725531943
ALAR_pos	3818.489659023799
ALASERNaEx_pos	765.1170172228283
ALASm_pos	350.4239320093834
ALATA_L_neg	4334.44768459895
ALATA_L_pos	3505.964896219232
ALATHRNaEx_pos	770.9186822505795
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	469.78870972968383
ALAt2r_pos	570.4981813939778
ALAt4_pos	233.89397530231219
ALAtN1_neg	367.4683616519284
ALAtN1_pos	367.4683616519284
ALAyLATthc_pos	472.01177542419435
ALCD1_neg	6727.4498315699075
ALCD1_pos	13.469059149669922
ALCD21_D_pos	419.2638345655454
ALCD21_L_pos	894.8235808613997
ALCD22_D_pos	305.66979200025366
ALCD22_L_pos	894.8235808613997
ALCD2if_pos	5.690607191292729
ALCD2yf_pos	5.702329954699754
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.492685196609116
ALDD2x_pos	6972.029861499815
ALDD2xm_pos	9053.468855868421
ALDD2y_pos	6814.212053971218
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53619.021842322865
ALDSTRNtm_neg	53619.021842322865
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3440.7667640770587
ALOX5_pos	98.20448170263094
ALR2_pos	894.8235808613997
ALR3_pos	894.8235808613997
AMACR2p_pos	18393.20754013918
AMACR2r_pos	0.0
AMACRp_pos	59183.77248942582
AMACRr_pos	0.0
AMANK_pos	8448.227429623315
AMCOXO_pos	47.61051105351103
AMETr_neg	0.0
AMETr_pos	5771.3472347302895
AMETt2m_neg	2136.9674876553895
AMETt2m_pos	2136.9674876553895
AMETtd_neg	2136.9674876553895
AMETtd_pos	2136.9674876553895
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6688.978298535205
AMPTASECG_pos	6979.802638226694
AMPTASECGe_pos	8244.429172030184
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.446003699369701
AMY2e_pos	13.446003699369701
ANDRSTRNGLCte_pos	70009.60920618019
ANDRSTRNGLCtr_neg	70009.60920618018
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56383.39974060353
ANDRSTRNte_pos	17.86228797090916
ANDRSTRNtr_neg	17.86228797090916
ANDRSTRNtr_pos	56383.39974060354
ANTHte_neg	10.930305791580317
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.910212516717124
AOBUTDsm_pos	12404.828197197783
AP4AH1_pos	0.0
APAT2rm_neg	13652.881320941653
APAT2rm_pos	10943.473917308384
APNNOXte_neg	7.510649772790002
APNNOXte_pos	0.0
APOCF_pos	5773.998107545328
APOCFm_pos	6235.809236522879
APOC_LYS_BTNP_pos	5773.998107545328
APOC_LYS_BTNPm_pos	6235.809236522879
APPNNte_neg	0.0
APPNNte_pos	7.510649772790002
APRGSTRNte_neg	62016.946484740336
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.421630819584512
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.421630819584512
ARACHCOAtx_neg	26724.79832837979
ARACHCOAtx_pos	11515.412816726888
ARACHCPT1_pos	12048.12914704928
ARACHCPT2_pos	12048.12914704928
ARACHCRNt_pos	12048.12914704928
ARACHDCOAtx_neg	4976.194341955078
ARACHDCOAtx_pos	195.42707317412476
ARACHDt2_neg	362.9280822644605
ARACHDt2_pos	362.92808226446044
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4412.471985591115
ARACHt_neg	1217.236696092108
ARACHt_pos	1217.236696092108
ARGATB0tc_pos	1774.9288176334812
ARGDCm_pos	23839.96746677137
ARGLYSex_pos	661.6369021384505
ARGN_pos	13857.805895155656
ARGNm_pos	14839.126559194036
ARGSL_neg	0.0
ARGSL_pos	13057.002236543865
ARGSS_pos	13057.002236543867
ARGt4_pos	1498.6144829675745
ARGtiDF_pos	472.01177542419435
ARGtm_neg	1490.2514971894861
ARGtm_pos	1182.9795268031476
ARSA_pos	39015.420459578796
ARTCOAL1_pos	4982.789133891005
ARTCOAL2_pos	4982.789133891005
ARTCOAL3_pos	4982.789133891006
ASAH1_pos	38653.920351678826
ASCBOX_pos	8919.770941665949
ASCBSVCTtc_pos	3306.3454875170332
ASCBt4_neg	484.19238298178675
ASCBt4_pos	1274.1754976449565
ASCBt_neg	1274.1754976449565
ASCBt_pos	1274.1754976449565
ASNALANaEx_pos	813.8888610257231
ASNATB0tc_pos	1438.2137798751112
ASNCYSNaEx_pos	970.4795786140071
ASNGLNNaEx_pos	813.8888610257231
ASNNm_pos	8754.576730975677
ASNPHELAT2tc_pos	511.40060792341217
ASNS1_pos	7351.433625711618
ASNSERNaEx_pos	961.4958662763463
ASNTHRNaEx_pos	967.2975313040977
ASNt4_pos	326.45244003262314
ASNtN1_neg	326.45244003262314
ASNtN1_pos	551.5661255175648
ASNtm_pos	8754.576730975677
ASP1DC_pos	9248.473226091397
ASPCTr_neg	0.0
ASPCTr_pos	19003.916862205042
ASPDTDe_neg	11.582346734909585
ASPDTDe_pos	2178.748218341232
ASPDt6_pos	2178.748218341232
ASPDxt_neg	11.364506698330619
ASPDxt_pos	0.0
ASPGLUm_pos	2547.563708351294
ASPNATm_pos	7603.474419685364
ASPPROASCT1_pos	1849.8554199365963
ASPTA_neg	7264.780821812837
ASPTA_pos	2547.5637083512934
ASPTAm_neg	2547.563708351294
ASPTAm_pos	9224.390713120194
ASPt6_pos	2178.748218341232
ASPte_pos	1210.9680273107556
ATP1ter_neg	0.0
ATP1ter_pos	7168.969480706501
ATP2ter_neg	4706.677981376815
ATP2ter_pos	4706.677981376815
ATPH1e_pos	14398.89557823273
ATPH2e_pos	3.0697489286173623
ATPS4m_pos	1632.4504316537284
ATPasel_pos	24299.890869620223
ATPtm_pos	707.4044068918334
ATPtn_neg	0.0
ATPtn_pos	9797.847848547808
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4188.098529141865
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17698.749994356443
Asn_X_Ser_Thrtr_neg	17380.685991238344
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11522.163473482467
B3GALT41g_pos	12700.9516438046
B3GALT42g_pos	12892.760371500692
B3GALT43g_pos	13080.318683216827
B3GALT44g_pos	13398.93921584799
B3GALT5g_pos	10693.79229832338
B3GALTg_pos	11786.07306566828
B3GNT11g_pos	9946.253723403535
B3GNT12g_pos	9047.307139649409
B3GNT310g_pos	11721.964382239723
B3GNT311g_pos	9741.423394554948
B3GNT312g_pos	9946.253723403535
B3GNT313g_pos	9118.575728443506
B3GNT314g_pos	8455.149452777756
B3GNT315g_pos	9047.307139649409
B3GNT31g_pos	9870.165846446464
B3GNT32g_pos	9870.165846446464
B3GNT33g_pos	9870.165846446464
B3GNT34g_pos	9660.527451889708
B3GNT35g_pos	9660.527451889708
B3GNT36g_pos	930.6171869699732
B3GNT37g_pos	12689.623540758505
B3GNT39g_pos	29518.04245027229
B3GNT51g_pos	11721.964382239721
BAAT1x_pos	4024.892311216003
BAAT2x_pos	3234.010800469194
BAAT3x_pos	18393.20754013918
BAAT4x_pos	4024.892311216003
BACCL_pos	5773.998107545328
BACCLm_pos	6235.809236522879
BALABETAtc_pos	1556.978133838854
BALAPAT1tc_pos	1452.6631095082926
BALAVECSEC_pos	4200.2306492562975
BALAtmr_neg	13652.881320941648
BALAtmr_pos	10943.473917308384
