	exTreg_Lymph_exTreg1_L2
10FTHF5GLUtl_pos	3719.871286848123
10FTHF5GLUtm_pos	6291.901384375383
10FTHF6GLUtl_pos	4437.2026010279615
10FTHF6GLUtm_pos	6676.071607863099
10FTHF7GLUtl_pos	4915.42347714785
10FTHF7GLUtm_pos	6932.679793763261
10FTHFtl_neg	3719.8712868481234
10FTHFtl_pos	0.0
10FTHFtm_neg	10683.978842111255
10FTHFtm_pos	22238.572179243445
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	67294.17639906812
11DOCRTSLtr_neg	67294.17639906812
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	69994.24699127901
11DOCRTSTRNtr_neg	69994.24699127904
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	46676.767271209836
1MNCAMti_pos	58.80576163594768
1PPDCRp_pos	73.90858524718772
1a25DHVITD3TRn_pos	64446.562823920605
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	16.807722585710454
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.635418726985066
24_25DHVITD2tm_pos	13.635418726985066
24_25DHVITD3t_pos	64353.91521975387
24_25DHVITD3tm_pos	67011.74085462253
24_25VITD2Hm_pos	13.635418726985066
24_25VITD3Hm_pos	67011.74085462252
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	64446.56282392045
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11366.698435322698
2AMACSULT_pos	28069.867177057713
2AMADPTm_pos	8150.134142228122
2DR1PP_pos	5738.151229645875
2HBO_neg	15849.68065229911
2HBO_pos	10.492357368080597
2HBt2_neg	1915.9220949700962
2HBt2_pos	1915.9220949700962
2HCO3_NAt_neg	861.4332331894009
2HCO3_NAt_pos	887.6172120345918
2MB2COAc_neg	0.0
2MB2COAc_pos	19719.39917403085
2MCITt_neg	0.0
2MCITt_pos	23970.922852299824
2OXOADOXm_pos	126.76128310398838
2OXOADPTm_neg	8150.13414222812
2OXOADPTm_pos	148.55451264416345
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	42604.89984557765
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	42604.899845577645
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	849.3268592944705
34DHPHEt_neg	849.3268592944705
34DHPHEt_pos	4.678262614488197
34DHPLACOX_NADP__neg	1953.4330419880603
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1953.4330419880603
34DHXMANDACOX_NADP__neg	1953.4330419880603
34DHXMANDACOX_NADP__pos	0.0
