	Ob-DHA-a_S123_L007_R1_001
ACACt2_pos	395.5489700264769
ACACt2m_neg	1247.8103962321413
ACACt2m_pos	1247.8103962321413
ACACtx_neg	5764.423713520685
ACACtx_pos	0.0
ACALDt_neg	6205.83606428034
ACALDt_pos	5.151120333507086
ACALDtm_neg	8977.68429619559
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54140.16506077388
ACALDtx_neg	0.0
ACALDtx_pos	11.738145979183972
ACCOAC_pos	4169.270578242928
ACCOACm_pos	4218.7922791683295
ACCOAL_pos	3215.201342829625
ACCOALm_pos	4546.522814394204
ACCOAgt_neg	0.0
ACCOAgt_pos	19180.071812927148
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1489.8133096820713
ACCOAtr_pos	1489.8133096820713
ACETONEt2_neg	10627.205427582654
ACETONEt2_pos	5.5165266761417255
ACETONEt2m_neg	10627.205427582654
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10993.306940368622
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10993.306940368624
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9463.737267052486
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9463.737267052486
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8865.57194149791
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8865.571941497912
ACGALK2_pos	550.823693720029
ACGALK_pos	549.8411929860446
ACGALtlg_neg	913.1660720862579
ACGALtlg_pos	0.0
ACGALtly_pos	549.8411929860445
ACGAM2E_neg	4063.9859640353993
ACGAM2E_pos	29998.56749176798
ACGAM6PSi_pos	3414.625416670923
ACGAMK_pos	4063.985964035398
ACGAMPM_neg	0.0
ACGAMPM_pos	4063.9859640353993
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	913.1660720862579
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	913.1660720862579
ACGPID_pos	51.060916911518504
ACGSm_pos	0.0
ACHEe_pos	5153.516215613546
ACHVESSEC_pos	4046.2901829314187
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5751.453122485392
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11112.456336604111
ACN13ACNGALGBSIDEtg_neg	11112.456336604107
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11112.456336604111
ACN23ACNGALGBSIDEtg_neg	11112.456336604107
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12299.202819346918
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12299.202819346923
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11160.12661713556
ACNACNGALGBSIDEtg_neg	11160.126617135556
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8534.606585267295
ACNAM9PL_pos	8275.198589833202
ACNAMPH_pos	8275.198589833202
ACNAMlt_neg	17824.47795636869
ACNAMlt_pos	0.0
ACNAMtn_pos	8792.138660681701
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10069.607606687598
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10069.607606687603
ACNMLr_neg	18461.362439205568
ACNMLr_pos	8275.198589833202
ACOAD10m_pos	298.0612617842039
ACOAD1fm_pos	18269.95285132913
ACOAD8m_pos	330.0635081325241
ACOAD9m_pos	11909.241328906935
ACOAHi_pos	3212.469156841705
ACOAO7p_pos	17676.53453887827
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1180.2855500250957
ACONT_pos	1180.2855500250957
ACONTm_neg	316.6389164955614
ACONTm_pos	316.6389164955614
ACOX22x_pos	68466.77436398994
ACOX2x_pos	58353.809805909754
ACP1_FMN__pos	3308.1547591041876
ACRNtm_pos	2325.3670750478045
ACS2_pos	3193.3813564301604
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3212.4691568417056
ACSm_pos	4512.642341047631
ACTLMO_pos	5500.80163967328
ACTNMO_pos	14258.54032819597
ACYP_pos	3157.6866603073795
ACt2m_neg	4149.130561938874
ACt2m_pos	4866.018493559495
ACt2r_neg	1222.1993820654868
ACt2r_pos	1222.1993820654868
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7436.941465970955
ADAe_pos	7603.401173735025
ADCim_pos	10627.205427582649
ADEt_neg	6059.549959672911
ADEt_pos	30373.877480985564
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1160.3358406746504
ADK1_pos	1160.3358406746504
ADK1m_neg	417.7475377186271
ADK1m_pos	417.7475377186271
ADK3_neg	1160.3358406746504
ADK3_pos	1160.3358406746504
ADK3m_neg	417.7475377186271
ADK3m_pos	417.7475377186271
ADKd_neg	1158.3189580154005
ADKd_pos	1158.3189580154005
ADMDC_pos	15188.769782067495
ADNCYC_pos	3280.342115947738
ADNK1_pos	3248.88125526891
ADNK1m_pos	2374.528867957257
ADNK3_pos	4149.722098020576
ADNK4_pos	4149.722098020575
ADNt4_pos	848.7321638879674
ADNt5le_pos	1387.9852309219455
ADNt_neg	848.7321638879674
ADNt_pos	1204.4545163492114
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5721.304703672051
ADNtm_pos	8399.324770648547
ADPACDAc_pos	7823.391834222932
ADPACTD_neg	0.0
ADPACTD_pos	7823.3918342229335
ADPCOACROT_neg	7823.391834222933
ADPCOACROT_pos	61494.545992039675
ADPCOAPTE_pos	7823.391834222933
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7819.517706678964
ADPRDPm_pos	0.0
ADPRIBt_pos	17.704737568818345
ADPT_pos	3802.0895819131106
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.090217752730146
ADRNCOAtx_pos	14932.285291449187
ADRNCPT1_pos	326.8746620527239
ADRNCPT2_pos	326.8746620527239
ADRNCRNt_pos	326.8746620527239
ADRNLPVESSEC_pos	36875.150172461144
ADRNt_neg	1191.0671907671153
ADRNt_pos	1198.9992828468892
ADSELK_pos	0.0
ADSK_pos	3264.390068420944
ADSL1_pos	8817.71070697541
ADSL2_pos	20353.75099014358
ADSS_pos	8817.71070697541
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.542103324167914
AG13T10g_pos	10737.490324482103
AG13T11g_pos	10737.490324482103
AG13T12g_pos	10737.490324482103
AG13T13g_pos	10737.490324482103
AG13T14g_pos	10737.490324482103
AG13T15g_pos	10737.490324482103
AG13T16g_pos	7466.233960739244
AG13T17g_pos	7466.233960739244
AG13T18g_pos	7466.233960739244
AG13T1g_pos	7490.721653647581
AG13T2g_pos	7490.721653647581
AG13T3g_pos	7490.721653647581
AG13T4g_pos	10737.490324482103
AG13T5g_pos	10737.490324482103
AG13T6g_pos	10737.490324482103
AG13T7g_pos	10737.490324482103
AG13T8g_pos	10737.490324482103
AG13T9g_pos	10737.490324482103
AGDC_pos	3414.625416670923
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23481.936644406393
AGPAT1_pos	10242.790046798538
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8723.600093384393
AGTix_pos	12139.6618788842
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2142.5649598470645
AHCYStd_pos	2142.5649598470645
AHCYSte_neg	26821.954840186198
AHCYSte_pos	11214.151486324366
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5712.26095283766
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9804.727745162007
AHEXASE2ly_pos	17141.537380419584
AHEXASEly_pos	17592.664668793714
AICART_neg	12874.868075549513
AICART_pos	10945.189914744775
AICARte_neg	12473.883861031274
AICARte_pos	10945.189914744771
AIRCr_neg	0.0
AIRCr_pos	20353.750990143584
AK2LGCHOLt_neg	6.836124788636621
AK2LGCHOLt_pos	6381.338638526605
AKGDm_pos	10563.664085250197
AKGMALtm_neg	459.9139146965517
AKGMALtm_pos	343.1115808443728
AKGt4_3_neg	713.483466787232
AKGt4_3_pos	821.0457799572953
AKGtp_neg	0.0
AKGtp_pos	45.922375204239515
AKR1C1_pos	61438.048737120305
AKR1C41_pos	2093.7219719758477
AKR1C42_pos	2093.7219719758477
AKR1D2_pos	64575.980727124734
AKR1D_pos	11308.205039185765
ALA-DTDe_pos	1356.534483865386
ALAALACNc_neg	0.0
ALAALACNc_pos	7407.8279167245255
ALAALAPEPT1tc_pos	7407.827916724527
ALAASNNaEx_pos	854.2603796989152
ALAATB0tc_pos	1304.305391438239
ALACYSNaEx_pos	684.3532902238125
ALADGLNexR_neg	702.3461774656421
ALADGLNexR_pos	644.9961096037687
ALADGLYexR_neg	621.5179755656322
ALADGLYexR_pos	546.9566542658149
ALAGLNNaEx_pos	854.2603796989152
ALAGLNexR_neg	383.1040144012316
ALAGLNexR_pos	383.1040144012316
ALAGLYexR_neg	601.3150767374738
ALAGLYexR_pos	448.9171989278611
ALAR_neg	2.431880188549302
ALAR_pos	3751.203645466797
ALASERNaEx_pos	652.2223141191391
ALASm_pos	354.72455153485623
ALATA_L_neg	4295.7818517410615
ALATA_L_pos	3125.4959556861395
ALATHRNaEx_pos	721.1884391779024
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	501.62627457491527
ALAt2r_pos	621.5179755656322
ALAt4_pos	250.14198800465272
ALAtN1_neg	383.1040144012316
ALAtN1_pos	383.1040144012316
ALAyLATthc_pos	503.1177174255929
ALCD1_neg	6614.939203719281
ALCD1_pos	13.417025399880277
ALCD21_D_pos	403.4526754815846
ALCD21_L_pos	834.5205804493864
ALCD22_D_pos	303.01775131657223
ALCD22_L_pos	834.5205804493864
ALCD2if_pos	5.64484891597761
ALCD2yf_pos	5.646238382055957
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.9223752042395
ALDD2x_pos	6772.944541148986
ALDD2xm_pos	8977.684296195588
ALDD2y_pos	6616.1370354199025
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53095.58804765353
ALDSTRNtm_neg	53095.58804765352
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3327.5182724055194
ALOX5_pos	95.28696822417079
ALR2_pos	834.5205804493864
ALR3_pos	834.5205804493864
AMACR2p_pos	18207.9234784856
AMACR2r_pos	0.0
AMACRp_pos	58353.809805909754
AMACRr_pos	0.0
AMANK_pos	8275.198589833202
AMCOXO_pos	47.04446008885397
AMETr_neg	0.0
AMETr_pos	5712.260952837661
AMETt2m_neg	2142.5649598470645
AMETt2m_pos	2142.5649598470645
AMETtd_neg	2142.5649598470645
AMETtd_pos	2142.5649598470645
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6502.030652258753
AMPTASECG_pos	6766.705550647296
AMPTASECGe_pos	8013.9230825567565
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.454113110620554
AMY2e_pos	13.454113110620554
ANDRSTRNGLCte_pos	69043.99766753336
ANDRSTRNGLCtr_neg	69043.99766753332
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55580.06726373636
ANDRSTRNte_pos	17.71493334767667
ANDRSTRNtr_neg	17.714933347676673
ANDRSTRNtr_pos	55580.067263736375
ANTHte_neg	10.876314670859614
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.905896956454486
AOBUTDsm_pos	12144.033864936524
AP4AH1_pos	0.0
APAT2rm_neg	13502.640055638432
APAT2rm_pos	10800.3286665204
APNNOXte_neg	7.542103324167914
APNNOXte_pos	0.0
APOCF_pos	5459.732080359064
APOCFm_pos	5914.63857448186
APOC_LYS_BTNP_pos	5459.732080359064
APOC_LYS_BTNPm_pos	5914.63857448186
APPNNte_neg	0.0
APPNNte_pos	7.542103324167914
APRGSTRNte_neg	61438.04873712027
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.3700197578511135
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.370019757851113
ARACHCOAtx_neg	25903.103572306165
ARACHCOAtx_pos	11086.954463249262
ARACHCPT1_pos	11804.11815199849
ARACHCPT2_pos	11804.11815199849
ARACHCRNt_pos	11804.11815199849
ARACHDCOAtx_neg	4894.573547479489
ARACHDCOAtx_pos	190.50614382593062
ARACHDt2_neg	352.66094067912576
ARACHDt2_pos	360.5930327588996
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4300.600102119461
ARACHt_neg	1204.0199635263975
ARACHt_pos	1211.9520556061714
ARGATB0tc_pos	1733.518090346403
ARGDCm_pos	23481.936644406393
ARGLYSex_pos	699.0344646953231
ARGN_pos	13676.005234290295
ARGNm_pos	14345.01894128113
ARGSL_neg	0.0
ARGSL_pos	12947.037266921752
ARGSS_pos	12947.037266921741
ARGt4_pos	1510.6751762021865
ARGtiDF_pos	503.1177174255929
ARGtm_neg	1473.9889151278635
ARGtm_pos	1171.9738117209586
ARSA_pos	38130.08028114341
ARTCOAL1_pos	4876.615773802625
ARTCOAL2_pos	4876.615773802625
ARTCOAL3_pos	4876.615773802625
ASAH1_pos	38051.57429108143
ASCBOX_pos	8744.049770093436
ASCBSVCTtc_pos	3187.9275670644415
ASCBt4_neg	427.323579368939
ASCBt4_pos	1239.6404377823496
ASCBt_neg	1239.6404377823496
ASCBt_pos	1247.5725298621235
ASNALANaEx_pos	854.2603796989152
ASNATB0tc_pos	1391.4032863545103
ASNCYSNaEx_pos	1017.6220043749511
ASNGLNNaEx_pos	854.2603796989152
ASNNm_pos	8448.229805819912
ASNPHELAT2tc_pos	533.7231355036131
ASNS1_pos	7134.115294654462
ASNSERNaEx_pos	1013.5861160882067
ASNTHRNaEx_pos	1050.3392903748227
ASNt4_pos	346.35084011461555
ASNtN1_neg	346.35084011461555
ASNtN1_pos	621.3325927877559
ASNtm_pos	8448.229805819912
ASP1DC_pos	9167.086229730257
ASPCTr_neg	0.0
ASPCTr_pos	18650.817994675774
ASPDTDe_neg	11.422628048976655
ASPDTDe_pos	2098.4033483293006
ASPDt6_pos	2098.4033483293006
ASPDxt_neg	11.2228121294198
ASPDxt_pos	0.0
ASPGLUm_pos	2470.7122172661548
ASPNATm_pos	7354.260399060039
ASPPROASCT1_pos	1615.3884625186756
ASPTA_neg	7141.829817622296
ASPTA_pos	2470.712217266155
ASPTAm_neg	2470.7122172661548
ASPTAm_pos	8987.86533283131
ASPt6_pos	2098.4033483293006
ASPte_pos	1198.8915382363318
ATP1ter_neg	0.0
ATP1ter_pos	7086.010277578829
ATP2ter_neg	4537.095263987527
ATP2ter_pos	4537.095263987527
ATPH1e_pos	13800.262722005662
ATPH2e_pos	3.0235813631795416
ATPS4m_pos	1572.918118473566
ATPasel_pos	23782.48522210289
ATPtm_pos	646.6653523547311
ATPtn_neg	0.0
ATPtn_pos	9694.365604454326
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4122.5369466809525
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17418.75410660132
Asn_X_Ser_Thrtr_neg	17106.708598869078
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11214.085129841424
B3GALT41g_pos	12376.508738506196
B3GALT42g_pos	12557.07279773295
B3GALT43g_pos	12743.227594656386
B3GALT44g_pos	13002.408707778239
B3GALT5g_pos	10372.85236058546
B3GALTg_pos	11525.485518042022
B3GNT11g_pos	9718.993346622223
B3GNT12g_pos	8838.122600051121
B3GNT310g_pos	11454.891242304038
B3GNT311g_pos	9463.737267052486
B3GNT312g_pos	9718.993346622223
B3GNT313g_pos	8865.57194149791
B3GNT314g_pos	8241.905537451294
B3GNT315g_pos	8838.122600051121
B3GNT31g_pos	9599.085583846389
B3GNT32g_pos	9599.085583846389
B3GNT33g_pos	9599.085583846389
B3GNT34g_pos	9394.86845256668
B3GNT35g_pos	9394.86845256668
B3GNT36g_pos	913.1660720862579
B3GNT37g_pos	12278.664335295472
B3GNT39g_pos	28944.38230984891
B3GNT51g_pos	11454.891242304036
BAAT1x_pos	4024.0645454213263
BAAT2x_pos	3236.181428825337
BAAT3x_pos	18207.9234784856
BAAT4x_pos	4024.0645454213263
BACCL_pos	5459.732080359064
BACCLm_pos	5914.63857448186
BALABETAtc_pos	1525.444596638203
BALAPAT1tc_pos	1471.2145609722943
BALAVECSEC_pos	4133.943461146638
BALAtmr_neg	13502.640055638436
