	WT-e_S150_L007_R1_001
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12717.453739322467
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12717.453739322467
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11462.761972912456
ACNACNGALGBSIDEtg_neg	11462.761972912458
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8784.07013040307
ACNAM9PL_pos	8482.46934518677
ACNAMPH_pos	8482.46934518677
ACNAMlt_neg	18144.145604852187
ACNAMlt_pos	0.0
ACNAMtn_pos	8818.267357926126
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10404.169520942372
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10404.169520942372
ACNMLr_neg	19001.901563657975
ACNMLr_pos	8482.469345186772
ACOAD10m_pos	324.2061577484507
ACOAD1fm_pos	18725.754441902853
ACOAD8m_pos	329.75509759916633
ACOAD9m_pos	12134.740391556272
ACOAHi_pos	3336.092013804351
ACOAO7p_pos	18274.032623927706
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1199.558082714117
ACONT_pos	1199.558082714117
ACONTm_neg	351.83221462342976
ACONTm_pos	351.83221462342976
ACOX22x_pos	69070.17414763293
ACOX2x_pos	59300.40335932343
ACP1_FMN__pos	3464.120194571798
ACRNtm_pos	2656.9668318665713
ACS2_pos	3304.5954852287496
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3336.092013804351
ACSm_pos	4430.193962624736
ACTLMO_pos	5544.712688026277
ACTNMO_pos	14544.677145974938
ACYP_pos	3283.6737014568876
ACt2m_neg	4369.737575365702
ACt2m_pos	4887.544227888189
ACt2r_neg	1284.2610432571626
ACt2r_pos	1284.2610432571626
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7600.978356136419
ADAe_pos	7765.745017651805
ADCim_pos	10825.853085364519
ADEt_neg	6200.260989098457
ADEt_pos	31039.709736431374
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1081.3887566725882
ADK1_pos	1081.3887566725882
ADK1m_neg	390.4020690698254
ADK1m_pos	390.4020690698254
ADK3_neg	1081.3887566725882
ADK3_pos	1081.3887566725882
ADK3m_neg	390.4020690698254
ADK3m_pos	390.4020690698254
ADKd_neg	1079.1318382749573
ADKd_pos	1079.1318382749573
ADMDC_pos	15412.631182559993
ADNCYC_pos	3399.3417867457397
ADNK1_pos	3373.547378878484
ADNK1m_pos	2415.06991963736
ADNK3_pos	4268.4107293030975
ADNK4_pos	4268.410729303097
ADNt4_pos	893.061340984899
ADNt5le_pos	1407.4837109154848
ADNt_neg	893.061340984899
ADNt_pos	1180.0890977453666
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5885.876070119868
ADNtm_pos	8717.691003272175
ADPACDAc_pos	7986.79987268244
ADPACTD_neg	0.0
ADPACTD_pos	7986.79987268244
ADPCOACROT_neg	7986.799872682439
ADPCOACROT_pos	62570.450492719654
ADPCOAPTE_pos	7986.799872682439
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8036.619345025942
ADPRDPm_pos	0.0
ADPRIBt_pos	18.31599489158918
ADPT_pos	3942.005302423039
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.535394888666813
ADRNCOAtx_pos	15467.3530429792
ADRNCPT1_pos	335.3138900395258
ADRNCPT2_pos	335.3138900395258
ADRNCRNt_pos	335.3138900395258
ADRNLPVESSEC_pos	37351.25295374297
ADRNt_neg	1205.8598983145037
ADRNt_pos	1208.4573399119845
ADSELK_pos	0.0
ADSK_pos	3401.6660338504407
ADSL1_pos	9047.20969341549
ADSL2_pos	20718.067548696046
ADSS_pos	9047.20969341549
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.5534454904408594
AG13T10g_pos	11008.130713436087
AG13T11g_pos	11008.130713436087
AG13T12g_pos	11008.130713436087
AG13T13g_pos	11008.130713436087
AG13T14g_pos	11008.130713436087
AG13T15g_pos	11008.130713436087
AG13T16g_pos	7622.159179677292
AG13T17g_pos	7622.159179677292
AG13T18g_pos	7622.159179677292
AG13T1g_pos	7651.315423611299
AG13T2g_pos	7651.315423611299
AG13T3g_pos	7651.315423611299
AG13T4g_pos	11008.130713436087
AG13T5g_pos	11008.130713436087
AG13T6g_pos	11008.130713436087
AG13T7g_pos	11008.130713436087
AG13T8g_pos	11008.130713436087
AG13T9g_pos	11008.130713436087
AGDC_pos	3564.3771448076027
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23874.242433381576
AGPAT1_pos	10433.70208874074
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8783.717425557206
AGTix_pos	12620.910043929945
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2163.0724595840047
AHCYStd_pos	2163.0724595840047
AHCYSte_neg	27285.497594525128
AHCYSte_pos	11406.73996939516
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5785.373045874837
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10082.887040713063
AHEXASE2ly_pos	17425.97314129364
AHEXASEly_pos	17907.390204951058
AICART_neg	13153.822019563888
AICART_pos	11508.225304634487
AICARte_neg	12776.1336100819
AICARte_pos	11508.225304634489
AIRCr_neg	0.0
AIRCr_pos	20718.067548696064
AK2LGCHOLt_neg	6.925005261540188
AK2LGCHOLt_pos	6650.490200295458
AKGDm_pos	10652.56343694712
AKGMALtm_neg	579.9558503742894
AKGMALtm_pos	433.5968985618173
AKGt4_3_neg	795.9155414646318
AKGt4_3_pos	938.9316433840879
AKGtp_neg	0.0
AKGtp_pos	47.536576129923226
AKR1C1_pos	62129.235912919685
AKR1C41_pos	2104.695480201297
AKR1C42_pos	2104.695480201297
AKR1D2_pos	65478.711720202875
AKR1D_pos	11190.545278794265
ALA-DTDe_pos	1371.7188761854472
ALAALACNc_neg	0.0
ALAALACNc_pos	7480.729252719462
ALAALAPEPT1tc_pos	7480.729252719465
ALAASNNaEx_pos	734.3399761531205
ALAATB0tc_pos	1325.1311588210365
ALACYSNaEx_pos	783.108090905858
ALADGLNexR_neg	684.3392839972654
ALADGLNexR_pos	636.002371710665
ALADGLYexR_neg	624.1435976002863
ALADGLYexR_pos	540.9680738925158
ALAGLNNaEx_pos	734.3399761531205
ALAGLNexR_neg	377.8535830559
ALAGLNexR_pos	377.8535830559
ALAGLYexR_neg	595.3543724936012
ALAGLYexR_pos	445.9337760743666
ALAR_neg	2.429364985720633
ALAR_pos	3791.9082397600296
ALASERNaEx_pos	729.8732660169277
ALASm_pos	361.48929409880856
ALATA_L_neg	4337.961289187452
ALATA_L_pos	3746.5035306317222
ALATHRNaEx_pos	782.8042107166046
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	503.14727794434555
ALAt2r_pos	624.1435976002863
ALAt4_pos	253.1847304949686
ALAtN1_neg	377.8535830559
ALAtN1_pos	377.8535830559
ALAyLATthc_pos	503.14727794434555
ALCD1_neg	6719.596731497977
ALCD1_pos	13.469971863186831
ALCD21_D_pos	424.44614594051285
ALCD21_L_pos	908.8272953583537
ALCD22_D_pos	306.8452681719263
ALCD22_L_pos	908.8272953583537
ALCD2if_pos	5.68503288816767
ALCD2yf_pos	5.693473197086435
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.536576129923226
ALDD2x_pos	7050.272314046563
ALDD2xm_pos	9181.908210858282
ALDD2y_pos	6885.849354378616
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53692.29607666448
ALDSTRNtm_neg	53692.29607666447
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3384.308811430174
ALOX5_pos	97.81663137033641
ALR2_pos	908.8272953583537
ALR3_pos	908.8272953583537
AMACR2p_pos	18593.343653268636
AMACR2r_pos	0.0
AMACRp_pos	59300.40335932343
AMACRr_pos	0.0
AMANK_pos	8482.46934518677
AMCOXO_pos	47.652363767548934
AMETr_neg	0.0
AMETr_pos	5785.373045874837
AMETt2m_neg	2163.0724595840047
AMETt2m_pos	2163.0724595840047
AMETtd_neg	2163.0724595840047
AMETtd_pos	2163.0724595840047
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6750.03944010009
AMPTASECG_pos	7080.7526551342535
AMPTASECGe_pos	8312.951301962614
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.452634920382216
AMY2e_pos	13.452634920382216
ANDRSTRNGLCte_pos	70190.63595526338
ANDRSTRNGLCtr_neg	70190.63595526335
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56489.61194943259
ANDRSTRNte_pos	17.981771841148813
ANDRSTRNtr_neg	17.981771841148813
ANDRSTRNtr_pos	56489.61194943258
ANTHte_neg	10.964762911165359
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.917878251380482
AOBUTDsm_pos	12345.157121441354
AP4AH1_pos	0.0
APAT2rm_neg	13696.74363883614
APAT2rm_pos	10966.448750992336
APNNOXte_neg	7.55344549044086
APNNOXte_pos	0.0
APOCF_pos	5783.6509630101555
APOCFm_pos	6188.241290858018
APOC_LYS_BTNP_pos	5783.6509630101555
APOC_LYS_BTNPm_pos	6188.241290858018
APPNNte_neg	0.0
APPNNte_pos	7.55344549044086
APRGSTRNte_neg	62129.235912919714
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.420260211867185
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.420260211867185
ARACHCOAtx_neg	26843.32953000793
ARACHCOAtx_pos	11569.556915432628
ARACHCPT1_pos	12067.890051919696
ARACHCPT2_pos	12067.890051919696
ARACHCRNt_pos	12067.890051919696
ARACHDCOAtx_neg	5009.2190934739765
ARACHDCOAtx_pos	195.92364442871
ARACHDt2_neg	368.84252780096347
ARACHDt2_pos	371.4399693984442
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4411.087060867845
ARACHt_neg	1220.0310544111821
ARACHt_pos	1222.628496008663
ARGATB0tc_pos	1777.4755649948133
ARGDCm_pos	23874.242433381576
ARGLYSex_pos	693.54356172708
ARGN_pos	14013.907707803679
ARGNm_pos	14627.565218411875
ARGSL_neg	0.0
ARGSL_pos	13167.300063995266
ARGSS_pos	13167.300063995268
ARGt4_pos	1525.3507585701636
ARGtiDF_pos	503.14727794434555
ARGtm_neg	1490.4590284191388
ARGtm_pos	1182.4520964560984
ARSA_pos	39014.61184163951
ARTCOAL1_pos	4975.637219472851
ARTCOAL2_pos	4975.637219472851
ARTCOAL3_pos	4975.637219472851
ASAH1_pos	38711.62346019016
ASCBOX_pos	9105.168013091938
ASCBSVCTtc_pos	3328.9754640510796
ASCBt4_neg	474.2843408487789
ASCBt4_pos	1270.0198924883105
ASCBt_neg	1270.0198924883105
ASCBt_pos	1272.6173340857913
ASNALANaEx_pos	734.3399761531205
ASNATB0tc_pos	1434.096153708075
ASNCYSNaEx_pos	893.6122282596486
ASNGLNNaEx_pos	734.3399761531205
ASNNm_pos	8722.339801278335
ASNPHELAT2tc_pos	535.3561639870148
ASNS1_pos	7311.571460703571
ASNSERNaEx_pos	896.312662881388
ASNTHRNaEx_pos	924.4085717894188
ASNt4_pos	349.75767414786907
ASNtN1_neg	349.75767414786907
ASNtN1_pos	626.2756386100481
ASNtm_pos	8722.339801278335
ASP1DC_pos	9266.837936941838
ASPCTr_neg	0.0
ASPCTr_pos	18919.822312579992
ASPDTDe_neg	11.60682527710172
ASPDTDe_pos	2165.094705376143
ASPDt6_pos	2165.094705376143
ASPDxt_neg	11.39066496293764
ASPDxt_pos	0.0
ASPGLUm_pos	2583.230198359153
ASPNATm_pos	7671.764277466629
ASPPROASCT1_pos	1800.9697558683229
ASPTA_neg	7256.794312788607
ASPTA_pos	2583.230198359153
ASPTAm_neg	2583.2301983591524
ASPTAm_pos	9188.1099318924
ASPt6_pos	2165.094705376143
ASPte_pos	1215.1120747312016
ATP1ter_neg	0.0
ATP1ter_pos	7228.31395572735
ATP2ter_neg	4717.321461304282
ATP2ter_pos	4717.321461304282
ATPH1e_pos	14450.20697372687
ATPH2e_pos	3.076058624512805
ATPS4m_pos	1645.0435567146699
ATPasel_pos	24291.8364453757
ATPtm_pos	612.2008923519122
ATPtn_neg	0.0
ATPtn_pos	9814.093786470006
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4233.480768070716
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17710.11291598411
Asn_X_Ser_Thrtr_neg	17390.11229970492
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11569.350142411766
B3GALT41g_pos	12762.308639869647
B3GALT42g_pos	12936.836942139835
B3GALT43g_pos	13117.221863791683
B3GALT44g_pos	13387.496996651293
B3GALT5g_pos	10653.895797909847
B3GALTg_pos	11866.158095332392
B3GNT11g_pos	10003.81898255271
B3GNT12g_pos	9084.779545406725
B3GNT310g_pos	11801.471163899647
B3GNT311g_pos	9739.113299340272
B3GNT312g_pos	10003.81898255271
B3GNT313g_pos	9121.346972782965
B3GNT314g_pos	8483.248308140037
B3GNT315g_pos	9084.779545406725
B3GNT31g_pos	9934.692100271783
B3GNT32g_pos	9934.692100271783
B3GNT33g_pos	9934.692100271783
B3GNT34g_pos	9663.209491569261
B3GNT35g_pos	9663.209491569261
B3GNT36g_pos	928.5915087108922
B3GNT37g_pos	12680.21800944061
B3GNT39g_pos	29644.28803533067
B3GNT51g_pos	11801.471163899645
BAAT1x_pos	4021.7368341010747
BAAT2x_pos	3258.563961705878
BAAT3x_pos	18593.343653268636
BAAT4x_pos	4021.7368341010747
BACCL_pos	5783.6509630101555
BACCLm_pos	6188.241290858018
BALABETAtc_pos	1593.509454903113
BALAPAT1tc_pos	1493.722079349292
BALAVECSEC_pos	4260.509009484196
BALAtmr_neg	13696.743638836137
BALAtmr_pos	10966.448750992335
