	WT.e_S150_L007_R1_001	Ob.911.e_S155_L007_R1_001	WT.a_S116_L007_R1_001	Ob.911.d_S148_L007_R1_001
RE3326M_neg	6.119148639811254	6.70265754339091	6.183288001209558	6.568944144654707
RE3334M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3334X_pos	9.297512428194391	10.031701202740303	9.246621853273858	10.001126665454285
RE3335C_pos	0.0	0.0	0.0	0.0
RE3335C_neg	0.0	0.0	0.0	0.0
RE3335M_pos	8.785714009556687	9.531010991254346	8.944331391129841	9.49874950059569
RE3335M_neg	8.785714009556687	9.531010991254346	8.944331391129841	9.49874950059569
RE3335R_pos	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3335R_neg	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3335X_pos	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3335X_neg	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3336M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3336M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3336X_pos	0.0	0.0	0.0	0.0
RE3336X_neg	0.0	0.0	0.0	0.0
RE3337M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3337M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3337X_pos	6.2454576326096705	8.188489942914352	6.429281193335658	8.143995368466339
RE3337X_neg	6.2454576326096705	8.188489942914352	6.429281193335658	8.143995368466339
RE3338C_pos	7.30213623462205	7.696202521253611	7.251908410241674	7.9121109090198605
RE3338C_neg	7.30213623462205	7.696202521253611	7.251908410241674	7.9121109090198605
RE3338M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3338M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3338X_pos	7.800770504427964	9.2272308524798	7.895666157946264	9.19490456307629
RE3338X_neg	7.800770504427964	9.2272308524798	7.895666157946264	9.19490456307629
RE3339C_pos	7.5687161887317265	7.542567607764219	7.641835001555368	7.096873249392084
RE3339C_neg	7.5687161887317265	7.542567607764219	7.641835001555368	7.096873249392084
RE3339M_pos	2.111031312388744	5.324090516037983	1.8237493603082728	4.734438666137167
RE3339M_neg	2.111031312388744	5.324090516037983	1.8237493603082728	4.734438666137167
RE3339X_pos	7.686360452903688	7.72430920101082	7.788555214928864	7.301313274348237
RE3339X_neg	7.686360452903688	7.72430920101082	7.788555214928864	7.301313274348237
RE3340C_pos	7.30213623462205	7.696202521253611	7.251908410241674	7.9121109090198605
RE3340C_neg	7.30213623462205	7.696202521253611	7.251908410241674	7.9121109090198605
RE3340M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3340M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3340X_pos	7.800770504427964	9.2272308524798	7.895666157946264	9.19490456307629
RE3340X_neg	7.800770504427964	9.2272308524798	7.895666157946264	9.19490456307629
RE3341M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3341X_pos	9.297512428194391	10.031701202740303	9.246621853273858	10.001126665454285
RE3342M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3342M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3342X_pos	0.0	0.0	0.0	0.0
RE3342X_neg	0.0	0.0	0.0	0.0
RE3343C_pos	7.5687161887317265	7.542567607764219	7.641835001555368	7.096873249392084
RE3343C_neg	7.5687161887317265	7.542567607764219	7.641835001555368	7.096873249392084
RE3343M_pos	2.111031312388744	5.324090516037983	1.8237493603082728	4.734438666137167
RE3343M_neg	2.111031312388744	5.324090516037983	1.8237493603082728	4.734438666137167
RE3343X_pos	7.686360452903688	7.72430920101082	7.788555214928864	7.301313274348237
RE3343X_neg	7.686360452903688	7.72430920101082	7.788555214928864	7.301313274348237
RE3344M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3344M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3344X_pos	6.2454576326096705	8.188489942914352	6.429281193335658	8.143995368466339
RE3344X_neg	6.2454576326096705	8.188489942914352	6.429281193335658	8.143995368466339
RE3345C_pos	0.0	0.0	0.0	0.0
RE3345C_neg	0.0	0.0	0.0	0.0
RE3345M_pos	8.785714009556687	9.531010991254346	8.944331391129841	9.49874950059569
RE3345M_neg	8.785714009556687	9.531010991254346	8.944331391129841	9.49874950059569
RE3345R_pos	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3345R_neg	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3345X_pos	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3345X_neg	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3346C_pos	6.864928972289788	7.720278465233327	6.845113646617966	7.339939055385557
RE3346C_neg	6.864928972289788	7.720278465233327	6.845113646617966	7.339939055385557
RE3346M_pos	10.220354141490132	10.780285489543074	10.366376860750279	10.537713453189772
RE3346R_pos	5.952333566369686	8.580861527586254	6.25304379464515	8.367676837060959
RE3346R_neg	5.952333566369686	8.580861527586254	6.25304379464515	8.367676837060959
RE3347C_pos	0.0	0.0	0.0	0.0
RE3347C_neg	0.0	0.0	0.0	0.0
RE3352C_pos	0.0	0.0	0.0	0.0
RE3352C_neg	0.0	0.0	0.0	0.0
RE3367C_pos	0.070389327891398	0.3895668117627256	0.21412480535284734	0.0
RE3367E_pos	0.0	0.13750352374993502	0.0	0.0
RE3367X_pos	0.0	0.13750352374993502	0.0	0.0
RE3370C_pos	0.0	0.0	0.0	0.0
RE3370R_pos	0.0	0.0	0.0	0.0
RE3372C_pos	0.0	0.0	0.0	0.0
RE3372C_neg	0.0	0.0	0.0	0.0
RE3381C_pos	0.0	0.0	0.0	0.0
RE3381C_neg	0.0	0.0	0.0	0.0
RE3381E_pos	0.0	0.0	0.0	0.0
RE3381E_neg	0.0	0.0	0.0	0.0
RE3381L_pos	3.507160349117523	5.142413437873741	3.782408564927373	4.428276414392509
RE3381L_neg	3.507160349117523	5.142413437873741	3.782408564927373	4.428276414392509
RE3383M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3383M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3384M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3384M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3385M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3386M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3386M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3387M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3387M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3388M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3388M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3389M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3390M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3390M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3391M_pos	0.0	0.0	0.0	0.0
RE3391M_neg	0.0	0.0	0.0	0.0
RE3392M_pos	0.0	0.0	0.0	0.0
RE3392M_neg	0.0	0.0	0.0	0.0
RE3393M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3393M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3394M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3394M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3395M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3396M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3396M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3397M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3398M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3398M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3399M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3399M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3400M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3400M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3401M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3401M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3402M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3402M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3403M_pos	0.0	0.0	0.0	0.0
RE3403M_neg	0.0	0.0	0.0	0.0
RE3404M_pos	0.0	0.0	0.0	0.0
RE3404M_neg	0.0	0.0	0.0	0.0
RE3407C_pos	0.0	0.0	0.0	0.0
RE3408C_pos	0.0	0.0	0.0	0.0
RE3408C_neg	0.0	0.0	0.0	0.0
RE3409C_pos	0.0	0.0	0.0	0.0
RE3411C_pos	0.0	0.0	0.0	0.0
RE3411C_neg	0.0	0.0	0.0	0.0
RE3412C_pos	0.0	0.0	0.0	0.0
RE3413C_pos	0.0	0.0	0.0	0.0
RE3413C_neg	0.0	0.0	0.0	0.0
RE3414C_pos	0.0	0.0	0.0	0.0
RE3414C_neg	0.0	0.0	0.0	0.0
RE3415C_pos	0.0	0.0	0.0	0.0
RE3415C_neg	0.0	0.0	0.0	0.0
RE3417C_pos	0.0	0.0	0.0	0.0
RE3417C_neg	0.0	0.0	0.0	0.0
RE3420C_pos	0.0	0.0	0.0	0.0
RE3420C_neg	0.0	0.0	0.0	0.0
RE3421M_pos	0.0	0.0	0.0	0.0
RE3421M_neg	0.0	0.0	0.0	0.0
RE3421R_pos	0.0	0.0	0.0	0.0
RE3421R_neg	0.0	0.0	0.0	0.0
RE3422C_pos	0.0	0.0	0.0	0.0
RE3422C_neg	0.0	0.0	0.0	0.0
RE3423C_pos	0.0	0.0	0.0	0.0
RE3423C_neg	0.0	0.0	0.0	0.0
RE3430C_pos	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
RE3430C_neg	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
RE3430M_pos	0.0	0.0	0.0	0.0
RE3430M_neg	0.0	0.0	0.0	0.0
RE3430X_pos	0.0	0.0	0.0	0.0
RE3430X_neg	0.0	0.0	0.0	0.0
RE3431C_pos	0.0	0.0	0.0	0.0
RE3431C_neg	0.0	0.0	0.0	0.0
RE3432C_pos	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
RE3432C_neg	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
RE3432M_pos	0.0	0.0	0.0	0.0
RE3432M_neg	0.0	0.0	0.0	0.0
RE3432X_pos	0.0	0.0	0.0	0.0
RE3432X_neg	0.0	0.0	0.0	0.0
RE3434C_pos	0.0	0.0	0.0	0.0
RE3434R_pos	0.0	0.0	0.0	0.0
RE3435C_pos	0.0	0.0	0.0	0.0
RE3435R_pos	0.0	0.0	0.0	0.0
RE3436C_pos	0.0	0.0	0.0	0.0
RE3436R_pos	0.0	0.0	0.0	0.0
RE3437C_pos	0.0	0.0	0.0	0.0
RE3437C_neg	0.0	0.0	0.0	0.0
RE3440C_pos	0.0	0.0	0.0	0.0
RE3440R_pos	0.0	0.0	0.0	0.0
RE3443M_pos	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3443M_neg	7.4871164955744565	8.59898297103609	7.672071696905161	8.420844478917845
RE3443X_pos	0.0	0.0	0.0	0.0
RE3443X_neg	0.0	0.0	0.0	0.0
RE3444C_pos	7.5687161887317265	7.542567607764219	7.641835001555368	7.096873249392084
RE3444C_neg	7.5687161887317265	7.542567607764219	7.641835001555368	7.096873249392084
RE3444M_pos	2.111031312388744	5.324090516037983	1.8237493603082728	4.734438666137167
RE3444M_neg	2.111031312388744	5.324090516037983	1.8237493603082728	4.734438666137167
RE3444X_pos	7.686360452903688	7.72430920101082	7.788555214928864	7.301313274348237
RE3444X_neg	7.686360452903688	7.72430920101082	7.788555214928864	7.301313274348237
RE3445M_pos	9.012121672712217	9.8106198308751	8.961015518227725	9.837564863157148
RE3445X_pos	9.297512428194391	10.031701202740303	9.246621853273858	10.001126665454285
RE3446C_pos	0.0	0.0	0.0	0.0
RE3446C_neg	0.0	0.0	0.0	0.0
RE3446M_pos	8.785714009556687	9.531010991254346	8.944331391129841	9.49874950059569
RE3446M_neg	8.785714009556687	9.531010991254346	8.944331391129841	9.49874950059569
RE3446R_pos	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3446R_neg	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3446X_pos	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3446X_neg	10.282416637184173	10.516931121998697	10.187215963474381	10.393937397971742
RE3447M_pos	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3447M_neg	8.718806833684209	9.886016597796333	8.907611762852172	9.636479618780534
RE3447X_pos	6.2454576326096705	8.188489942914352	6.429281193335658	8.143995368466339
RE3447X_neg	6.2454576326096705	8.188489942914352	6.429281193335658	8.143995368466339
RE3448C_pos	7.30213623462205	7.696202521253611	7.251908410241674	7.9121109090198605
RE3448C_neg	7.30213623462205	7.696202521253611	7.251908410241674	7.9121109090198605
RE3448M_pos	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3448M_neg	8.998759650910369	10.189738093401264	9.160022660489615	10.216006135834345
RE3448X_pos	7.800770504427964	9.2272308524798	7.895666157946264	9.19490456307629
RE3448X_neg	7.800770504427964	9.2272308524798	7.895666157946264	9.19490456307629
RE3449C_pos	0.0	0.0	0.0	0.0
RE3449C_neg	0.0	0.0	0.0	0.0
RE3451C_pos	0.0	0.0	0.0	0.0
RE3452C_pos	0.0	0.0	0.0	0.0
RE3452C_neg	0.0	0.0	0.0	0.0
RE3453C_pos	0.0	0.0	0.0	0.0
RE3453C_neg	0.0	0.0	0.0	0.0
RE3454C_pos	0.0	0.0	0.0	0.0
RE3455C_pos	0.0	0.0	0.0	0.0
RE3457C_pos	0.0	0.0	0.0	0.0
RE3458C_pos	0.0	0.0	0.0	0.0
RE3458C_neg	0.0	0.0	0.0	0.0
RE3459C_pos	0.0	0.0	0.0	0.0
RE3459C_neg	0.0	0.0	0.0	0.0
RE3460C_pos	0.0	0.0	0.0	0.0
RE3464C_pos	0.0	0.0	0.0	0.0
RE3464R_pos	0.0	0.0	0.0	0.0
RE3469C_pos	0.0	0.0	0.0	0.0
RE3469C_neg	0.0	0.0	0.0	0.0
RE3470C_pos	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
RE3470C_neg	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
RE3470M_pos	0.0	0.0	0.0	0.0
RE3470M_neg	0.0	0.0	0.0	0.0
RE3470X_pos	0.0	0.0	0.0	0.0
RE3470X_neg	0.0	0.0	0.0	0.0
RE3474C_pos	0.0	0.0	0.0	0.0
RE3474R_pos	0.0	0.0	0.0	0.0
RE3475C_pos	0.0	0.0	0.0	0.0
RE3475N_pos	0.11103131238874395	0.23878685958711648	0.0	0.21412480535284734
RE3476C_pos	6.0855521272092945	7.798244969900805	6.394376944957055	8.013015535839257
