	Ob-c_S136_L007_R1_001
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12200.57022043174
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12200.570220431744
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11067.167131878523
ACNACNGALGBSIDEtg_neg	11067.167131878525
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8469.417483376705
ACNAM9PL_pos	8222.361889118847
ACNAMPH_pos	8222.361889118847
ACNAMlt_neg	17674.631529304927
ACNAMlt_pos	0.0
ACNAMtn_pos	8753.710916839587
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9994.636890406238
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9994.636890406235
ACNMLr_neg	18259.294689377202
ACNMLr_pos	8222.361889118847
ACOAD10m_pos	278.236883944216
ACOAD1fm_pos	18081.21946319862
ACOAD8m_pos	305.33302720609504
ACOAD9m_pos	11795.449570968476
ACOAHi_pos	3190.9918757148957
ACOAO7p_pos	17485.2120818165
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1169.099256773724
ACONT_pos	1169.099256773724
ACONTm_neg	308.2515598870606
ACONTm_pos	308.2515598870606
ACOX22x_pos	68117.81888476945
ACOX2x_pos	58035.91350766091
ACP1_FMN__pos	3287.8124487925143
ACRNtm_pos	2261.145221119984
ACS2_pos	3180.4088072057457
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3190.9918757148953
ACSm_pos	4386.251256318202
ACTLMO_pos	5460.710299690756
ACTNMO_pos	14148.661721863196
ACYP_pos	3151.4180692052064
ACt2m_neg	4086.989394543449
ACt2m_pos	4814.827241150802
ACt2r_neg	1209.4911923226716
ACt2r_pos	1209.4911923226716
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7503.3774631551605
ADAe_pos	7684.032576339129
ADCim_pos	10489.967836688487
ADEt_neg	6003.62689693965
ADEt_pos	30044.735231435072
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	902.5903377614806
ADK1_pos	902.5903377614806
ADK1m_neg	406.95651651546575
ADK1m_pos	406.95651651546575
ADK3_neg	902.5903377614806
ADK3_pos	902.5903377614806
ADK3m_neg	406.95651651546575
ADK3m_pos	406.95651651546575
ADKd_neg	899.8661406270012
ADKd_pos	899.8661406270012
ADMDC_pos	15032.422495130575
ADNCYC_pos	3229.3785472998384
ADNK1_pos	3250.587235989492
ADNK1m_pos	2376.4367184196035
ADNK3_pos	4151.672162844416
ADNK4_pos	4151.672162844414
ADNt4_pos	704.9135167226889
ADNt5le_pos	1367.5016878271022
ADNt_neg	704.9135167226889
ADNt_pos	1203.7175110403368
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5702.068167744158
ADNtm_pos	8151.223794443863
ADPACDAc_pos	7702.9730529992485
ADPACTD_neg	0.0
ADPACTD_pos	7702.973052999249
ADPCOACROT_neg	7702.973052999249
ADPCOACROT_pos	60967.26789496114
ADPCOAPTE_pos	7702.973052999249
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7915.0475292164165
ADPRDPm_pos	0.0
ADPRIBt_pos	17.529204405706786
ADPT_pos	3751.579063941366
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	9.946511484559053
ADRNCOAtx_pos	14809.147245695109
ADRNCPT1_pos	322.2371487417141
ADRNCPT2_pos	322.2371487417141
ADRNCRNt_pos	322.2371487417141
ADRNLPVESSEC_pos	36782.235131289046
ADRNt_neg	1175.6287895277637
ADRNt_pos	1185.1066600366526
ADSELK_pos	0.0
ADSK_pos	3249.3417973348805
ADSL1_pos	8715.121531779301
ADSL2_pos	20114.174390052798
ADSS_pos	8715.121531779301
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.435764868242246
AG13T10g_pos	10636.819827184108
AG13T11g_pos	10636.819827184108
AG13T12g_pos	10636.819827184108
AG13T13g_pos	10636.819827184108
AG13T14g_pos	10636.819827184108
AG13T15g_pos	10636.819827184108
AG13T16g_pos	7413.701469768446
AG13T17g_pos	7413.701469768446
AG13T18g_pos	7413.701469768446
AG13T1g_pos	7437.852339441246
AG13T2g_pos	7437.852339441246
AG13T3g_pos	7437.852339441246
AG13T4g_pos	10636.819827184108
AG13T5g_pos	10636.819827184108
AG13T6g_pos	10636.819827184108
AG13T7g_pos	10636.819827184108
AG13T8g_pos	10636.819827184108
AG13T9g_pos	10636.819827184108
AGDC_pos	3383.9620818171966
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23228.331073568588
AGPAT1_pos	9999.24472045707
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8681.482319945193
AGTix_pos	12225.36324018032
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2105.6016088890965
AHCYStd_pos	2105.6016088890965
AHCYSte_neg	26563.369866684774
AHCYSte_pos	11070.195249838302
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5691.190890372031
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9653.894853996015
AHEXASE2ly_pos	16978.553351854374
AHEXASEly_pos	17447.00241561187
AICART_neg	12836.106923179741
AICART_pos	10929.474470673998
AICARte_neg	12415.922933817717
AICARte_pos	10929.474470673998
AIRCr_neg	0.0
AIRCr_pos	20114.17439005279
AK2LGCHOLt_neg	6.759165533857062
AK2LGCHOLt_pos	6411.844542163626
AKGDm_pos	10540.378252791168
AKGMALtm_neg	435.14398683319126
AKGMALtm_pos	325.1158817981333
AKGt4_3_neg	668.6707349735782
AKGt4_3_pos	776.441364767632
AKGtp_neg	0.0
AKGtp_pos	45.3826461366612
AKR1C1_pos	61168.97552863947
AKR1C41_pos	2088.3780481429967
AKR1C42_pos	2088.3780481429967
AKR1D2_pos	64287.237053566445
AKR1D_pos	11268.103367516453
ALA-DTDe_pos	1326.8408716202846
ALAALACNc_neg	0.0
ALAALACNc_pos	7461.980478216432
ALAALAPEPT1tc_pos	7461.980478216431
ALAASNNaEx_pos	708.43044446194
ALAATB0tc_pos	1292.243193013241
ALACYSNaEx_pos	643.5347841964979
ALADGLNexR_neg	686.6291254050682
ALADGLNexR_pos	603.6774577903637
ALADGLYexR_neg	549.664964689214
ALADGLYexR_pos	519.7298469927221
ALAGLNNaEx_pos	708.43044446194
ALAGLNexR_neg	376.41265717805754
ALAGLNexR_pos	376.41265717805754
ALAGLYexR_neg	549.664964689214
ALAGLYexR_pos	424.28741121923946
ALAR_neg	2.3988699925329753
ALAR_pos	3756.6414097750508
ALASERNaEx_pos	590.0372656521698
ALASm_pos	298.113175607028
ALATA_L_neg	4263.323268974293
ALATA_L_pos	3309.4929750167853
ALATHRNaEx_pos	649.961821817206
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	460.87431483142086
ALAt2r_pos	549.664964689214
ALAt4_pos	230.66558344658773
ALAtN1_neg	376.4126571780575
ALAtN1_pos	376.41265717805754
ALAyLATthc_pos	460.87431483142086
ALCD1_neg	6599.046718380054
ALCD1_pos	13.33849307540804
ALCD21_D_pos	392.100169521116
ALCD21_L_pos	826.6493879059445
ALCD22_D_pos	292.35047592519186
ALCD22_L_pos	826.6493879059445
ALCD2if_pos	5.578619242001933
ALCD2yf_pos	5.582151189802843
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.3826461366612
ALDD2x_pos	6620.95908490021
ALDD2xm_pos	8812.446641923603
ALDD2y_pos	6463.162625995254
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52823.074510620674
ALDSTRNtm_neg	52823.07451062063
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3460.368549292125
ALOX5_pos	95.9028759988714
ALR2_pos	826.6493879059445
ALR3_pos	826.6493879059445
AMACR2p_pos	17939.820958855427
AMACR2r_pos	0.0
AMACRp_pos	58035.91350766091
AMACRr_pos	0.0
AMANK_pos	8222.361889118847
AMCOXO_pos	46.783200193044856
AMETr_neg	0.0
AMETr_pos	5691.190890372031
AMETt2m_neg	2105.6016088890965
AMETt2m_pos	2105.6016088890965
AMETtd_neg	2105.6016088890965
AMETtd_pos	2105.6016088890965
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6418.749214622084
AMPTASECG_pos	6727.763224897228
AMPTASECGe_pos	7881.9670763777285
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.451665471738567
AMY2e_pos	13.451665471738567
ANDRSTRNGLCte_pos	68530.91009161966
ANDRSTRNGLCtr_neg	68530.91009161963
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55362.54563785569
ANDRSTRNte_pos	17.45756918575587
ANDRSTRNtr_neg	17.457569185755876
ANDRSTRNtr_pos	55362.54563785567
ANTHte_neg	10.821277648623832
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.896145171549163
AOBUTDsm_pos	12227.178327163458
AP4AH1_pos	0.0
APAT2rm_neg	13432.380333292735
APAT2rm_pos	10669.213843821768
APNNOXte_neg	7.435764868242246
APNNOXte_pos	0.0
APOCF_pos	5442.952092981967
APOCFm_pos	5885.592757262799
APOC_LYS_BTNP_pos	5442.952092981967
APOC_LYS_BTNPm_pos	5885.592757262799
APPNNte_neg	0.0
APPNNte_pos	7.435764868242246
APRGSTRNte_neg	61168.97552863951
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.330700269735555
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.330700269735555
ARACHCOAtx_neg	25521.25641172655
ARACHCOAtx_pos	10936.992887652821
ARACHCPT1_pos	11586.206300493688
ARACHCPT2_pos	11586.206300493688
ARACHCRNt_pos	11586.206300493688
ARACHDCOAtx_neg	4886.765548187901
ARACHDCOAtx_pos	187.69345312051686
ARACHDt2_neg	336.7202350283016
ARACHDt2_pos	346.19810553719026
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4256.77326357706
ARACHt_neg	1191.020850590884
ARACHt_pos	1200.4987210997729
ARGATB0tc_pos	1662.761870526153
ARGDCm_pos	23228.331073568588
ARGLYSex_pos	652.5769489306986
ARGN_pos	13504.23663615083
ARGNm_pos	14055.431495903464
ARGSL_neg	0.0
ARGSL_pos	12822.800219785318
ARGSS_pos	12822.80021978532
ARGt4_pos	1460.7513905733408
ARGtiDF_pos	460.87431483142086
ARGtm_neg	1474.6840911462593
ARGtm_pos	1175.498908589017
ARSA_pos	37691.354812626785
ARTCOAL1_pos	4849.569206367983
ARTCOAL2_pos	4849.569206367983
ARTCOAL3_pos	4849.569206367983
ASAH1_pos	37699.2499847022
ASCBOX_pos	8584.930746214292
ASCBSVCTtc_pos	3172.213808177836
ASCBt4_neg	409.7931342209906
ASCBt4_pos	1223.9560976561074
ASCBt_neg	1223.9560976561074
ASCBt_pos	1233.4339681649963
ASNALANaEx_pos	708.43044446194
ASNATB0tc_pos	1356.1259344928148
ASNCYSNaEx_pos	868.2954307646983
ASNGLNNaEx_pos	708.43044446194
ASNNm_pos	8295.087001372756
ASNPHELAT2tc_pos	511.48099522871087
ASNS1_pos	7022.012781298089
ASNSERNaEx_pos	849.069091318668
ASNTHRNaEx_pos	899.3153160089055
ASNt4_pos	326.1664324878201
ASNtN1_neg	326.1664324878201
ASNtN1_pos	655.4805569195609
ASNtm_pos	8295.087001372756
ASP1DC_pos	9142.294416286995
ASPCTr_neg	0.0
ASPCTr_pos	18535.915682329847
ASPDTDe_neg	11.361230622502248
ASPDTDe_pos	2002.0271182856586
ASPDt6_pos	2002.0271182856586
ASPDxt_neg	11.08792788870488
ASPDxt_pos	0.0
ASPGLUm_pos	2458.289807052415
ASPNATm_pos	7322.086812020587
ASPPROASCT1_pos	1562.2511311189778
ASPTA_neg	7127.930851796272
ASPTA_pos	2458.289807052415
ASPTAm_neg	2458.2898070524157
ASPTAm_pos	8883.192141030491
ASPt6_pos	2002.0271182856586
ASPte_pos	1188.0853589690128
ATP1ter_neg	0.0
ATP1ter_pos	7072.172454948096
ATP2ter_neg	4481.678485236852
ATP2ter_pos	4481.678485236852
ATPH1e_pos	13548.686879322984
ATPH2e_pos	3.011480080517083
ATPS4m_pos	1558.4404658520318
ATPasel_pos	23477.54520519599
ATPtm_pos	615.1683069859332
ATPtn_neg	0.0
ATPtn_pos	9812.552906931985
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4088.9166492875042
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17252.903135941408
Asn_X_Ser_Thrtr_neg	16944.53520370306
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11125.718145848341
B3GALT41g_pos	12287.50091001327
B3GALT42g_pos	12448.941691247492
B3GALT43g_pos	12616.725852497957
B3GALT44g_pos	12896.352962373907
B3GALT5g_pos	10292.696089407615
B3GALTg_pos	11444.864743838249
B3GNT11g_pos	9644.988830203016
B3GNT12g_pos	8779.28077854345
B3GNT310g_pos	11369.770023194713
B3GNT311g_pos	9400.973664953628
B3GNT312g_pos	9644.988830203016
B3GNT313g_pos	8806.602596497809
B3GNT314g_pos	8185.762116518183
B3GNT315g_pos	8779.28077854345
B3GNT31g_pos	9545.624149381294
B3GNT32g_pos	9545.624149381294
B3GNT33g_pos	9545.624149381294
B3GNT34g_pos	9319.754193917948
B3GNT35g_pos	9319.754193917948
B3GNT36g_pos	900.5758832626184
B3GNT37g_pos	12220.892800235235
B3GNT39g_pos	28711.62397527218
B3GNT51g_pos	11369.770023194716
BAAT1x_pos	4014.253013062993
BAAT2x_pos	3232.2184885908246
BAAT3x_pos	17939.820958855427
BAAT4x_pos	4014.253013062993
BACCL_pos	5442.952092981967
BACCLm_pos	5885.592757262799
BALABETAtc_pos	1511.9708331265126
BALAPAT1tc_pos	1410.7884824179262
BALAVECSEC_pos	4091.734146978351
BALAtmr_neg	13432.380333292731
