	Ob-DHA-c_S138_L007_R1_001
ACONTm_pos	314.09412615778194
ACOX22x_pos	68162.23892777554
ACOX2x_pos	58254.06491505906
ACP1_FMN__pos	3310.2026446360337
ACRNtm_pos	2288.38255400227
ACS2_pos	3178.7515305604015
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3191.186288835152
ACSm_pos	4269.149954681108
ACTLMO_pos	5484.871662060496
ACTNMO_pos	14202.197033108472
ACYP_pos	3151.271819457347
ACt2m_neg	4119.885025433087
ACt2m_pos	4734.7495266305195
ACt2r_neg	1214.5096262629231
ACt2r_pos	1214.5096262629231
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7349.617130516726
ADAe_pos	7513.600792193528
ADCim_pos	10499.622438762342
ADEt_neg	6123.867361737067
ADEt_pos	30561.432908369432
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1161.4825566292484
ADK1_pos	1161.4825566292484
ADK1m_neg	413.1995203706423
ADK1m_pos	413.1995203706423
ADK3_neg	1161.4825566292484
ADK3_pos	1161.4825566292484
ADK3m_neg	413.1995203706423
ADK3m_pos	413.1995203706423
ADKd_neg	1158.604746285623
ADKd_pos	1158.604746285623
ADMDC_pos	15083.623154770623
ADNCYC_pos	3247.391092968135
ADNK1_pos	3249.7016324283873
ADNK1m_pos	2370.5892417539512
ADNK3_pos	4150.932002119242
ADNK4_pos	4150.932002119242
ADNt4_pos	803.991775268667
ADNt5le_pos	1372.5360974081987
ADNt_neg	803.991775268667
ADNt_pos	1198.9051054029844
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5720.405965582736
ADNtm_pos	8280.165941507352
ADPACDAc_pos	7782.334856259108
ADPACTD_neg	0.0
ADPACTD_pos	7782.334856259108
ADPCOACROT_neg	7782.334856259108
ADPCOACROT_pos	61316.45385273707
ADPCOAPTE_pos	7782.334856259108
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7919.075171187014
ADPRDPm_pos	0.0
ADPRIBt_pos	17.44014243971545
ADPT_pos	3769.509397850781
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.017751969432668
ADRNCOAtx_pos	14804.287088449875
ADRNCPT1_pos	325.25520043056895
ADRNCPT2_pos	325.25520043056895
ADRNCRNt_pos	325.25520043056895
ADRNLPVESSEC_pos	36713.149318233736
ADRNt_neg	1183.2076159007122
ADRNt_pos	1192.1333026923662
ADSELK_pos	0.0
ADSK_pos	3264.880728858686
ADSL1_pos	8776.498693423659
ADSL2_pos	20333.53790339987
ADSS_pos	8776.498693423659
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.405421772738609
AG13T10g_pos	10666.701497583383
AG13T11g_pos	10666.701497583383
AG13T12g_pos	10666.701497583383
AG13T13g_pos	10666.701497583383
AG13T14g_pos	10666.701497583383
AG13T15g_pos	10666.701497583383
AG13T16g_pos	7421.064754602105
AG13T17g_pos	7421.064754602105
AG13T18g_pos	7421.064754602105
AG13T1g_pos	7450.343598655515
AG13T2g_pos	7450.343598655515
AG13T3g_pos	7450.343598655515
AG13T4g_pos	10666.701497583383
AG13T5g_pos	10666.701497583383
AG13T6g_pos	10666.701497583383
AG13T7g_pos	10666.701497583383
AG13T8g_pos	10666.701497583383
AG13T9g_pos	10666.701497583383
AGDC_pos	3393.155408502092
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23128.538856308798
AGPAT1_pos	10199.664523750334
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8696.438756759075
AGTix_pos	12282.276443362003
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2114.8890237034093
AHCYStd_pos	2114.8890237034093
AHCYSte_neg	26924.456995893604
AHCYSte_pos	11161.677177664074
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5700.626823625629
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9726.287631738043
AHEXASE2ly_pos	17041.406723355467
AHEXASEly_pos	17514.016888584676
AICART_neg	12855.084373939519
AICART_pos	11016.310061665597
AICARte_neg	12429.20790118683
AICARte_pos	11016.310061665592
AIRCr_neg	0.0
AIRCr_pos	20333.537903399872
AK2LGCHOLt_neg	6.803082154299271
AK2LGCHOLt_pos	6367.534366292967
AKGDm_pos	10514.71353705296
AKGMALtm_neg	455.67079520625595
AKGMALtm_pos	340.0954949114227
AKGt4_3_neg	703.429646556297
AKGt4_3_pos	807.5809313375564
AKGtp_neg	0.0
AKGtp_pos	45.726095468051135
AKR1C1_pos	61150.68236295246
AKR1C41_pos	2094.67527389727
AKR1C42_pos	2094.67527389727
AKR1D2_pos	64425.749168958275
AKR1D_pos	11323.912025608817
ALA-DTDe_pos	1332.073695046614
ALAALACNc_neg	0.0
ALAALACNc_pos	7357.65798287913
ALAALAPEPT1tc_pos	7357.657982879128
ALAASNNaEx_pos	669.8871916978343
ALAATB0tc_pos	1278.733426825173
ALACYSNaEx_pos	625.2859176694739
ALADGLNexR_neg	634.7964114282192
ALADGLNexR_pos	593.6064446073593
ALADGLYexR_neg	572.7018254511964
ALADGLYexR_pos	505.8566834431641
ALAGLNNaEx_pos	661.4603710327693
ALAGLNexR_neg	359.4258653218458
ALAGLNexR_pos	359.4258653218458
ALAGLYexR_neg	557.1624039604123
ALAGLYexR_pos	418.1069222789689
ALAR_neg	2.3949988052794
ALAR_pos	3713.6225110762434
ALASERNaEx_pos	625.5369971832158
ALASm_pos	339.92778319500826
ALATA_L_neg	4273.146549860859
ALATA_L_pos	3362.295364960887
ALATHRNaEx_pos	690.2737228992587
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	467.0817289277569
ALAt2r_pos	572.7018254511964
ALAt4_pos	239.76419824630273
ALAtN1_neg	359.4258653218458
ALAtN1_pos	359.4258653218458
ALAyLATthc_pos	467.0817289277569
ALCD1_neg	6551.69155051541
ALCD1_pos	13.414926035790746
ALCD21_D_pos	402.6316911059447
ALCD21_L_pos	830.2229986274854
ALCD22_D_pos	303.47052263613585
ALCD22_L_pos	830.2229986274854
ALCD2if_pos	5.643924609697657
ALCD2yf_pos	5.6453596392327245
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.72609546805112
ALDD2x_pos	6712.4890041128
ALDD2xm_pos	8884.678581772027
ALDD2y_pos	6556.469830804493
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52922.22318792649
ALDSTRNtm_neg	52922.22318792653
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3398.8609192703943
ALOX5_pos	95.51457215896374
ALR2_pos	830.2229986274854
ALR3_pos	830.2229986274854
AMACR2p_pos	18031.482727377108
AMACR2r_pos	0.0
AMACRp_pos	58254.06491505906
AMACRr_pos	0.0
AMANK_pos	8264.276013933466
AMCOXO_pos	46.905543581211916
AMETr_neg	0.0
AMETr_pos	5700.626823625629
AMETt2m_neg	2114.8890237034093
AMETt2m_pos	2114.8890237034093
AMETtd_neg	2114.8890237034093
AMETtd_pos	2114.8890237034093
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6482.062659042525
AMPTASECG_pos	6772.62809745646
AMPTASECGe_pos	8029.294295406813
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.44388945590767
AMY2e_pos	13.44388945590767
ANDRSTRNGLCte_pos	68915.50902244054
ANDRSTRNGLCtr_neg	68915.50902244056
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55509.23740180206
ANDRSTRNte_pos	17.56070666563754
ANDRSTRNtr_neg	17.560706665637543
ANDRSTRNtr_pos	55509.23740180207
ANTHte_neg	10.834022351842709
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.904576539389775
AOBUTDsm_pos	12147.828616855806
AP4AH1_pos	0.0
APAT2rm_neg	13475.148941254496
APAT2rm_pos	10548.424715781648
APNNOXte_neg	7.405421772738609
APNNOXte_pos	0.0
APOCF_pos	5417.833768897835
APOCFm_pos	5845.193905669093
APOC_LYS_BTNP_pos	5417.833768897835
APOC_LYS_BTNPm_pos	5845.193905669093
APPNNte_neg	0.0
APPNNte_pos	7.405421772738609
APRGSTRNte_neg	61150.682362952466
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.361022538286761
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.361022538286762
ARACHCOAtx_neg	25774.28982088656
ARACHCOAtx_pos	11031.713291180831
ARACHCPT1_pos	11690.2384396413
ARACHCPT2_pos	11690.2384396413
ARACHCRNt_pos	11690.2384396413
ARACHDCOAtx_neg	4900.800650797428
ARACHDCOAtx_pos	189.27657551454993
ARACHDt2_neg	343.72675745072434
ARACHDt2_pos	352.6524442423781
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4282.508145599664
ARACHt_neg	1196.3842649020387
ARACHt_pos	1205.3099516936927
ARGATB0tc_pos	1691.7068110198657
ARGDCm_pos	23128.53885630879
ARGLYSex_pos	642.5264146110352
ARGN_pos	13415.342281035144
ARGNm_pos	14230.78380068399
ARGSL_neg	0.0
ARGSL_pos	12734.948027025097
ARGSS_pos	12734.948027025097
ARGt4_pos	1470.900337449554
ARGtiDF_pos	467.0817289277569
ARGtm_neg	1473.9522008683643
ARGtm_pos	1174.285383768245
ARSA_pos	38035.38043962582
ARTCOAL1_pos	4863.341906956244
ARTCOAL2_pos	4863.341906956244
ARTCOAL3_pos	4863.341906956245
ASAH1_pos	37840.13223667933
ASCBOX_pos	8650.818911228183
ASCBSVCTtc_pos	3199.7145094689686
ASCBt4_neg	413.9203459310331
ASCBt4_pos	1229.140687174431
ASCBt_neg	1229.140687174431
ASCBt_pos	1238.066373966085
ASNALANaEx_pos	669.8871916978343
ASNATB0tc_pos	1375.2572176056833
ASNCYSNaEx_pos	811.9943554789897
ASNGLNNaEx_pos	669.8871916978343
ASNNm_pos	8631.726048923725
ASNPHELAT2tc_pos	504.05174949759686
ASNS1_pos	7332.821723633834
ASNSERNaEx_pos	805.8522083411449
ASNTHRNaEx_pos	845.3867140262247
ASNt4_pos	334.57057144730624
ASNtN1_neg	334.57057144730624
ASNtN1_pos	627.0137749923409
ASNtm_pos	8631.726048923725
ASP1DC_pos	8939.472394061422
ASPCTr_neg	0.0
ASPCTr_pos	18581.06000363247
ASPDTDe_neg	11.395894203914771
ASPDTDe_pos	2050.861549454242
ASPDt6_pos	2050.861549454242
ASPDxt_neg	11.157698334407435
ASPDxt_pos	0.0
ASPGLUm_pos	2486.791925413502
ASPNATm_pos	7325.792141357413
ASPPROASCT1_pos	1613.6931269616368
ASPTA_neg	7112.91991599469
ASPTA_pos	2486.791925413502
ASPTAm_neg	2486.791925413502
ASPTAm_pos	9067.075162622776
ASPt6_pos	2050.861549454242
ASPte_pos	1191.0077376192075
ATP1ter_neg	0.0
ATP1ter_pos	7088.567398353917
ATP2ter_neg	4513.622639776402
ATP2ter_pos	4513.622639776402
ATPH1e_pos	13763.79167761101
ATPH2e_pos	3.0225571954140715
ATPS4m_pos	1558.9504252543477
ATPasel_pos	23704.94197900765
ATPtm_pos	607.7008591392007
ATPtn_neg	0.0
ATPtn_pos	9730.816582527892
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4110.979380611808
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17315.019998202766
Asn_X_Ser_Thrtr_neg	17007.51674200706
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11081.054241580914
B3GALT41g_pos	12314.197835809562
B3GALT42g_pos	12497.90358369929
B3GALT43g_pos	12685.35995794952
B3GALT44g_pos	12956.918974297883
B3GALT5g_pos	10290.478936608844
B3GALTg_pos	11467.638503970316
B3GNT11g_pos	9654.707496780122
B3GNT12g_pos	8808.413283874479
B3GNT310g_pos	11386.192522118135
B3GNT311g_pos	9425.725589264086
B3GNT312g_pos	9654.707496780122
B3GNT313g_pos	8826.741312451753
B3GNT314g_pos	8198.387618877096
B3GNT315g_pos	8808.413283874479
B3GNT31g_pos	9506.969702496244
B3GNT32g_pos	9506.969702496244
B3GNT33g_pos	9506.969702496244
B3GNT34g_pos	9300.095840208043
B3GNT35g_pos	9300.095840208043
B3GNT36g_pos	899.8736321952431
B3GNT37g_pos	12232.82642427414
B3GNT39g_pos	28800.7092067123
B3GNT51g_pos	11386.192522118137
BAAT1x_pos	4027.712573899449
BAAT2x_pos	3234.6003838602687
BAAT3x_pos	18031.482727377108
BAAT4x_pos	4027.712573899449
BACCL_pos	5417.833768897835
BACCLm_pos	5845.193905669093
BALABETAtc_pos	1506.4887252324686
BALAPAT1tc_pos	1428.2458736332812
BALAVECSEC_pos	4134.182242466244
