	Tcon_Lymph_Tcon9_L1
10FTHF5GLUtl_pos	3844.94790797596
10FTHF5GLUtm_pos	6302.689384116876
10FTHF6GLUtl_pos	4637.9201576579
10FTHF6GLUtm_pos	6688.553697399781
10FTHF7GLUtl_pos	5166.568324112522
10FTHF7GLUtm_pos	6947.029752212923
10FTHFtl_neg	3844.9479079759603
10FTHFtl_pos	0.0
10FTHFtm_neg	10665.841069513132
10FTHFtm_pos	22578.668154358013
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	70113.16251053651
11DOCRTSLtr_neg	70113.16251053661
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	72779.15604502316
11DOCRTSTRNtr_neg	72779.15604502316
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47633.0068988687
1MNCAMti_pos	61.17296519923838
1PPDCRp_pos	73.38199226816621
1a25DHVITD3TRn_pos	67016.78045874831
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.061361034121425
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.61112468583015
24_25DHVITD2tm_pos	13.61112468583015
24_25DHVITD3t_pos	66924.13285458153
24_25DHVITD3tm_pos	69892.2084643388
24_25VITD2Hm_pos	13.61112468583015
24_25VITD3Hm_pos	69892.20846433869
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	67016.78045874812
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11074.428297590684
2AMACSULT_pos	28743.807179099094
2AMADPTm_pos	8167.264114085989
2DR1PP_pos	6275.2671227554265
2HBO_neg	16252.312723813577
2HBO_pos	11.22275239202177
2HBt2_neg	1377.927994827176
2HBt2_pos	1377.927994827176
2HCO3_NAt_neg	1508.056564932117
2HCO3_NAt_pos	1495.1331617832677
2MB2COAc_neg	0.0
2MB2COAc_pos	19797.935753549456
2MCITt_neg	0.0
2MCITt_pos	25042.119243702375
2OXOADOXm_pos	128.82951575226542
2OXOADPTm_neg	8167.264114085989
2OXOADPTm_pos	149.52140210022793
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	46179.08714619041
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	46179.08714619043
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	828.5537966919192
34DHPHEt_neg	828.5537966919192
34DHPHEt_pos	4.821289192095856
34DHPLACOX_NADP__neg	2237.759354363386
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	2237.759354363386
34DHXMANDACOX_NADP__neg	2237.759354363386
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	2237.759354363386
34HPLFM_pos	74839.35209268877
34HPPOR_pos	66631.29780079909
34HPPte_neg	11085.173545220516
34HPPte_pos	7672.4988840883725
35CGMPtn_neg	0.0
35CGMPtn_pos	14476.75259347733
3AIBTm_neg	0.0
3AIBTm_pos	19149.10914801877
3AIB_Dtm_neg	19012.3899716685
3AIB_Dtm_pos	33899.132071071916
3AIBt_pos	19149.10914801877
3AIBtm_pos	19149.10914801877
3DPHBH1_pos	74839.35209268882
3DPHBH2_pos	74840.3642761033
3DSPHR_pos	29997.419757510685
3HAO_pos	78.12472342323694
3HBCDm_neg	0.0
3HBCDm_pos	18228.03113464215
