	exTreg_Lymph_exTreg5_L2
10FTHF5GLUtl_pos	3890.8416848307584
10FTHF5GLUtm_pos	6307.983928061171
10FTHF6GLUtl_pos	4711.126633990172
10FTHF6GLUtm_pos	6698.096467101187
10FTHF7GLUtl_pos	5257.983266763112
10FTHF7GLUtm_pos	6959.141281696118
10FTHFtl_neg	3890.841684830759
10FTHFtl_pos	0.0
10FTHFtm_neg	10641.047657389921
10FTHFtm_pos	22626.132402754487
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	71866.77014983931
11DOCRTSLtr_neg	71866.77014983929
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	74661.81173146373
11DOCRTSTRNtr_neg	74661.81173146375
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	48506.56813322551
1MNCAMti_pos	62.474417603680564
1PPDCRp_pos	74.96982249679985
1a25DHVITD3TRn_pos	68717.19406026827
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	16.901471401063645
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.600956655577544
24_25DHVITD2tm_pos	13.600956655577544
24_25DHVITD3t_pos	68624.54645610155
24_25DHVITD3tm_pos	71592.84398416254
24_25VITD2Hm_pos	13.600956655577544
24_25VITD3Hm_pos	71592.8439841625
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	68717.19406026808
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11237.446102112017
2AMACSULT_pos	29579.675528611682
2AMADPTm_pos	8171.707395639473
2DR1PP_pos	6476.420532395676
2HBO_neg	16392.505439139895
2HBO_pos	11.192163498115127
2HBt2_neg	1401.688232112971
