	WT.d_S141_L007_R1_001
ADPACTD_neg	0.0
ADPACTD_pos	8055.657286790827
ADPCOACROT_neg	8055.657286790827
ADPCOACROT_pos	63047.8710486273
ADPCOAPTE_pos	8055.657286790829
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8234.042968959986
ADPRDPm_pos	0.0
ADPRIBt_pos	18.829725984738698
ADPT_pos	4010.439550366192
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.52192167752362
ADRNCOAtx_pos	15671.402411466426
ADRNCPT1_pos	337.708438133907
ADRNCPT2_pos	337.708438133907
ADRNCRNt_pos	337.708438133907
ADRNLPVESSEC_pos	37211.7072244131
ADRNt_neg	1211.936765789633
ADRNt_pos	1211.936765789633
ADSELK_pos	0.0
ADSK_pos	3446.1430660379897
ADSL1_pos	9145.124469433242
ADSL2_pos	20863.14642000418
ADSS_pos	9145.124469433242
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.541744075508214
AG13T10g_pos	11130.414056932417
AG13T11g_pos	11130.414056932417
AG13T12g_pos	11130.414056932417
AG13T13g_pos	11130.414056932417
AG13T14g_pos	11130.414056932417
AG13T15g_pos	11130.414056932417
AG13T16g_pos	7707.129883401395
AG13T17g_pos	7707.129883401395
AG13T18g_pos	7707.129883401395
AG13T1g_pos	7731.156351940816
AG13T2g_pos	7731.156351940816
AG13T3g_pos	7731.156351940816
AG13T4g_pos	11130.414056932417
AG13T5g_pos	11130.414056932417
AG13T6g_pos	11130.414056932417
AG13T7g_pos	11130.414056932417
AG13T8g_pos	11130.414056932417
AG13T9g_pos	11130.414056932417
AGDC_pos	3614.0228333053346
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23990.007968684647
AGPAT1_pos	10563.579817129918
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8812.223679182818
AGTix_pos	12429.16644738589
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2245.1096126124557
AHCYStd_pos	2245.1096126124557
AHCYSte_neg	27393.91433742274
AHCYSte_pos	11566.635295266986
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5789.757566717067
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10262.361622660432
AHEXASE2ly_pos	17570.33955535875
AHEXASEly_pos	18104.606924036718
AICART_neg	13244.059723900833
AICART_pos	11541.829528000959
AICARte_neg	12894.344568452256
AICARte_pos	11541.82952800096
AIRCr_neg	0.0
AIRCr_pos	20863.14642000419
AK2LGCHOLt_neg	6.9661714355843305
AK2LGCHOLt_pos	6776.589769530503
AKGDm_pos	10696.58934813144
AKGMALtm_neg	599.4556511470215
AKGMALtm_pos	450.5827764376111
AKGt4_3_neg	829.2229880046051
AKGt4_3_pos	970.3816878626469
AKGtp_neg	0.0
AKGtp_pos	47.67310468458488
AKR1C1_pos	62548.0174114696
AKR1C41_pos	2109.620500586627
AKR1C42_pos	2109.620500586627
AKR1D2_pos	65901.23654065079
AKR1D_pos	10954.714263383057
ALA-DTDe_pos	1381.2574056680078
ALAALACNc_neg	0.0
ALAALACNc_pos	7622.000442171438
ALAALAPEPT1tc_pos	7622.000442171438
ALAASNNaEx_pos	719.6707114162679
ALAATB0tc_pos	1339.923632488435
ALACYSNaEx_pos	790.5022213999902
ALADGLNexR_neg	723.5795905036268
ALADGLNexR_pos	660.3564431564438
ALADGLYexR_neg	625.1745935405529
ALADGLYexR_pos	559.4446893525845
ALAGLNNaEx_pos	719.6707114162679
ALAGLNexR_neg	395.27250563369955
ALAGLNexR_pos	395.27250563369955
ALAGLYexR_neg	615.3480215704319
ALAGLYexR_pos	458.53293554872516
ALAR_neg	2.4448171665651475
ALAR_pos	3861.928146741521
ALASERNaEx_pos	731.3444857516934
ALASm_pos	370.9899671288343
ALATA_L_neg	4359.138497652445
ALATA_L_pos	3303.137132000929
ALATHRNaEx_pos	790.3136921430257
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	508.8116147783454
ALAt2r_pos	625.1745935405529
ALAt4_pos	253.55822631861838
ALAtN1_neg	395.27250563369955
ALAtN1_pos	395.27250563369955
ALAyLATthc_pos	510.6951282684662
ALCD1_neg	6800.638023111154
ALCD1_pos	13.557021618768273
ALCD21_D_pos	434.2458288756544
ALCD21_L_pos	945.2510921364392
ALCD22_D_pos	312.2469405453385
ALCD22_L_pos	945.2510921364392
ALCD2if_pos	5.761585028728072
ALCD2yf_pos	5.7703216725867
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.67310468458488
ALDD2x_pos	7184.381468407207
ALDD2xm_pos	9145.990664825169
ALDD2y_pos	7013.07920391688
ALDSTRNte_neg	0.0
ALDSTRNte_pos	54074.81480931753
ALDSTRNtm_neg	54074.81480931753
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3462.979632550251
ALOX5_pos	98.77406863107277
ALR2_pos	945.2510921364392
ALR3_pos	945.2510921364392
AMACR2p_pos	18515.43823468014
AMACR2r_pos	0.0
AMACRp_pos	59705.420382756325
AMACRr_pos	0.0
AMANK_pos	8537.753842162147
AMCOXO_pos	48.051122512077164
AMETr_neg	0.0
AMETr_pos	5789.757566717068
AMETt2m_neg	2245.1096126124557
AMETt2m_pos	2245.1096126124557
AMETtd_neg	2245.1096126124557
AMETtd_pos	2245.1096126124557
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6821.706524126629
AMPTASECG_pos	7252.5300020248305
AMPTASECGe_pos	8535.660826867392
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.45696662541814
AMY2e_pos	13.45696662541814
ANDRSTRNGLCte_pos	70480.35577984412
ANDRSTRNGLCtr_neg	70480.35577984409
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56900.44797214501
ANDRSTRNte_pos	17.79988019083944
ANDRSTRNtr_neg	17.79988019083944
ANDRSTRNtr_pos	56900.44797214502
ANTHte_neg	10.988995813303369
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.925067256653027
AOBUTDsm_pos	12452.806612888533
AP4AH1_pos	0.0
APAT2rm_neg	13760.339676425809
APAT2rm_pos	11000.693451689931
APNNOXte_neg	7.541744075508214
APNNOXte_pos	0.0
APOCF_pos	5865.20171539548
APOCFm_pos	6293.444286984362
APOC_LYS_BTNP_pos	5865.20171539548
APOC_LYS_BTNPm_pos	6293.444286984362
APPNNte_neg	0.0
APPNNte_pos	7.541744075508214
APRGSTRNte_neg	62548.017411469584
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.462311450749944
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.462311450749944
ARACHCOAtx_neg	26894.52582537801
ARACHCOAtx_pos	11549.486179473082
ARACHCPT1_pos	12090.660223641231
ARACHCPT2_pos	12090.660223641231
ARACHCRNt_pos	12090.660223641231
ARACHDCOAtx_neg	5040.219822510701
ARACHDCOAtx_pos	196.92674579528406
ARACHDt2_neg	377.42130898039
ARACHDt2_pos	377.42130898039
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4464.740153066654
ARACHt_neg	1226.7834699274172
ARACHt_pos	1226.7834699274172
ARGATB0tc_pos	1783.2548454008643
ARGDCm_pos	23990.007968684647
ARGLYSex_pos	713.892757990486
ARGN_pos	14070.926683520529
ARGNm_pos	15043.24659645262
ARGSL_neg	0.0
ARGSL_pos	13243.194740905992
ARGSS_pos	13243.194740905996
ARGt4_pos	1536.2920554810112
ARGtiDF_pos	510.6951282684662
ARGtm_neg	1505.6971597695156
ARGtm_pos	1196.004943179577
ARSA_pos	39478.44153838978
ARTCOAL1_pos	5021.527723919769
ARTCOAL2_pos	5021.52772391977
ARTCOAL3_pos	5021.527723919769
ASAH1_pos	38957.25185528211
ASCBOX_pos	9124.113450726534
ASCBSVCTtc_pos	3386.2132932143863
ASCBt4_neg	505.61560013625103
ASCBt4_pos	1287.7857587769404
ASCBt_neg	1287.7857587769404
ASCBt_pos	1287.7857587769404
ASNALANaEx_pos	719.6707114162679
ASNATB0tc_pos	1428.2577951640314
ASNCYSNaEx_pos	887.3487365026084
ASNGLNNaEx_pos	719.6707114162679
ASNNm_pos	8754.38323942489
ASNPHELAT2tc_pos	550.7110891559638
ASNS1_pos	7329.105839526072
ASNSERNaEx_pos	879.6556403442838
ASNTHRNaEx_pos	921.4942190239865
ASNt4_pos	353.4339269539969
ASNtN1_neg	353.4339269539969
ASNtN1_pos	643.466008396625
ASNtm_pos	8754.38323942489
ASP1DC_pos	9290.13116220434
ASPCTr_neg	0.0
ASPCTr_pos	19262.885747477838
ASPDTDe_neg	11.651164213290281
ASPDTDe_pos	2203.6984990740393
ASPDt6_pos	2203.6984990740393
ASPDxt_neg	11.475945765420304
ASPDxt_pos	0.0
ASPGLUm_pos	2643.0919822812443
ASPNATm_pos	7621.675396790277
ASPPROASCT1_pos	1851.0986198397673
ASPTA_neg	7361.944417959982
ASPTA_pos	2643.0919822812452
ASPTAm_neg	2643.091982281245
ASPTAm_pos	9229.757090873549
ASPt6_pos	2203.6984990740393
ASPte_pos	1222.8801823681895
ATP1ter_neg	0.0
ATP1ter_pos	7268.552703953174
ATP2ter_neg	4672.817958397463
ATP2ter_pos	4672.817958397463
ATPH1e_pos	14696.140989105152
ATPH2e_pos	3.0758490666071974
ATPS4m_pos	1672.41003248132
ATPasel_pos	24555.02547588786
ATPtm_pos	672.1364977673605
ATPtn_neg	0.0
ATPtn_pos	9928.570823524975
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4265.942970613424
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17856.875384533887
Asn_X_Ser_Thrtr_neg	17534.323046530895
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11667.465285456079
B3GALT41g_pos	12919.051078997873
B3GALT42g_pos	13103.005817734618
B3GALT43g_pos	13289.202335665083
B3GALT44g_pos	13581.514369149265
B3GALT5g_pos	10795.5247105856
B3GALTg_pos	11963.282083775337
B3GNT11g_pos	10094.433017924324
B3GNT12g_pos	9184.596434496134
B3GNT310g_pos	11901.327182037227
B3GNT311g_pos	9823.63313587446
B3GNT312g_pos	10094.433017924324
B3GNT313g_pos	9202.52183709292
B3GNT314g_pos	8559.73099640113
B3GNT315g_pos	9184.596434496134
B3GNT31g_pos	10013.740354789003
B3GNT32g_pos	10013.740354789003
B3GNT33g_pos	10013.740354789003
B3GNT34g_pos	9781.488767209099
B3GNT35g_pos	9781.488767209099
B3GNT36g_pos	941.088960649457
B3GNT37g_pos	12840.622722648211
B3GNT39g_pos	29835.90888154822
B3GNT51g_pos	11901.327182037228
BAAT1x_pos	4026.040671122584
BAAT2x_pos	3257.886881133065
BAAT3x_pos	18515.43823468014
BAAT4x_pos	4026.040671122584
BACCL_pos	5865.20171539548
BACCLm_pos	6293.444286984362
BALABETAtc_pos	1598.6013727169445
BALAPAT1tc_pos	1492.0211948305655
BALAVECSEC_pos	4286.214751255726
BALAtmr_neg	13760.33967642581
BALAtmr_pos	11000.693451689931
