	Ob-1012-a_S125_L007_R1_001
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9475.759179106079
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9475.75917910608
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8874.064902985312
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8874.064902985308
ACGALK2_pos	549.015236785118
ACGALK_pos	548.0500725665738
ACGALtlg_neg	912.8416156945792
ACGALtlg_pos	0.0
ACGALtly_pos	548.0500725665738
ACGAM2E_neg	3856.7938128018636
ACGAM2E_pos	29827.51410803064
ACGAM6PSi_pos	3443.322432827928
ACGAMK_pos	3856.7938128018636
ACGAMPM_neg	0.0
ACGAMPM_pos	3856.793812801864
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	912.8416156945792
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	912.841615694579
ACGPID_pos	50.802904579534044
ACGSm_pos	0.0
ACHEe_pos	5555.746100836968
ACHVESSEC_pos	4093.7906197084317
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5771.8208620247315
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11138.60190984708
ACN13ACNGALGBSIDEtg_neg	11138.601909847082
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11138.60190984708
ACN23ACNGALGBSIDEtg_neg	11138.601909847082
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12308.64749059762
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12308.647490597627
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11174.706286667093
ACNACNGALGBSIDEtg_neg	11174.706286667095
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8647.713865733831
ACNAM9PL_pos	8342.46022540575
ACNAMPH_pos	8342.46022540575
ACNAMlt_neg	17814.30039370626
ACNAMlt_pos	0.0
ACNAMtn_pos	8761.24039179048
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10068.817190779913
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10068.817190779911
ACNMLr_neg	18418.334805540442
ACNMLr_pos	8342.46022540575
ACOAD10m_pos	292.061454599674
ACOAD1fm_pos	18141.205815576144
ACOAD8m_pos	309.37429509040703
ACOAD9m_pos	11858.16169680693
ACOAHi_pos	3241.1524448402224
ACOAO7p_pos	17591.04421769129
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1175.2032466362173
ACONT_pos	1175.2032466362173
ACONTm_neg	315.87188990292515
ACONTm_pos	315.87188990292515
ACOX22x_pos	68177.92832335434
ACOX2x_pos	58303.318322400424
ACP1_FMN__pos	3345.6317221689083
ACRNtm_pos	2334.5182844124683
ACS2_pos	3226.1883336881533
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3241.152444840223
ACSm_pos	4123.692147158711
ACTLMO_pos	5459.158805958983
ACTNMO_pos	14206.53436919452
ACYP_pos	3231.6775296284036
ACt2m_neg	4148.429227438182
ACt2m_pos	4651.499487823752
ACt2r_neg	1222.017391342411
ACt2r_pos	1222.017391342411
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7378.227182858886
ADAe_pos	7545.35628207428
ADCim_pos	10491.612978400426
ADEt_neg	6191.790671030558
ADEt_pos	30488.647194183424
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1051.6827413403068
ADK1_pos	1051.6827413403068
ADK1m_neg	402.91281028189644
ADK1m_pos	402.91281028189644
ADK3_neg	1051.6827413403068
ADK3_pos	1051.6827413403068
ADK3m_neg	402.91281028189644
ADK3m_pos	402.91281028189644
ADKd_neg	1049.1590220694347
ADKd_pos	1049.1590220694347
ADMDC_pos	15034.21567507876
ADNCYC_pos	3283.340968280035
ADNK1_pos	3284.2645648099206
ADNK1m_pos	2372.8535994723825
ADNK3_pos	4185.844575626061
ADNK4_pos	4185.844575626061
ADNt4_pos	724.2752445732506
ADNt5le_pos	1371.0417388350147
ADNt_neg	724.2752445732506
ADNt_pos	1193.4326221929405
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5752.364669939322
ADNtm_pos	8066.377108985605
ADPACDAc_pos	7815.967860926823
ADPACTD_neg	0.0
ADPACTD_pos	7815.967860926823
ADPCOACROT_neg	7815.967860926823
ADPCOACROT_pos	61445.323037292655
ADPCOAPTE_pos	7815.967860926823
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7870.205183506187
ADPRDPm_pos	0.0
ADPRIBt_pos	17.641123812764533
ADPT_pos	3770.808745862423
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.046500165455509
ADRNCOAtx_pos	14831.456515354173
ADRNCPT1_pos	325.03178821960574
ADRNCPT2_pos	325.03178821960574
ADRNCRNt_pos	325.03178821960574
ADRNLPVESSEC_pos	36968.55702479526
ADRNt_neg	1184.065800536772
ADRNt_pos	1192.890722184424
ADSELK_pos	0.0
ADSK_pos	3307.3751277368715
ADSL1_pos	8813.262743509242
ADSL2_pos	20367.91916018538
ADSS_pos	8813.262743509242
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.46412327866111
AG13T10g_pos	10693.993637724307
AG13T11g_pos	10693.993637724307
AG13T12g_pos	10693.993637724307
AG13T13g_pos	10693.993637724307
AG13T14g_pos	10693.993637724307
AG13T15g_pos	10693.993637724307
AG13T16g_pos	7440.000348084611
AG13T17g_pos	7440.000348084611
AG13T18g_pos	7440.000348084611
AG13T1g_pos	7468.922281241271
AG13T2g_pos	7468.922281241271
AG13T3g_pos	7468.922281241271
AG13T4g_pos	10693.993637724307
AG13T5g_pos	10693.993637724307
AG13T6g_pos	10693.993637724307
AG13T7g_pos	10693.993637724307
AG13T8g_pos	10693.993637724307
AG13T9g_pos	10693.993637724307
AGDC_pos	3443.3224328279275
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23263.498242164227
AGPAT1_pos	10182.105679792581
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8672.50583409112
AGTix_pos	11792.886457854487
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2113.28300066761
AHCYStd_pos	2113.28300066761
AHCYSte_neg	27061.43266934874
AHCYSte_pos	11151.898225130257
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5707.463295543875
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9697.978817335152
AHEXASE2ly_pos	17122.34045746642
AHEXASEly_pos	17586.410636305078
AICART_neg	12812.047080971592
AICART_pos	10842.126362652665
AICARte_neg	12388.148592408477
AICARte_pos	10842.126362652665
AIRCr_neg	0.0
AIRCr_pos	20367.91916018537
AK2LGCHOLt_neg	6.801263055240958
AK2LGCHOLt_pos	6435.001685952729
AKGDm_pos	10543.949827160135
AKGMALtm_neg	464.9487910435512
AKGMALtm_pos	346.6425127081175
AKGt4_3_neg	743.7129112273968
AKGt4_3_pos	835.2683645783962
AKGtp_neg	0.0
AKGtp_pos	45.77485375515993
AKR1C1_pos	61359.55876635401
AKR1C41_pos	2092.534601256075
AKR1C42_pos	2092.5346012560753
AKR1D2_pos	64516.97095037014
AKR1D_pos	11112.851952577023
ALA-DTDe_pos	1326.419246667776
ALAALACNc_neg	0.0
ALAALACNc_pos	7461.371741609572
ALAALAPEPT1tc_pos	7461.371741609572
ALAASNNaEx_pos	698.9881256451537
ALAATB0tc_pos	1286.9398142586185
ALACYSNaEx_pos	614.5120628754319
ALADGLNexR_neg	633.0382230713625
ALADGLNexR_pos	581.5183961201709
ALADGLYexR_neg	554.3600122499989
ALADGLYexR_pos	493.9974291970763
ALAGLNNaEx_pos	696.4058743935158
ALAGLNexR_neg	352.66611894401626
ALAGLNexR_pos	352.66611894401626
ALAGLYexR_neg	545.2419553975024
ALAGLYexR_pos	406.4764622739818
ALAR_neg	2.3886589075541678
ALAR_pos	3757.6726201985334
ALASERNaEx_pos	603.9432035447533
ALASm_pos	331.8897425202247
ALATA_L_neg	4264.018031119348
ALATA_L_pos	2701.772788765705
ALATHRNaEx_pos	653.4902767023469
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	452.2024252986637
ALAt2r_pos	554.3600122499989
ALAt4_pos	228.722843861821
ALAtN1_neg	352.66611894401626
ALAtN1_pos	352.66611894401626
ALAyLATthc_pos	452.2024252986637
ALCD1_neg	6554.437448118804
ALCD1_pos	13.367211198704116
ALCD21_D_pos	392.4173353101437
ALCD21_L_pos	832.9768900169593
ALCD22_D_pos	299.7671512616798
ALCD22_L_pos	832.9768900169593
ALCD2if_pos	5.607152868277257
ALCD2yf_pos	5.610512301874236
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.77485375515994
ALDD2x_pos	6694.8252782937325
ALDD2xm_pos	8764.195007744569
ALDD2y_pos	6543.245628427318
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52984.37805326201
ALDSTRNtm_neg	52984.37805326201
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3440.1462386805006
ALOX5_pos	96.40729970449435
ALR2_pos	832.9768900169593
ALR3_pos	832.9768900169593
AMACR2p_pos	18017.060492866545
AMACR2r_pos	0.0
AMACRp_pos	58303.318322400424
AMACRr_pos	0.0
AMANK_pos	8342.46022540575
AMCOXO_pos	46.697658698996975
AMETr_neg	0.0
AMETr_pos	5707.463295543875
AMETt2m_neg	2113.28300066761
AMETt2m_pos	2113.28300066761
AMETtd_neg	2113.28300066761
AMETtd_pos	2113.28300066761
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6516.551712828215
AMPTASECG_pos	6809.854284071112
AMPTASECGe_pos	7989.917771579397
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.433161000762595
AMY2e_pos	13.433161000762595
ANDRSTRNGLCte_pos	68978.71502052374
ANDRSTRNGLCtr_neg	68978.71502052377
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55579.95041359018
ANDRSTRNte_pos	17.51190548048449
ANDRSTRNtr_neg	17.51190548048449
ANDRSTRNtr_pos	55579.95041359019
ANTHte_neg	10.817303110983866
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.894470317883616
AOBUTDsm_pos	12302.342431762394
AP4AH1_pos	0.0
APAT2rm_neg	13460.156426013264
APAT2rm_pos	10701.891028047374
APNNOXte_neg	7.46412327866111
APNNOXte_pos	0.0
APOCF_pos	5487.630954197506
APOCFm_pos	5899.698389817348
APOC_LYS_BTNP_pos	5487.630954197506
APOC_LYS_BTNPm_pos	5899.698389817348
APPNNte_neg	0.0
APPNNte_pos	7.46412327866111
APRGSTRNte_neg	61359.55876635401
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.339806992686815
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.339806992686815
ARACHCOAtx_neg	25834.288969760222
ARACHCOAtx_pos	11061.93020001426
ARACHCPT1_pos	11697.066635003066
ARACHCPT2_pos	11697.066635003066
ARACHCRNt_pos	11697.066635003066
ARACHDCOAtx_neg	4940.079085882464
ARACHDCOAtx_pos	189.76835704146373
ARACHDt2_neg	342.7091178094555
ARACHDt2_pos	351.53403945710744
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4309.42844594305
ARACHt_neg	1196.1859158393638
ARACHt_pos	1205.0108374870158
ARGATB0tc_pos	1688.300182947108
ARGDCm_pos	23263.498242164227
ARGLYSex_pos	627.114874345051
ARGN_pos	13489.747606415274
ARGNm_pos	14275.472659713505
ARGSL_neg	0.0
ARGSL_pos	12808.716182349892
ARGSS_pos	12808.716182349894
ARGt4_pos	1461.8244477043977
ARGtiDF_pos	452.2024252986637
ARGtm_neg	1460.509995866594
ARGtm_pos	1159.6906648233632
ARSA_pos	38030.58320010331
ARTCOAL1_pos	4893.098577697827
ARTCOAL2_pos	4893.098577697829
ARTCOAL3_pos	4893.098577697828
ASAH1_pos	37915.400811549596
ASCBOX_pos	8655.742428767413
ASCBSVCTtc_pos	3242.6678533659133
ASCBt4_neg	429.77251357661726
ASCBt4_pos	1236.789474689821
ASCBt_neg	1236.789474689821
ASCBt_pos	1245.614396337473
ASNALANaEx_pos	698.9881256451537
ASNATB0tc_pos	1385.329084055824
ASNCYSNaEx_pos	847.3143586299079
ASNGLNNaEx_pos	698.9881256451537
ASNNm_pos	8252.110298975113
ASNPHELAT2tc_pos	488.52691553417975
ASNS1_pos	6962.166121653845
ASNSERNaEx_pos	841.6105615240327
ASNTHRNaEx_pos	874.0300594913429
ASNt4_pos	320.24662097670614
ASNtN1_neg	320.24662097670614
ASNtN1_pos	561.9666823021748
ASNtm_pos	8252.110298975113
ASP1DC_pos	9149.619319009193
ASPCTr_neg	0.0
ASPCTr_pos	18612.423679345753
ASPDTDe_neg	11.455785810692811
ASPDTDe_pos	2113.1374299693234
ASPDt6_pos	2113.1374299693234
ASPDxt_neg	11.22622680604958
ASPDxt_pos	0.0
ASPGLUm_pos	2423.9151607825597
ASPNATm_pos	7311.3493066018755
ASPPROASCT1_pos	1582.803766789968
ASPTA_neg	7045.78326293426
ASPTA_pos	2423.9151607825597
ASPTAm_neg	2423.9151607825597
ASPTAm_pos	8762.853804993752
ASPt6_pos	2113.1374299693234
ASPte_pos	1188.4748064181858
ATP1ter_neg	0.0
ATP1ter_pos	7119.775988790177
ATP2ter_neg	4514.834535428568
ATP2ter_pos	4514.834535428568
ATPH1e_pos	13849.948138712456
ATPH2e_pos	3.0237619874072066
ATPS4m_pos	1577.365918319933
ATPasel_pos	23652.41511073424
ATPtm_pos	616.3383538024998
ATPtn_neg	0.0
ATPtn_pos	9655.393520588947
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4149.618692756191
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17396.284947849606
Asn_X_Ser_Thrtr_neg	17088.853568091108
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11195.803163244685
B3GALT41g_pos	12348.872638251056
B3GALT42g_pos	12532.3419343469
B3GALT43g_pos	12711.243597910252
B3GALT44g_pos	12987.280921708574
B3GALT5g_pos	10400.948347935722
B3GALTg_pos	11524.326582384845
B3GNT11g_pos	9714.055689815126
B3GNT12g_pos	8865.691503132783
B3GNT310g_pos	11448.582346336809
B3GNT311g_pos	9475.759179106077
B3GNT312g_pos	9714.055689815126
B3GNT313g_pos	8874.064902985308
B3GNT314g_pos	8249.217997578791
B3GNT315g_pos	8865.691503132783
B3GNT31g_pos	9591.156025179138
B3GNT32g_pos	9591.156025179138
B3GNT33g_pos	9591.156025179138
B3GNT34g_pos	9394.234752507502
B3GNT35g_pos	9394.234752507502
B3GNT36g_pos	912.8416156945792
B3GNT37g_pos	12292.9250816218
B3GNT39g_pos	28875.282648700828
B3GNT51g_pos	11448.582346336809
BAAT1x_pos	4022.6380615164057
BAAT2x_pos	3220.414920026003
BAAT3x_pos	18017.060492866545
BAAT4x_pos	4022.6380615164057
BACCL_pos	5487.630954197506
BACCLm_pos	5899.698389817348
BALABETAtc_pos	1501.5364153436822
BALAPAT1tc_pos	1428.5573189465865
BALAVECSEC_pos	4158.337209615074
BALAtmr_neg	13460.156426013262
BALAtmr_pos	10701.891028047374
