	Ob.911.a_S124_L007_R1_001
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7014.629867414582
5ADTSTSTERONESte_neg	8.397064869337068
5ADTSTSTERONESte_pos	54343.20825096095
5ADTSTSTERONEte_neg	54982.324002591704
5ADTSTSTERONEte_pos	7.190371591532865
5ADTSTSTERONEtr_neg	38.67123081357246
5ADTSTSTERONEtr_pos	54977.31017818271
5AOPtm_neg	14407.158594796887
5AOPtm_pos	0.0
5DHFtl_pos	3200.707176855763
5FTHFt2_neg	0.0
5FTHFt2_pos	6.368319452257057
5HLTDL_pos	7.463639191915277
5HOMEPRAZOLEte_neg	7.464809818286432
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	442.7864106364194
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.426549440008421
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15028.156899393178
5MTAte_pos	14915.589521843805
5MTHFt2_neg	1274.050368607595
5MTHFt2_pos	1274.050368607595
5MTHFt2le_neg	2322.626519652858
5MTHFt2le_pos	2322.626519652858
5MTHFt_neg	1274.050368607595
5MTHFt_pos	1274.050368607595
5OXPROt_neg	10158.83435156261
5OXPROt_pos	6068.641534087183
5THFtl_pos	3199.756492721381
5THFtm_pos	3771.468176778315
6DHFtl_pos	3441.062634909401
6DHFtm_pos	3832.474947188781
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51766.47079128959
6HTSTSTERONEtr_neg	51766.4707912896
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3441.0626349094
6THFtm_pos	3832.474947188781
7DHCHSTEROLtr_neg	10878.547089836924
7DHCHSTEROLtr_pos	75792.07117199666
7DHFtl_pos	3574.1317087755724
7DHFtm_pos	3875.211294974757
7THFtl_pos	3574.1317087755733
7THFtm_pos	3875.2112949747575
A4GALTc_pos	0.0
A4GALTg_pos	11125.394800978032
A4GNT1g_pos	0.0
A4GNT2g_pos	253.00522514485766
AACOAT_pos	4129.848349529517
AACTOOR_pos	12181.911635692371
AACTtm_pos	12181.911635692371
AASAD3m_pos	26.021777638417817
AATAi_neg	3854.412233237452
AATAi_pos	48.48052916171711
ABO1g_pos	10454.598818534707
ABO2g_pos	10081.265575673195
ABO3g_pos	10245.335161393123
ABO4g_pos	9452.062102399219
ABO5g_pos	9452.062102399219
ABO6g_pos	8856.19049609182
ABO7g_pos	8856.19049609182
ABO8g_pos	9146.755266237722
ABO9g_pos	8233.264999030633
ABTArm_neg	9354.16023636652
ABTArm_pos	12420.678041188276
ABTD_neg	5054.002853260626
ABTD_pos	7.862774127530683
ABTti_pos	5054.002853260626
ABUTD_pos	12223.815469433355
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	487.9716037650569
ABUTt2r_pos	610.4105140699445
ABUTt4_2_r_neg	610.4105140699445
ABUTt4_2_r_pos	487.9716037650569
ACACT10m_neg	13475.126141193565
ACACT10m_pos	9632.126027954364
ACACT1r_neg	7111.531076582672
ACACT1r_pos	15942.537376340648
ACACT1rm_pos	5050.477873272199
ACACT1x_pos	9685.412044262894
ACACT4p_pos	24047.769619734743
ACACT5p_pos	24047.76961973473
ACACT6p_pos	24047.76961973473
ACACT7p_pos	23388.610815335145
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	394.55214020435216
ACACt2_pos	394.55214020435216
ACACt2m_neg	1243.4618532497825
ACACt2m_pos	1243.4618532497825
ACACtx_neg	5731.34092224651
ACACtx_pos	0.0
ACALDt_neg	6224.810073968279
ACALDt_pos	5.138412129988321
ACALDtm_neg	8881.840932468982
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54000.91068434887
ACALDtx_neg	0.0
ACALDtx_pos	11.741321108715066
ACCOAC_pos	4179.276969160286
ACCOACm_pos	4223.581313420291
ACCOAL_pos	3238.042260313925
ACCOALm_pos	4405.3757631961025
ACCOAgt_neg	0.0
ACCOAgt_pos	19064.396588660187
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1482.0286502833396
ACCOAtr_pos	1482.0286502833396
ACETONEt2_neg	10547.667830321694
ACETONEt2_pos	5.4909863571937505
ACETONEt2m_neg	10547.667830321692
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10906.347015135938
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10906.347015135936
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9452.062102399219
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9452.062102399219
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8856.190496091818
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8856.190496091816
ACGALK2_pos	550.8849176959159
ACGALK_pos	549.913529458849
ACGALtlg_neg	909.4262103995483
ACGALtlg_pos	0.0
ACGALtly_pos	549.913529458849
ACGAM2E_neg	3886.0741848777498
ACGAM2E_pos	29841.810569351477
ACGAM6PSi_pos	3393.6802057144055
ACGAMK_pos	3886.07418487775
ACGAMPM_neg	0.0
ACGAMPM_pos	3886.07418487775
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	909.4262103995485
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	909.4262103995483
ACGPID_pos	50.693428596296634
ACGSm_pos	0.0
ACHEe_pos	5366.435738187201
ACHVESSEC_pos	4063.389007916873
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5754.2954264464015
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11076.08844618003
ACN13ACNGALGBSIDEtg_neg	11076.08844618003
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11076.08844618003
ACN23ACNGALGBSIDEtg_neg	11076.08844618003
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12285.221982365856
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12285.221982365862
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11113.65557056367
ACNACNGALGBSIDEtg_neg	11113.65557056367
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8580.78084695274
ACNAM9PL_pos	8286.009923418926
ACNAMPH_pos	8286.009923418926
ACNAMlt_neg	17772.037351970877
ACNAMlt_pos	0.0
ACNAMtn_pos	8772.787863310881
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10062.045009800973
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10062.045009800971
ACNMLr_neg	18359.947558202726
ACNMLr_pos	8286.009923418924
ACOAD10m_pos	289.2211403397067
ACOAD1fm_pos	18148.630759489308
ACOAD8m_pos	302.6702125230618
ACOAD9m_pos	11841.987509286235
ACOAHi_pos	3211.068943136672
ACOAO7p_pos	17604.105866274003
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1171.9320319674805
ACONT_pos	1171.9320319674805
ACONTm_neg	311.0234078656644
ACONTm_pos	311.0234078656644
ACOX22x_pos	68078.78104246597
ACOX2x_pos	58136.519678999844
ACP1_FMN__pos	3309.5377036102277
ACRNtm_pos	2334.9818665027883
ACS2_pos	3195.780199551417
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3211.068943136671
ACSm_pos	4358.6220806071005
ACTLMO_pos	5454.19387656099
ACTNMO_pos	14182.169977617928
ACYP_pos	3166.461590683335
ACt2m_neg	4131.419423334758
ACt2m_pos	4781.032956736077
ACt2r_neg	1220.5669508169171
ACt2r_pos	1220.5669508169171
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7344.781946729645
ADAe_pos	7507.035756916454
ADCim_pos	10547.667830321692
ADEt_neg	6139.977915478584
ADEt_pos	30299.660166442125
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1081.7581474301949
ADK1_pos	1081.7581474301949
ADK1m_neg	407.7434018336267
ADK1m_pos	407.7434018336267
ADK3_neg	1081.7581474301949
ADK3_pos	1081.7581474301949
ADK3m_neg	407.7434018336267
ADK3m_pos	407.7434018336267
ADKd_neg	1079.537224406197
ADKd_pos	1079.537224406197
ADMDC_pos	15028.156899393174
ADNCYC_pos	3258.8263016790247
ADNK1_pos	3246.2418863648245
ADNK1m_pos	2366.7726324726837
ADNK3_pos	4148.835751973379
ADNK4_pos	4148.835751973379
ADNt4_pos	765.1069334904527
ADNt5le_pos	1378.7967318422616
ADNt_neg	765.1069334904527
ADNt_pos	1187.5602873885111
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5708.758239719945
ADNtm_pos	8249.605026852485
ADPACDAc_pos	7805.543327583673
ADPACTD_neg	0.0
ADPACTD_pos	7805.543327583673
ADPCOACROT_neg	7805.543327583673
ADPCOACROT_pos	61271.971255556615
ADPCOAPTE_pos	7805.543327583673
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7769.948273027335
ADPRDPm_pos	0.0
ADPRIBt_pos	17.529317882487565
ADPT_pos	3739.3198706177564
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.044807873272367
ADRNCOAtx_pos	14808.504896023165
ADRNCPT1_pos	324.88499654560115
ADRNCPT2_pos	324.88499654560115
ADRNCRNt_pos	324.88499654560115
ADRNLPVESSEC_pos	36793.975810430005
ADRNt_neg	1189.0028221293173
ADRNt_pos	1191.1466489727745
ADSELK_pos	0.0
ADSK_pos	3265.209648886141
ADSL1_pos	8724.854493273662
ADSL2_pos	20161.760121266958
ADSS_pos	8724.854493273662
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.4648098182864295
AG13T10g_pos	10705.248157849226
AG13T11g_pos	10705.248157849226
AG13T12g_pos	10705.248157849226
AG13T13g_pos	10705.248157849226
AG13T14g_pos	10705.248157849226
AG13T15g_pos	10705.248157849226
AG13T16g_pos	7442.931914545321
AG13T17g_pos	7442.931914545321
AG13T18g_pos	7442.931914545321
AG13T1g_pos	7466.962047813201
AG13T2g_pos	7466.962047813201
AG13T3g_pos	7466.962047813201
AG13T4g_pos	10705.248157849226
AG13T5g_pos	10705.248157849226
AG13T6g_pos	10705.248157849226
AG13T7g_pos	10705.248157849226
AG13T8g_pos	10705.248157849226
AG13T9g_pos	10705.248157849226
AGDC_pos	3393.6802057144055
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23138.48904097105
AGPAT1_pos	10152.761630753452
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8661.80684388938
AGTix_pos	11902.357454401274
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2113.157128264156
AHCYStd_pos	2113.157128264156
AHCYSte_neg	26780.790146965588
AHCYSte_pos	11136.987767717474
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5705.0956756234045
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9660.976223145166
AHEXASE2ly_pos	17064.150534141216
AHEXASEly_pos	17544.10602056291
AICART_neg	12780.181334852501
AICART_pos	10826.624052595096
AICARte_neg	12340.340200469742
AICARte_pos	10826.624052595089
AIRCr_neg	0.0
AIRCr_pos	20161.76012126694
AK2LGCHOLt_neg	6.7986369849468895
AK2LGCHOLt_pos	6397.575750925339
AKGDm_pos	10481.599161066926
AKGMALtm_neg	462.85113998412237
AKGMALtm_pos	344.8715757558937
AKGt4_3_neg	745.1387968803995
AKGt4_3_pos	837.339661536233
AKGtp_neg	0.0
AKGtp_pos	45.752235340504335
AKR1C1_pos	61244.21083753699
AKR1C41_pos	2089.744839532096
AKR1C42_pos	2089.744839532096
AKR1D2_pos	64305.28405377854
AKR1D_pos	11145.227978450594
ALA-DTDe_pos	1335.317641170524
ALAALACNc_neg	0.0
ALAALACNc_pos	7368.258866717238
ALAALAPEPT1tc_pos	7368.258866717236
ALAASNNaEx_pos	711.6067605955815
ALAATB0tc_pos	1286.658263210175
ALACYSNaEx_pos	629.5165405058889
ALADGLNexR_neg	623.7533422161538
ALADGLNexR_pos	579.6390292928395
ALADGLYexR_neg	574.7395285555381
ALADGLYexR_pos	493.5752773753386
ALAGLNNaEx_pos	709.3639084350401
ALAGLNexR_neg	346.4978598305451
ALAGLNexR_pos	346.4978598305451
ALAGLYexR_neg	544.1082429421547
ALAGLYexR_pos	407.5115254578377
ALAR_neg	2.381589214004566
ALAR_pos	3716.87027383342
ALASERNaEx_pos	613.9509036412251
ALASm_pos	340.911266012969
ALATA_L_neg	4216.696018375884
ALATA_L_pos	2897.0965359850125
ALATHRNaEx_pos	668.1046037638309
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	459.7994188198694
ALAt2r_pos	574.7395285555381
ALAt4_pos	232.23157183407787
ALAtN1_neg	346.4978598305451
ALAtN1_pos	346.4978598305451
ALAyLATthc_pos	459.7994188198694
ALCD1_neg	6529.015106375115
ALCD1_pos	13.348521347360448
ALCD21_D_pos	387.29223830733804
ALCD21_L_pos	819.7054455700618
ALCD22_D_pos	296.51244663402724
ALCD22_L_pos	819.7054455700618
ALCD2if_pos	5.592531996038978
ALCD2yf_pos	5.595742498591633
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.752235340504335
ALDD2x_pos	6698.147580009822
ALDD2xm_pos	8881.84093246898
ALDD2y_pos	6549.112972574784
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52876.5197441237
ALDSTRNtm_neg	52876.51974412375
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3298.741255125218
ALOX5_pos	95.32735413998768
ALR2_pos	819.7054455700618
ALR3_pos	819.7054455700618
AMACR2p_pos	18054.39410715391
AMACR2r_pos	0.0
AMACRp_pos	58136.51967899984
AMACRr_pos	0.0
AMANK_pos	8286.009923418926
AMCOXO_pos	46.67674331552154
AMETr_neg	0.0
AMETr_pos	5705.0956756234045
AMETt2m_neg	2113.157128264156
AMETt2m_pos	2113.157128264156
AMETtd_neg	2113.157128264156
AMETtd_pos	2113.157128264156
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6458.931818549903
AMPTASECG_pos	6783.110121710283
AMPTASECGe_pos	7924.739086603845
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.432764511890646
AMY2e_pos	13.432764511890646
ANDRSTRNGLCte_pos	68734.1481781261
ANDRSTRNGLCtr_neg	68734.14817812614
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55440.55603387138
ANDRSTRNte_pos	17.375272252558855
ANDRSTRNtr_neg	17.375272252558858
ANDRSTRNtr_pos	55440.556033871355
ANTHte_neg	10.80185349378073
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.890814567264962
AOBUTDsm_pos	12181.911635692371
AP4AH1_pos	0.0
APAT2rm_neg	13436.600151033657
APAT2rm_pos	10691.194944452847
APNNOXte_neg	7.4648098182864295
APNNOXte_pos	0.0
APOCF_pos	5475.280765198108
APOCFm_pos	5903.968912726712
APOC_LYS_BTNP_pos	5475.280765198108
APOC_LYS_BTNPm_pos	5903.968912726712
APPNNte_neg	0.0
APPNNte_pos	7.4648098182864295
APRGSTRNte_neg	61244.21083753698
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.333174365926096
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.333174365926096
ARACHCOAtx_neg	25819.70181494429
ARACHCOAtx_pos	11050.273111857185
ARACHCPT1_pos	11735.882656631169
ARACHCPT2_pos	11735.882656631169
ARACHCRNt_pos	11735.882656631169
ARACHDCOAtx_neg	4907.84534406554
ARACHDCOAtx_pos	189.7827090829989
ARACHDt2_neg	343.7255437149063
ARACHDt2_pos	345.8693705583633
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4280.9936872337175
ARACHt_neg	1199.3669188944546
ARACHt_pos	1201.5107457379117
ARGATB0tc_pos	1677.707393402031
ARGDCm_pos	23138.48904097105
ARGLYSex_pos	632.5916723707729
ARGN_pos	13405.275968333153
ARGNm_pos	14144.956814950187
ARGSL_neg	0.0
ARGSL_pos	12714.335984266743
ARGSS_pos	12714.335984266738
ARGt4_pos	1476.3681921428297
ARGtiDF_pos	459.7994188198694
ARGtm_neg	1456.4248590292527
ARGtm_pos	1155.9305351093037
ARSA_pos	37805.87261221108
ARTCOAL1_pos	4869.826424524703
ARTCOAL2_pos	4869.8264245247055
ARTCOAL3_pos	4869.826424524703
ASAH1_pos	37646.15962230084
ASCBOX_pos	8666.367111200372
ASCBSVCTtc_pos	3204.414563410187
ASCBt4_neg	430.57404514297616
ASCBt4_pos	1240.1454562730428
ASCBt_neg	1240.1454562730428
ASCBt_pos	1242.2892831165
ASNALANaEx_pos	711.6067605955815
ASNATB0tc_pos	1367.707594027731
ASNCYSNaEx_pos	858.0091570934711
ASNGLNNaEx_pos	711.6067605955815
ASNNm_pos	8196.147093327381
ASNPHELAT2tc_pos	488.19241364782624
ASNS1_pos	6909.780968950692
ASNSERNaEx_pos	859.8056042206457
ASNTHRNaEx_pos	883.7342644305834
ASNt4_pos	322.5691996206075
ASNtN1_neg	322.5691996206075
ASNtN1_pos	566.4444044297891
ASNtm_pos	8196.147093327381
ASP1DC_pos	9130.148032241295
ASPCTr_neg	0.0
ASPCTr_pos	18498.02556401258
ASPDTDe_neg	11.438058703357655
ASPDTDe_pos	2113.616268366969
ASPDt6_pos	2113.616268366969
ASPDxt_neg	11.243094954000366
ASPDxt_pos	0.0
ASPGLUm_pos	2403.745952024382
ASPNATm_pos	7289.771268917345
ASPPROASCT1_pos	1591.860558918254
ASPTA_neg	7002.158212006972
ASPTA_pos	2403.7459520243824
ASPTAm_neg	2403.745952024382
ASPTAm_pos	8718.043982194304
ASPt6_pos	2113.616268366969
ASPte_pos	1192.1934720717747
ATP1ter_neg	0.0
ATP1ter_pos	7089.056175235036
ATP2ter_neg	4520.745899924243
ATP2ter_pos	4520.745899924243
ATPH1e_pos	13794.093483842165
ATPH2e_pos	3.0256677723875782
ATPS4m_pos	1577.4090172547255
ATPasel_pos	23622.49464307717
ATPtm_pos	617.2934953717611
ATPtn_neg	0.0
ATPtn_pos	9592.204397430465
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4114.316713093967
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17338.258682955442
Asn_X_Ser_Thrtr_neg	17030.619001211533
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11125.39480097803
B3GALT41g_pos	12327.443363995388
B3GALT42g_pos	12500.412996230878
B3GALT43g_pos	12674.106141386828
B3GALT44g_pos	12941.553244345772
B3GALT5g_pos	10336.87788701726
B3GALTg_pos	11497.960571898037
B3GNT11g_pos	9702.072090127856
B3GNT12g_pos	8835.299985536656
B3GNT310g_pos	11429.382396367817
B3GNT311g_pos	9452.062102399219
B3GNT312g_pos	9702.072090127856
B3GNT313g_pos	8856.19049609182
B3GNT314g_pos	8233.264999030633
B3GNT315g_pos	8835.299985536656
B3GNT31g_pos	9600.868237844685
B3GNT32g_pos	9600.868237844685
B3GNT33g_pos	9600.868237844685
B3GNT34g_pos	9367.59733876817
B3GNT35g_pos	9367.59733876817
B3GNT36g_pos	909.4262103995485
B3GNT37g_pos	12260.889770493899
B3GNT39g_pos	28784.2703617233
B3GNT51g_pos	11429.382396367815
BAAT1x_pos	4019.313033942204
BAAT2x_pos	3214.2360901861484
BAAT3x_pos	18054.39410715391
BAAT4x_pos	4019.313033942204
BACCL_pos	5475.280765198108
BACCLm_pos	5903.968912726712
BALABETAtc_pos	1505.6005361369369
BALAPAT1tc_pos	1450.5599016132912
BALAVECSEC_pos	4136.274337725606
BALAtmr_neg	13436.600151033652
BALAtmr_pos	10691.194944452847
BAMPPALDOX_pos	29650.150267205405
