	WT-DHA-d_S143_L007_R1_001
5ADTSTSTERONEtr_pos	56093.96773825356
5AOPtm_neg	14775.612377600328
5AOPtm_pos	0.0
5DHFtl_pos	3217.824820032495
5FTHFt2_neg	0.0
5FTHFt2_pos	6.769004242148102
5HLTDL_pos	7.582268477501173
5HOMEPRAZOLEte_neg	7.496934053800335
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	524.4311287415177
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.640214544757923
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15476.48040538879
5MTAte_pos	15015.038329427509
5MTHFt2_neg	1372.3456571386178
5MTHFt2_pos	1372.3456571386178
5MTHFt2le_neg	2520.20505146625
5MTHFt2le_pos	2520.20505146625
5MTHFt_neg	1372.3456571386178
5MTHFt_pos	1372.3456571386178
5OXPROt_neg	10398.080172267752
5OXPROt_pos	6282.745168419778
5THFtl_pos	3217.0026549182166
5THFtm_pos	3800.195908712255
6DHFtl_pos	3470.9253829377753
6DHFtm_pos	3868.7957780310644
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52770.09441660247
6HTSTSTERONEtr_neg	52770.09441660248
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3470.925382937775
6THFtm_pos	3868.795778031063
7DHCHSTEROLtr_neg	11015.515820289014
7DHCHSTEROLtr_pos	77178.36029649292
7DHFtl_pos	3609.4360104838483
7DHFtm_pos	3915.119565254091
7THFtl_pos	3609.436010483847
7THFtm_pos	3915.11956525409
A4GALTc_pos	0.0
A4GALTg_pos	11465.985674292537
A4GNT1g_pos	0.0
A4GNT2g_pos	260.85598564471076
AACOAT_pos	4341.213490657114
AACTOOR_pos	12247.166766999742
AACTtm_pos	12247.166766999742
AASAD3m_pos	26.86980246553293
AATAi_neg	4003.887645203523
AATAi_pos	49.50529283144993
ABO1g_pos	10758.515807622782
ABO2g_pos	10364.393254014785
ABO3g_pos	10540.360017077624
ABO4g_pos	9740.271634485405
ABO5g_pos	9740.271634485405
ABO6g_pos	9120.676461524454
ABO7g_pos	9120.676461524454
ABO8g_pos	9395.628935914172
ABO9g_pos	8448.481494862475
ABTArm_neg	9724.068763982119
ABTArm_pos	12475.736232184849
ABTD_neg	5080.585228819067
ABTD_pos	8.040314360442819
ABTti_pos	5080.585228819067
ABUTD_pos	12586.784651928045
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	511.5415665448849
ABUTt2r_pos	637.4374205562591
ABUTt4_2_r_neg	637.4374205562591
ABUTt4_2_r_pos	511.5415665448849
ACACT10m_neg	13876.643294257628
ACACT10m_pos	9975.903602922488
ACACT1r_neg	7659.244037316006
ACACT1r_pos	16543.9604095276
ACACT1rm_pos	5423.281205478841
ACACT1x_pos	10216.621587877607
ACACT4p_pos	24965.182304404527
ACACT5p_pos	24965.182304404527
ACACT6p_pos	24965.182304404523
ACACT7p_pos	24286.564644497095
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	514.1267105980468
ACACt2_pos	514.1267105980468
ACACt2m_neg	1331.035583442936
ACACt2m_pos	1331.035583442936
ACACtx_neg	5947.137432500047
ACACtx_pos	0.0
ACALDt_neg	6310.22958648849
ACALDt_pos	5.272608482592936
ACALDtm_neg	9033.247131749167
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55077.68544379358
ACALDtx_neg	0.0
ACALDtx_pos	11.841101102139769
ACCOAC_pos	4269.968578822246
ACCOACm_pos	4275.841820409428
ACCOAL_pos	3302.452917559629
ACCOALm_pos	4482.489346789584
ACCOAgt_neg	0.0
ACCOAgt_pos	19764.888462717874
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1661.8738676895325
ACCOAtr_pos	1661.8738676895325
ACETONEt2_neg	10790.66978217801
ACETONEt2_pos	5.649716506100683
ACETONEt2m_neg	10790.66978217801
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11240.135760810648
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11240.135760810645
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9740.2716344854
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9740.271634485402
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9120.676461524454
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9120.676461524452
ACGALK2_pos	559.5067413732559
ACGALK_pos	558.5227727307299
ACGALtlg_neg	926.5149751410815
ACGALtlg_pos	0.0
ACGALtly_pos	558.5227727307299
ACGAM2E_neg	4161.675170211114
ACGAM2E_pos	30656.7741797461
ACGAM6PSi_pos	3535.2756075472207
ACGAMK_pos	4161.675170211113
ACGAMPM_neg	0.0
ACGAMPM_pos	4161.675170211114
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	926.5149751410815
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	926.5149751410814
ACGPID_pos	51.94110663358052
ACGSm_pos	0.0
ACHEe_pos	5368.172254573874
ACHVESSEC_pos	4130.787433838176
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6072.415450724113
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11459.273467838551
ACN13ACNGALGBSIDEtg_neg	11459.273467838557
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11459.273467838551
ACN23ACNGALGBSIDEtg_neg	11459.273467838557
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12709.759184128694
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12709.759184128692
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11485.059820588975
ACNACNGALGBSIDEtg_neg	11485.05982058898
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8722.811073621337
ACNAM9PL_pos	8431.86200824718
ACNAMPH_pos	8431.86200824718
ACNAMlt_neg	18125.463639705922
ACNAMlt_pos	0.0
ACNAMtn_pos	8847.050011029314
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10371.792772333412
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10371.792772333405
ACNMLr_neg	19067.406457252167
ACNMLr_pos	8431.86200824718
ACOAD10m_pos	329.871184555114
ACOAD1fm_pos	18755.916804217428
ACOAD8m_pos	339.5011112729206
ACOAD9m_pos	12137.530098570649
ACOAHi_pos	3321.4710152186494
ACOAO7p_pos	18309.208314600666
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1205.2726159310394
ACONT_pos	1205.2726159310394
ACONTm_neg	363.45809215236153
ACONTm_pos	363.45809215236153
ACOX22x_pos	69148.50012621711
ACOX2x_pos	59383.258093227094
ACP1_FMN__pos	3418.529015158144
ACRNtm_pos	2634.898101880418
ACS2_pos	3291.022533233272
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3321.4710152186494
ACSm_pos	4321.352993086068
ACTLMO_pos	5563.460564310177
ACTNMO_pos	14597.242700972844
ACYP_pos	3251.973591787496
ACt2m_neg	4357.064281392
ACt2m_pos	4801.521614301104
ACt2r_neg	1302.0098271940362
ACt2r_pos	1302.0098271940362
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7525.999784328636
ADAe_pos	7667.102379753262
ADCim_pos	10790.66978217801
ADEt_neg	6137.268244260627
ADEt_pos	30786.076589992474
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1169.0896007335639
ADK1_pos	1169.0896007335639
ADK1m_neg	425.74577348136523
ADK1m_pos	425.74577348136523
ADK3_neg	1169.0896007335639
ADK3_pos	1169.0896007335639
ADK3m_neg	425.74577348136523
ADK3m_pos	425.74577348136523
ADKd_neg	1166.4626715614527
ADKd_pos	1166.4626715614527
ADMDC_pos	15476.480405388791
ADNCYC_pos	3376.546416419545
ADNK1_pos	3322.8292241028116
ADNK1m_pos	2402.013068805337
ADNK3_pos	4217.348591538619
ADNK4_pos	4217.348591538617
ADNt4_pos	787.3970618948489
ADNt5le_pos	1415.95616300209
ADNt_neg	787.3970618948489
ADNt_pos	1186.8443602516472
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5840.748901250211
ADNtm_pos	8394.38516239023
ADPACDAc_pos	8004.899908332977
ADPACTD_neg	0.0
ADPACTD_pos	8004.899908332978
ADPCOACROT_neg	8004.899908332978
ADPCOACROT_pos	62693.21217989578
ADPCOAPTE_pos	8004.899908332977
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8033.042951266439
ADPRDPm_pos	0.0
ADPRIBt_pos	18.31314634447648
ADPT_pos	3890.719866521275
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.546107028364467
ADRNCOAtx_pos	15420.780173922481
ADRNCPT1_pos	336.3188379427536
ADRNCPT2_pos	336.3188379427536
ADRNCRNt_pos	336.3188379427536
ADRNLPVESSEC_pos	37493.960571449184
ADRNt_neg	1210.89794514506
ADRNt_pos	1217.034209377938
ADSELK_pos	0.0
ADSK_pos	3358.0948995073213
ADSL1_pos	9002.412136719538
ADSL2_pos	20620.026500374715
ADSS_pos	9002.412136719538
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.496934053800334
AG13T10g_pos	10971.810244105542
AG13T11g_pos	10971.810244105542
AG13T12g_pos	10971.810244105542
AG13T13g_pos	10971.810244105542
AG13T14g_pos	10971.810244105542
AG13T15g_pos	10971.810244105542
AG13T16g_pos	7601.130095758225
AG13T17g_pos	7601.130095758225
AG13T18g_pos	7601.130095758225
AG13T1g_pos	7627.365662495877
AG13T2g_pos	7627.365662495877
AG13T3g_pos	7627.365662495877
AG13T4g_pos	10971.810244105542
AG13T5g_pos	10971.810244105542
AG13T6g_pos	10971.810244105542
AG13T7g_pos	10971.810244105542
AG13T8g_pos	10971.810244105542
AG13T9g_pos	10971.810244105542
AGDC_pos	3535.2756075472194
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23627.928277818595
AGPAT1_pos	10463.875632256884
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8811.806484613662
AGTix_pos	12637.701111518787
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2144.7403609450266
AHCYStd_pos	2144.7403609450266
AHCYSte_neg	27091.07285440322
AHCYSte_pos	11447.58353682582
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5767.4971064353795
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10060.285076651617
AHEXASE2ly_pos	17408.309320839457
AHEXASEly_pos	17886.29952952673
AICART_neg	13136.27616619027
AICART_pos	11422.383195705932
AICARte_neg	12757.663094838366
AICARte_pos	11422.38319570593
AIRCr_neg	0.0
AIRCr_pos	20620.02650037471
AK2LGCHOLt_neg	6.946453044385695
AK2LGCHOLt_pos	6639.514694355873
AKGDm_pos	10671.878523205056
AKGMALtm_neg	586.3716994833134
AKGMALtm_pos	436.9431145012438
AKGt4_3_neg	803.2438387837233
AKGt4_3_pos	956.713001517879
AKGtp_neg	0.0
AKGtp_pos	47.63532497599125
AKR1C1_pos	62157.4307975008
AKR1C41_pos	2105.488124224971
AKR1C42_pos	2105.4881242249717
AKR1D2_pos	65572.55787602588
AKR1D_pos	11164.231693844577
ALA-DTDe_pos	1367.876033952295
ALAALACNc_neg	0.0
ALAALACNc_pos	7589.015984973721
ALAALAPEPT1tc_pos	7589.015984973718
ALAASNNaEx_pos	734.0742732953443
ALAATB0tc_pos	1329.5826287110178
ALACYSNaEx_pos	721.9698793567267
ALADGLNexR_neg	711.3785790807686
ALADGLNexR_pos	643.9844879298992
ALADGLYexR_neg	591.5670666641923
ALADGLYexR_pos	546.6285137558696
ALAGLNNaEx_pos	734.0742732953443
ALAGLNexR_neg	384.86910339245435
ALAGLNexR_pos	384.86910339245435
ALAGLYexR_neg	591.5670666641923
ALAGLYexR_pos	447.4147341768363
ALAR_neg	2.43703065207451
ALAR_pos	3838.3498754502853
ALASERNaEx_pos	727.4664577483862
ALASm_pos	370.6837001310487
ALATA_L_neg	4319.954122149409
ALATA_L_pos	3665.5130911410392
ALATHRNaEx_pos	748.096981162854
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	492.76293144851843
ALAt2r_pos	591.5670666641923
ALAt4_pos	246.36088903934615
ALAtN1_neg	384.86910339245435
ALAtN1_pos	384.86910339245435
ALAyLATthc_pos	492.8086574149919
ALCD1_neg	6719.812435257934
ALCD1_pos	13.53286594989479
ALCD21_D_pos	425.9489270118489
ALCD21_L_pos	911.5038955279243
ALCD22_D_pos	306.90052470746605
ALCD22_L_pos	911.5038955279243
ALCD2if_pos	5.744070847658576
ALCD2yf_pos	5.753037929470778
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.63532497599126
ALDD2x_pos	6950.858035781095
ALDD2xm_pos	9033.247131749165
ALDD2y_pos	6787.891045018869
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53753.89390048231
ALDSTRNtm_neg	53753.89390048231
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3478.3928054371863
ALOX5_pos	98.47854439453185
ALR2_pos	911.5038955279243
ALR3_pos	911.5038955279243
AMACR2p_pos	18425.835712631786
AMACR2r_pos	0.0
AMACRp_pos	59383.258093227094
AMACRr_pos	0.0
AMANK_pos	8431.86200824718
AMCOXO_pos	47.867720342283874
AMETr_neg	0.0
AMETr_pos	5767.497106435381
AMETt2m_neg	2144.7403609450266
AMETt2m_pos	2144.7403609450266
AMETtd_neg	2144.7403609450266
AMETtd_pos	2144.7403609450266
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6688.310760750088
AMPTASECG_pos	7074.722065888684
AMPTASECGe_pos	8346.67319147638
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.451259790188356
AMY2e_pos	13.451259790188356
ANDRSTRNGLCte_pos	70034.22530941205
ANDRSTRNGLCtr_neg	70034.225309412
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56567.777480257864
ANDRSTRNte_pos	17.822145769940605
ANDRSTRNtr_neg	17.822145769940608
ANDRSTRNtr_pos	56567.77748025785
ANTHte_neg	10.965752645360208
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.918721323993263
AOBUTDsm_pos	12247.166766999742
AP4AH1_pos	0.0
APAT2rm_neg	13717.553434090349
APAT2rm_pos	10983.02947934999
APNNOXte_neg	7.496934053800334
APNNOXte_pos	0.0
APOCF_pos	5739.7136856447505
APOCFm_pos	6172.82643298695
APOC_LYS_BTNP_pos	5739.7136856447505
APOC_LYS_BTNPm_pos	6172.82643298695
APPNNte_neg	0.0
APPNNte_pos	7.496934053800334
APRGSTRNte_neg	62157.430797500776
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.432129169158726
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.432129169158726
ARACHCOAtx_neg	26860.282816009578
ARACHCOAtx_pos	11567.581605757343
ARACHCPT1_pos	12120.555757846056
ARACHCPT2_pos	12120.555757846056
ARACHCRNt_pos	12120.555757846056
ARACHDCOAtx_neg	4969.397147648275
ARACHDCOAtx_pos	196.8358559172586
ARACHDt2_neg	371.17303442316097
ARACHDt2_pos	377.309298656039
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4402.731741498181
ARACHt_neg	1222.4700129306473
ARACHt_pos	1228.606277163525
ARGATB0tc_pos	1799.0942757789685
ARGDCm_pos	23627.928277818595
ARGLYSex_pos	691.9575374679738
ARGN_pos	13751.327797339745
ARGNm_pos	14396.048715044952
ARGSL_neg	0.0
ARGSL_pos	13027.2035275996
ARGSS_pos	13027.203527599591
ARGt4_pos	1513.847294142376
ARGtiDF_pos	492.8086574149919
ARGtm_neg	1504.3108465700975
ARGtm_pos	1196.1269281292023
ARSA_pos	39145.611306608436
ARTCOAL1_pos	4960.345324680194
ARTCOAL2_pos	4960.345324680195
ARTCOAL3_pos	4960.345324680195
ASAH1_pos	38760.31776918711
ASCBOX_pos	9039.45972144828
ASCBSVCTtc_pos	3311.6612861724366
ASCBt4_neg	492.54834838397755
ASCBt4_pos	1279.7494086728066
ASCBt_neg	1279.7494086728066
ASCBt_pos	1285.8856729056845
ASNALANaEx_pos	734.0742732953443
ASNATB0tc_pos	1471.17044473345
ASNCYSNaEx_pos	884.3440978052604
ASNGLNNaEx_pos	734.0742732953443
ASNNm_pos	8698.129245917366
ASNPHELAT2tc_pos	534.5797088239112
ASNS1_pos	7293.197048569683
ASNSERNaEx_pos	880.9976589346348
ASNTHRNaEx_pos	910.4711996113878
ASNt4_pos	342.20794713596354
ASNtN1_neg	342.20794713596354
ASNtN1_pos	590.6128636482016
ASNtm_pos	8698.129245917366
ASP1DC_pos	9278.381510718313
ASPCTr_neg	0.0
ASPCTr_pos	19050.276358068488
ASPDTDe_neg	11.66689754224116
ASPDTDe_pos	2205.8836614907477
ASPDt6_pos	2205.8836614907477
ASPDxt_neg	11.415660912113275
ASPDxt_pos	0.0
ASPGLUm_pos	2590.83238116936
ASPNATm_pos	7632.051031719287
ASPPROASCT1_pos	1818.11786994403
ASPTA_neg	7308.831722424483
ASPTA_pos	2590.83238116936
ASPTAm_neg	2590.83238116936
ASPTAm_pos	9233.053812935863
ASPt6_pos	2205.8836614907477
ASPte_pos	1216.9965740816963
ATP1ter_neg	0.0
ATP1ter_pos	7180.197894182179
ATP2ter_neg	4709.279910674561
ATP2ter_pos	4709.279910674561
ATPH1e_pos	14188.470061081029
ATPH2e_pos	3.091285172316299
ATPS4m_pos	1644.389889658827
ATPasel_pos	24355.026306268857
ATPtm_pos	641.7650151533408
ATPtn_neg	0.0
ATPtn_pos	9812.074335064735
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4205.927633065437
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17693.004376379602
Asn_X_Ser_Thrtr_neg	17371.735902510816
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11465.985674292539
B3GALT41g_pos	12806.142928320842
B3GALT42g_pos	12990.007650029553
B3GALT43g_pos	13174.693358606859
B3GALT44g_pos	13462.240966123261
B3GALT5g_pos	10632.902754764875
B3GALTg_pos	11806.762218233327
B3GNT11g_pos	9952.170378271863
B3GNT12g_pos	9061.118201514058
B3GNT310g_pos	11737.261949136753
B3GNT311g_pos	9740.271634485405
B3GNT312g_pos	9952.170378271863
B3GNT313g_pos	9120.676461524454
B3GNT314g_pos	8448.481494862475
B3GNT315g_pos	9061.118201514058
B3GNT31g_pos	9815.450877395928
B3GNT32g_pos	9815.450877395928
B3GNT33g_pos	9815.450877395928
B3GNT34g_pos	9611.103361107647
B3GNT35g_pos	9611.103361107647
B3GNT36g_pos	926.5149751410815
B3GNT37g_pos	12718.022482711262
B3GNT39g_pos	29622.859436020146
B3GNT51g_pos	11737.261949136755
BAAT1x_pos	4027.560279308924
BAAT2x_pos	3244.9204555559354
BAAT3x_pos	18425.835712631786
BAAT4x_pos	4027.560279308924
BACCL_pos	5739.7136856447505
BACCLm_pos	6172.82643298695
BALABETAtc_pos	1576.3741493217371
BALAPAT1tc_pos	1456.3889908640394
BALAVECSEC_pos	4200.01686038486
BALAtmr_neg	13717.55343409035
BALAtmr_pos	10983.029479349992
BAMPPALDOX_pos	30490.842336192265
