subsystem
Propanoate metabolism
Tyrosine metabolism
Aminosugar metabolism
"Valine, leucine, and isoleucine metabolism"
Citric acid cycle
Bile acid synthesis
Eicosanoid metabolism
Urea cycle
Alanine and aspartate metabolism
Oxidative phosphorylation
Glutamate metabolism
Glycerophospholipid metabolism
Nucleotide interconversion
Fatty acid synthesis
Tetrahydrobiopterin metabolism
Glycolysis/gluconeogenesis
Fatty acid oxidation
Galactose metabolism
Fructose and mannose metabolism
Tryptophan metabolism
Folate metabolism
Blood group synthesis
Sphingolipid metabolism
Glutathione metabolism
Purine catabolism
Steroid metabolism
Pyruvate metabolism
Cytochrome metabolism
"Transport, mitochondrial"
"Transport, extracellular"
Phenylalanine metabolism
Inositol phosphate metabolism
CoA synthesis
Pyrimidine synthesis
Phosphatidylinositol phosphate metabolism
Androgen and estrogen synthesis and metabolism
Vitamin B2 metabolism
Cholesterol metabolism
Pentose phosphate pathway
Pyrimidine catabolism
Starch and sucrose metabolism
Methionine and cysteine metabolism
Unassigned
CoA catabolism
