	Ob-911-c_S139_L007_R1_001
ACACT10m_pos	9650.511458787054
ACACT1r_neg	7043.346234250347
ACACT1r_pos	16035.817265121494
ACACT1rm_pos	5009.33146273675
ACACT1x_pos	9623.661848272246
ACACT4p_pos	23992.83199345393
ACACT5p_pos	23992.83199345394
ACACT6p_pos	23992.83199345393
ACACT7p_pos	23334.656702558903
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	389.8472876442289
ACACt2_pos	389.8472876442289
ACACt2m_neg	1239.9955977509553
ACACt2m_pos	1239.9955977509553
ACACtx_neg	5708.230004620724
ACACtx_pos	0.0
ACALDt_neg	6299.008001226912
ACALDt_pos	5.137839923737647
ACALDtm_neg	9019.700694957886
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54137.94223353562
ACALDtx_neg	0.0
ACALDtx_pos	11.71997222753587
ACCOAC_pos	4206.1957651170005
ACCOACm_pos	4191.223599602381
ACCOAL_pos	3257.454319772729
ACCOALm_pos	4496.803784572327
ACCOAgt_neg	0.0
ACCOAgt_pos	19076.448887668615
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1469.4020564777447
ACCOAtr_pos	1469.4020564777447
ACETONEt2_neg	10541.272212743474
ACETONEt2_pos	5.500905454895606
ACETONEt2m_neg	10541.272212743474
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10908.407522747118
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10908.407522747118
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9418.770690535031
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9418.77069053503
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8819.776470253339
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8819.776470253339
ACGALK2_pos	540.8329592981368
ACGALK_pos	539.8377747728304
ACGALtlg_neg	896.2131224686013
ACGALtlg_pos	0.0
ACGALtly_pos	539.8377747728304
ACGAM2E_neg	3924.165774250841
ACGAM2E_pos	29878.0647585003
ACGAM6PSi_pos	3390.6100725926026
ACGAMK_pos	3924.1657742508414
ACGAMPM_neg	0.0
ACGAMPM_pos	3924.165774250841
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	896.2131224686013
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	896.2131224686013
ACGPID_pos	50.77488734783727
ACGSm_pos	0.0
ACHEe_pos	5175.0606390065495
ACHVESSEC_pos	4093.7795087261757
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5733.815949248698
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11106.872393301192
ACN13ACNGALGBSIDEtg_neg	11106.872393301195
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11106.872393301192
ACN23ACNGALGBSIDEtg_neg	11106.872393301195
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12260.960736063287
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12260.96073606328
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11115.72834467728
ACNACNGALGBSIDEtg_neg	11115.728344677284
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8638.988989252926
ACNAM9PL_pos	8325.453254936892
ACNAMPH_pos	8325.453254936892
ACNAMlt_neg	17794.077522711308
ACNAMlt_pos	0.0
ACNAMtn_pos	8762.669685470111
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10019.922216891984
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10019.922216891984
ACNMLr_neg	18394.836022194824
ACNMLr_pos	8325.453254936892
ACOAD10m_pos	295.211715677819
ACOAD1fm_pos	18123.367692640306
ACOAD8m_pos	319.1541537869946
ACOAD9m_pos	11852.129133380779
ACOAHi_pos	3197.7470252743005
ACOAO7p_pos	17539.32317137155
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1174.139319748107
ACONT_pos	1174.139319748107
ACONTm_neg	313.6371982322109
ACONTm_pos	313.6371982322109
ACOX22x_pos	68424.84253511252
ACOX2x_pos	58330.76110077784
ACP1_FMN__pos	3351.087527980785
ACRNtm_pos	2292.628411489047
ACS2_pos	3185.995496481534
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3197.747025274302
ACSm_pos	4463.813037150783
ACTLMO_pos	5462.293132167323
ACTNMO_pos	14187.818935656838
ACYP_pos	3206.512983317205
ACt2m_neg	4122.153216880983
ACt2m_pos	4851.94970222458
ACt2r_neg	1217.3227832835712
ACt2r_pos	1217.3227832835712
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7496.814382095363
ADAe_pos	7661.175656298489
ADCim_pos	10541.272212743472
ADEt_neg	6196.533156443298
ADEt_pos	30673.284265878414
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1160.7756822805381
ADK1_pos	1160.7756822805381
ADK1m_neg	410.2089216026649
ADK1m_pos	410.2089216026649
ADK3_neg	1160.7756822805381
ADK3_pos	1160.7756822805381
ADK3m_neg	410.2089216026649
ADK3m_pos	410.2089216026649
ADKd_neg	1158.0094166798797
ADKd_pos	1158.0094166798797
ADMDC_pos	15070.47574126654
ADNCYC_pos	3255.806465149948
ADNK1_pos	3295.4187322776334
ADNK1m_pos	2372.9502989578964
ADNK3_pos	4196.413919791584
ADNK4_pos	4196.413919791584
ADNt4_pos	853.9853615438968
ADNt5le_pos	1380.7741054283879
ADNt_neg	853.9853615438968
ADNt_pos	1202.4295912526588
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5760.586957845342
ADNtm_pos	8297.586041315193
ADPACDAc_pos	7793.763225897621
ADPACTD_neg	0.0
ADPACTD_pos	7793.76322589762
ADPCOACROT_neg	7793.763225897622
ADPCOACROT_pos	61436.393287852814
ADPCOAPTE_pos	7793.76322589762
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7838.867438061986
ADPRDPm_pos	0.0
ADPRIBt_pos	17.40896395715297
ADPT_pos	3776.36868980923
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.018091392948277
ADRNCOAtx_pos	14824.814438387008
ADRNCPT1_pos	324.11564519373206
ADRNCPT2_pos	324.11564519373206
ADRNCRNt_pos	324.11564519373206
ADRNLPVESSEC_pos	36979.77693134754
ADRNt_neg	1185.261691226613
ADRNt_pos	1189.0840764456727
ADSELK_pos	0.0
ADSK_pos	3312.3827976222397
ADSL1_pos	8835.824833581415
ADSL2_pos	20446.28900968342
ADSS_pos	8835.824833581415
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.422389412793262
AG13T10g_pos	10706.825349372364
AG13T11g_pos	10706.825349372364
AG13T12g_pos	10706.825349372364
AG13T13g_pos	10706.825349372364
AG13T14g_pos	10706.825349372364
AG13T15g_pos	10706.825349372364
AG13T16g_pos	7455.2660799645055
AG13T17g_pos	7455.2660799645055
AG13T18g_pos	7455.2660799645055
AG13T1g_pos	7479.653140876609
AG13T2g_pos	7479.653140876609
AG13T3g_pos	7479.653140876609
AG13T4g_pos	10706.825349372364
AG13T5g_pos	10706.825349372364
AG13T6g_pos	10706.825349372364
AG13T7g_pos	10706.825349372364
AG13T8g_pos	10706.825349372364
AG13T9g_pos	10706.825349372364
AGDC_pos	3390.6100725926026
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23256.37321361731
AGPAT1_pos	10224.405626647644
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8694.872372186072
AGTix_pos	12274.49990129067
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2128.7059510826157
AHCYStd_pos	2128.7059510826157
AHCYSte_neg	27041.30352049053
AHCYSte_pos	11161.142302177119
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5697.723926644033
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9711.168591403117
AHEXASE2ly_pos	17106.243802562996
AHEXASEly_pos	17569.159270750934
AICART_neg	12837.271764672512
AICART_pos	11064.131509133129
AICARte_neg	12414.189302027507
AICARte_pos	11064.131509133129
AIRCr_neg	0.0
AIRCr_pos	20446.289009683376
AK2LGCHOLt_neg	6.805121338198007
AK2LGCHOLt_pos	6367.161717933068
AKGDm_pos	10568.129162466168
AKGMALtm_neg	455.4686258182463
AKGMALtm_pos	340.00855676920673
AKGt4_3_neg	691.4280412474839
AKGt4_3_pos	789.9884009895071
AKGtp_neg	0.0
AKGtp_pos	45.750700813870004
AKR1C1_pos	61333.56843284592
AKR1C41_pos	2093.6020086984386
AKR1C42_pos	2093.6020086984386
AKR1D2_pos	64540.54473532006
AKR1D_pos	11084.543522937
ALA-DTDe_pos	1332.197302672108
ALAALACNc_neg	0.0
ALAALACNc_pos	7471.95035756914
ALAALAPEPT1tc_pos	7471.950357569141
ALAASNNaEx_pos	756.5931128098083
ALAATB0tc_pos	1284.0509855275873
ALACYSNaEx_pos	640.5394740846918
ALADGLNexR_neg	656.4190693259507
ALADGLNexR_pos	599.0214508192627
ALADGLYexR_neg	556.411436175292
ALADGLYexR_pos	507.95666584753343
ALAGLNNaEx_pos	756.5931128098083
ALAGLNexR_neg	363.259154909023
ALAGLNexR_pos	363.259154909023
ALAGLYexR_neg	556.411436175292
ALAGLYexR_pos	416.8918808758042
ALAR_neg	2.405952361399142
ALAR_pos	3762.0967251332268
ALASERNaEx_pos	636.1553392608656
ALASm_pos	342.2790290797792
ALATA_L_neg	4279.02649967644
ALATA_L_pos	3360.032238428919
ALATHRNaEx_pos	700.6850990032456
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	460.89938520531433
ALAt2r_pos	556.411436175292
ALAt4_pos	231.95531455510172
ALAtN1_neg	363.259154909023
ALAtN1_pos	363.259154909023
ALAyLATthc_pos	460.89938520531433
ALCD1_neg	6583.037410068024
ALCD1_pos	13.381461727807682
ALCD21_D_pos	399.63381581271176
ALCD21_L_pos	821.7030456894757
ALCD22_D_pos	302.66150952588157
ALCD22_L_pos	821.7030456894757
ALCD2if_pos	5.614789990479166
ALCD2yf_pos	5.6174909361933745
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.750700813870004
ALDD2x_pos	6768.985412381756
ALDD2xm_pos	9019.700694957884
ALDD2y_pos	6615.017604447945
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52971.012190636306
ALDSTRNtm_neg	52971.012190636306
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3485.9269581999215
ALOX5_pos	96.09277089296461
ALR2_pos	821.7030456894757
ALR3_pos	821.7030456894757
AMACR2p_pos	18048.623032059524
AMACR2r_pos	0.0
AMACRp_pos	58330.76110077784
AMACRr_pos	0.0
AMANK_pos	8325.453254936892
AMCOXO_pos	46.9265753432342
AMETr_neg	0.0
AMETr_pos	5697.723926644033
AMETt2m_neg	2128.7059510826157
AMETt2m_pos	2128.7059510826157
AMETtd_neg	2128.7059510826157
AMETtd_pos	2128.7059510826157
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6525.513837747362
AMPTASECG_pos	6850.392061526224
AMPTASECGe_pos	8008.014918655496
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.447086699439847
AMY2e_pos	13.447086699439847
ANDRSTRNGLCte_pos	69138.7434238644
ANDRSTRNGLCtr_neg	69138.7434238644
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55600.584983587905
ANDRSTRNte_pos	17.58537660305306
ANDRSTRNtr_neg	17.585376603053067
ANDRSTRNtr_pos	55600.58498358791
ANTHte_neg	10.80730522070053
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.901482338606389
AOBUTDsm_pos	12128.440968946194
AP4AH1_pos	0.0
APAT2rm_neg	13466.035500020378
APAT2rm_pos	10712.70545825555
APNNOXte_neg	7.422389412793263
APNNOXte_pos	0.0
APOCF_pos	5404.427076493632
APOCFm_pos	5819.432023600489
APOC_LYS_BTNP_pos	5404.427076493632
APOC_LYS_BTNPm_pos	5819.432023600489
APPNNte_neg	0.0
APPNNte_pos	7.422389412793263
APRGSTRNte_neg	61333.56843284593
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.347945528294762
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.347945528294762
ARACHCOAtx_neg	25820.414698395492
ARACHCOAtx_pos	11038.509020653575
ARACHCPT1_pos	11659.285748353243
ARACHCPT2_pos	11659.285748353243
ARACHCRNt_pos	11659.285748353243
ARACHDCOAtx_neg	4942.191194948066
ARACHDCOAtx_pos	189.2678625111756
ARACHDt2_neg	342.55663149330667
ARACHDt2_pos	346.37901671236654
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4288.29708966738
ARACHt_neg	1197.418143197168
ARACHt_pos	1201.2405284162278
ARGATB0tc_pos	1689.100703350334
ARGDCm_pos	23256.37321361731
ARGLYSex_pos	643.4106598267363
ARGN_pos	13535.006208869734
ARGNm_pos	14320.545359368998
ARGSL_neg	0.0
ARGSL_pos	12835.41524225358
ARGSS_pos	12835.415242253586
ARGt4_pos	1469.400851752187
ARGtiDF_pos	460.89938520531433
ARGtm_neg	1475.7198618954124
ARGtm_pos	1175.6700825241844
ARSA_pos	38098.3613650471
ARTCOAL1_pos	4874.548711321492
ARTCOAL2_pos	4874.548711321492
ARTCOAL3_pos	4874.548711321492
ASAH1_pos	37828.94865967505
ASCBOX_pos	8633.080930446711
ASCBSVCTtc_pos	3227.9174198527285
ASCBt4_neg	413.8139148810653
ASCBt4_pos	1230.7675820133559
ASCBt_neg	1230.7675820133559
ASCBt_pos	1234.5899672324156
ASNALANaEx_pos	756.5931128098083
ASNATB0tc_pos	1361.8553978758619
ASNCYSNaEx_pos	905.1747660831982
ASNGLNNaEx_pos	756.5931128098083
ASNNm_pos	8335.277056210123
ASNPHELAT2tc_pos	499.94489019161006
ASNS1_pos	7034.246532691741
ASNSERNaEx_pos	899.2173311041345
ASNTHRNaEx_pos	938.7226827532667
ASNt4_pos	325.32710341512814
ASNtN1_neg	325.32710341512814
ASNtN1_pos	596.5425157682109
ASNtm_pos	8335.277056210123
ASP1DC_pos	9151.02704888092
ASPCTr_neg	0.0
ASPCTr_pos	18728.75510041056
ASPDTDe_neg	11.39272277777832
ASPDTDe_pos	2042.3797465997004
ASPDt6_pos	2042.3797465997004
ASPDxt_neg	11.160754306733654
ASPDxt_pos	0.0
ASPGLUm_pos	2460.3156323669764
ASPNATm_pos	7314.764558858802
ASPPROASCT1_pos	1621.835143580993
ASPTA_neg	7086.827825530867
ASPTA_pos	2460.3156323669764
ASPTAm_neg	2460.3156323669764
ASPTAm_pos	8848.909587407066
ASPt6_pos	2042.3797465997004
ASPte_pos	1192.8444473838117
ATP1ter_neg	0.0
ATP1ter_pos	7127.260612467615
ATP2ter_neg	4509.679033070022
ATP2ter_pos	4509.679033070022
ATPH1e_pos	13746.549382010871
ATPH2e_pos	3.0218284047464032
ATPS4m_pos	1556.4793539348384
ATPasel_pos	23723.25848173211
ATPtm_pos	610.9329703514264
ATPtn_neg	0.0
ATPtn_pos	9677.985925234028
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4155.140083373218
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17379.376910190596
Asn_X_Ser_Thrtr_neg	17073.024295357485
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11127.5811952938
B3GALT41g_pos	12319.830902475185
B3GALT42g_pos	12508.150288938736
B3GALT43g_pos	12688.79879620923
B3GALT44g_pos	13008.490697714105
B3GALT5g_pos	10303.805483302087
B3GALTg_pos	11479.478306705822
B3GNT11g_pos	9655.183083396489
B3GNT12g_pos	8799.848588485034
B3GNT310g_pos	11388.014587489355
B3GNT311g_pos	9418.770690535026
B3GNT312g_pos	9655.183083396489
B3GNT313g_pos	8819.776470253339
B3GNT314g_pos	8197.822958344621
B3GNT315g_pos	8799.848588485034
B3GNT31g_pos	9517.510177789676
B3GNT32g_pos	9517.510177789676
B3GNT33g_pos	9517.510177789676
B3GNT34g_pos	9316.583393388664
B3GNT35g_pos	9316.583393388664
B3GNT36g_pos	896.2131224686013
B3GNT37g_pos	12316.487735158898
B3GNT39g_pos	28794.378946327342
B3GNT51g_pos	11388.014587489355
BAAT1x_pos	4025.0156998593266
BAAT2x_pos	3236.9954961174726
BAAT3x_pos	18048.623032059524
BAAT4x_pos	4025.0156998593266
BACCL_pos	5404.427076493632
BACCLm_pos	5819.432023600489
BALABETAtc_pos	1512.0903148763007
BALAPAT1tc_pos	1426.7001506610584
BALAVECSEC_pos	4161.431152484718
BALAtmr_neg	13466.035500020385
