	WT-1012-b_S130_L007_R1_001
10FTHF5GLUtl_pos	3238.78228372299
10FTHF5GLUtm_pos	3806.531512642398
10FTHF6GLUtl_pos	3499.964808363123
10FTHF6GLUtm_pos	3875.090889749404
10FTHF7GLUtl_pos	3646.6284494975625
10FTHF7GLUtm_pos	3922.1116248355297
10FTHFtl_neg	3238.7822837229896
10FTHFtl_pos	0.0
10FTHFtm_neg	5362.17420408653
10FTHFtm_pos	13313.995289373772
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52294.061564503696
11DOCRTSLtr_neg	52294.061564503674
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54828.14544684466
11DOCRTSTRNtr_neg	54828.14544684468
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30553.25222562148
1MNCAMti_pos	47.36651611499389
1PPDCRp_pos	49.32358776917246
1a25DHVITD3TRn_pos	50608.094696050706
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.27670897124693
24NPHte_pos	0.0
24_25DHVITD2t_pos	11.055885877288755
24_25DHVITD2tm_pos	11.055885877288755
24_25DHVITD3t_pos	50557.20633401446
24_25DHVITD3tm_pos	52355.304813490104
24_25VITD2Hm_pos	11.055885877288755
24_25VITD3Hm_pos	52355.304813490104
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50608.09469605072
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	8049.133148514795
2AMACSULT_pos	18799.10391513957
2AMADPTm_pos	3980.227787423676
2DR1PP_pos	4423.722104956067
2HBO_neg	7681.853756905635
2HBO_pos	8.163841163619546
2HBt2_neg	476.97444530684874
2HBt2_pos	476.97444530684874
2HCO3_NAt_neg	381.9790645516
2HCO3_NAt_pos	401.25035472416664
2MB2COAc_neg	0.0
2MB2COAc_pos	12183.03352943738
2MCITt_neg	0.0
2MCITt_pos	14670.56290473516
2OXOADOXm_pos	69.80010151244251
2OXOADPTm_neg	3980.227787423676
2OXOADPTm_pos	94.92208362404666
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	32086.782096393235
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	32086.78209639323
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	590.784562725617
