	WT.b_S126_L007_R1_001
5AOPtm_neg	14754.554838929254
5AOPtm_pos	0.0
5DHFtl_pos	3243.7280735340637
5FTHFt2_neg	0.0
5FTHFt2_pos	6.742760266770798
5HLTDL_pos	7.553366835628514
5HOMEPRAZOLEte_neg	7.52820665611889
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	524.0449652313016
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.622985251649194
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15383.141234871218
5MTAte_pos	15321.169788090461
5MTHFt2_neg	1374.7253394517818
5MTHFt2_pos	1374.7253394517818
5MTHFt2le_neg	2530.31720395624
5MTHFt2le_pos	2530.31720395624
5MTHFt_neg	1374.7253394517818
5MTHFt_pos	1374.7253394517818
5OXPROt_neg	10496.956226285245
5OXPROt_pos	6253.864950405386
5THFtl_pos	3240.710063407841
5THFtm_pos	3795.9102793603106
6DHFtl_pos	3497.974530780063
6DHFtm_pos	3868.124124725165
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52799.74130760088
6HTSTSTERONEtr_neg	52799.74130760088
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3497.974530780063
6THFtm_pos	3868.1241247251646
7DHCHSTEROLtr_neg	10989.076516407385
7DHCHSTEROLtr_pos	77270.11647440905
7DHFtl_pos	3643.083200459801
7DHFtm_pos	3917.991078818847
7THFtl_pos	3643.083200459802
7THFtm_pos	3917.991078818847
A4GALTc_pos	0.0
A4GALTg_pos	11560.95174566261
A4GNT1g_pos	0.0
A4GNT2g_pos	259.06763723748185
AACOAT_pos	4342.915727877963
AACTOOR_pos	12396.076132969327
AACTtm_pos	12396.076132969327
AASAD3m_pos	26.71470154667203
AATAi_neg	4019.7580046912485
AATAi_pos	49.15499441746542
ABO1g_pos	10808.076451645305
ABO2g_pos	10426.967241456683
ABO3g_pos	10614.518252313173
ABO4g_pos	9792.66232215587
ABO5g_pos	9792.66232215587
ABO6g_pos	9170.088103081638
ABO7g_pos	9170.088103081638
ABO8g_pos	9466.343720624824
ABO9g_pos	8516.297645678516
ABTArm_neg	9649.34630498002
ABTArm_pos	12490.069315276822
ABTD_neg	5083.059604182405
ABTD_pos	8.054582222904262
ABTti_pos	5083.059604182405
ABUTD_pos	12538.34626664835
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	519.8790297574741
ABUTt2r_pos	650.3352457792504
ABUTt4_2_r_neg	650.3352457792504
ABUTt4_2_r_pos	519.8790297574741
ACACT10m_neg	13785.661268731223
ACACT10m_pos	9896.64063077112
ACACT1r_neg	7477.954273235491
ACACT1r_pos	16576.05858515434
ACACT1rm_pos	5287.2225362113995
ACACT1x_pos	10055.846587374434
ACACT4p_pos	24759.14441717302
ACACT5p_pos	24759.144417173033
ACACT6p_pos	24759.14441717303
ACACT7p_pos	24084.73121258914
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	466.9003812824358
ACACt2_pos	466.9003812824358
ACACt2m_neg	1285.255200220888
ACACt2m_pos	1285.255200220888
ACACtx_neg	5940.2181193555725
ACACtx_pos	0.0
ACALDt_neg	6452.3943097168185
ACALDt_pos	5.235901156650284
ACALDtm_neg	9242.655919142375
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55085.73979560651
ACALDtx_neg	0.0
ACALDtx_pos	11.81560804823877
ACCOAC_pos	4335.332919182191
ACCOACm_pos	4260.920823054937
ACCOAL_pos	3364.803209829829
ACCOALm_pos	4702.108067532877
ACCOAgt_neg	0.0
ACCOAgt_pos	19790.41812915007
ACCOAtn_neg	5510.122819054446
ACCOAtn_pos	5510.122819054446
ACCOAtr_neg	1564.5047936616936
ACCOAtr_pos	1564.5047936616936
ACETONEt2_neg	10771.489504809451
ACETONEt2_pos	5.613747371795128
ACETONEt2m_neg	10771.489504809451
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11333.211600300323
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11333.211600300323
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9792.662322155866
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9792.66232215587
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9170.08810308164
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9170.088103081638
ACGALK2_pos	556.4217926027773
ACGALK_pos	555.4405309939723
ACGALtlg_neg	930.2002317897519
ACGALtlg_pos	0.0
ACGALtly_pos	555.4405309939723
ACGAM2E_neg	4140.215113880136
ACGAM2E_pos	30726.262459746627
ACGAM6PSi_pos	3569.147352374829
ACGAMK_pos	4140.215113880136
ACGAMPM_neg	0.0
ACGAMPM_pos	4140.215113880136
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	930.2002317897517
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	930.2002317897519
ACGPID_pos	52.106986700297284
ACGSm_pos	0.0
ACHEe_pos	5499.617963810874
ACHVESSEC_pos	4198.114851279266
ACHtn_neg	5510.122819054446
ACHtn_pos	5510.122819054446
ACITL_pos	5987.6202748670485
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11527.458948739677
ACN13ACNGALGBSIDEtg_neg	11527.458948739675
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11527.458948739677
ACN23ACNGALGBSIDEtg_neg	11527.458948739675
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12773.091209376089
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12773.09120937609
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11554.170358565556
ACNACNGALGBSIDEtg_neg	11554.170358565552
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8894.36746582759
ACNAM9PL_pos	8536.686047866393
ACNAMPH_pos	8536.686047866393
ACNAMlt_neg	18220.49379354791
ACNAMlt_pos	0.0
ACNAMtn_pos	8822.368687919648
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10440.100146809385
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10440.100146809385
ACNMLr_neg	19072.886595103755
ACNMLr_pos	8536.686047866391
ACOAD10m_pos	317.86732253430404
ACOAD1fm_pos	18585.684505704194
ACOAD8m_pos	329.2983780961759
ACOAD9m_pos	12089.570923433674
ACOAHi_pos	3355.5929252805304
ACOAO7p_pos	18069.637750573344
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1198.8104325456297
ACONT_pos	1198.8104325456297
ACONTm_neg	354.33696254242506
ACONTm_pos	354.33696254242506
ACOX22x_pos	69257.01519740898
ACOX2x_pos	59302.81973145699
ACP1_FMN__pos	3476.9604795020273
ACRNtm_pos	2539.972161682176
ACS2_pos	3329.610895294603
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3355.5929252805304
ACSm_pos	4543.264573600274
ACTLMO_pos	5550.853575633059
ACTNMO_pos	14482.589431691615
ACYP_pos	3312.933408052882
ACt2m_neg	4280.455801660674
ACt2m_pos	4902.830941070542
ACt2r_neg	1267.188890534298
ACt2r_pos	1267.188890534298
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7621.923920758268
ADAe_pos	7776.012952967922
ADCim_pos	10771.489504809453
ADEt_neg	6343.064594126464
ADEt_pos	31182.500909525985
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1013.7029582833885
ADK1_pos	1013.7029582833885
ADK1m_neg	412.27626770046675
ADK1m_pos	412.27626770046675
ADK3_neg	1013.7029582833885
ADK3_pos	1013.7029582833885
ADK3m_neg	412.27626770046675
ADK3m_pos	412.27626770046675
ADKd_neg	1011.0440779264027
ADKd_pos	1011.0440779264027
ADMDC_pos	15383.141234871217
ADNCYC_pos	3424.46570887516
ADNK1_pos	3403.0882482940283
ADNK1m_pos	2405.9489640079332
ADNK3_pos	4296.700244588784
ADNK4_pos	4296.700244588784
ADNt4_pos	977.791373674315
ADNt5le_pos	1411.9536298622415
ADNt_neg	977.791373674315
ADNt_pos	1180.661964111614
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5905.586663067393
ADNtm_pos	8677.22733610525
ADPACDAc_pos	8025.700259127435
ADPACTD_neg	0.0
ADPACTD_pos	8025.700259127435
ADPCOACROT_neg	8025.700259127435
ADPCOACROT_pos	62576.03082553859
ADPCOAPTE_pos	8025.700259127435
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8024.986338138675
ADPRDPm_pos	0.0
ADPRIBt_pos	18.440797145222316
ADPT_pos	3939.1869526935443
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.337282686800338
ADRNCOAtx_pos	15250.145268160371
ADRNCPT1_pos	332.6523007154429
ADRNCPT2_pos	332.6523007154429
ADRNCRNt_pos	332.6523007154429
ADRNLPVESSEC_pos	37487.99538936699
ADRNt_neg	1207.6985833556548
ADRNt_pos	1208.2175767665449
ADSELK_pos	0.0
ADSK_pos	3425.1283173083257
ADSL1_pos	9101.964805722344
ADSL2_pos	20818.7323856246
ADSS_pos	9101.964805722344
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.52820665611889
AG13T10g_pos	11032.969305513232
AG13T11g_pos	11032.969305513232
AG13T12g_pos	11032.969305513232
AG13T13g_pos	11032.969305513232
AG13T14g_pos	11032.969305513232
AG13T15g_pos	11032.969305513232
AG13T16g_pos	7633.114273725242
AG13T17g_pos	7633.114273725242
AG13T18g_pos	7633.114273725242
AG13T1g_pos	7666.783816257789
AG13T2g_pos	7666.783816257789
AG13T3g_pos	7666.783816257789
AG13T4g_pos	11032.969305513232
AG13T5g_pos	11032.969305513232
AG13T6g_pos	11032.969305513232
AG13T7g_pos	11032.969305513232
AG13T8g_pos	11032.969305513232
AG13T9g_pos	11032.969305513232
AGDC_pos	3569.147352374828
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23792.83127270861
AGPAT1_pos	10436.609804733187
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8772.97860309567
AGTix_pos	12525.303999251682
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2191.140049979721
AHCYStd_pos	2191.140049979721
AHCYSte_neg	27414.672182361777
AHCYSte_pos	11560.609933725182
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5769.397039951798
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10173.455244640134
AHEXASE2ly_pos	17528.035983097427
AHEXASEly_pos	17986.371626415992
AICART_neg	13075.692957421097
AICART_pos	11476.593881810082
AICARte_neg	12703.155358097909
AICARte_pos	11476.593881810079
AIRCr_neg	0.0
AIRCr_pos	20818.73238562458
AK2LGCHOLt_neg	6.916841985955192
AK2LGCHOLt_pos	6658.238892286943
AKGDm_pos	10643.639187783207
AKGMALtm_neg	566.3281559787554
AKGMALtm_pos	425.9545659653537
AKGt4_3_neg	831.6071358141548
AKGt4_3_pos	934.5815315093174
AKGtp_neg	0.0
AKGtp_pos	47.01778589269704
AKR1C1_pos	62229.02607382483
AKR1C41_pos	2102.1721125161557
AKR1C42_pos	2102.1721125161557
AKR1D2_pos	65501.557674148426
AKR1D_pos	10977.441457340288
ALA-DTDe_pos	1375.2956878708483
ALAALACNc_neg	0.0
ALAALACNc_pos	7591.379913870432
ALAALAPEPT1tc_pos	7591.379913870431
ALAASNNaEx_pos	752.1931393080449
ALAATB0tc_pos	1331.1392993636712
ALACYSNaEx_pos	810.928386657182
ALADGLNexR_neg	718.6502975358584
ALADGLNexR_pos	651.6579500271218
ALADGLYexR_neg	618.426347394924
ALADGLYexR_pos	551.5348744335245
ALAGLNNaEx_pos	752.1931393080449
ALAGLNexR_neg	389.51110847559977
ALAGLNexR_pos	389.51110847559977
ALAGLYexR_neg	607.5675237894739
ALAGLYexR_pos	451.41179883992703
ALAR_neg	2.4373650964283673
ALAR_pos	3837.399011856423
ALASERNaEx_pos	751.7203323412176
ALASm_pos	363.49694770120914
ALATA_L_neg	4337.497085334925
ALATA_L_pos	3512.238752715178
ALATHRNaEx_pos	780.0190764594522
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	498.54346153104075
ALAt2r_pos	618.426347394924
ALAt4_pos	248.24237502154463
ALAtN1_neg	389.51110847559977
ALAtN1_pos	389.51110847559977
ALAyLATthc_pos	500.83091873987576
ALCD1_neg	6720.11882233256
ALCD1_pos	13.529460701663238
ALCD21_D_pos	420.28164213951146
ALCD21_L_pos	891.5803638710825
ALCD22_D_pos	301.64810066031475
ALCD22_L_pos	891.5803638710825
ALCD2if_pos	5.744382398871375
ALCD2yf_pos	5.753560452818853
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.01778589269704
ALDD2x_pos	7052.363845191252
ALDD2xm_pos	9242.655919142378
ALDD2y_pos	6891.387334469149
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53764.9687326497
ALDSTRNtm_neg	53764.968732649715
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3230.173856680846
ALOX5_pos	96.24551805807029
ALR2_pos	891.5803638710825
ALR3_pos	891.5803638710825
AMACR2p_pos	18519.453351149135
AMACR2r_pos	0.0
AMACRp_pos	59302.81973145699
AMACRr_pos	0.0
AMANK_pos	8536.686047866393
AMCOXO_pos	47.668060313231614
AMETr_neg	0.0
AMETr_pos	5769.397039951798
AMETt2m_neg	2191.140049979721
AMETt2m_pos	2191.140049979721
AMETtd_neg	2191.140049979721
AMETtd_pos	2191.140049979721
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6785.259769194826
AMPTASECG_pos	7264.216376408905
AMPTASECGe_pos	8461.45680406591
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.455515049996269
AMY2e_pos	13.455515049996267
ANDRSTRNGLCte_pos	70161.83147971207
ANDRSTRNGLCtr_neg	70161.8314797121
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56583.55107347578
ANDRSTRNte_pos	17.731178726240042
ANDRSTRNtr_neg	17.731178726240042
ANDRSTRNtr_pos	56583.55107347577
ANTHte_neg	10.941714897625943
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.9146065589076935
AOBUTDsm_pos	12396.076132969327
AP4AH1_pos	0.0
APAT2rm_neg	13657.78306415763
APAT2rm_pos	10960.982949879919
APNNOXte_neg	7.528206656118891
APNNOXte_pos	0.0
APOCF_pos	5764.898487900419
APOCFm_pos	6188.499893621433
APOC_LYS_BTNP_pos	5764.898487900419
APOC_LYS_BTNPm_pos	6188.499893621433
APPNNte_neg	0.0
APPNNte_pos	7.528206656118891
APRGSTRNte_neg	62229.02607382483
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.4283820326665495
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.4283820326665495
ARACHCOAtx_neg	26643.91684599384
ARACHCOAtx_pos	11394.506979030928
ARACHCPT1_pos	11981.31912645422
ARACHCPT2_pos	11981.31912645422
ARACHCRNt_pos	11981.31912645422
ARACHDCOAtx_neg	5039.80615282883
ARACHDCOAtx_pos	193.96665756361182
ARACHDt2_neg	367.7138636816707
ARACHDt2_pos	368.23285709256066
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4438.885487063806
ARACHt_neg	1220.512593792444
ARACHt_pos	1221.031587203334
ARGATB0tc_pos	1784.8280010908422
ARGDCm_pos	23792.83127270861
ARGLYSex_pos	702.1135741660513
ARGN_pos	13924.824349188913
ARGNm_pos	14643.6550080555
ARGSL_neg	0.0
ARGSL_pos	13104.37696476167
ARGSS_pos	13104.37696476167
ARGt4_pos	1526.7738185422013
ARGtiDF_pos	500.83091873987576
ARGtm_neg	1490.9318394980326
ARGtm_pos	1184.5913607630214
ARSA_pos	39264.968950098075
ARTCOAL1_pos	5006.030296506389
ARTCOAL2_pos	5006.030296506388
ARTCOAL3_pos	5006.030296506389
ASAH1_pos	38790.1591284697
ASCBOX_pos	8977.969869288594
ASCBSVCTtc_pos	3364.469338190278
ASCBt4_neg	481.4050593507751
ASCBt4_pos	1274.5621768836847
ASCBt_neg	1274.5621768836847
ASCBt_pos	1275.0811702945748
ASNALANaEx_pos	752.1931393080449
ASNATB0tc_pos	1435.8445634894756
ASNCYSNaEx_pos	919.091344281157
ASNGLNNaEx_pos	752.1931393080449
ASNNm_pos	8632.785110056617
ASNPHELAT2tc_pos	541.6285630786977
ASNS1_pos	7235.557854548383
ASNSERNaEx_pos	908.7263083165747
ASNTHRNaEx_pos	937.0250524348094
ASNt4_pos	345.79812629693475
ASNtN1_neg	345.79812629693475
ASNtN1_pos	590.7822956107177
ASNtm_pos	8632.785110056617
ASP1DC_pos	9262.090020687274
ASPCTr_neg	0.0
ASPCTr_pos	19169.578952495045
ASPDTDe_neg	11.60905141960033
ASPDTDe_pos	2173.2450356289028
ASPDt6_pos	2173.2450356289028
ASPDxt_neg	11.404206036973385
ASPDxt_pos	0.0
ASPGLUm_pos	2566.980241911653
ASPNATm_pos	7561.644904225686
ASPPROASCT1_pos	1865.879778373602
ASPTA_neg	7263.899888233365
ASPTA_pos	2566.980241911653
ASPTAm_neg	2566.980241911653
ASPTAm_pos	9090.682915153102
ASPt6_pos	2173.2450356289028
ASPte_pos	1217.9469057878514
ATP1ter_neg	0.0
ATP1ter_pos	7245.316891584695
ATP2ter_neg	4608.907333440147
ATP2ter_pos	4608.907333440147
ATPH1e_pos	14467.745587261117
ATPH2e_pos	3.075746603396316
ATPS4m_pos	1628.3226444505012
ATPasel_pos	24423.300437768976
ATPtm_pos	706.7927431772443
ATPtn_neg	0.0
ATPtn_pos	9752.22377488516
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4261.6361456065115
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17809.930570888486
Asn_X_Ser_Thrtr_neg	17493.45615619813
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11560.951745662609
B3GALT41g_pos	12807.150828656786
B3GALT42g_pos	12987.886122900763
B3GALT43g_pos	13176.918770326076
B3GALT44g_pos	13468.038430910643
B3GALT5g_pos	10721.251033036058
B3GALTg_pos	11880.954174801933
B3GNT11g_pos	10032.233984473532
B3GNT12g_pos	9127.747258992464
B3GNT310g_pos	11825.260396630318
B3GNT311g_pos	9792.66232215587
B3GNT312g_pos	10032.233984473532
B3GNT313g_pos	9170.088103081638
B3GNT314g_pos	8516.297645678516
B3GNT315g_pos	9127.747258992464
B3GNT31g_pos	9967.609427440517
B3GNT32g_pos	9967.609427440517
B3GNT33g_pos	9967.609427440517
B3GNT34g_pos	9709.253017907295
B3GNT35g_pos	9709.253017907295
B3GNT36g_pos	930.2002317897519
B3GNT37g_pos	12767.879960390525
B3GNT39g_pos	29666.14484587991
B3GNT51g_pos	11825.260396630314
BAAT1x_pos	4022.6380615164057
BAAT2x_pos	3245.621566962847
BAAT3x_pos	18519.453351149135
BAAT4x_pos	4022.6380615164057
BACCL_pos	5764.898487900419
BACCLm_pos	6188.499893621433
BALABETAtc_pos	1576.4923368048337
BALAPAT1tc_pos	1484.2627103811155
BALAVECSEC_pos	4282.074115116054
BALAtmr_neg	13657.78306415763
BALAtmr_pos	10960.982949879919
