	WT.DHA.c_S134_L007_R1_001
ACONTm_neg	337.8927823590077
ACONTm_pos	337.8927823590077
ACOX22x_pos	68448.90899619313
ACOX2x_pos	58472.757089545295
ACP1_FMN__pos	3372.6132094559225
ACRNtm_pos	2494.549348080343
ACS2_pos	3251.343968638357
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3274.2660558283915
ACSm_pos	4261.863569353861
ACTLMO_pos	5503.854386631152
ACTNMO_pos	14384.097443437737
ACYP_pos	3222.311086009572
ACt2m_neg	4262.71569171036
ACt2m_pos	4748.003219664532
ACt2r_neg	1236.2026985471944
ACt2r_pos	1236.2026985471944
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7469.409281848721
ADAe_pos	7626.007132697944
ADCim_pos	10623.07058743251
ADEt_neg	5997.730124589008
ADEt_pos	30311.90197258263
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1159.9912016284916
ADK1_pos	1159.9912016284916
ADK1m_neg	393.6499474770495
ADK1m_pos	393.6499474770495
ADK3_neg	1159.9912016284916
ADK3_pos	1159.9912016284916
ADK3m_neg	393.6499474770495
ADK3m_pos	393.6499474770495
ADKd_neg	1157.5779230071691
ADKd_pos	1157.5779230071691
ADMDC_pos	15200.28372222295
ADNCYC_pos	3303.0787287767475
ADNK1_pos	3285.1527972129497
ADNK1m_pos	2388.526387702179
ADNK3_pos	4182.251563386535
ADNK4_pos	4182.251563386536
ADNt4_pos	794.00208317587
ADNt5le_pos	1384.7460550771502
ADNt_neg	794.00208317587
ADNt_pos	1191.2534712162676
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5778.868665569442
ADNtm_pos	8030.978151382131
ADPACDAc_pos	7843.972773393862
ADPACTD_neg	0.0
ADPACTD_pos	7843.972773393862
ADPCOACROT_neg	7843.972773393863
ADPCOACROT_pos	61729.1733848542
ADPCOAPTE_pos	7843.972773393863
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7852.388276717147
ADPRDPm_pos	0.0
ADPRIBt_pos	17.679134232653144
ADPT_pos	3777.635631826895
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.265476155616824
ADRNCOAtx_pos	15048.85906836712
ADRNCPT1_pos	329.15332338105316
ADRNCPT2_pos	329.15332338105316
ADRNCRNt_pos	329.15332338105316
ADRNLPVESSEC_pos	37004.78547006944
ADRNt_neg	1191.7153641670745
ADRNt_pos	1195.5387536760966
ADSELK_pos	0.0
ADSK_pos	3315.482221746156
ADSL1_pos	8869.682916699183
ADSL2_pos	20442.201410590635
ADSS_pos	8869.682916699183
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.458497392293892
AG13T10g_pos	10749.059210231666
AG13T11g_pos	10749.059210231666
AG13T12g_pos	10749.059210231666
AG13T13g_pos	10749.059210231666
AG13T14g_pos	10749.059210231666
AG13T15g_pos	10749.059210231666
AG13T16g_pos	7468.7164477482565
AG13T17g_pos	7468.7164477482565
AG13T18g_pos	7468.7164477482565
AG13T1g_pos	7485.963721263122
AG13T2g_pos	7485.963721263122
AG13T3g_pos	7485.963721263122
AG13T4g_pos	10749.059210231666
AG13T5g_pos	10749.059210231666
AG13T6g_pos	10749.059210231666
AG13T7g_pos	10749.059210231666
AG13T8g_pos	10749.059210231666
AG13T9g_pos	10749.059210231666
AGDC_pos	3443.280499212717
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23682.591601037442
AGPAT1_pos	10267.223643030062
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8714.539922403308
AGTix_pos	11738.35245110099
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2136.4406331813275
AHCYStd_pos	2136.4406331813275
AHCYSte_neg	26953.69503961393
AHCYSte_pos	11097.55448147986
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5720.3911578510515
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9688.984555780124
AHEXASE2ly_pos	17142.962134869445
AHEXASEly_pos	17607.018306391812
AICART_neg	12921.21936085047
AICART_pos	10817.278198804705
AICARte_neg	12511.709383901938
AICARte_pos	10817.278198804699
AIRCr_neg	0.0
AIRCr_pos	20442.20141059063
AK2LGCHOLt_neg	6.853504500460749
AK2LGCHOLt_pos	6497.660302893525
AKGDm_pos	10699.197412703725
AKGMALtm_neg	573.108650483355
AKGMALtm_pos	430.30490323400613
AKGt4_3_neg	797.7083277641399
AKGt4_3_pos	879.424683256819
AKGtp_neg	0.0
AKGtp_pos	46.548175122856776
AKR1C1_pos	61366.83441713956
AKR1C41_pos	2099.6695460477013
AKR1C42_pos	2099.6695460477013
AKR1D2_pos	64812.52631767606
AKR1D_pos	10955.650338688467
ALA-DTDe_pos	1320.7068550963384
ALAALACNc_neg	0.0
ALAALACNc_pos	7375.299719901271
ALAALAPEPT1tc_pos	7375.299719901272
ALAASNNaEx_pos	654.7366390885218
ALAATB0tc_pos	1249.495636520911
ALACYSNaEx_pos	617.2481722910808
ALADGLNexR_neg	542.7075684671752
ALADGLNexR_pos	532.1613285410349
ALADGLYexR_neg	523.2169104655491
ALADGLYexR_pos	458.10614252924427
ALAGLNNaEx_pos	619.5855121539134
ALAGLNexR_neg	331.3718709817711
ALAGLNexR_pos	331.3718709817711
ALAGLYexR_neg	503.83506280058737
ALAGLYexR_pos	384.0509565174535
ALAR_neg	2.3392286298401697
ALAR_pos	3730.9067133376084
ALASERNaEx_pos	608.6961660482453
ALASm_pos	330.31049902703927
ALATA_L_neg	4311.198202014504
ALATA_L_pos	2560.495721933218
ALATHRNaEx_pos	608.6961660482453
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	426.08702575675716
ALAt2r_pos	523.2169104655491
ALAt4_pos	232.48127856699978
ALAtN1_neg	331.3718709817711
ALAtN1_pos	331.3718709817711
ALAyLATthc_pos	426.08702575675716
ALCD1_neg	6595.634020770238
ALCD1_pos	13.442111120572381
ALCD21_D_pos	410.71728373523285
ALCD21_L_pos	905.4774208080437
ALCD22_D_pos	306.67210294760895
ALCD22_L_pos	905.4774208080437
ALCD2if_pos	5.6663054582158034
ALCD2yf_pos	5.670803911844957
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	46.54817512285678
ALDD2x_pos	6699.2248652089875
ALDD2xm_pos	8770.280211145733
ALDD2y_pos	6542.756020440032
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53009.80355586464
ALDSTRNtm_neg	53009.803555864615
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3424.119779245972
ALOX5_pos	96.75383239851868
ALR2_pos	905.4774208080437
ALR3_pos	905.4774208080437
AMACR2p_pos	18137.341728131298
AMACR2r_pos	0.0
AMACRp_pos	58472.757089545295
AMACRr_pos	0.0
AMANK_pos	8300.714737162305
AMCOXO_pos	47.14482267978248
AMETr_neg	0.0
AMETr_pos	5720.39115785105
AMETt2m_neg	2136.4406331813275
AMETt2m_pos	2136.4406331813275
AMETtd_neg	2136.4406331813275
AMETtd_pos	2136.4406331813275
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6569.291100083011
AMPTASECG_pos	6863.847415160517
AMPTASECGe_pos	8045.0220029187685
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.420001975246649
AMY2e_pos	13.420001975246649
ANDRSTRNGLCte_pos	69098.60678192832
ANDRSTRNGLCtr_neg	69098.60678192835
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55714.11008282191
ANDRSTRNte_pos	17.528132735519467
ANDRSTRNtr_neg	17.528132735519467
ANDRSTRNtr_pos	55714.11008282191
ANTHte_neg	10.818596963809712
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.908633283896805
AOBUTDsm_pos	12356.176809351593
AP4AH1_pos	0.0
APAT2rm_neg	13577.537889963838
APAT2rm_pos	10827.650038028625
APNNOXte_neg	7.458497392293893
APNNOXte_pos	0.0
APOCF_pos	5566.3827403406385
APOCFm_pos	6054.599336631673
APOC_LYS_BTNP_pos	5566.3827403406385
APOC_LYS_BTNPm_pos	6054.599336631673
APPNNte_neg	0.0
APPNNte_pos	7.458497392293893
APRGSTRNte_neg	61366.834417139544
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.391817221683566
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.391817221683566
ARACHCOAtx_neg	26211.438393857574
ARACHCOAtx_pos	11211.364924538886
ARACHCPT1_pos	11859.090366706192
ARACHCPT2_pos	11859.090366706192
ARACHCRNt_pos	11859.090366706192
ARACHDCOAtx_neg	4943.419617712916
ARACHDCOAtx_pos	191.99002906212
ARACHDt2_neg	356.6273457873567
ARACHDt2_pos	360.4507352963791
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4321.8449606062995
ARACHt_neg	1206.8435027609326
ARACHt_pos	1210.6668922699548
ARGATB0tc_pos	1667.4945922803502
ARGDCm_pos	23682.591601037446
ARGLYSex_pos	574.2404082032801
ARGN_pos	13756.526229695497
ARGNm_pos	14339.041325171289
ARGSL_neg	0.0
ARGSL_pos	12993.952899521866
ARGSS_pos	12993.95289952186
ARGt4_pos	1439.2428607661436
ARGtiDF_pos	426.08702575675716
ARGtm_neg	1483.594416110433
ARGtm_pos	1178.937507746578
ARSA_pos	38265.49894795074
ARTCOAL1_pos	4901.156439851571
ARTCOAL2_pos	4901.156439851569
ARTCOAL3_pos	4901.156439851569
ASAH1_pos	38164.44921486343
ASCBOX_pos	8780.413186365895
ASCBSVCTtc_pos	3275.374689934884
ASCBt4_neg	472.5766029174398
ASCBt4_pos	1259.1933779364106
ASCBt_neg	1259.1933779364106
ASCBt_pos	1263.0167674454326
ASNALANaEx_pos	654.7366390885218
ASNATB0tc_pos	1397.8331677754609
ASNCYSNaEx_pos	782.9464327829089
ASNGLNNaEx_pos	654.7366390885218
ASNNm_pos	8225.281948922187
ASNPHELAT2tc_pos	470.3663333426605
ASNS1_pos	6891.946551177209
ASNSERNaEx_pos	790.3786001699843
ASNTHRNaEx_pos	790.3786001699843
ASNt4_pos	327.57133397296707
ASNtN1_neg	327.57133397296707
ASNtN1_pos	525.7801411838664
ASNtm_pos	8225.281948922187
ASP1DC_pos	9183.957750732088
ASPCTr_neg	0.0
ASPCTr_pos	18471.738626540635
ASPDTDe_neg	11.5513879081167
ASPDTDe_pos	2147.7056654895796
ASPDt6_pos	2147.7056654895796
ASPDxt_neg	11.294602428733784
ASPDxt_pos	0.0
ASPGLUm_pos	2527.8933316470566
ASPNATm_pos	7505.496332561981
ASPPROASCT1_pos	1619.5524496396329
ASPTA_neg	7104.503023418334
ASPTA_pos	2527.8933316470566
ASPTAm_neg	2527.893331647057
ASPTAm_pos	8849.69264558721
ASPt6_pos	2147.7056654895796
ASPte_pos	1198.690409213603
ATP1ter_neg	0.0
ATP1ter_pos	7130.855397089801
ATP2ter_neg	4613.21872786344
ATP2ter_pos	4613.21872786344
ATPH1e_pos	14015.685578711415
ATPH2e_pos	3.0363595106554078
ATPS4m_pos	1617.8898851360032
ATPasel_pos	23786.576805711113
ATPtm_pos	648.030057059013
ATPtn_neg	0.0
ATPtn_pos	9682.224228348878
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4136.6914089315715
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17422.01885847931
Asn_X_Ser_Thrtr_neg	17107.41772694726
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11241.597847146302
B3GALT41g_pos	12421.114726104319
B3GALT42g_pos	12603.470169717886
B3GALT43g_pos	12777.649803358601
B3GALT44g_pos	13065.286976439147
B3GALT5g_pos	10373.708978755094
B3GALTg_pos	11506.535737174114
B3GNT11g_pos	9722.939415850307
B3GNT12g_pos	8814.151564189107
B3GNT310g_pos	11432.818796682259
B3GNT311g_pos	9464.194209818297
B3GNT312g_pos	9722.939415850307
B3GNT313g_pos	8880.539054364595
B3GNT314g_pos	8248.528512655588
B3GNT315g_pos	8814.151564189107
B3GNT31g_pos	9656.969466759108
B3GNT32g_pos	9656.969466759108
B3GNT33g_pos	9656.969466759108
B3GNT34g_pos	9437.61185423139
B3GNT35g_pos	9437.61185423139
B3GNT36g_pos	916.224675657693
B3GNT37g_pos	12393.497459618511
B3GNT39g_pos	29097.845086248737
B3GNT51g_pos	11432.818796682259
BAAT1x_pos	4020.0432569695454
BAAT2x_pos	3218.5953556403615
BAAT3x_pos	18137.341728131298
BAAT4x_pos	4020.0432569695454
BACCL_pos	5566.3827403406385
BACCLm_pos	6054.599336631673
BALABETAtc_pos	1503.3455980464867
BALAPAT1tc_pos	1434.2049383055314
BALAVECSEC_pos	4157.5414663065585
BALAtmr_neg	13577.537889963834
BALAtmr_pos	10827.650038028627
