subsystem
Propanoate metabolism
Tyrosine metabolism
Sphingolipid metabolism
Tryptophan metabolism
Taurine and hypotaurine metabolism
Cytochrome metabolism
Lysine metabolism
Glutamate metabolism
beta-Alanine metabolism
"Valine, leucine, and isoleucine metabolism"
Cholesterol metabolism
Fatty acid oxidation
Aminosugar metabolism
Phosphatidylinositol phosphate metabolism
Glycerophospholipid metabolism
Other
Butanoate metabolism
Bile acid synthesis
Purine catabolism
Nucleotide interconversion
Arginine and Proline Metabolism
Nucleotide salvage pathway
Purine synthesis
Keratan sulfate synthesis
Alanine and aspartate metabolism
Methionine and cysteine metabolism
N-glycan degradation
Citric acid cycle
Steroid metabolism
Miscellaneous
Glycolysis/gluconeogenesis
Eicosanoid metabolism
Glutathione metabolism
Pentose phosphate pathway
Urea cycle
Pyrimidine synthesis
"Transport, lysosomal"
Biotin metabolism
Vitamin A metabolism
N-glycan synthesis
"Glycine, serine, alanine and threonine metabolism"
Heme degradation
Pyrimidine catabolism
"Transport, extracellular"
ROS detoxification
O-glycan synthesis
D-alanine metabolism
Vitamin C metabolism
Fatty acid synthesis
Ubiquinone synthesis
Keratan sulfate degradation
Fructose and mannose metabolism
Glyoxylate and dicarboxylate metabolism
Galactose metabolism
Folate metabolism
Blood group synthesis
Starch and sucrose metabolism
Heparan sulfate degradation
Chondroitin sulfate degradation
Hyaluronan metabolism
Histidine metabolism
Inositol phosphate metabolism
Pyruvate metabolism
Triacylglycerol synthesis
Oxidative phosphorylation
NAD metabolism
"Transport, mitochondrial"
Vitamin B6 metabolism
Phenylalanine metabolism
CoA synthesis
Tetrahydrobiopterin metabolism
Glycosphingolipid metabolism
Androgen and estrogen synthesis and metabolism
Vitamin B2 metabolism
Arachidonic acid metabolism
Unassigned
Cysteine Metabolism
CoA catabolism
"Transport, peroxisomal"
"Transport, nuclear"
