	WT.EPA.b_S127_L007_R1_001
7DHFtl_pos	3612.4997619560563
7DHFtm_pos	3907.853078427739
7THFtl_pos	3612.4997619560563
7THFtm_pos	3907.85307842774
A4GALTc_pos	0.0
A4GALTg_pos	11382.335362037344
A4GNT1g_pos	0.0
A4GNT2g_pos	258.1065702629763
AACOAT_pos	4263.895959574292
AACTOOR_pos	12151.574488575116
AACTtm_pos	12151.574488575116
AASAD3m_pos	26.484814657625783
AATAi_neg	3915.6226365954394
AATAi_pos	49.08088341790831
ABO1g_pos	10662.704880106601
ABO2g_pos	10277.30695469745
ABO3g_pos	10469.177519959092
ABO4g_pos	9670.692385654404
ABO5g_pos	9670.692385654404
ABO6g_pos	9056.428229039968
ABO7g_pos	9056.428229039968
ABO8g_pos	9337.735787793114
ABO9g_pos	8392.860353695725
ABTArm_neg	9592.654719362019
ABTArm_pos	12430.224596073873
ABTD_neg	5072.128574419374
ABTD_pos	7.942971971159415
ABTti_pos	5072.128574419374
ABUTD_pos	12459.611148565296
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	491.6770946524993
ABUTt2r_pos	615.7193664257911
ABUTt4_2_r_neg	615.7193664257911
ABUTt4_2_r_pos	491.6770946524993
ACACT10m_neg	13734.290610152504
ACACT10m_pos	9860.498943347724
ACACT1r_neg	7461.995264026966
ACACT1r_pos	16371.340317415865
ACACT1rm_pos	5304.273212694375
ACACT1x_pos	10018.127044744355
ACACT4p_pos	24641.728862623626
ACACT5p_pos	24641.728862623626
ACACT6p_pos	24641.72886262362
ACACT7p_pos	23970.941561121446
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	472.6556671869431
ACACt2_pos	472.6556671869431
ACACt2m_neg	1299.803367076917
ACACt2m_pos	1299.803367076917
ACACtx_neg	5876.920713998037
ACACtx_pos	0.0
ACALDt_neg	6303.752051690511
ACALDt_pos	5.2288759950533565
ACALDtm_neg	9077.955302696939
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54751.27096887217
ACALDtx_neg	0.0
ACALDtx_pos	11.807930494270254
ACCOAC_pos	4254.895227896967
ACCOACm_pos	4259.42718818784
ACCOAL_pos	3285.0019704520646
ACCOALm_pos	4571.511342840588
ACCOAgt_neg	0.0
ACCOAgt_pos	19522.462200148846
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1591.3640642027076
ACCOAtr_pos	1591.3640642027076
ACETONEt2_neg	10724.954289067318
ACETONEt2_pos	5.588158472677484
ACETONEt2m_neg	10724.954289067318
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11158.145454327774
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11158.145454327776
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9670.692385654405
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9670.692385654404
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9056.42822903997
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9056.428229039968
ACGALK2_pos	554.6994142322704
ACGALK_pos	553.7318894293167
ACGALtlg_neg	923.5999388841107
ACGALtlg_pos	0.0
ACGALtly_pos	553.7318894293167
ACGAM2E_neg	4106.319591770864
ACGAM2E_pos	30365.73286114236
ACGAM6PSi_pos	3485.1140146997855
ACGAMK_pos	4106.319591770863
ACGAMPM_neg	0.0
ACGAMPM_pos	4106.319591770863
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	923.5999388841107
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	923.5999388841107
ACGPID_pos	51.35437515312735
ACGSm_pos	0.0
ACHEe_pos	5500.6912319703315
ACHVESSEC_pos	4113.704577999325
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5981.042501855777
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11322.08919079992
ACN13ACNGALGBSIDEtg_neg	11322.089190799912
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11322.08919079992
ACN23ACNGALGBSIDEtg_neg	11322.089190799912
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12570.459012323257
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12570.459012323263
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11350.104725766314
ACNACNGALGBSIDEtg_neg	11350.104725766307
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8677.074931597845
ACNAM9PL_pos	8387.220743292097
ACNAMPH_pos	8387.220743292097
ACNAMlt_neg	18010.28400952636
ACNAMlt_pos	0.0
ACNAMtn_pos	8809.44539250897
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10286.599031425016
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10286.599031425016
ACNMLr_neg	18807.044326167874
ACNMLr_pos	8387.220743292099
ACOAD10m_pos	313.18846809898764
ACOAD1fm_pos	18517.848025025938
ACOAD8m_pos	319.77324267775333
ACOAD9m_pos	12045.441966097198
ACOAHi_pos	3290.808322147303
ACOAO7p_pos	18045.227864098382
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1189.9130746081023
ACONT_pos	1189.9130746081023
ACONTm_neg	344.1592935377421
ACONTm_pos	344.1592935377421
ACOX22x_pos	68884.85370874597
ACOX2x_pos	59007.152837308415
ACP1_FMN__pos	3393.355135734942
ACRNtm_pos	2534.009452513621
ACS2_pos	3266.854336313455
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3290.8083221473034
ACSm_pos	4440.764686445769
ACTLMO_pos	5515.1712747452775
ACTNMO_pos	14425.01474249428
ACYP_pos	3240.7979404140624
ACt2m_neg	4283.296670244456
ACt2m_pos	4856.0666877198155
ACt2r_neg	1273.7181005394755
ACt2r_pos	1273.7181005394755
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7478.8225122960475
ADAe_pos	7630.437401737435
ADCim_pos	10724.954289067318
ADEt_neg	6129.099177645144
ADEt_pos	30664.46646381733
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	980.7035659387772
ADK1_pos	980.7035659387772
ADK1m_neg	395.0926269337178
ADK1m_pos	395.0926269337178
ADK3_neg	980.7035659387772
ADK3_pos	980.7035659387772
ADK3m_neg	395.0926269337178
ADK3m_pos	395.0926269337178
ADKd_neg	977.6280966781679
ADKd_pos	977.6280966781679
ADMDC_pos	15307.212046240656
ADNCYC_pos	3352.7840408010684
ADNK1_pos	3312.645442178482
ADNK1m_pos	2396.8754012773966
ADNK3_pos	4207.76248428393
ADNK4_pos	4207.762484283929
ADNt4_pos	886.852253092214
ADNt5le_pos	1394.8738611701697
ADNt_neg	886.852253092214
ADNt_pos	1180.4724456652573
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5813.039388784141
ADNtm_pos	8646.337752468222
ADPACDAc_pos	7938.323549889881
ADPACTD_neg	0.0
ADPACTD_pos	7938.32354988988
ADPCOACROT_neg	7938.32354988988
ADPCOACROT_pos	62248.00857971535
ADPCOAPTE_pos	7938.323549889881
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7802.889466990799
ADPRDPm_pos	0.0
ADPRIBt_pos	18.17176116625573
ADPT_pos	3860.929359911916
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.372913940358243
ADRNCOAtx_pos	15236.73554709291
ADRNCPT1_pos	332.35065626425956
ADRNCPT2_pos	332.35065626425956
ADRNCRNt_pos	332.35065626425956
ADRNLPVESSEC_pos	37316.31189395033
ADRNt_neg	1199.5401108885671
ADRNt_pos	1208.032565652337
ADSELK_pos	0.0
ADSK_pos	3332.93761748783
ADSL1_pos	8927.716090198976
ADSL2_pos	20462.356042788786
ADSS_pos	8927.716090198976
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.472569861564405
AG13T10g_pos	10863.531916172433
AG13T11g_pos	10863.531916172433
AG13T12g_pos	10863.531916172433
AG13T13g_pos	10863.531916172433
AG13T14g_pos	10863.531916172433
AG13T15g_pos	10863.531916172433
AG13T16g_pos	7542.610014274225
AG13T17g_pos	7542.610014274225
AG13T18g_pos	7542.610014274225
AG13T1g_pos	7564.1614131651495
AG13T2g_pos	7564.1614131651495
AG13T3g_pos	7564.1614131651495
AG13T4g_pos	10863.531916172433
AG13T5g_pos	10863.531916172433
AG13T6g_pos	10863.531916172433
AG13T7g_pos	10863.531916172433
AG13T8g_pos	10863.531916172433
AG13T9g_pos	10863.531916172433
AGDC_pos	3485.114014699785
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23557.68667032446
AGPAT1_pos	10288.346096990012
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8760.967344008937
AGTix_pos	12425.09685718725
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2180.0445481961483
AHCYStd_pos	2180.0445481961483
AHCYSte_neg	27007.86595252786
AHCYSte_pos	11294.47186937685
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5752.356750911986
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9959.169154722023
AHEXASE2ly_pos	17314.689596685694
AHEXASEly_pos	17774.00213578982
AICART_neg	13044.713123296364
AICART_pos	11294.74414100122
AICARte_neg	12652.760406786616
AICARte_pos	11294.74414100122
AIRCr_neg	0.0
AIRCr_pos	20462.356042788786
AK2LGCHOLt_neg	6.9100832617133765
AK2LGCHOLt_pos	6683.551092431175
AKGDm_pos	10597.556101503176
AKGMALtm_neg	553.788656692848
AKGMALtm_pos	413.62275639083634
AKGt4_3_neg	805.6676028492552
AKGt4_3_pos	930.4129062194742
AKGtp_neg	0.0
AKGtp_pos	47.02435185990305
AKR1C1_pos	61925.63406301918
AKR1C41_pos	2099.5638767188047
AKR1C42_pos	2099.5638767188047
AKR1D2_pos	65169.83644940078
AKR1D_pos	11089.836850413147
ALA-DTDe_pos	1355.6393399355293
ALAALACNc_neg	0.0
ALAALACNc_pos	7356.7398161653255
ALAALAPEPT1tc_pos	7356.739816165325
ALAASNNaEx_pos	848.1539005131979
ALAATB0tc_pos	1345.7656405141443
ALACYSNaEx_pos	775.2515018812248
ALADGLNexR_neg	720.688392592742
ALADGLNexR_pos	630.0892374898363
ALADGLYexR_neg	582.2480397681105
ALADGLYexR_pos	539.9686993597703
ALAGLNNaEx_pos	848.1539005131979
ALAGLNexR_neg	381.0340432989252
ALAGLNexR_pos	381.0340432989252
ALAGLYexR_neg	582.2480397681105
ALAGLYexR_pos	439.46695848277557
ALAR_neg	2.4298746396172475
ALAR_pos	3732.249198481282
ALASERNaEx_pos	733.1771105426147
ALASm_pos	348.7508368264463
ALATA_L_neg	4302.107498623543
ALATA_L_pos	3451.1692226957875
ALATHRNaEx_pos	743.9978071849431
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	473.3772831698421
ALAt2r_pos	582.2480397681105
ALAt4_pos	235.09128995544233
ALAtN1_neg	381.0340432989252
ALAtN1_pos	381.0340432989252
ALAyLATthc_pos	481.8433613646202
ALCD1_neg	6670.646890522387
ALCD1_pos	13.461617344832257
ALCD21_D_pos	412.50169848834446
ALCD21_L_pos	874.1518797816252
ALCD22_D_pos	297.84031119403187
ALCD22_L_pos	874.1518797816252
ALCD2if_pos	5.685477311622828
ALCD2yf_pos	5.694794563541926
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.02435185990304
ALDD2x_pos	6921.5925816608915
ALDD2xm_pos	9077.955302696935
ALDD2y_pos	6768.16076859164
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53522.82166238063
ALDSTRNtm_neg	53522.82166238058
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3352.5579480366127
ALOX5_pos	97.13472394963584
ALR2_pos	874.1518797816252
ALR3_pos	874.1518797816252
AMACR2p_pos	18306.065471945498
AMACR2r_pos	0.0
AMACRp_pos	59007.152837308415
AMACRr_pos	0.0
AMANK_pos	8387.220743292097
AMCOXO_pos	47.33527830743103
AMETr_neg	0.0
AMETr_pos	5752.356750911986
AMETt2m_neg	2180.0445481961483
AMETt2m_pos	2180.0445481961483
AMETtd_neg	2180.0445481961483
AMETtd_pos	2180.0445481961483
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6634.555496542518
AMPTASECG_pos	6917.182712984975
AMPTASECGe_pos	8134.146664525664
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.448840596318323
AMY2e_pos	13.448840596318322
ANDRSTRNGLCte_pos	69542.9238151005
ANDRSTRNGLCtr_neg	69542.9238151005
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56233.24335281322
ANDRSTRNte_pos	17.527117426257323
ANDRSTRNtr_neg	17.527117426257323
ANDRSTRNtr_pos	56233.243352813195
ANTHte_neg	10.916257006341104
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.908061134169392
AOBUTDsm_pos	12151.574488575116
AP4AH1_pos	0.0
APAT2rm_neg	13617.798551566819
APAT2rm_pos	10730.55652230191
APNNOXte_neg	7.472569861564405
APNNOXte_pos	0.0
APOCF_pos	5718.817531843202
APOCFm_pos	6146.609119693819
APOC_LYS_BTNP_pos	5718.817531843202
APOC_LYS_BTNPm_pos	6146.609119693819
APPNNte_neg	0.0
APPNNte_pos	7.472569861564405
APRGSTRNte_neg	61925.63406301919
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.4055318748170516
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.4055318748170516
ARACHCOAtx_neg	26480.396076830228
ARACHCOAtx_pos	11394.882927581779
ARACHCPT1_pos	11954.510394192845
ARACHCPT2_pos	11954.510394192845
ARACHCRNt_pos	11954.510394192845
ARACHDCOAtx_neg	4957.576634072228
ARACHDCOAtx_pos	194.16038334894426
ARACHDt2_neg	357.1674422221397
ARACHDt2_pos	365.65989698590965
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4373.342450223094
ARACHt_neg	1210.993130695455
ARACHt_pos	1219.485585459225
ARGATB0tc_pos	1772.2962683675626
ARGDCm_pos	23557.686670324456
ARGLYSex_pos	683.6195338863668
ARGN_pos	13733.243691988968
ARGNm_pos	14574.81454245678
ARGSL_neg	0.0
ARGSL_pos	12973.814405627778
ARGSS_pos	12973.814405627778
ARGt4_pos	1500.855677932759
ARGtiDF_pos	481.8433613646202
ARGtm_neg	1483.1348239367144
ARGtm_pos	1177.5434065617872
ARSA_pos	38689.401830999384
ARTCOAL1_pos	4941.757155898384
ARTCOAL2_pos	4941.757155898383
ARTCOAL3_pos	4941.757155898384
ASAH1_pos	38405.72739412211
ASCBOX_pos	8896.91148172169
ASCBSVCTtc_pos	3278.5032117621727
ASCBt4_neg	467.9386406209501
ASCBt4_pos	1262.8823623713802
ASCBt_neg	1262.8823623713802
ASCBt_pos	1271.3748171351501
ASNALANaEx_pos	848.1539005131979
ASNATB0tc_pos	1431.9187602694503
ASNCYSNaEx_pos	1015.4725197408495
ASNGLNNaEx_pos	848.1539005131979
ASNNm_pos	8569.985750165479
ASNPHELAT2tc_pos	523.7512467530811
ASNS1_pos	7131.1986424569295
ASNSERNaEx_pos	996.6020964695163
ASNTHRNaEx_pos	1007.4227931118446
ASNt4_pos	328.4787575012541
ASNtN1_neg	328.4787575012541
ASNtN1_pos	553.3872754716016
ASNtm_pos	8569.985750165479
ASP1DC_pos	9041.205710050004
ASPCTr_neg	0.0
ASPCTr_pos	18699.24522311732
ASPDTDe_neg	11.605806831746706
ASPDTDe_pos	2152.1806537843295
ASPDt6_pos	2152.1806537843295
ASPDxt_neg	11.340936011739803
ASPDxt_pos	0.0
ASPGLUm_pos	2537.4832544636224
ASPNATm_pos	7548.700929887883
ASPPROASCT1_pos	1757.6604622113086
ASPTA_neg	7194.791969778859
ASPTA_pos	2537.483254463622
ASPTAm_neg	2537.483254463623
ASPTAm_pos	9092.068348385315
ASPt6_pos	2152.1806537843295
ASPte_pos	1204.8340999412385
ATP1ter_neg	0.0
ATP1ter_pos	7161.93018070075
ATP2ter_neg	4633.712687256077
ATP2ter_pos	4633.712687256077
ATPH1e_pos	14078.524631629674
ATPH2e_pos	3.076278895780233
ATPS4m_pos	1618.0851874501857
ATPasel_pos	24062.989094572356
ATPtm_pos	637.8334049578278
ATPtn_neg	0.0
ATPtn_pos	9582.344369339535
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4172.423317202939
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17596.450077424604
Asn_X_Ser_Thrtr_neg	17278.823604620415
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11382.335362037344
B3GALT41g_pos	12635.22121823033
B3GALT42g_pos	12811.475746013462
B3GALT43g_pos	12990.304997769563
B3GALT44g_pos	13268.325028519548
B3GALT5g_pos	10546.545418870439
B3GALTg_pos	11697.735132958624
B3GNT11g_pos	9876.857717877674
B3GNT12g_pos	8979.162770969588
B3GNT310g_pos	11636.43583466966
B3GNT311g_pos	9670.692385654404
B3GNT312g_pos	9876.857717877674
B3GNT313g_pos	9056.428229039968
B3GNT314g_pos	8392.860353695725
B3GNT315g_pos	8979.162770969588
B3GNT31g_pos	9787.358107750159
B3GNT32g_pos	9787.358107750159
B3GNT33g_pos	9787.358107750159
B3GNT34g_pos	9544.849317756354
B3GNT35g_pos	9544.849317756354
B3GNT36g_pos	923.5999388841107
B3GNT37g_pos	12561.879672585152
B3GNT39g_pos	29382.675515710147
B3GNT51g_pos	11636.435834669663
BAAT1x_pos	4024.1994177309734
BAAT2x_pos	3237.2390899961824
BAAT3x_pos	18306.065471945498
BAAT4x_pos	4024.1994177309734
BACCL_pos	5718.817531843202
BACCLm_pos	6146.609119693819
BALABETAtc_pos	1570.7653470331559
BALAPAT1tc_pos	1445.7598780655953
BALAVECSEC_pos	4178.284404305935
BALAtmr_neg	13617.798551566815
BALAtmr_pos	10730.55652230191
