	Tcon_Spleen_Tcon4_L1
10FTHF5GLUtl_pos	3813.803733654967
10FTHF5GLUtm_pos	6308.624977599049
10FTHF6GLUtl_pos	4588.792971842691
10FTHF6GLUtm_pos	6697.612505014744
10FTHF7GLUtl_pos	5105.452463967842
10FTHF7GLUtm_pos	6958.205729510131
10FTHFtl_neg	3813.803733654967
10FTHFtl_pos	0.0
10FTHFtm_neg	10675.169645390377
10FTHFtm_pos	22609.729882877036
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	69083.91213939039
11DOCRTSLtr_neg	69083.91213939042
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	71914.12507726488
11DOCRTSTRNtr_neg	71914.1250772649
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47351.331921714365
1MNCAMti_pos	60.48497415514927
1PPDCRp_pos	73.92532241047421
1a25DHVITD3TRn_pos	66132.38384388215
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.041832597727222
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.606559551251458
24_25DHVITD2tm_pos	13.606559551251458
24_25DHVITD3t_pos	66039.73623971542
24_25DHVITD3tm_pos	68765.61334156155
24_25VITD2Hm_pos	13.606559551251458
24_25VITD3Hm_pos	68765.61334156147
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	66132.38384388197
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11142.527972178648
2AMACSULT_pos	28933.546370014603
2AMADPTm_pos	8167.78806565123
2DR1PP_pos	6155.778824608208
2HBO_neg	16194.666407659788
2HBO_pos	11.291713997316915
2HBt2_neg	1481.1813836338715
2HBt2_pos	1481.1813836338715
2HCO3_NAt_neg	1425.9650560843006
2HCO3_NAt_pos	1425.9650560843006
2MB2COAc_neg	0.0
2MB2COAc_pos	19836.210946474668
2MCITt_neg	0.0
2MCITt_pos	24978.873083012284
2OXOADOXm_pos	128.78758078856688
2OXOADPTm_neg	8167.788065651228
2OXOADPTm_pos	149.98053131173202
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	45925.887003592274
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	45925.887003592274
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	815.4592209610817
34DHPHEt_neg	815.4592209610817
34DHPHEt_pos	4.905261043425435
34DHPLACOX_NADP__neg	1571.8677417824633
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1571.8677417824633
34DHXMANDACOX_NADP__neg	1571.8677417824633
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1571.8677417824633
34HPLFM_pos	74427.44972746067
34HPPOR_pos	66234.45047932919
34HPPte_neg	11043.525385052279
34HPPte_pos	7662.67325302396
35CGMPtn_neg	0.0
35CGMPtn_pos	14535.647805487893
3AIBTm_neg	0.0
3AIBTm_pos	19133.495683569516
3AIB_Dtm_neg	18998.183201048716
3AIB_Dtm_pos	33655.14992168367
3AIBt_pos	19133.495683569512
3AIBtm_pos	19133.495683569512
3DPHBH1_pos	74427.44972746063
3DPHBH2_pos	74430.60009203842
3DSPHR_pos	29911.588270654054
3HAO_pos	77.45021775472217
3HBCDm_neg	0.0
3HBCDm_pos	18265.660948005072
3HBCOAHLm_pos	24178.102095965398
3HBCOARc_neg	0.0
3HBCOARc_pos	18265.660948005065
3HCO3_NAt_neg	2047.3508623599264
3HCO3_NAt_pos	2097.248387744279
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	12136.2483080015
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	17267.6239241601
3MOBt2im_pos	6050.019075218985
3MOBte_neg	6.725248874672647
3MOBte_pos	8396.465933579651
3MOPt2im_pos	6050.019075218985
3MOPte_neg	26.264416253907306
3MOPte_pos	8393.942721272308
3MOX4HOXPGALDOX_NADP__neg	1571.8677417824633
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1571.8677417824633
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26368.2244091936
3SALAASPm_pos	0.0
3SALACBOXL_pos	13006.968954579539
3SALAOX_pos	33885.71615505893
