	Treg_Spleen_Treg1_L2
10FTHF5GLUtl_pos	3836.942877122111
10FTHF5GLUtm_pos	6293.808181209611
10FTHF6GLUtl_pos	4626.995275915972
10FTHF6GLUtm_pos	6677.513909062192
10FTHF7GLUtl_pos	5153.6968751118775
10FTHF7GLUtm_pos	6934.573789651369
10FTHFtl_neg	3836.942877122111
10FTHFtl_pos	0.0
10FTHFtm_neg	10677.997405406872
10FTHFtm_pos	22531.232738961568
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	69152.7893053786
11DOCRTSLtr_neg	69152.7893053786
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	71921.45314563553
11DOCRTSTRNtr_neg	71921.45314563545
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47306.72595695154
1MNCAMti_pos	60.111706258133076
1PPDCRp_pos	73.61405548546276
1a25DHVITD3TRn_pos	66208.6094938311
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	16.96220665576829
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.43795847578148
24_25DHVITD2tm_pos	13.43795847578148
24_25DHVITD3t_pos	66115.96188966435
24_25DHVITD3tm_pos	68725.2027037566
24_25VITD2Hm_pos	13.43795847578148
24_25VITD3Hm_pos	68725.20270375653
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	66208.6094938309
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11129.220961054443
2AMACSULT_pos	28890.07175941567
2AMADPTm_pos	8154.696563259543
2DR1PP_pos	6289.331567881144
2HBO_neg	16110.44742049273
2HBO_pos	10.97014483095746
2HBt2_neg	1335.0419349173085
2HBt2_pos	1335.0419349173085
2HCO3_NAt_neg	1173.9147483788558
2HCO3_NAt_pos	1173.9147483788558
2MB2COAc_neg	0.0
2MB2COAc_pos	19745.76324408335
2MCITt_neg	0.0
2MCITt_pos	24830.318405915834
2OXOADOXm_pos	128.25257951422012
2OXOADPTm_neg	8154.696563259542
2OXOADPTm_pos	149.31125081968713
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	45237.83393939855
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	45237.833939398544
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	800.7063263706254
34DHPHEt_neg	800.7063263706254
34DHPHEt_pos	4.456406085431415
34DHPLACOX_NADP__neg	1133.2657779125786
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1133.2657779125786
34DHXMANDACOX_NADP__neg	1133.2657779125786
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1133.2657779125786
34HPLFM_pos	74373.50696357574
34HPPOR_pos	66248.71935167686
