	WT-DHA-b_S128_L007_R1_001
ACS2_pos	3372.2976359600198
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3403.1098925774863
ACSm_pos	4535.558497564078
ACTLMO_pos	5594.8060230642695
ACTNMO_pos	14542.816555569954
ACYP_pos	3347.7618137804734
ACt2m_neg	4340.946729975516
ACt2m_pos	4937.536501686816
ACt2r_neg	1290.7575725004313
ACt2r_pos	1290.7575725004313
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7658.985341911973
ADAe_pos	7833.513519149892
ADCim_pos	10821.277452732522
ADEt_neg	6337.6244475448575
ADEt_pos	31383.949123157265
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1092.2741212581498
ADK1_pos	1092.2741212581498
ADK1m_neg	413.9723606684022
ADK1m_pos	413.9723606684022
ADK3_neg	1092.2741212581498
ADK3_pos	1092.2741212581498
ADK3m_neg	413.9723606684022
ADK3m_pos	413.9723606684022
ADKd_neg	1089.5777456111425
ADKd_pos	1089.5777456111425
ADMDC_pos	15442.146795756424
ADNCYC_pos	3456.2082870480667
ADNK1_pos	3432.902271635935
ADNK1m_pos	2413.984947362354
ADNK3_pos	4328.193817324915
ADNK4_pos	4328.193817324915
ADNt4_pos	942.1017944445431
ADNt5le_pos	1408.0086117887495
ADNt_neg	942.1017944445431
ADNt_pos	1189.2260186639778
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5947.6667238537475
ADNtm_pos	8789.82457732639
ADPACDAc_pos	8064.987868782486
ADPACTD_neg	0.0
ADPACTD_pos	8064.987868782486
ADPCOACROT_neg	8064.987868782486
ADPCOACROT_pos	62861.00139008846
ADPCOAPTE_pos	8064.987868782486
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8186.8107529414865
ADPRDPm_pos	0.0
ADPRIBt_pos	18.66673328103017
ADPT_pos	3974.664872573602
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.440405818314881
ADRNCOAtx_pos	15409.252288912547
ADRNCPT1_pos	334.8376403037225
ADRNCPT2_pos	334.8376403037225
ADRNCRNt_pos	334.8376403037225
ADRNLPVESSEC_pos	37695.667107347734
ADRNt_neg	1202.7582189386221
ADRNt_pos	1205.6925217863118
ADSELK_pos	0.0
ADSK_pos	3458.701535809643
ADSL1_pos	9195.145941552842
ADSL2_pos	20842.009514737652
ADSS_pos	9195.145941552842
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.564370813277712
AG13T10g_pos	11093.418454296083
AG13T11g_pos	11093.418454296083
AG13T12g_pos	11093.418454296083
AG13T13g_pos	11093.418454296083
AG13T14g_pos	11093.418454296083
AG13T15g_pos	11093.418454296083
AG13T16g_pos	7687.806505448658
AG13T17g_pos	7687.806505448658
AG13T18g_pos	7687.806505448658
AG13T1g_pos	7714.221036125127
AG13T2g_pos	7714.221036125127
AG13T3g_pos	7714.221036125127
AG13T4g_pos	11093.418454296083
AG13T5g_pos	11093.418454296083
AG13T6g_pos	11093.418454296083
AG13T7g_pos	11093.418454296083
AG13T8g_pos	11093.418454296083
AG13T9g_pos	11093.418454296083
AGDC_pos	3615.0047280890344
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23843.36558675333
AGPAT1_pos	10556.239561146383
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8816.161414718763
AGTix_pos	12582.704079931393
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2161.210424113684
AHCYStd_pos	2161.210424113684
AHCYSte_neg	27395.344591090314
AHCYSte_pos	11575.194632928073
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5799.8898127986295
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10236.829638584399
AHEXASE2ly_pos	17550.299243141722
AHEXASEly_pos	18031.99049914527
AICART_neg	13157.869864504148
AICART_pos	11544.367934413029
AICARte_neg	12806.256896687313
AICARte_pos	11544.367934413023
AIRCr_neg	0.0
AIRCr_pos	20842.009514737645
AK2LGCHOLt_neg	6.954936115296594
AK2LGCHOLt_pos	6795.202016770044
AKGDm_pos	10701.649877637306
AKGMALtm_neg	556.3921414336951
AKGMALtm_pos	412.6831599907608
AKGt4_3_neg	809.2882270552642
AKGt4_3_pos	950.7440358179169
AKGtp_neg	0.0
AKGtp_pos	47.346944225976394
AKR1C1_pos	62320.10646911389
AKR1C41_pos	2102.4936456281666
AKR1C42_pos	2102.4936456281666
AKR1D2_pos	65710.02815216385
AKR1D_pos	11049.822652030813
ALA-DTDe_pos	1373.4963908456534
ALAALACNc_neg	0.0
ALAALACNc_pos	7599.293835528202
ALAALAPEPT1tc_pos	7599.293835528202
ALAASNNaEx_pos	878.7037504029229
ALAATB0tc_pos	1338.3335932834887
ALACYSNaEx_pos	841.3587797842798
ALADGLNexR_neg	737.8515544221441
ALADGLNexR_pos	662.6416012483375
ALADGLYexR_neg	625.0750650267767
ALADGLYexR_pos	559.7098859194243
ALAGLNNaEx_pos	878.7037504029229
ALAGLNexR_neg	392.11929344231515
ALAGLNexR_pos	392.11929344231515
ALAGLYexR_neg	616.8941281614466
ALAGLYexR_pos	456.7781705905111
ALAR_neg	2.4430594417052873
ALAR_pos	3851.295977824753
ALASERNaEx_pos	786.2648724268024
ALASm_pos	329.26687271660006
ALATA_L_neg	4352.692834155032
ALATA_L_pos	3530.96498596889
ALATHRNaEx_pos	833.8060921459817
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	498.72801777872706
ALAt2r_pos	625.0750650267767
ALAt4_pos	247.96835095037454
ALAtN1_neg	392.11929344231515
ALAtN1_pos	392.11929344231515
ALAyLATthc_pos	513.4635428342771
ALCD1_neg	6766.780715070599
ALCD1_pos	13.5368389461984
ALCD21_D_pos	419.643070043422
ALCD21_L_pos	900.110717243833
ALCD22_D_pos	301.3005839285815
ALCD22_L_pos	900.110717243833
ALCD2if_pos	5.752071793530933
ALCD2yf_pos	5.761304657652056
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.34694422597641
ALDD2x_pos	7122.929762645219
ALDD2xm_pos	9295.777313667197
ALDD2y_pos	6960.925738849439
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53867.78497351781
ALDSTRNtm_neg	53867.78497351782
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3318.8728187300267
ALOX5_pos	97.51118287995924
ALR2_pos	900.110717243833
ALR3_pos	900.110717243833
AMACR2p_pos	18611.646594550577
AMACR2r_pos	0.0
AMACRp_pos	59505.79617160368
AMACRr_pos	0.0
AMANK_pos	8584.597684620729
AMCOXO_pos	47.82105675814901
AMETr_neg	0.0
AMETr_pos	5799.8898127986295
AMETt2m_neg	2161.210424113684
AMETt2m_pos	2161.210424113684
AMETtd_neg	2161.210424113684
AMETtd_pos	2161.210424113684
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6850.284741707283
AMPTASECG_pos	7203.559390788269
AMPTASECGe_pos	8521.03409947702
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.455160996451635
AMY2e_pos	13.455160996451635
ANDRSTRNGLCte_pos	70469.26017579704
ANDRSTRNGLCtr_neg	70469.26017579706
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56729.05771185343
ANDRSTRNte_pos	18.034766905392615
ANDRSTRNtr_neg	18.034766905392615
ANDRSTRNtr_pos	56729.057711853406
ANTHte_neg	10.979600211384364
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.913779815168777
AOBUTDsm_pos	12442.517886697946
AP4AH1_pos	0.0
APAT2rm_neg	13699.346842181558
APAT2rm_pos	10993.430024017407
APNNOXte_neg	7.564370813277713
APNNOXte_pos	0.0
APOCF_pos	5844.035657926521
APOCFm_pos	6220.731726033274
APOC_LYS_BTNP_pos	5844.035657926521
APOC_LYS_BTNPm_pos	6220.731726033274
APPNNte_neg	0.0
APPNNte_pos	7.564370813277713
APRGSTRNte_neg	62320.10646911387
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.452250442564323
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.452250442564323
ARACHCOAtx_neg	26792.227687708684
ARACHCOAtx_pos	11481.41021308153
ARACHCPT1_pos	12040.522187127257
ARACHCPT2_pos	12040.522187127257
ARACHCRNt_pos	12040.522187127257
ARACHDCOAtx_neg	5069.166730629884
ARACHDCOAtx_pos	195.4671827805797
ARACHDt2_neg	361.17461324313393
ARACHDt2_pos	364.1089160908237
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4459.894973798601
ARACHt_neg	1215.1862072357571
ARACHt_pos	1218.1205100834468
ARGATB0tc_pos	1794.0527675666435
ARGDCm_pos	23843.36558675333
ARGLYSex_pos	721.9320874363625
ARGN_pos	13997.602212491573
ARGNm_pos	14663.844753748937
ARGSL_neg	0.0
ARGSL_pos	13198.988538135156
ARGSS_pos	13198.988538135154
ARGt4_pos	1534.9306134734065
ARGtiDF_pos	513.4635428342771
ARGtm_neg	1492.6262130610733
ARGtm_pos	1184.5608985737708
ARSA_pos	39252.796865808974
ARTCOAL1_pos	5030.472305917119
ARTCOAL2_pos	5030.472305917118
ARTCOAL3_pos	5030.472305917118
ASAH1_pos	39006.90378425925
ASCBOX_pos	9049.55165276517
ASCBSVCTtc_pos	3403.6818861393494
ASCBt4_neg	489.30282728246726
ASCBt4_pos	1274.9965282520202
ASCBt_neg	1274.9965282520202
ASCBt_pos	1277.9308310997098
ASNALANaEx_pos	878.7037504029229
ASNATB0tc_pos	1436.1713464878103
ASNCYSNaEx_pos	1049.980285065308
ASNGLNNaEx_pos	878.7037504029229
ASNNm_pos	8698.77010810516
ASNPHELAT2tc_pos	545.9482850364953
ASNS1_pos	7291.560035705477
ASNSERNaEx_pos	1036.4905589433633
ASNTHRNaEx_pos	1084.0317786625426
ASNt4_pos	344.042671324929
ASNtN1_neg	344.042671324929
ASNtN1_pos	603.5782758163857
ASNtm_pos	8698.77010810516
ASP1DC_pos	9294.15311971737
ASPCTr_neg	0.0
ASPCTr_pos	19075.887817648236
ASPDTDe_neg	11.630975194901582
ASPDTDe_pos	2170.1105378987345
ASPDt6_pos	2170.1105378987345
ASPDxt_neg	11.416182409157248
ASPDxt_pos	0.0
ASPGLUm_pos	2577.4435204970705
ASPNATm_pos	7661.503743310857
ASPPROASCT1_pos	1824.4596007000177
ASPTA_neg	7318.38918849771
ASPTA_pos	2577.443520497072
ASPTAm_neg	2577.4435204970714
ASPTAm_pos	9179.387541294267
ASPt6_pos	2170.1105378987345
ASPte_pos	1212.3279706965575
ATP1ter_neg	0.0
ATP1ter_pos	7286.942374197679
ATP2ter_neg	4644.2501749227
ATP2ter_pos	4644.2501749227
ATPH1e_pos	14679.729904682037
ATPH2e_pos	3.0850573684988727
ATPS4m_pos	1642.2237715743477
ATPasel_pos	24499.208145436405
ATPtm_pos	651.9200726069537
ATPtn_neg	0.0
ATPtn_pos	9892.722772325993
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4284.640307579948
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17833.175338596815
Asn_X_Ser_Thrtr_neg	17515.30298717476
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11644.656345423997
B3GALT41g_pos	12890.90819739544
B3GALT42g_pos	13074.049620008114
B3GALT43g_pos	13264.670338496679
B3GALT44g_pos	13549.67214981982
B3GALT5g_pos	10777.093701487634
B3GALTg_pos	11932.141129244104
B3GNT11g_pos	10080.296391643942
B3GNT12g_pos	9168.719849361107
B3GNT310g_pos	11877.740270323688
B3GNT311g_pos	9841.844561530475
B3GNT312g_pos	10080.296391643942
B3GNT313g_pos	9217.00657479876
B3GNT314g_pos	8558.825453167869
B3GNT315g_pos	9168.719849361107
B3GNT31g_pos	10013.98123842452
B3GNT32g_pos	10013.98123842452
B3GNT33g_pos	10013.98123842452
B3GNT34g_pos	9760.518063827656
B3GNT35g_pos	9760.518063827656
B3GNT36g_pos	936.7971646506496
B3GNT37g_pos	12818.758962712312
B3GNT39g_pos	29802.860829269135
B3GNT51g_pos	11877.74027032369
BAAT1x_pos	4020.1006669728613
BAAT2x_pos	3236.0971622100296
BAAT3x_pos	18611.646594550577
BAAT4x_pos	4020.1006669728613
BACCL_pos	5844.035657926521
BACCLm_pos	6220.731726033274
BALABETAtc_pos	1567.2123247355355
BALAPAT1tc_pos	1480.1704927012154
BALAVECSEC_pos	4310.735646278247
