	WT-a_S116_L007_R1_001
ACNMLr_pos	8483.333827088818
ACOAD10m_pos	315.45713029305415
ACOAD1fm_pos	18605.522841422946
ACOAD8m_pos	323.31977593674856
ACOAD9m_pos	12081.20151679522
ACOAHi_pos	3324.552217659356
ACOAO7p_pos	18131.615519731142
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1191.7216764374548
ACONT_pos	1191.7216764374548
ACONTm_neg	347.1154300673396
ACONTm_pos	347.1154300673396
ACOX22x_pos	69109.6608149458
ACOX2x_pos	59178.91661835973
ACP1_FMN__pos	3444.4703165392716
ACRNtm_pos	2573.538015540313
ACS2_pos	3298.0654760753564
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3324.5522176593554
ACSm_pos	4469.24741181437
ACTLMO_pos	5517.800458702314
ACTNMO_pos	14480.163555233268
ACYP_pos	3268.1477576750426
ACt2m_neg	4293.720975235575
ACt2m_pos	4870.1334409819765
ACt2r_neg	1282.2166024568878
ACt2r_pos	1282.2166024568878
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7470.429342178581
ADAe_pos	7616.5692525112445
ADCim_pos	10774.668861783257
ADEt_neg	6268.577247808439
ADEt_pos	31114.289106184544
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1165.186640888252
ADK1_pos	1165.186640888252
ADK1m_neg	405.1315187725662
ADK1m_pos	405.1315187725662
ADK3_neg	1165.186640888252
ADK3_pos	1165.186640888252
ADK3m_neg	405.1315187725662
ADK3m_pos	405.1315187725662
ADKd_neg	1162.5899596621969
ADKd_pos	1162.5899596621969
ADMDC_pos	15328.307979718655
ADNCYC_pos	3398.025151244772
ADNK1_pos	3356.9842107863396
ADNK1m_pos	2398.260296191881
ADNK3_pos	4253.646910329415
ADNK4_pos	4253.646910329415
ADNt4_pos	1020.9946458402242
ADNt5le_pos	1377.223645477322
ADNt_neg	1020.9946458402242
ADNt_pos	1170.903829489734
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5856.064138871441
ADNtm_pos	8464.401474100327
ADPACDAc_pos	7986.375162944688
ADPACTD_neg	0.0
ADPACTD_pos	7986.375162944688
ADPCOACROT_neg	7986.375162944688
ADPCOACROT_pos	62409.84826805328
ADPCOAPTE_pos	7986.375162944688
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7971.785269093687
ADPRDPm_pos	0.0
ADPRIBt_pos	18.210301054525537
ADPT_pos	3888.1635901687787
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.40167786577804
ADRNCOAtx_pos	15221.97004187362
ADRNCPT1_pos	332.97318469883356
ADRNCPT2_pos	332.97318469883356
ADRNCRNt_pos	332.97318469883356
ADRNLPVESSEC_pos	37491.816398113864
ADRNt_neg	1193.228564339596
ADRNt_pos	1208.0722885374153
ADSELK_pos	0.0
ADSK_pos	3383.7260829871593
ADSL1_pos	9006.414996150765
ADSL2_pos	20596.484407176926
ADSS_pos	9006.414996150765
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.4906672431391
AG13T10g_pos	10958.110888449168
AG13T11g_pos	10958.110888449168
AG13T12g_pos	10958.110888449168
AG13T13g_pos	10958.110888449168
AG13T14g_pos	10958.110888449168
AG13T15g_pos	10958.110888449168
AG13T16g_pos	7601.680855173781
AG13T17g_pos	7601.680855173781
AG13T18g_pos	7601.680855173781
AG13T1g_pos	7626.196323216674
AG13T2g_pos	7626.196323216674
AG13T3g_pos	7626.196323216674
AG13T4g_pos	10958.110888449168
AG13T5g_pos	10958.110888449168
AG13T6g_pos	10958.110888449168
AG13T7g_pos	10958.110888449168
AG13T8g_pos	10958.110888449168
AG13T9g_pos	10958.110888449168
AGDC_pos	3540.3610499291103
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23524.538073448934
AGPAT1_pos	10505.999440332576
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8779.407528974843
AGTix_pos	12485.13220198409
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2150.19666920954
AHCYStd_pos	2150.19666920954
AHCYSte_neg	27264.15802500955
AHCYSte_pos	11408.122577580478
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5766.534486758099
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10035.93596052948
AHEXASE2ly_pos	17408.39450315357
AHEXASEly_pos	17882.248489856134
AICART_neg	13056.848387421922
AICART_pos	11409.127827299988
AICARte_neg	12659.448577071453
AICARte_pos	11409.127827299988
AIRCr_neg	0.0
AIRCr_pos	20596.484407176926
AK2LGCHOLt_neg	6.902859602202954
AK2LGCHOLt_pos	6626.652008092422
AKGDm_pos	10576.362980324857
AKGMALtm_neg	562.8580129137421
AKGMALtm_pos	421.52358546594417
AKGt4_3_neg	812.9425472780812
AKGt4_3_pos	931.5964304071147
AKGtp_neg	0.0
AKGtp_pos	47.15663889298422
AKR1C1_pos	62105.22609358832
AKR1C41_pos	2101.3170926718603
AKR1C42_pos	2101.3170926718603
AKR1D2_pos	65300.85671895766
AKR1D_pos	11026.796731835493
ALA-DTDe_pos	1364.2003239669525
ALAALACNc_neg	0.0
ALAALACNc_pos	7581.623320699232
ALAALAPEPT1tc_pos	7581.623320699231
ALAASNNaEx_pos	833.9191177329321
ALAATB0tc_pos	1340.5554914712561
ALACYSNaEx_pos	823.6050754144735
ALADGLNexR_neg	732.5090956249816
ALADGLNexR_pos	659.9912625044258
ALADGLYexR_neg	630.784067445592
ALADGLYexR_pos	557.756357045786
ALAGLNNaEx_pos	833.9191177329321
ALAGLNexR_neg	392.47376695730844
ALAGLNexR_pos	392.47376695730844
ALAGLYexR_neg	614.0575564924009
ALAGLYexR_pos	455.5214515871462
ALAR_neg	2.4400971421352042
ALAR_pos	3830.248666263205
ALASERNaEx_pos	772.276851475345
ALASm_pos	355.09107883782656
ALATA_L_neg	4329.3056017867
ALATA_L_pos	3540.5270063961834
ALATHRNaEx_pos	823.4446334577729
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	498.68366871872627
ALAt2r_pos	630.784067445592
ALAt4_pos	247.80300867991
ALAtN1_neg	392.47376695730844
ALAtN1_pos	392.47376695730844
ALAyLATthc_pos	509.8049203287287
ALCD1_neg	6665.845042653902
ALCD1_pos	13.44275834409574
ALCD21_D_pos	415.23064327967853
ALCD21_L_pos	881.6693495623857
ALCD22_D_pos	297.2818482042725
ALCD22_L_pos	881.6693495623857
ALCD2if_pos	5.665951060921418
ALCD2yf_pos	5.675250211823599
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.15663889298421
ALDD2x_pos	7029.192144106945
ALDD2xm_pos	9209.011960760432
ALDD2y_pos	6875.320690262156
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53649.70497997298
ALDSTRNtm_neg	53649.70497997297
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3453.373201589236
ALOX5_pos	97.81166458490587
ALR2_pos	881.6693495623857
ALR3_pos	881.6693495623857
AMACR2p_pos	18418.650615461982
AMACR2r_pos	0.0
AMACRp_pos	59178.91661835973
AMACRr_pos	0.0
AMANK_pos	8483.333827088818
AMCOXO_pos	47.53430481427094
AMETr_neg	0.0
AMETr_pos	5766.534486758098
AMETt2m_neg	2150.19666920954
AMETt2m_pos	2150.19666920954
AMETtd_neg	2150.19666920954
AMETtd_pos	2150.19666920954
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6702.858390435591
AMPTASECG_pos	7034.593442945419
AMPTASECGe_pos	8309.062783439787
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.453972698173466
AMY2e_pos	13.453972698173466
ANDRSTRNGLCte_pos	69957.22150104422
ANDRSTRNGLCtr_neg	69957.22150104419
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56394.93869203234
ANDRSTRNte_pos	17.742289706686567
ANDRSTRNtr_neg	17.742289706686567
ANDRSTRNtr_pos	56394.93869203233
ANTHte_neg	10.948025249010158
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.909922521492658
AOBUTDsm_pos	12216.359878104002
AP4AH1_pos	0.0
APAT2rm_neg	13639.494111472726
APAT2rm_pos	10921.311454106226
APNNOXte_neg	7.490667243139098
APNNOXte_pos	0.0
APOCF_pos	5731.149216072356
APOCFm_pos	6146.506075868037
APOC_LYS_BTNP_pos	5731.149216072356
APOC_LYS_BTNPm_pos	6146.506075868037
APPNNte_neg	0.0
APPNNte_pos	7.490667243139098
APRGSTRNte_neg	62105.22609358832
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.401131690194859
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.401131690194859
ARACHCOAtx_neg	26640.99195588447
ARACHCOAtx_pos	11433.736405249994
ARACHCPT1_pos	12022.941417781221
ARACHCPT2_pos	12022.941417781221
ARACHCRNt_pos	12022.941417781221
ARACHDCOAtx_neg	5001.692603353972
ARACHDCOAtx_pos	195.045754478594
ARACHDt2_neg	348.9990401491349
ARACHDt2_pos	363.84276434695414
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4400.9909281032105
ARACHt_neg	1203.6924527576814
ARACHt_pos	1218.5361769555007
ARGATB0tc_pos	1767.3175745427468
ARGDCm_pos	23524.538073448934
ARGLYSex_pos	715.8790621577041
ARGN_pos	13688.958471193004
ARGNm_pos	14672.73508579677
ARGSL_neg	0.0
ARGSL_pos	12927.92881056779
ARGSS_pos	12927.928810567792
ARGt4_pos	1522.895762754381
ARGtiDF_pos	509.8049203287287
ARGtm_neg	1480.038581703604
ARGtm_pos	1173.7988208640322
ARSA_pos	38892.34406325188
ARTCOAL1_pos	4972.524394941063
ARTCOAL2_pos	4972.524394941063
ARTCOAL3_pos	4972.524394941063
ASAH1_pos	38666.00366371392
ASCBOX_pos	8914.232548141872
ASCBSVCTtc_pos	3329.7799903813116
ASCBt4_neg	470.1638678136783
ASCBt4_pos	1261.3016636751652
ASCBt_neg	1261.3016636751652
ASCBt_pos	1276.1453878729844
ASNALANaEx_pos	833.9191177329321
ASNATB0tc_pos	1424.7911415014942
ASNCYSNaEx_pos	1003.9912885588437
ASNGLNNaEx_pos	833.9191177329321
ASNNm_pos	8828.369800904024
ASNPHELAT2tc_pos	544.0092912470877
ASNS1_pos	7452.848222992461
ASNSERNaEx_pos	990.9687803827842
ASNTHRNaEx_pos	1038.3889286502117
ASNt4_pos	345.053618689881
ASNtN1_neg	345.053618689881
ASNtN1_pos	630.9871070105098
ASNtm_pos	8828.369800904024
ASP1DC_pos	9242.738308856482
ASPCTr_neg	0.0
ASPCTr_pos	19017.577552995506
ASPDTDe_neg	11.608206654323078
ASPDTDe_pos	2142.159260702422
ASPDt6_pos	2142.159260702422
ASPDxt_neg	11.373679532820326
ASPDxt_pos	0.0
ASPGLUm_pos	2520.4513055732577
ASPNATm_pos	7545.458470863135
ASPPROASCT1_pos	1817.1400378677442
ASPTA_neg	7279.082823948679
ASPTA_pos	2520.4513055732577
ASPTAm_neg	2520.4513055732577
ASPTAm_pos	9214.857277237887
ASPt6_pos	2142.159260702422
ASPte_pos	1202.387843386242
ATP1ter_neg	0.0
ATP1ter_pos	7209.673672603312
ATP2ter_neg	4640.247987579651
ATP2ter_pos	4640.247987579651
ATPH1e_pos	14403.568045565826
ATPH2e_pos	3.0751230822800073
ATPS4m_pos	1630.8478835491755
ATPasel_pos	24217.206445278753
ATPtm_pos	658.3689299116553
ATPtn_neg	0.0
ATPtn_pos	9722.172058938308
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4221.41848001411
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17691.03543187338
Asn_X_Ser_Thrtr_neg	17372.914766228852
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11449.097399699796
B3GALT41g_pos	12692.478067272106
B3GALT42g_pos	12869.920840774652
B3GALT43g_pos	13048.601612163888
B3GALT44g_pos	13321.647753087438
B3GALT5g_pos	10599.98236384445
B3GALTg_pos	11798.245602826768
B3GNT11g_pos	9937.818752259427
B3GNT12g_pos	9050.334173351737
B3GNT310g_pos	11723.826093895701
B3GNT311g_pos	9704.213733389448
B3GNT312g_pos	9937.818752259427
B3GNT313g_pos	9085.169630518416
B3GNT314g_pos	8437.51492607546
B3GNT315g_pos	9050.334173351737
B3GNT31g_pos	9815.401509570544
B3GNT32g_pos	9815.401509570544
B3GNT33g_pos	9815.401509570544
B3GNT34g_pos	9584.516497941113
B3GNT35g_pos	9584.516497941113
B3GNT36g_pos	922.2379064528121
B3GNT37g_pos	12605.70726435706
B3GNT39g_pos	29502.706031228074
B3GNT51g_pos	11723.8260938957
BAAT1x_pos	4019.8607124132823
BAAT2x_pos	3234.93778814115
BAAT3x_pos	18418.650615461982
BAAT4x_pos	4019.8607124132823
BACCL_pos	5731.149216072356
BACCLm_pos	6146.506075868037
BALABETAtc_pos	1557.0207091758534
BALAPAT1tc_pos	1475.122546772469
BALAVECSEC_pos	4245.096985542902
BALAtmr_neg	13639.494111472728
BALAtmr_pos	10921.311454106224
BAMPPALDOX_pos	30260.47762342863
