	Ob.EPA.a_S122_L007_R1_001
5MTAte_pos	15076.224216960145
5MTHFt2_neg	1283.7047439975788
5MTHFt2_pos	1283.7047439975788
5MTHFt2le_neg	2352.036419228868
5MTHFt2le_pos	2352.036419228868
5MTHFt_neg	1283.7047439975788
5MTHFt_pos	1283.7047439975788
5OXPROt_neg	10201.46849268836
5OXPROt_pos	6078.373094412991
5THFtl_pos	3211.848790109691
5THFtm_pos	3771.581046376942
6DHFtl_pos	3449.287680279156
6DHFtm_pos	3831.935889309498
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52067.016778063575
6HTSTSTERONEtr_neg	52067.016778063546
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3449.287680279156
6THFtm_pos	3831.935889309499
7DHCHSTEROLtr_neg	10915.415443368409
7DHCHSTEROLtr_pos	76368.98430074248
7DHFtl_pos	3583.6918337578445
7DHFtm_pos	3874.726076259499
7THFtl_pos	3583.691833757844
7THFtm_pos	3874.726076259499
A4GALTc_pos	0.0
A4GALTg_pos	11212.070712043798
A4GNT1g_pos	0.0
A4GNT2g_pos	253.24235012864455
AACOAT_pos	4123.610532585194
AACTOOR_pos	12328.406775324323
AACTtm_pos	12328.406775324323
AASAD3m_pos	26.248964691929064
AATAi_neg	3890.1728004762067
AATAi_pos	48.573802091498784
ABO1g_pos	10522.374822237556
ABO2g_pos	10151.138660160488
ABO3g_pos	10294.065833851791
ABO4g_pos	9493.22556054079
ABO5g_pos	9493.22556054079
ABO6g_pos	8889.48892219812
ABO7g_pos	8889.48892219812
ABO8g_pos	9181.654665806736
ABO9g_pos	8270.569728049653
ABTArm_neg	9413.940548881963
ABTArm_pos	12479.994426426505
ABTD_neg	5060.304249491557
ABTD_pos	7.882597854542158
ABTti_pos	5060.304249491557
ABUTD_pos	12373.768613011394
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	508.60123524868453
ABUTt2r_pos	622.1928855342214
ABUTt4_2_r_neg	622.1928855342214
ABUTt4_2_r_pos	508.60123524868453
ACACT10m_neg	13534.003367911244
ACACT10m_pos	9663.20097176671
ACACT1r_neg	7066.37564052545
ACACT1r_pos	16066.787942952335
ACACT1rm_pos	5016.46825818762
ACACT1x_pos	9653.021193805544
ACACT4p_pos	24081.39149514097
ACACT5p_pos	24081.39149514097
ACACT6p_pos	24081.39149514097
ACACT7p_pos	23423.53939930153
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	389.8531434355763
ACACt2_pos	389.8531434355763
ACACt2m_neg	1248.5768158397848
ACACt2m_pos	1248.5768158397848
ACACtx_neg	5749.675961952982
ACACtx_pos	0.0
ACALDt_neg	6339.563148731018
ACALDt_pos	5.14514457841208
ACALDtm_neg	9023.847437120303
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54314.6213073658
ACALDtx_neg	0.0
ACALDtx_pos	11.738215921065928
ACCOAC_pos	4251.368486478964
ACCOACm_pos	4223.534757384551
ACCOAL_pos	3303.9805132415445
ACCOALm_pos	4458.837333807829
ACCOAgt_neg	0.0
ACCOAgt_pos	19200.562973693424
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1462.4807951319196
ACCOAtr_pos	1462.4807951319196
ACETONEt2_neg	10556.269693978757
ACETONEt2_pos	5.505741862153841
ACETONEt2m_neg	10556.269693978762
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10991.281336569597
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10991.281336569597
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9493.225560540788
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9493.225560540792
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8889.488922198121
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8889.48892219812
ACGALK2_pos	549.1512974330383
ACGALK_pos	548.176764537054
ACGALtlg_neg	909.1335554853309
ACGALtlg_pos	0.0
ACGALtly_pos	548.1767645370542
ACGAM2E_neg	3914.183678734387
ACGAM2E_pos	29997.067078578457
ACGAM6PSi_pos	3428.4822515610053
ACGAMK_pos	3914.183678734386
ACGAMPM_neg	0.0
ACGAMPM_pos	3914.1836787343855
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	909.1335554853309
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	909.1335554853309
ACGPID_pos	51.006986995504015
ACGSm_pos	0.0
ACHEe_pos	5440.453084109573
ACHVESSEC_pos	4124.428011730404
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5776.842288753327
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11149.121780202975
ACN13ACNGALGBSIDEtg_neg	11149.121780202973
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11149.121780202975
ACN23ACNGALGBSIDEtg_neg	11149.121780202973
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12328.246670556382
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12328.246670556377
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11180.297936847848
ACNACNGALGBSIDEtg_neg	11180.297936847846
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8687.282300661333
ACNAM9PL_pos	8384.709722185096
ACNAMPH_pos	8384.709722185096
ACNAMlt_neg	17858.241221035398
ACNAMlt_pos	0.0
ACNAMtn_pos	8764.29948390713
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10094.018457982647
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10094.018457982645
ACNMLr_neg	18480.523008984947
ACNMLr_pos	8384.709722185098
ACOAD10m_pos	289.27612797546726
ACOAD1fm_pos	18151.38769584911
ACOAD8m_pos	316.20687060043707
ACOAD9m_pos	11869.28987938155
ACOAHi_pos	3239.636695565624
ACOAO7p_pos	17586.163665076987
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1178.979319470821
ACONT_pos	1178.979319470821
ACONTm_neg	319.8626979782081
ACONTm_pos	319.8626979782081
ACOX22x_pos	68521.72264242393
ACOX2x_pos	58521.53074850912
ACP1_FMN__pos	3380.2053163428436
ACRNtm_pos	2305.232199901018
ACS2_pos	3225.668324964842
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3239.6366955656244
ACSm_pos	4434.010505383898
ACTLMO_pos	5482.830891466748
ACTNMO_pos	14225.887696401049
ACYP_pos	3238.1586744900756
ACt2m_neg	4136.5286484834105
ACt2m_pos	4806.095402360604
ACt2r_neg	1219.5191955514692
ACt2r_pos	1219.5191955514692
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7397.656745231502
ADAe_pos	7569.269022286147
ADCim_pos	10556.269693978758
ADEt_neg	6222.723715582416
ADEt_pos	30755.472021709516
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1159.8599245171833
ADK1_pos	1159.8599245171833
ADK1m_neg	426.5767641154604
ADK1m_pos	426.5767641154604
ADK3_neg	1159.8599245171833
ADK3_pos	1159.8599245171833
ADK3m_neg	426.5767641154604
ADK3m_pos	426.5767641154604
ADKd_neg	1157.1784347427656
ADKd_pos	1157.1784347427656
ADMDC_pos	15142.086823224683
ADNCYC_pos	3295.6504531435903
ADNK1_pos	3321.8417158001716
ADNK1m_pos	2373.1408450858044
ADNK3_pos	4221.979236213078
ADNK4_pos	4221.979236213079
ADNt4_pos	780.2672900890094
ADNt5le_pos	1374.6163637663906
ADNt_neg	780.2672900890094
ADNt_pos	1200.2434430248052
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5794.078945292428
ADNtm_pos	8513.627909656556
ADPACDAc_pos	7821.78381977961
ADPACTD_neg	0.0
ADPACTD_pos	7821.78381977961
ADPCOACROT_neg	7821.78381977961
ADPCOACROT_pos	61630.782829567936
ADPCOAPTE_pos	7821.78381977961
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7915.8814617417875
ADPRDPm_pos	0.0
ADPRIBt_pos	17.65447873478891
ADPT_pos	3813.161698082502
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.041607976702387
ADRNCOAtx_pos	14867.238066381904
ADRNCPT1_pos	325.28848525317187
ADRNCPT2_pos	325.28848525317187
ADRNCRNt_pos	325.28848525317187
ADRNLPVESSEC_pos	36974.97555213945
ADRNt_neg	1183.373985680159
ADRNt_pos	1197.2235328766048
ADSELK_pos	0.0
ADSK_pos	3349.023736903425
ADSL1_pos	8933.761449987083
ADSL2_pos	20595.654143678035
ADSS_pos	8933.761449987083
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.464187623837475
AG13T10g_pos	10741.053323680093
AG13T11g_pos	10741.053323680093
AG13T12g_pos	10741.053323680093
AG13T13g_pos	10741.053323680093
AG13T14g_pos	10741.053323680093
AG13T15g_pos	10741.053323680093
AG13T16g_pos	7470.517895846726
AG13T17g_pos	7470.517895846726
AG13T18g_pos	7470.517895846726
AG13T1g_pos	7500.972144141307
AG13T2g_pos	7500.972144141307
AG13T3g_pos	7500.972144141307
AG13T4g_pos	10741.053323680093
AG13T5g_pos	10741.053323680093
AG13T6g_pos	10741.053323680093
AG13T7g_pos	10741.053323680093
AG13T8g_pos	10741.053323680093
AG13T9g_pos	10741.053323680093
AGDC_pos	3428.4822515610067
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23440.138946767394
AGPAT1_pos	10274.956983866783
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8710.77214005891
AGTix_pos	12057.614665165056
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2117.3831323070003
AHCYStd_pos	2117.3831323070003
AHCYSte_neg	26956.935608965978
AHCYSte_pos	11220.352553246214
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5711.907095237811
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9754.15648529343
AHEXASE2ly_pos	17163.42584702354
AHEXASEly_pos	17630.318303890614
AICART_neg	12895.087445016636
AICART_pos	11086.92648820113
AICARte_neg	12496.02876113341
AICARte_pos	11086.926488201128
AIRCr_neg	0.0
AIRCr_pos	20595.654143678035
AK2LGCHOLt_neg	6.8197245645009685
AK2LGCHOLt_pos	6405.704390980469
AKGDm_pos	10597.952316506262
AKGMALtm_neg	448.65738491589093
AKGMALtm_pos	335.03193801086815
AKGt4_3_neg	715.5642567323562
AKGt4_3_pos	811.6321176534398
AKGtp_neg	0.0
AKGtp_pos	45.76188263708488
AKR1C1_pos	61083.71482557752
AKR1C41_pos	2092.4294484357906
AKR1C42_pos	2092.4294484357906
AKR1D2_pos	64765.230559661155
AKR1D_pos	11300.04855396503
ALA-DTDe_pos	1340.661958931876
ALAALACNc_neg	0.0
ALAALACNc_pos	7284.436470035831
ALAALAPEPT1tc_pos	7284.436470035834
ALAASNNaEx_pos	769.379913069533
ALAATB0tc_pos	1293.681668188226
ALACYSNaEx_pos	690.4774233956772
ALADGLNexR_neg	663.089108940196
ALADGLNexR_pos	614.2106526431775
ALADGLYexR_neg	588.1494517700775
ALADGLYexR_pos	522.3402313053022
ALAGLNNaEx_pos	761.3524989715839
ALAGLNexR_neg	375.5090994494502
ALAGLNexR_pos	375.5090994494502
ALAGLYexR_neg	575.5388308224101
ALAGLYexR_pos	430.4698099674269
ALAR_neg	2.4134462569429003
ALAR_pos	3687.6472978237334
ALASERNaEx_pos	649.913616684345
ALASm_pos	321.29020598753203
ALATA_L_neg	4286.6352282284415
ALATA_L_pos	3067.7362243716043
ALATHRNaEx_pos	714.0043421593515
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	479.9303556064235
ALAt2r_pos	588.1494517700775
ALAt4_pos	243.99427635231208
ALAtN1_neg	375.5090994494502
ALAtN1_pos	375.5090994494502
ALAyLATthc_pos	479.9303556064235
ALCD1_neg	6568.0727415820775
ALCD1_pos	13.400635744864385
ALCD21_D_pos	403.86247446794107
ALCD21_L_pos	835.8339302977454
ALCD22_D_pos	300.04974853024066
ALCD22_L_pos	835.8339302977454
ALCD2if_pos	5.628496497536708
ALCD2yf_pos	5.630007564362865
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.76188263708488
ALDD2x_pos	6832.98287375277
ALDD2xm_pos	9023.847437120301
ALDD2y_pos	6674.393419116684
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53137.46236770851
ALDSTRNtm_neg	53137.4623677085
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3515.7705948505304
ALOX5_pos	96.43798179387325
ALR2_pos	835.8339302977454
ALR3_pos	835.8339302977454
AMACR2p_pos	18106.715965456635
AMACR2r_pos	0.0
AMACRp_pos	58521.53074850912
AMACRr_pos	0.0
AMANK_pos	8384.709722185096
AMCOXO_pos	47.15766455644809
AMETr_neg	0.0
AMETr_pos	5711.9070952378115
AMETt2m_neg	2117.3831323070003
AMETt2m_pos	2117.3831323070003
AMETtd_neg	2117.3831323070003
AMETtd_pos	2117.3831323070003
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6597.631532408773
AMPTASECG_pos	6926.726568001769
AMPTASECGe_pos	8168.076743849591
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.450214951945426
AMY2e_pos	13.450214951945426
ANDRSTRNGLCte_pos	69255.55478433579
ANDRSTRNGLCtr_neg	69255.55478433579
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55777.32770776842
ANDRSTRNte_pos	17.582025654194847
ANDRSTRNtr_neg	17.58202565419485
ANDRSTRNtr_pos	55777.327707768425
ANTHte_neg	10.859906153712698
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.906892216836967
AOBUTDsm_pos	12328.406775324323
AP4AH1_pos	0.0
APAT2rm_neg	13495.656993200915
APAT2rm_pos	10737.926067084338
APNNOXte_neg	7.464187623837471
APNNOXte_pos	0.0
APOCF_pos	5484.745356856381
APOCFm_pos	5925.987625115057
APOC_LYS_BTNP_pos	5484.745356856381
APOC_LYS_BTNPm_pos	5925.987625115057
APPNNte_neg	0.0
APPNNte_pos	7.464187623837471
APRGSTRNte_neg	61083.71482557751
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.361733481996017
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.361733481996017
ARACHCOAtx_neg	25858.789760571315
ARACHCOAtx_pos	11064.826376228995
ARACHCPT1_pos	11697.628083800158
ARACHCPT2_pos	11697.628083800158
ARACHCRNt_pos	11697.628083800158
ARACHDCOAtx_neg	4972.043290656749
ARACHDCOAtx_pos	189.52036653345957
ARACHDt2_neg	346.49294601741906
ARACHDt2_pos	360.34249321386494
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4325.253279669004
ARACHt_neg	1198.1201335722067
ARACHt_pos	1211.9696807686526
ARGATB0tc_pos	1694.7181206463783
ARGDCm_pos	23440.138946767394
ARGLYSex_pos	664.4054333052627
ARGN_pos	13652.404177633789
ARGNm_pos	14346.748128218238
ARGSL_neg	0.0
ARGSL_pos	12952.290866177407
ARGSS_pos	12952.290866177405
ARGt4_pos	1483.9459531332623
ARGtiDF_pos	479.9303556064235
ARGtm_neg	1480.1717665652286
ARGtm_pos	1179.0742721187876
ARSA_pos	38039.20327833228
ARTCOAL1_pos	4901.480135946983
ARTCOAL2_pos	4901.480135946983
ARTCOAL3_pos	4901.480135946983
ASAH1_pos	37940.387443030115
ASCBOX_pos	8728.999326606849
ASCBSVCTtc_pos	3266.987358043601
ASCBt4_neg	425.27883675522867
ASCBt4_pos	1234.656609861796
ASCBt_neg	1234.656609861796
ASCBt_pos	1248.5061570582418
ASNALANaEx_pos	769.379913069533
ASNATB0tc_pos	1384.3384922136263
ASNCYSNaEx_pos	924.2955189931192
ASNGLNNaEx_pos	769.379913069533
ASNNm_pos	8612.706358143065
ASNPHELAT2tc_pos	521.0334742921132
ASNS1_pos	7290.717264421235
ASNSERNaEx_pos	920.2247519743593
ASNTHRNaEx_pos	953.1207557452836
ASNt4_pos	342.613095678526
ASNtN1_neg	342.613095678526
ASNtN1_pos	663.604996675045
ASNtm_pos	8612.706358143065
ASP1DC_pos	9121.208966673734
ASPCTr_neg	0.0
ASPCTr_pos	18664.326434039995
ASPDTDe_neg	11.428366935802979
ASPDTDe_pos	2069.2413521758954
ASPDt6_pos	2069.2413521758954
ASPDxt_neg	11.190676182429476
ASPDxt_pos	0.0
ASPGLUm_pos	2474.2702843697643
ASPNATm_pos	7344.973098992283
ASPPROASCT1_pos	1624.1242896106355
ASPTA_neg	7125.477462277406
ASPTA_pos	2474.2702843697643
ASPTAm_neg	2474.2702843697643
ASPTAm_pos	9046.546320432211
ASPt6_pos	2069.2413521758954
ASPte_pos	1195.6314495138438
ATP1ter_neg	0.0
ATP1ter_pos	7170.5384941950115
ATP2ter_neg	4509.226420022345
ATP2ter_pos	4509.226420022345
ATPH1e_pos	13998.174315937462
ATPH2e_pos	3.0231692795563463
ATPS4m_pos	1566.8954871671385
ATPasel_pos	23719.349852361764
ATPtm_pos	662.2214465258169
ATPtn_neg	0.0
ATPtn_pos	9741.01827275656
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4188.3325401860475
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17437.533529810415
Asn_X_Ser_Thrtr_neg	17130.141387120115
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11212.070712043798
B3GALT41g_pos	12437.481558085881
B3GALT42g_pos	12614.090819164523
B3GALT43g_pos	12790.34931063442
B3GALT44g_pos	13066.181633269376
B3GALT5g_pos	10390.186868069763
B3GALTg_pos	11573.423815002947
B3GNT11g_pos	9744.96782727229
B3GNT12g_pos	8886.766486002865
B3GNT310g_pos	11493.738113523132
B3GNT311g_pos	9493.22556054079
B3GNT312g_pos	9744.96782727229
B3GNT313g_pos	8889.48892219812
B3GNT314g_pos	8270.569728049653
B3GNT315g_pos	8886.766486002865
B3GNT31g_pos	9608.30560429661
B3GNT32g_pos	9608.30560429661
B3GNT33g_pos	9608.30560429661
B3GNT34g_pos	9392.496593583046
B3GNT35g_pos	9392.496593583046
B3GNT36g_pos	909.1335554853309
B3GNT37g_pos	12340.108289353195
B3GNT39g_pos	28921.887892406063
B3GNT51g_pos	11493.738113523134
BAAT1x_pos	4023.60692590674
BAAT2x_pos	3237.3235279941036
BAAT3x_pos	18106.715965456635
BAAT4x_pos	4023.60692590674
BACCL_pos	5484.745356856381
BACCLm_pos	5925.987625115057
BALABETAtc_pos	1521.0894995515027
BALAPAT1tc_pos	1450.995842141164
BALAVECSEC_pos	4199.241441760031
BALAtmr_neg	13495.656993200915
BALAtmr_pos	10737.926067084338
