	Ob.911.e_S155_L007_R1_001
ABO5g_pos	9507.12901495134
ABO6g_pos	8897.583957635807
ABO7g_pos	8897.583957635807
ABO8g_pos	9170.129455699014
ABO9g_pos	8246.98460087241
ABTArm_neg	9382.736547698332
ABTArm_pos	12279.03575916401
ABTD_neg	5061.435224696054
ABTD_pos	7.837284427691083
ABTti_pos	5061.435224696054
ABUTD_pos	12149.084891324836
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	480.6806656627448
ABUTt2r_pos	598.3729081248161
ABUTt4_2_r_neg	598.3729081248161
ABUTt4_2_r_pos	480.6806656627448
ACACT10m_neg	13502.865866263755
ACACT10m_pos	9660.000007115876
ACACT1r_neg	7108.454087504916
ACACT1r_pos	15928.234644100556
ACACT1rm_pos	5059.21505917949
ACACT1x_pos	9680.621329523772
ACACT4p_pos	24047.76013700435
ACACT5p_pos	24047.760137004345
ACACT6p_pos	24047.76013700435
ACACT7p_pos	23386.945948382247
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	396.688452847509
ACACt2_pos	396.688452847509
ACACt2m_neg	1250.318847682603
ACACt2m_pos	1250.318847682603
ACACtx_neg	5754.864027591481
ACACtx_pos	0.0
ACALDt_neg	6205.2124446695
ACALDt_pos	5.144801658123792
ACALDtm_neg	8885.101369026079
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54025.356713940935
ACALDtx_neg	0.0
ACALDtx_pos	11.750461556328176
ACCOAC_pos	4165.588414644142
ACCOACm_pos	4222.888301115666
ACCOAL_pos	3222.524687341055
ACCOALm_pos	4452.630388132343
ACCOAgt_neg	0.0
ACCOAgt_pos	19087.779001243816
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1484.0112024813054
ACCOAtr_pos	1484.0112024813054
ACETONEt2_neg	10576.610642666385
ACETONEt2_pos	5.5037950639892745
ACETONEt2m_neg	10576.610642666374
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10876.224903699474
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10876.224903699478
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9507.12901495134
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9507.12901495134
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8897.58395763581
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8897.583957635812
ACGALK2_pos	552.1706036599977
ACGALK_pos	551.1912911177878
ACGALtlg_neg	908.1620589418558
ACGALtlg_pos	0.0
ACGALtly_pos	551.1912911177877
ACGAM2E_neg	3878.067489137078
ACGAM2E_pos	29902.21419905752
ACGAM6PSi_pos	3413.8103108434498
ACGAMK_pos	3878.0674891370786
ACGAMPM_neg	0.0
ACGAMPM_pos	3878.0674891370786
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	908.1620589418561
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	908.1620589418559
ACGPID_pos	50.56110858806207
ACGSm_pos	0.0
ACHEe_pos	5533.02700181579
ACHVESSEC_pos	4049.1251870341066
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5755.358180807288
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11053.205920981125
ACN13ACNGALGBSIDEtg_neg	11053.205920981125
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11053.205920981125
ACN23ACNGALGBSIDEtg_neg	11053.205920981125
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12273.591233225632
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12273.59123322564
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11095.88091234212
ACNACNGALGBSIDEtg_neg	11095.88091234212
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8560.6624400189
ACNAM9PL_pos	8261.082044595456
ACNAMPH_pos	8261.082044595456
ACNAMlt_neg	17786.96924299298
ACNAMlt_pos	0.0
ACNAMtn_pos	8791.963613395843
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10047.504861982812
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10047.504861982814
ACNMLr_neg	18388.795819405113
ACNMLr_pos	8261.082044595454
ACOAD10m_pos	295.47597016481626
ACOAD1fm_pos	18207.469647877395
ACOAD8m_pos	308.9812162437993
ACOAD9m_pos	11867.227254953348
ACOAHi_pos	3214.333646040678
ACOAO7p_pos	17635.21924893533
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1175.5140638254006
ACONT_pos	1175.5140638254006
ACONTm_neg	314.7409600333524
ACONTm_pos	314.7409600333524
ACOX22x_pos	68032.1864508207
ACOX2x_pos	58144.685746693794
ACP1_FMN__pos	3306.0438766651323
ACRNtm_pos	2328.4670756141695
ACS2_pos	3197.9037538788652
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3214.3336460406786
ACSm_pos	4430.048833962336
ACTLMO_pos	5486.386223999851
ACTNMO_pos	14223.313548556625
ACYP_pos	3170.488856256598
ACt2m_neg	4143.391892954719
ACt2m_pos	4805.678530936145
ACt2r_neg	1223.3477418132375
ACt2r_pos	1223.3477418132375
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7350.107457838695
ADAe_pos	7514.089202914742
ADCim_pos	10576.610642666385
ADEt_neg	6106.502066053308
ADEt_pos	30421.47879011988
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1062.4728745099455
ADK1_pos	1062.4728745099455
ADK1m_neg	417.90596061037616
ADK1m_pos	417.90596061037616
ADK3_neg	1062.4728745099455
ADK3_pos	1062.4728745099455
ADK3m_neg	417.90596061037616
ADK3m_pos	417.90596061037616
ADKd_neg	1060.2466041807927
ADKd_pos	1060.2466041807927
ADMDC_pos	15047.226975707497
ADNCYC_pos	3262.6286260422244
ADNK1_pos	3238.6676651076245
ADNK1m_pos	2373.5351311341615
ADNK3_pos	4140.895203059267
ADNK4_pos	4140.895203059267
ADNt4_pos	724.0866531962184
ADNt5le_pos	1381.1771711606725
ADNt_neg	724.0866531962184
ADNt_pos	1189.588485483524
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5708.945135185881
ADNtm_pos	8095.65912871171
ADPACDAc_pos	7798.132524865097
ADPACTD_neg	0.0
ADPACTD_pos	7798.132524865097
ADPCOACROT_neg	7798.132524865097
ADPCOACROT_pos	61267.753566895815
ADPCOAPTE_pos	7798.132524865097
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7878.273915322627
ADPRDPm_pos	0.0
ADPRIBt_pos	17.526762383339054
ADPT_pos	3764.5339502845086
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.050643445793552
ADRNCOAtx_pos	14825.863410819722
ADRNCPT1_pos	325.98413576326584
ADRNCPT2_pos	325.98413576326584
ADRNCRNt_pos	325.98413576326584
ADRNLPVESSEC_pos	36774.778731987746
ADRNt_neg	1190.2742092752592
ADRNt_pos	1191.4494547625081
ADSELK_pos	0.0
ADSK_pos	3254.319149615258
ADSL1_pos	8734.344648507787
ADSL2_pos	20184.019724797523
ADSS_pos	8734.344648507787
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.451266657131697
AG13T10g_pos	10705.595205656684
AG13T11g_pos	10705.595205656684
AG13T12g_pos	10705.595205656684
AG13T13g_pos	10705.595205656684
AG13T14g_pos	10705.595205656684
AG13T15g_pos	10705.595205656684
AG13T16g_pos	7438.473924897645
AG13T17g_pos	7438.473924897645
AG13T18g_pos	7438.473924897645
AG13T1g_pos	7466.280008816766
AG13T2g_pos	7466.280008816766
AG13T3g_pos	7466.280008816766
AG13T4g_pos	10705.595205656684
AG13T5g_pos	10705.595205656684
AG13T6g_pos	10705.595205656684
AG13T7g_pos	10705.595205656684
AG13T8g_pos	10705.595205656684
AG13T9g_pos	10705.595205656684
AGDC_pos	3413.8103108434498
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23120.096581348316
AGPAT1_pos	10155.544106701413
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8680.467825107908
AGTix_pos	11863.78036390422
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2099.6599503450466
AHCYStd_pos	2099.6599503450466
AHCYSte_neg	26826.73359000555
AHCYSte_pos	11129.921578494927
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5707.972221074446
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9672.288793249181
AHEXASE2ly_pos	17080.807805331653
AHEXASEly_pos	17557.789061651918
AICART_neg	12818.703671108042
AICART_pos	10820.560093493455
AICARte_neg	12377.31814905449
AICARte_pos	10820.560093493454
AIRCr_neg	0.0
AIRCr_pos	20184.019724797534
AK2LGCHOLt_neg	6.803978432314869
AK2LGCHOLt_pos	6422.338426520742
AKGDm_pos	10480.498565186921
AKGMALtm_neg	475.74273794739145
AKGMALtm_pos	354.4377093563493
AKGt4_3_neg	736.2347028929328
AKGt4_3_pos	830.762383319438
AKGtp_neg	0.0
AKGtp_pos	45.793101362917334
AKR1C1_pos	61245.75014286641
AKR1C41_pos	2093.558841575459
AKR1C42_pos	2093.558841575459
AKR1D2_pos	64285.39453604733
AKR1D_pos	11072.815351228317
ALA-DTDe_pos	1330.851280598686
ALAALACNc_neg	0.0
ALAALACNc_pos	7334.379318193937
ALAALAPEPT1tc_pos	7334.379318193936
ALAASNNaEx_pos	702.7622304035241
ALAATB0tc_pos	1293.2976120848923
ALACYSNaEx_pos	638.3393705871179
ALADGLNexR_neg	621.4470697837477
ALADGLNexR_pos	573.345182489294
ALADGLYexR_neg	556.9374473526093
ALADGLYexR_pos	487.7307243700157
ALAGLNNaEx_pos	701.5182446763243
ALAGLNexR_neg	343.701818204313
ALAGLNexR_pos	343.701818204313
ALAGLYexR_neg	538.436071919676
ALAGLYexR_pos	402.1162662507374
ALAR_neg	2.3856404490846455
ALAR_pos	3708.7100710831714
ALASERNaEx_pos	615.3741019346729
ALASm_pos	307.1230963964177
ALATA_L_neg	4267.746717956093
ALATA_L_pos	2832.8610287005004
ALATHRNaEx_pos	639.3131374384417
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	451.5844306557462
ALAt2r_pos	556.9374473526093
ALAt4_pos	227.71253702780217
ALAtN1_neg	343.701818204313
ALAtN1_pos	343.701818204313
ALAyLATthc_pos	451.5844306557462
ALCD1_neg	6565.556562910074
ALCD1_pos	13.359111580402962
ALCD21_D_pos	396.02540192931923
ALCD21_L_pos	831.6456121581123
ALCD22_D_pos	301.53468532039267
ALCD22_L_pos	831.6456121581123
ALCD2if_pos	5.597164982898684
ALCD2yf_pos	5.6012374136832275
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.79310136291732
ALDD2x_pos	6680.551370709705
ALDD2xm_pos	8885.101369026079
ALDD2y_pos	6527.501848022161
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52898.46998916142
ALDSTRNtm_neg	52898.46998916142
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3267.503334837333
ALOX5_pos	95.10390357491026
ALR2_pos	831.6456121581123
ALR3_pos	831.6456121581123
AMACR2p_pos	18142.54269123514
AMACR2r_pos	0.0
AMACRp_pos	58144.685746693794
AMACRr_pos	0.0
AMANK_pos	8261.082044595456
AMCOXO_pos	46.71442270520325
AMETr_neg	0.0
AMETr_pos	5707.972221074448
AMETt2m_neg	2099.6599503450466
AMETt2m_pos	2099.6599503450466
AMETtd_neg	2099.6599503450466
AMETtd_pos	2099.6599503450466
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6460.3384817565675
AMPTASECG_pos	6761.615517048921
AMPTASECGe_pos	7954.311129062517
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.433253231459886
AMY2e_pos	13.433253231459886
ANDRSTRNGLCte_pos	68699.75798469404
ANDRSTRNGLCtr_neg	68699.75798469405
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55464.59432128876
ANDRSTRNte_pos	17.333225180435253
ANDRSTRNtr_neg	17.333225180435253
ANDRSTRNtr_pos	55464.59432128874
ANTHte_neg	10.816379842942322
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.897209765749318
AOBUTDsm_pos	12045.697300355683
AP4AH1_pos	0.0
APAT2rm_neg	13469.67234200917
APAT2rm_pos	10654.605597434904
APNNOXte_neg	7.451266657131696
APNNOXte_pos	0.0
APOCF_pos	5480.638706857139
APOCFm_pos	5943.369787025319
APOC_LYS_BTNP_pos	5480.638706857139
APOC_LYS_BTNPm_pos	5943.369787025319
APPNNte_neg	0.0
APPNNte_pos	7.451266657131696
APRGSTRNte_neg	61245.75014286641
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.342395369868284
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.342395369868284
ARACHCOAtx_neg	25869.29578768139
ARACHCOAtx_pos	11049.629606973303
ARACHCPT1_pos	11760.172578854823
ARACHCPT2_pos	11760.172578854823
ARACHCRNt_pos	11760.172578854823
ARACHDCOAtx_neg	4893.872696654214
ARACHDCOAtx_pos	190.0378481225805
ARACHDt2_neg	347.65947285259557
ARACHDt2_pos	348.83471833984436
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4286.816115485757
ARACHt_neg	1201.6754685310254
ARACHt_pos	1202.8507140182744
ARGATB0tc_pos	1677.6960786114132
ARGDCm_pos	23120.096581348316
ARGLYSex_pos	623.3123966862793
ARGN_pos	13430.680407969077
ARGNm_pos	14406.246001836287
ARGSL_neg	0.0
ARGSL_pos	12713.827300762836
ARGSS_pos	12713.827300762838
ARGt4_pos	1468.2995675971936
ARGtiDF_pos	451.5844306557462
ARGtm_neg	1461.29806234099
ARGtm_pos	1160.5101450256973
ARSA_pos	38147.46391970485
ARTCOAL1_pos	4874.16381156864
ARTCOAL2_pos	4874.163811568639
ARTCOAL3_pos	4874.163811568639
ASAH1_pos	37880.445380672914
ASCBOX_pos	8704.805351273984
ASCBSVCTtc_pos	3194.3254653164245
ASCBt4_neg	431.29325957189735
ASCBt4_pos	1240.8371171408276
ASCBt_neg	1240.8371171408276
ASCBt_pos	1242.0123626280765
ASNALANaEx_pos	702.7622304035241
ASNATB0tc_pos	1368.7145484191478
ASNCYSNaEx_pos	848.5040136749847
ASNGLNNaEx_pos	702.7622304035241
ASNNm_pos	8223.933798067357
ASNPHELAT2tc_pos	483.48655057296537
ASNS1_pos	6942.003178248972
ASNSERNaEx_pos	847.4131294328267
ASNTHRNaEx_pos	871.3521649365955
ASNt4_pos	317.123800995059
ASNtN1_neg	317.123800995059
ASNtN1_pos	535.9287679429159
ASNtm_pos	8223.933798067357
ASP1DC_pos	9035.388902404493
ASPCTr_neg	0.0
ASPCTr_pos	18491.365226296726
ASPDTDe_neg	11.449850531021971
ASPDTDe_pos	2099.8316416210746
ASPDt6_pos	2099.8316416210746
ASPDxt_neg	11.246335392473467
ASPDxt_pos	0.0
ASPGLUm_pos	2431.927730030004
ASPNATm_pos	7323.839446365617
ASPPROASCT1_pos	1602.3772165573778
ASPTA_neg	7026.538819820928
ASPTA_pos	2431.927730030004
ASPTAm_neg	2431.9277300300046
ASPTAm_pos	8769.079235187492
ASPt6_pos	2099.8316416210746
ASPte_pos	1191.9279151923336
ATP1ter_neg	0.0
ATP1ter_pos	7078.619334085631
ATP2ter_neg	4525.979211124445
ATP2ter_pos	4525.979211124445
ATPH1e_pos	13880.345957800659
ATPH2e_pos	3.0203276763777946
ATPS4m_pos	1580.032474927215
ATPasel_pos	23820.25361210458
ATPtm_pos	640.4671734394801
ATPtn_neg	0.0
ATPtn_pos	9698.077187952309
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4106.4443353890365
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17355.50745464124
Asn_X_Ser_Thrtr_neg	17046.698564994673
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11094.666090427354
B3GALT41g_pos	12301.181421830242
B3GALT42g_pos	12476.233476822203
B3GALT43g_pos	12665.74128020152
B3GALT44g_pos	12946.00560272947
B3GALT5g_pos	10351.321939026138
B3GALTg_pos	11494.789804979828
B3GNT11g_pos	9694.367869285226
B3GNT12g_pos	8832.400269777896
B3GNT310g_pos	11425.289535883252
B3GNT311g_pos	9507.12901495134
B3GNT312g_pos	9694.367869285226
B3GNT313g_pos	8897.583957635807
B3GNT314g_pos	8246.98460087241
B3GNT315g_pos	8832.400269777896
B3GNT31g_pos	9553.55198946575
B3GNT32g_pos	9553.55198946575
B3GNT33g_pos	9553.55198946575
B3GNT34g_pos	9338.651526190577
B3GNT35g_pos	9338.651526190577
B3GNT36g_pos	908.1620589418559
B3GNT37g_pos	12258.875821735797
B3GNT39g_pos	28867.487320871987
B3GNT51g_pos	11425.289535883252
BAAT1x_pos	4022.4155648792425
BAAT2x_pos	3216.729803358292
BAAT3x_pos	18142.54269123514
BAAT4x_pos	4022.4155648792425
BACCL_pos	5480.638706857139
BACCLm_pos	5943.369787025319
BALABETAtc_pos	1513.416390277069
BALAPAT1tc_pos	1438.091088036434
BALAVECSEC_pos	4122.262222834594
BALAtmr_neg	13469.672342009168
BALAtmr_pos	10654.605597434907
