	WT-911-a_S119_L007_R1_001
AACTtm_pos	12369.769727436997
AASAD3m_pos	26.474502580079058
AATAi_neg	3951.105310556485
AATAi_pos	49.00803674583156
ABO1g_pos	10719.379078616896
ABO2g_pos	10337.905130285977
ABO3g_pos	10502.372215713618
ABO4g_pos	9688.208292955364
ABO5g_pos	9688.208292955364
ABO6g_pos	9072.140559393487
ABO7g_pos	9072.140559393487
ABO8g_pos	9368.81998590306
ABO9g_pos	8433.207772906995
ABTArm_neg	9603.975048543503
ABTArm_pos	12485.788240154436
ABTD_neg	5073.518352162642
ABTD_pos	7.9887011141999915
ABTti_pos	5073.518352162642
ABUTD_pos	12503.389268563044
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	515.1189134731341
ABUTt2r_pos	650.0033140492144
ABUTt4_2_r_neg	650.0033140492144
ABUTt4_2_r_pos	515.1189134731341
ACACT10m_neg	13730.707902360147
ACACT10m_pos	9845.645918772165
ACACT1r_neg	7503.55744246685
ACACT1r_pos	16543.400094887653
ACACT1rm_pos	5297.508524421921
ACACT1x_pos	10041.689246638696
ACACT4p_pos	24692.86151351639
ACACT5p_pos	24692.861513516382
ACACT6p_pos	24692.861513516385
ACACT7p_pos	24021.193185461023
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	454.0972861361885
ACACt2_pos	454.0972861361885
ACACt2m_neg	1279.8484585327437
ACACt2m_pos	1279.8484585327437
ACACtx_neg	5919.790217036212
ACACtx_pos	0.0
ACALDt_neg	6417.846044615734
ACALDt_pos	5.215320593704078
ACALDtm_neg	9156.119749544941
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54833.42575055225
ACALDtx_neg	0.0
ACALDtx_pos	11.81189734507916
ACCOAC_pos	4285.980757768901
ACCOACm_pos	4245.771205792914
ACCOAL_pos	3317.3509715139467
ACCOALm_pos	4607.978486641784
ACCOAgt_neg	0.0
ACCOAgt_pos	19598.668836479836
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1587.1706055970162
ACCOAtr_pos	1587.1706055970162
ACETONEt2_neg	10732.363146605428
ACETONEt2_pos	5.584315064448366
ACETONEt2m_neg	10732.363146605421
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11227.487907710893
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11227.487907710894
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9688.208292955364
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9688.208292955362
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9072.140559393487
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9072.140559393487
ACGALK2_pos	554.2035309309646
ACGALK_pos	553.238224898415
ACGALtlg_neg	922.0054131261157
ACGALtlg_pos	0.0
ACGALtly_pos	553.238224898415
ACGAM2E_neg	4169.881218421793
ACGAM2E_pos	30511.104611981384
ACGAM6PSi_pos	3541.3428011115966
ACGAMK_pos	4169.881218421793
ACGAMPM_neg	0.0
ACGAMPM_pos	4169.881218421793
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	922.0054131261157
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	922.0054131261157
ACGPID_pos	51.81418285624066
ACGSm_pos	0.0
ACHEe_pos	5494.060352867926
ACHVESSEC_pos	4154.852289613959
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5963.791710168077
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11396.74345462941
ACN13ACNGALGBSIDEtg_neg	11396.743454629412
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11396.74345462941
ACN23ACNGALGBSIDEtg_neg	11396.743454629412
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12616.212975303915
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12616.212975303913
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11422.996834404043
ACNACNGALGBSIDEtg_neg	11422.996834404044
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8810.885349380864
ACNAM9PL_pos	8463.036124523722
ACNAMPH_pos	8463.036124523722
ACNAMlt_neg	18127.90853895343
ACNAMlt_pos	0.0
ACNAMtn_pos	8814.63441184034
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10313.260408256858
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10313.260408256861
ACNMLr_neg	18911.150426011656
ACNMLr_pos	8463.036124523725
ACOAD10m_pos	312.8733499791514
ACOAD1fm_pos	18522.27085294931
ACOAD8m_pos	321.7901257396325
ACOAD9m_pos	12048.694134864485
ACOAHi_pos	3324.90812582222
ACOAO7p_pos	18026.66171594513
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1192.0610897406411
ACONT_pos	1192.0610897406411
ACONTm_neg	347.3259413662521
ACONTm_pos	347.3259413662521
ACOX22x_pos	68962.38193716455
ACOX2x_pos	59083.131921922024
ACP1_FMN__pos	3433.9425265853474
ACRNtm_pos	2555.3210527697797
ACS2_pos	3303.445235187571
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3324.90812582222
ACSm_pos	4460.519690752094
ACTLMO_pos	5535.95231485631
ACTNMO_pos	14440.928023863202
ACYP_pos	3259.320040825892
ACt2m_neg	4272.63289884952
ACt2m_pos	4875.328580314264
ACt2r_neg	1259.4573110499093
ACt2r_pos	1259.4573110499093
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7607.461311224091
ADAe_pos	7753.552063196204
ADCim_pos	10732.363146605425
ADEt_neg	6275.963103847467
ADEt_pos	31161.43702526987
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1048.0201173684807
ADK1_pos	1048.0201173684807
ADK1m_neg	423.05417061914625
ADK1m_pos	423.05417061914625
ADK3_neg	1048.0201173684807
ADK3_pos	1048.0201173684807
ADK3m_neg	423.05417061914625
ADK3m_pos	423.05417061914625
ADKd_neg	1045.4224456012093
ADKd_pos	1045.4224456012093
ADMDC_pos	15338.820654835221
ADNCYC_pos	3402.317080028527
ADNK1_pos	3346.695444825854
ADNK1m_pos	2395.3548567015496
ADNK3_pos	4243.7560890688055
ADNK4_pos	4243.756089068805
ADNt4_pos	950.3121148456398
ADNt5le_pos	1391.1028043341057
ADNt_neg	950.3121148456398
ADNt_pos	1176.7307221099027
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5843.722690258218
ADNtm_pos	8634.988400240463
ADPACDAc_pos	7998.311521193206
ADPACTD_neg	0.0
ADPACTD_pos	7998.311521193206
ADPCOACROT_neg	7998.311521193206
ADPCOACROT_pos	62304.30606137045
ADPCOAPTE_pos	7998.311521193208
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7965.684011006864
ADPRDPm_pos	0.0
ADPRIBt_pos	18.15881271784863
ADPT_pos	3886.593949738477
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.33129183489879
ADRNCOAtx_pos	15214.830409601607
ADRNCPT1_pos	331.37911210098486
ADRNCPT2_pos	331.37911210098486
ADRNCRNt_pos	331.37911210098486
ADRNLPVESSEC_pos	37508.87113160343
ADRNt_neg	1196.8760949146274
ADRNt_pos	1204.7244827542995
ADSELK_pos	0.0
ADSK_pos	3374.1550032195114
ADSL1_pos	9029.32404128763
ADSL2_pos	20647.813881792572
ADSS_pos	9029.32404128763
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.52516288753275
AG13T10g_pos	10958.264294892933
AG13T11g_pos	10958.264294892933
AG13T12g_pos	10958.264294892933
AG13T13g_pos	10958.264294892933
AG13T14g_pos	10958.264294892933
AG13T15g_pos	10958.264294892933
AG13T16g_pos	7589.61908054347
AG13T17g_pos	7589.61908054347
AG13T18g_pos	7589.61908054347
AG13T1g_pos	7616.173519760395
AG13T2g_pos	7616.173519760395
AG13T3g_pos	7616.173519760395
AG13T4g_pos	10958.264294892933
AG13T5g_pos	10958.264294892933
AG13T6g_pos	10958.264294892933
AG13T7g_pos	10958.264294892933
AG13T8g_pos	10958.264294892933
AG13T9g_pos	10958.264294892933
AGDC_pos	3541.342801111596
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23649.856375466108
AGPAT1_pos	10402.654440802444
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8776.2990545489
AGTix_pos	12464.97395858096
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2121.1501985982295
AHCYStd_pos	2121.1501985982295
AHCYSte_neg	27316.64478750179
AHCYSte_pos	11441.130656535755
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5772.03238989749
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10053.053611153797
AHEXASE2ly_pos	17423.283867802504
AHEXASEly_pos	17894.312286986362
AICART_neg	13073.035999893647
AICART_pos	11427.038444562733
AICARte_neg	12667.835510227273
AICARte_pos	11427.038444562731
AIRCr_neg	0.0
AIRCr_pos	20647.813881792572
AK2LGCHOLt_neg	6.903931144781319
AK2LGCHOLt_pos	6655.60533804367
AKGDm_pos	10566.714437500508
AKGMALtm_neg	560.6863177905848
AKGMALtm_pos	419.6260414652422
AKGt4_3_neg	799.2383121533915
AKGt4_3_pos	910.073488203438
AKGtp_neg	0.0
AKGtp_pos	46.96384499777741
AKR1C1_pos	62021.30622903564
AKR1C41_pos	2101.672765688009
AKR1C42_pos	2101.672765688009
AKR1D2_pos	65207.08908444563
AKR1D_pos	11163.613872661192
ALA-DTDe_pos	1364.130417175972
ALAALACNc_neg	0.0
ALAALACNc_pos	7575.479451026563
ALAALAPEPT1tc_pos	7575.479451026562
ALAASNNaEx_pos	783.35342595289
ALAATB0tc_pos	1334.1275557578724
ALACYSNaEx_pos	793.0755429244516
ALADGLNexR_neg	707.7217139290004
ALADGLNexR_pos	642.9577795267658
ALADGLYexR_neg	623.8687045564157
ALADGLYexR_pos	544.5593118259553
ALAGLNNaEx_pos	783.35342595289
ALAGLNexR_neg	377.1780775891637
ALAGLNexR_pos	377.1780775891637
ALAGLYexR_neg	600.5270318506603
ALAGLYexR_pos	446.160844125145
ALAR_neg	2.423923717037945
ALAR_pos	3828.663995016622
ALASERNaEx_pos	731.4372403363058
ALASm_pos	375.01168372343443
ALATA_L_neg	4314.038392332271
ALATA_L_pos	3465.7222000002303
ALATHRNaEx_pos	739.1081390424552
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	495.888097618244
ALAt2r_pos	623.8687045564157
ALAt4_pos	246.66617488616006
ALAtN1_neg	377.1780775891637
ALAtN1_pos	377.1780775891637
ALAyLATthc_pos	502.2502514262947
ALCD1_neg	6698.78196091784
ALCD1_pos	13.465694157024197
ALCD21_D_pos	415.39993172706767
ALCD21_L_pos	875.9762415063543
ALCD22_D_pos	297.7633993830816
ALCD22_L_pos	875.9762415063543
ALCD2if_pos	5.688079183503621
ALCD2yf_pos	5.698142407035743
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	46.96384499777742
ALDD2x_pos	6986.557599570279
ALDD2xm_pos	9156.119749544941
ALDD2y_pos	6826.745989473277
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53569.51362473394
ALDSTRNtm_neg	53569.51362473395
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3385.762686647319
ALOX5_pos	97.21884106017173
ALR2_pos	875.9762415063543
ALR3_pos	875.9762415063543
AMACR2p_pos	18402.948373105264
AMACR2r_pos	0.0
AMACRp_pos	59083.131921922024
AMACRr_pos	0.0
AMANK_pos	8463.036124523722
AMCOXO_pos	47.445748352887065
AMETr_neg	0.0
AMETr_pos	5772.032389897489
AMETt2m_neg	2121.1501985982295
AMETt2m_pos	2121.1501985982295
AMETtd_neg	2121.1501985982295
AMETtd_pos	2121.1501985982295
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6722.419377935372
AMPTASECG_pos	7031.4710627736995
AMPTASECGe_pos	8285.353171262603
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.450891690746513
AMY2e_pos	13.450891690746513
ANDRSTRNGLCte_pos	69883.36646333177
ANDRSTRNGLCtr_neg	69883.36646333171
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56346.097918835745
ANDRSTRNte_pos	17.735091006225712
ANDRSTRNtr_neg	17.735091006225712
ANDRSTRNtr_pos	56346.09791883576
ANTHte_neg	10.936413883128013
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.909531937117002
AOBUTDsm_pos	12369.769727436997
AP4AH1_pos	0.0
APAT2rm_neg	13608.906329984962
APAT2rm_pos	10897.863041994684
APNNOXte_neg	7.52516288753275
APNNOXte_pos	0.0
APOCF_pos	5730.251009199368
APOCFm_pos	6131.134528393509
APOC_LYS_BTNP_pos	5730.251009199368
APOC_LYS_BTNPm_pos	6131.134528393509
APPNNte_neg	0.0
APPNNte_pos	7.52516288753275
APRGSTRNte_neg	62021.306229035625
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.414135007801225
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.414135007801225
ARACHCOAtx_neg	26529.703591402907
ARACHCOAtx_pos	11373.560922891273
ARACHCPT1_pos	11938.173198264254
ARACHCPT2_pos	11938.173198264254
ARACHCRNt_pos	11938.173198264254
ARACHDCOAtx_neg	4996.564776519196
ARACHDCOAtx_pos	193.6557884008133
ARACHDt2_neg	351.5508350700319
ARACHDt2_pos	359.399222909704
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4408.979652172793
ARACHt_neg	1207.7097783548045
ARACHt_pos	1215.5581661944766
ARGATB0tc_pos	1786.7662958957976
ARGDCm_pos	23649.856375466108
ARGLYSex_pos	700.5481442277148
ARGN_pos	13806.987679924512
ARGNm_pos	14666.601525836517
ARGSL_neg	0.0
ARGSL_pos	13000.788532471237
ARGSS_pos	13000.788532471239
ARGt4_pos	1520.5386606060063
ARGtiDF_pos	502.2502514262947
ARGtm_neg	1484.2194018083276
ARGtm_pos	1178.8844921534157
ARSA_pos	38970.416767358765
ARTCOAL1_pos	4983.670006420127
ARTCOAL2_pos	4983.670006420127
ARTCOAL3_pos	4983.670006420127
ASAH1_pos	38501.230501980586
ASCBOX_pos	8896.212603482598
ASCBSVCTtc_pos	3312.7302475394727
ASCBt4_neg	465.49639052910834
ASCBt4_pos	1261.1203665703617
ASCBt_neg	1261.1203665703617
ASCBt_pos	1268.9687544100339
ASNALANaEx_pos	783.35342595289
ASNATB0tc_pos	1444.022477043168
ASNCYSNaEx_pos	948.0650866248028
ASNGLNNaEx_pos	783.35342595289
ASNNm_pos	8767.564987394444
ASNPHELAT2tc_pos	532.7734932496618
ASNS1_pos	7378.207580445945
ASNSERNaEx_pos	942.5267635826427
ASNTHRNaEx_pos	950.1976622887921
ASNt4_pos	339.5544798172956
ASNtN1_neg	339.5544798172956
ASNtN1_pos	547.926809066191
ASNtm_pos	8767.564987394444
ASP1DC_pos	9235.160186908057
ASPCTr_neg	0.0
ASPCTr_pos	18922.402401637748
ASPDTDe_neg	11.583912072264683
ASPDTDe_pos	2165.3514333214825
ASPDt6_pos	2165.3514333214825
ASPDxt_neg	11.331558219088608
ASPDxt_pos	0.0
ASPGLUm_pos	2522.499119201469
ASPNATm_pos	7523.246839952754
ASPPROASCT1_pos	1764.0077321669437
ASPTA_neg	7258.273133576537
ASPTA_pos	2522.499119201469
ASPTAm_neg	2522.499119201469
ASPTAm_pos	9173.60557522733
ASPt6_pos	2165.3514333214825
ASPte_pos	1204.0592927333487
ATP1ter_neg	0.0
ATP1ter_pos	7202.536273945725
ATP2ter_neg	4624.852719027471
ATP2ter_pos	4624.852719027471
ATPH1e_pos	14342.31939229877
ATPH2e_pos	3.0771677116807687
ATPS4m_pos	1616.7083176138724
ATPasel_pos	24230.014569710736
ATPtm_pos	659.3673728265771
ATPtn_neg	0.0
ATPtn_pos	9728.291412772534
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4213.424242351831
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17704.90148214956
Asn_X_Ser_Thrtr_neg	17388.227789113957
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11453.06628504787
B3GALT41g_pos	12665.12557078719
B3GALT42g_pos	12846.21730776583
B3GALT43g_pos	13033.711769441972
B3GALT44g_pos	13334.698265867393
B3GALT5g_pos	10600.104779414858
B3GALTg_pos	11782.919483975715
B3GNT11g_pos	9929.63259054337
B3GNT12g_pos	9040.513242240431
B3GNT310g_pos	11707.175247927678
B3GNT311g_pos	9688.208292955364
B3GNT312g_pos	9929.63259054337
B3GNT313g_pos	9072.140559393487
B3GNT314g_pos	8433.207772906995
B3GNT315g_pos	9040.513242240431
B3GNT31g_pos	9832.841391477952
B3GNT32g_pos	9832.841391477952
B3GNT33g_pos	9832.841391477952
B3GNT34g_pos	9593.495438117385
B3GNT35g_pos	9593.495438117385
B3GNT36g_pos	922.0054131261157
B3GNT37g_pos	12632.327235620287
B3GNT39g_pos	29402.816229343716
B3GNT51g_pos	11707.175247927678
BAAT1x_pos	4019.1084304323904
BAAT2x_pos	3237.141967040916
BAAT3x_pos	18402.948373105264
BAAT4x_pos	4019.1084304323904
BACCL_pos	5730.251009199368
BACCLm_pos	6131.134528393509
BALABETAtc_pos	1566.7335594922934
BALAPAT1tc_pos	1479.267834052559
BALAVECSEC_pos	4242.640815470513
BALAtmr_neg	13608.906329984957
BALAtmr_pos	10897.863041994684
BAMPPALDOX_pos	30281.388233450445
