	WT.1012.a_S120_L007_R1_001
7DHFtl_pos	3671.687551500472
7DHFtm_pos	3942.2229868470945
7THFtl_pos	3671.687551500473
7THFtm_pos	3942.2229868470963
A4GALTc_pos	0.0
A4GALTg_pos	11755.07003300192
A4GNT1g_pos	0.0
A4GNT2g_pos	262.9362322398466
AACOAT_pos	4491.661294546791
AACTOOR_pos	12419.62924822314
AACTtm_pos	12419.62924822314
AASAD3m_pos	27.16891517943039
AATAi_neg	4035.07425106094
AATAi_pos	49.69533418766857
ABO1g_pos	11019.917707844343
ABO2g_pos	10638.270738057725
ABO3g_pos	10844.540205361878
ABO4g_pos	10007.214881340558
ABO5g_pos	10007.214881340558
ABO6g_pos	9370.890862320664
ABO7g_pos	9370.890862320664
ABO8g_pos	9671.069979914942
ABO9g_pos	8700.474863635534
ABTArm_neg	9852.499781114373
ABTArm_pos	12573.531052980705
ABTD_neg	5086.351279360126
ABTD_pos	8.213628443899262
ABTti_pos	5086.351279360126
ABUTD_pos	12650.77770461151
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	561.9891610185733
ABUTt2r_pos	700.8916689553454
ABUTt4_2_r_neg	700.8916689553454
ABUTt4_2_r_pos	561.9891610185733
ACACT10m_neg	14016.714478610274
ACACT10m_pos	10068.907969917778
ACACT1r_neg	7878.176634374455
ACACT1r_pos	16926.32066714181
ACACT1rm_pos	5539.860745925713
ACACT1x_pos	10405.56139616361
ACACT4p_pos	25400.209096355797
ACACT5p_pos	25400.20909635582
ACACT6p_pos	25400.209096355793
ACACT7p_pos	24716.69553069807
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	515.1498537652695
ACACt2_pos	515.1498537652695
ACACt2m_neg	1323.904602082703
ACACt2m_pos	1323.904602082703
ACACtx_neg	6036.275781953701
ACACtx_pos	0.0
ACALDt_neg	6567.402240096698
ACALDt_pos	5.289753635042314
ACALDtm_neg	9352.345088627722
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55531.60815623413
ACALDtx_neg	0.0
ACALDtx_pos	11.881128677536072
ACCOAC_pos	4419.026599553843
ACCOACm_pos	4310.148055803925
ACCOAL_pos	3436.7096153279954
ACCOALm_pos	4767.423005367542
ACCOAgt_neg	0.0
ACCOAgt_pos	20188.643116352327
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1723.907217053208
ACCOAtr_pos	1723.907217053208
ACETONEt2_neg	10909.349834208313
ACETONEt2_pos	5.697567584251101
ACETONEt2m_neg	10909.349834208313
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11523.51469341477
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11523.514693414769
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	10007.214881340562
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	10007.214881340558
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9370.890862320663
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9370.890862320664
ACGALK2_pos	562.3959615572657
ACGALK_pos	561.4228119067706
ACGALtlg_neg	943.3280780972405
ACGALtlg_pos	0.0
ACGALtly_pos	561.4228119067704
ACGAM2E_neg	4328.06342392776
ACGAM2E_pos	31343.876728865143
ACGAM6PSi_pos	3676.191870727213
ACGAMK_pos	4328.063423927759
ACGAMPM_neg	0.0
ACGAMPM_pos	4328.063423927759
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	943.3280780972405
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	943.3280780972403
ACGPID_pos	53.4456054531173
ACGSm_pos	0.0
ACHEe_pos	5898.9533228929595
ACHVESSEC_pos	4267.133491784048
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6194.9591417061665
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11726.103296091
ACN13ACNGALGBSIDEtg_neg	11726.103296091
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11726.103296091
ACN23ACNGALGBSIDEtg_neg	11726.103296091
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	13009.314495269016
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	13009.314495269015
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11755.631750241553
ACNACNGALGBSIDEtg_neg	11755.631750241553
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	9071.648569560792
ACNAM9PL_pos	8684.379869859005
ACNAMPH_pos	8684.379869859005
ACNAMlt_neg	18520.052172114847
ACNAMlt_pos	0.0
ACNAMtn_pos	8888.234306608376
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10645.549938997136
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10645.54993899714
ACNMLr_neg	19464.619728873928
ACNMLr_pos	8684.379869859004
ACOAD10m_pos	336.9550452195106
ACOAD1fm_pos	18903.45268892469
ACOAD8m_pos	348.1990906258342
ACOAD9m_pos	12230.075746028315
ACOAHi_pos	3442.2048274753474
ACOAO7p_pos	18516.57394468612
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1220.665226458844
ACONT_pos	1220.665226458844
ACONTm_neg	381.482073143266
ACONTm_pos	381.482073143266
ACOX22x_pos	69481.22955192708
ACOX2x_pos	59926.17855657762
ACP1_FMN__pos	3565.496937642838
ACRNtm_pos	2758.2500835897345
ACS2_pos	3409.340262730508
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3442.2048274753492
ACSm_pos	4527.347251873704
ACTLMO_pos	5656.624693769609
ACTNMO_pos	14692.521024938356
ACYP_pos	3373.3357944190875
ACt2m_neg	4421.6923868591675
ACt2m_pos	4925.542450413884
ACt2r_neg	1300.9179675389812
ACt2r_pos	1300.9179675389812
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7970.341962768103
ADAe_pos	8127.020988900948
ADCim_pos	10909.349834208313
ADEt_neg	6479.337331435756
ADEt_pos	31909.33547547957
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1169.405713105234
ADK1_pos	1169.405713105234
ADK1m_neg	444.16444209836726
ADK1m_pos	444.16444209836726
ADK3_neg	1169.405713105234
ADK3_pos	1169.405713105234
ADK3m_neg	444.16444209836726
ADK3m_pos	444.16444209836726
ADKd_neg	1167.9153755304728
ADKd_pos	1167.9153755304728
ADMDC_pos	15619.199735310514
ADNCYC_pos	3534.646904506216
ADNK1_pos	3463.875753627567
ADNK1m_pos	2410.2861306514933
ADNK3_pos	4353.61701119009
ADNK4_pos	4353.61701119009
ADNt4_pos	861.9492150157621
ADNt5le_pos	1417.6267920015362
ADNt_neg	861.9492150157621
ADNt_pos	1198.0395987012087
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5998.017407588447
ADNtm_pos	8790.589942610492
ADPACDAc_pos	8163.013799407294
ADPACTD_neg	0.0
ADPACTD_pos	8163.013799407292
ADPCOACROT_neg	8163.013799407292
ADPCOACROT_pos	63364.565326356744
ADPCOAPTE_pos	8163.013799407292
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8380.406654576847
ADPRDPm_pos	0.0
ADPRIBt_pos	18.79643600259742
ADPT_pos	4040.2511149111433
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.679830865012429
ADRNCOAtx_pos	15550.166361862748
ADRNCPT1_pos	337.33449917827716
ADRNCPT2_pos	337.33449917827716
ADRNCRNt_pos	337.33449917827716
ADRNLPVESSEC_pos	37875.5819698617
ADRNt_neg	1209.0686031518276
ADRNt_pos	1216.445413930956
ADSELK_pos	0.0
ADSK_pos	3510.0624654488706
ADSL1_pos	9307.885041171245
ADSL2_pos	21218.056085412594
ADSS_pos	9307.885041171245
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.585530511833835
AG13T10g_pos	11231.185669310249
AG13T11g_pos	11231.185669310249
AG13T12g_pos	11231.185669310249
AG13T13g_pos	11231.185669310249
AG13T14g_pos	11231.185669310249
AG13T15g_pos	11231.185669310249
AG13T16g_pos	7749.707113982812
AG13T17g_pos	7749.707113982812
AG13T18g_pos	7749.707113982812
AG13T1g_pos	7780.022324302665
AG13T2g_pos	7780.022324302665
AG13T3g_pos	7780.022324302665
AG13T4g_pos	11231.185669310249
AG13T5g_pos	11231.185669310249
AG13T6g_pos	11231.185669310249
AG13T7g_pos	11231.185669310249
AG13T8g_pos	11231.185669310249
AG13T9g_pos	11231.185669310249
AGDC_pos	3676.191870727214
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	24018.76113928117
AGPAT1_pos	10682.46663434661
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8828.908666624886
AGTix_pos	12529.645826117012
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2193.5970749175444
AHCYStd_pos	2193.5970749175444
AHCYSte_neg	27649.551592659333
AHCYSte_pos	11852.046158071027
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5821.355471140577
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10478.502947222007
AHEXASE2ly_pos	17802.628073744327
AHEXASEly_pos	18282.30820030162
AICART_neg	13266.87200064339
AICART_pos	11694.06030097948
AICARte_neg	12912.357392448896
AICARte_pos	11694.060300979476
AIRCr_neg	0.0
AIRCr_pos	21218.056085412616
AK2LGCHOLt_neg	6.988599249015411
AK2LGCHOLt_pos	6846.745415266292
AKGDm_pos	10717.020049542922
AKGMALtm_neg	610.8768612772819
AKGMALtm_pos	460.312946460288
AKGt4_3_neg	879.3472630682246
AKGt4_3_pos	1016.7624743153716
AKGtp_neg	0.0
AKGtp_pos	47.98122126549287
AKR1C1_pos	62633.29015590587
AKR1C41_pos	2109.8561527540755
AKR1C42_pos	2109.8561527540755
AKR1D2_pos	66088.43156804281
AKR1D_pos	11198.887107707562
ALA-DTDe_pos	1395.541200932129
ALAALACNc_neg	0.0
ALAALACNc_pos	7574.146459521816
ALAALAPEPT1tc_pos	7574.146459521817
ALAASNNaEx_pos	831.1298580809062
ALAATB0tc_pos	1376.0019035005566
ALACYSNaEx_pos	860.4561875450186
ALADGLNexR_neg	774.7060817904471
ALADGLNexR_pos	707.0024130976826
ALADGLYexR_neg	685.3431362790064
ALADGLYexR_pos	598.5180602236754
ALAGLNNaEx_pos	831.1298580809062
ALAGLNexR_neg	409.6076821476455
ALAGLNexR_pos	409.6076821476455
ALAGLYexR_neg	658.1183991370474
ALAGLYexR_pos	490.03370734966813
ALAR_neg	2.479343434989477
ALAR_pos	3857.139320457588
ALASERNaEx_pos	783.7636311619165
ALASm_pos	388.3291858771908
ALATA_L_neg	4373.014452615652
ALATA_L_pos	3398.655852205985
ALATHRNaEx_pos	825.5225693324178
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	543.7093259824338
ALAt2r_pos	685.3431362790064
ALAt4_pos	270.7653582418239
ALAtN1_neg	409.6076821476455
ALAtN1_pos	409.6076821476455
ALAyLATthc_pos	554.0849567416312
ALCD1_neg	6864.450428412141
ALCD1_pos	13.620931527893303
ALCD21_D_pos	444.5390811805267
ALCD21_L_pos	943.5921122039686
ALCD22_D_pos	311.1488508564398
ALCD22_L_pos	943.5921122039686
ALCD2if_pos	5.814113494373698
ALCD2yf_pos	5.823519980232443
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.98122126549287
ALDD2x_pos	7194.673649736455
ALDD2xm_pos	9352.345088627722
ALDD2y_pos	7013.463134269237
ALDSTRNte_neg	0.0
ALDSTRNte_pos	54140.92791146338
ALDSTRNtm_neg	54140.92791146335
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3469.3551739193704
ALOX5_pos	98.37730538604535
ALR2_pos	943.5921122039686
ALR3_pos	943.5921122039686
AMACR2p_pos	18723.589879673236
AMACR2r_pos	0.0
AMACRp_pos	59926.17855657762
AMACRr_pos	0.0
AMANK_pos	8684.379869859005
AMCOXO_pos	48.41880912747459
AMETr_neg	0.0
AMETr_pos	5821.355471140577
AMETt2m_neg	2193.5970749175444
AMETt2m_pos	2193.5970749175444
AMETtd_neg	2193.5970749175444
AMETtd_pos	2193.5970749175444
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6959.642240278875
AMPTASECG_pos	7262.69045939947
AMPTASECGe_pos	8610.145370051507
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.470616832325003
AMY2e_pos	13.470616832325003
ANDRSTRNGLCte_pos	70982.94524685989
ANDRSTRNGLCtr_neg	70982.94524685986
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	57065.81304774658
ANDRSTRNte_pos	18.054444267305673
ANDRSTRNtr_neg	18.054444267305673
ANDRSTRNtr_pos	57065.81304774657
ANTHte_neg	11.045734391374864
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.9349077618741175
AOBUTDsm_pos	12419.62924822314
AP4AH1_pos	0.0
APAT2rm_neg	13800.138268992421
APAT2rm_pos	11102.687142038729
APNNOXte_neg	7.585530511833835
APNNOXte_pos	0.0
APOCF_pos	5951.466336177806
APOCFm_pos	6340.126931454232
APOC_LYS_BTNP_pos	5951.466336177806
APOC_LYS_BTNPm_pos	6340.126931454232
APPNNte_neg	0.0
APPNNte_pos	7.585530511833835
APRGSTRNte_neg	62633.290155905896
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.483689215892269
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.483689215892269
ARACHCOAtx_neg	27296.720241404066
ARACHCOAtx_pos	11609.020238973975
ARACHCPT1_pos	12218.436937533452
ARACHCPT2_pos	12218.436937533452
ARACHCRNt_pos	12218.436937533452
ARACHDCOAtx_neg	5100.948592553263
ARACHDCOAtx_pos	197.3676403130211
ARACHDt2_neg	377.5369993077677
ARACHDt2_pos	384.91381008689586
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4523.445619927325
ARACHt_neg	1224.6702478166167
ARACHt_pos	1232.047058595745
ARGATB0tc_pos	1844.6611736479058
ARGDCm_pos	24018.76113928117
ARGLYSex_pos	773.3111525568603
ARGN_pos	14087.778349322212
ARGNm_pos	15077.352168755557
ARGSL_neg	0.0
ARGSL_pos	13252.821619688095
ARGSS_pos	13252.821619688091
ARGt4_pos	1569.2107287943604
ARGtiDF_pos	554.0849567416312
ARGtm_neg	1516.6392633689134
ARGtm_pos	1206.9639288765384
ARSA_pos	39813.362811971056
ARTCOAL1_pos	5075.164267735918
ARTCOAL2_pos	5075.164267735918
ARTCOAL3_pos	5075.164267735918
ASAH1_pos	39469.953097967795
ASCBOX_pos	9219.7578812294
ASCBSVCTtc_pos	3420.89232931919
ASCBt4_neg	477.0739315222933
ASCBt4_pos	1271.818309886251
ASCBt_neg	1271.818309886251
ASCBt_pos	1279.1951206653794
ASNALANaEx_pos	831.1298580809062
ASNATB0tc_pos	1459.6376601190416
ASNCYSNaEx_pos	1010.6071159044795
ASNGLNNaEx_pos	831.1298580809062
ASNNm_pos	8845.72841128417
ASNPHELAT2tc_pos	582.5341032118113
ASNS1_pos	7409.478377107311
ASNSERNaEx_pos	1007.8753714827442
ASNTHRNaEx_pos	1048.0985638289208
ASNt4_pos	369.38448980146916
ASNtN1_neg	369.38448980146916
ASNtN1_pos	623.2247234652584
ASNtm_pos	8845.72841128417
ASP1DC_pos	9296.355898770857
ASPCTr_neg	0.0
ASPCTr_pos	19502.383143977324
ASPDTDe_neg	11.689991096792207
ASPDTDe_pos	2229.020811654578
ASPDt6_pos	2229.020811654578
ASPDxt_neg	11.49957336883678
ASPDxt_pos	0.0
ASPGLUm_pos	2641.435154383757
ASPNATm_pos	7776.281337460661
ASPPROASCT1_pos	1816.831573322576
ASPTA_neg	7316.828610456671
ASPTA_pos	2641.4351543837574
ASPTAm_neg	2641.4351543837565
ASPTAm_pos	9262.465385453554
ASPt6_pos	2229.020811654578
ASPte_pos	1218.1229845252815
ATP1ter_neg	0.0
ATP1ter_pos	7341.658191629155
ATP2ter_neg	4779.64072003551
ATP2ter_pos	4779.64072003551
ATPH1e_pos	14828.697563376143
ATPH2e_pos	3.093272467465562
ATPS4m_pos	1663.9915302404308
ATPasel_pos	24908.69710800638
ATPtm_pos	704.3361498041648
ATPtn_neg	0.0
ATPtn_pos	10055.375656363627
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4347.959272250892
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	18089.516395689025
Asn_X_Ser_Thrtr_neg	17766.933627111393
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11755.070033001919
B3GALT41g_pos	13077.199271494508
B3GALT42g_pos	13257.29233698233
B3GALT43g_pos	13454.033365041805
B3GALT44g_pos	13742.696641749137
B3GALT5g_pos	10930.663618213684
B3GALTg_pos	12108.477040844951
B3GNT11g_pos	10247.811243503962
B3GNT12g_pos	9338.142606836434
B3GNT310g_pos	12081.250728371107
B3GNT311g_pos	10007.214881340558
B3GNT312g_pos	10247.811243503962
B3GNT313g_pos	9370.890862320664
B3GNT314g_pos	8700.474863635534
B3GNT315g_pos	9338.142606836434
B3GNT31g_pos	10197.145989828452
B3GNT32g_pos	10197.145989828452
B3GNT33g_pos	10197.145989828452
B3GNT34g_pos	9900.030624969158
B3GNT35g_pos	9900.030624969158
B3GNT36g_pos	943.3280780972406
B3GNT37g_pos	13031.54804950331
B3GNT39g_pos	30261.28926433785
B3GNT51g_pos	12081.250728371104
BAAT1x_pos	4028.310001314947
BAAT2x_pos	3275.966253506123
BAAT3x_pos	18723.589879673236
BAAT4x_pos	4028.310001314947
BACCL_pos	5951.466336177806
BACCLm_pos	6340.126931454232
BALABETAtc_pos	1636.304596138182
BALAPAT1tc_pos	1521.2440633236176
BALAVECSEC_pos	4369.034001506058
BALAtmr_neg	13800.13826899242
BALAtmr_pos	11102.687142038729
BAMPPALDOX_pos	30847.312644088604
