	Ob.a_S121_L007_R1_001
ACCOAL_pos	3285.425184649713
ACCOALm_pos	4281.921177241664
ACCOAgt_neg	0.0
ACCOAgt_pos	19112.567718278235
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1454.1957999160666
ACCOAtr_pos	1454.1957999160666
ACETONEt2_neg	10525.489148974999
ACETONEt2_pos	5.49380040724999
ACETONEt2m_neg	10525.489148975003
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10978.382722577819
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10978.38272257782
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9509.991695441366
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9509.991695441366
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8906.512697617636
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8906.51269761764
ACGALK2_pos	549.4159033056989
ACGALK_pos	548.4479653427913
ACGALtlg_neg	908.5894679775769
ACGALtlg_pos	0.0
ACGALtly_pos	548.4479653427912
ACGAM2E_neg	3920.828771001774
ACGAM2E_pos	29956.31090175073
ACGAM6PSi_pos	3447.616268343525
ACGAMK_pos	3920.8287710017735
ACGAMPM_neg	0.0
ACGAMPM_pos	3920.8287710017726
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	908.5894679775769
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	908.5894679775768
ACGPID_pos	50.820411453246784
ACGSm_pos	0.0
ACHEe_pos	5392.710995038607
ACHVESSEC_pos	4081.123774866069
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5788.66471405281
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11155.185889993993
ACN13ACNGALGBSIDEtg_neg	11155.185889993993
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11155.185889993993
ACN23ACNGALGBSIDEtg_neg	11155.185889993998
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12307.942873139258
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12307.942873139265
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11152.514180363105
ACNACNGALGBSIDEtg_neg	11152.514180363105
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8589.888572385304
ACNAM9PL_pos	8312.2913478338
ACNAMPH_pos	8312.2913478338
ACNAMlt_neg	17811.684045354883
ACNAMlt_pos	0.0
ACNAMtn_pos	8763.034781959883
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10092.857756594029
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10092.85775659403
ACNMLr_neg	18395.58323259748
ACNMLr_pos	8312.2913478338
ACOAD10m_pos	284.06768751992956
ACOAD1fm_pos	18193.697726193157
ACOAD8m_pos	315.8265626224084
ACOAD9m_pos	11865.185079450566
ACOAHi_pos	3237.5592943008633
ACOAO7p_pos	17597.48553548896
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1174.4443129839208
ACONT_pos	1174.4443129839208
ACONTm_neg	315.6511169880729
ACONTm_pos	315.6511169880729
ACOX22x_pos	68496.3020906621
ACOX2x_pos	58441.957105472684
ACP1_FMN__pos	3334.5754345653645
ACRNtm_pos	2295.0749947991376
ACS2_pos	3217.856796798292
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3237.5592943008633
ACSm_pos	4269.53836902346
ACTLMO_pos	5497.19394859736
ACTNMO_pos	14230.798055366975
ACYP_pos	3191.393701475952
ACt2m_neg	4137.200108915694
ACt2m_pos	4762.85050976295
ACt2r_neg	1213.9491079428094
ACt2r_pos	1213.9491079428094
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7374.290273067664
ADAe_pos	7552.219315228372
ADCim_pos	10525.489148975
ADEt_neg	6118.831768400794
ADEt_pos	30452.75898140631
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1155.5350566273435
ADK1_pos	1155.5350566273435
ADK1m_neg	398.9455730390443
ADK1m_pos	398.9455730390443
ADK3_neg	1155.5350566273435
ADK3_pos	1155.5350566273435
ADK3m_neg	398.9455730390443
ADK3m_pos	398.9455730390443
ADKd_neg	1152.840457402659
ADKd_pos	1152.840457402659
ADMDC_pos	15116.456649279151
ADNCYC_pos	3272.9543660621002
ADNK1_pos	3286.9911490998697
ADNK1m_pos	2380.679156733633
ADNK3_pos	4186.294944715193
ADNK4_pos	4186.294944715195
ADNt4_pos	913.0056606960252
ADNt5le_pos	1385.5414512895522
ADNt_neg	913.0056606960252
ADNt_pos	1207.5166124214775
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5763.187992872915
ADNtm_pos	8315.77557332534
ADPACDAc_pos	7765.376604347461
ADPACTD_neg	0.0
ADPACTD_pos	7765.37660434746
ADPCOACROT_neg	7765.37660434746
ADPCOACROT_pos	61441.089641249855
ADPCOAPTE_pos	7765.37660434746
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7683.183831225097
ADPRDPm_pos	0.0
ADPRIBt_pos	17.729906360468277
ADPT_pos	3785.2138774880427
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.015202923948877
ADRNCOAtx_pos	14878.78708956011
ADRNCPT1_pos	324.9399008247198
ADRNCPT2_pos	324.9399008247198
ADRNCRNt_pos	324.9399008247198
ADRNLPVESSEC_pos	36857.955990096845
ADRNt_neg	1185.1909504266625
ADRNt_pos	1193.3828592737202
ADSELK_pos	0.0
ADSK_pos	3305.5195827625535
ADSL1_pos	8820.727300383494
ADSL2_pos	20360.11673417454
ADSS_pos	8820.727300383494
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.477561302418025
AG13T10g_pos	10757.963835996336
AG13T11g_pos	10757.963835996336
AG13T12g_pos	10757.963835996336
AG13T13g_pos	10757.963835996336
AG13T14g_pos	10757.963835996336
AG13T15g_pos	10757.963835996336
AG13T16g_pos	7478.933702743999
AG13T17g_pos	7478.933702743999
AG13T18g_pos	7478.933702743999
AG13T1g_pos	7513.964433304023
AG13T2g_pos	7513.964433304023
AG13T3g_pos	7513.964433304023
AG13T4g_pos	10757.963835996336
AG13T5g_pos	10757.963835996336
AG13T6g_pos	10757.963835996336
AG13T7g_pos	10757.963835996336
AG13T8g_pos	10757.963835996336
AG13T9g_pos	10757.963835996336
AGDC_pos	3447.616268343525
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23346.431281267665
AGPAT1_pos	10269.670266911276
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8714.357787120436
AGTix_pos	12194.168708734614
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2142.2111368982614
AHCYStd_pos	2142.2111368982614
AHCYSte_neg	26758.504914168825
AHCYSte_pos	11215.545906886011
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5712.1461064614505
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9784.348067793102
AHEXASE2ly_pos	17095.369063277183
AHEXASEly_pos	17582.267307975642
AICART_neg	12921.755747191852
AICART_pos	11069.640480082888
AICARte_neg	12520.313068715184
AICARte_pos	11069.64048008289
AIRCr_neg	0.0
AIRCr_pos	20360.116734174517
AK2LGCHOLt_neg	6.801677245424059
AK2LGCHOLt_pos	6454.674926980458
AKGDm_pos	10576.397341648099
AKGMALtm_neg	445.06702483801905
AKGMALtm_pos	332.5735205097045
AKGt4_3_neg	693.3019213790488
AKGt4_3_pos	801.1404464769182
AKGtp_neg	0.0
AKGtp_pos	45.66647452835724
AKR1C1_pos	61550.36068620553
AKR1C41_pos	2090.162212761899
AKR1C42_pos	2090.162212761899
AKR1D2_pos	64679.77194311995
AKR1D_pos	11299.690510965977
ALA-DTDe_pos	1339.4495305015328
ALAALACNc_neg	0.0
ALAALACNc_pos	7227.95726890303
ALAALAPEPT1tc_pos	7227.95726890303
ALAASNNaEx_pos	730.023534350539
ALAATB0tc_pos	1286.8726914999265
ALACYSNaEx_pos	641.7681997684474
ALADGLNexR_neg	647.5390793252645
ALADGLNexR_pos	606.6789064232385
ALADGLYexR_neg	570.9929009576111
ALADGLYexR_pos	517.2613666203404
ALAGLNNaEx_pos	714.4547626712379
ALAGLNexR_neg	373.23893089089313
ALAGLNexR_pos	373.23893089089313
ALAGLYexR_neg	568.1193061253871
ALAGLYexR_pos	427.8438268174424
ALAR_neg	2.4025932154555365
ALAR_pos	3663.052168227627
ALASERNaEx_pos	617.0282402772257
ALASm_pos	327.26878814979705
ALATA_L_neg	4284.81335918415
ALATA_L_pos	3265.087411450171
ALATHRNaEx_pos	676.4761264948993
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	474.91957971806085
ALAt2r_pos	570.9929009576111
ALAt4_pos	246.22667359329762
ALAtN1_neg	373.23893089089313
ALAtN1_pos	373.23893089089313
ALAyLATthc_pos	474.91957971806085
ALCD1_neg	6610.682773509171
ALCD1_pos	13.390126606634025
ALCD21_D_pos	397.7365034466719
ALCD21_L_pos	839.6835011636954
ALCD22_D_pos	295.423328491773
ALCD22_L_pos	839.6835011636954
ALCD2if_pos	5.623586833820537
ALCD2yf_pos	5.626960453446562
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.66647452835724
ALDD2x_pos	6780.562778890841
ALDD2xm_pos	8899.59891229059
ALDD2y_pos	6622.469134852063
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53124.958777965076
ALDSTRNtm_neg	53124.95877796514
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3495.5652568928085
ALOX5_pos	96.57612636957398
ALR2_pos	839.6835011636954
ALR3_pos	839.6835011636954
AMACR2p_pos	18036.627956984386
AMACR2r_pos	0.0
AMACRp_pos	58441.957105472684
AMACRr_pos	0.0
AMANK_pos	8312.2913478338
AMCOXO_pos	47.128947026270254
AMETr_neg	0.0
AMETr_pos	5712.1461064614505
AMETt2m_neg	2142.2111368982614
AMETt2m_pos	2142.2111368982614
AMETtd_neg	2142.2111368982614
AMETtd_pos	2142.2111368982614
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6514.133368607122
AMPTASECG_pos	6834.767652907892
AMPTASECGe_pos	8071.081359923646
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.445794627324776
AMY2e_pos	13.445794627324776
ANDRSTRNGLCte_pos	69062.5509799853
ANDRSTRNGLCtr_neg	69062.5509799853
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55711.63204018817
ANDRSTRNte_pos	17.677772943036306
ANDRSTRNtr_neg	17.677772943036302
ANDRSTRNtr_pos	55711.63204018816
ANTHte_neg	10.879462201587664
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.90096858725271
AOBUTDsm_pos	12193.109183354
AP4AH1_pos	0.0
APAT2rm_neg	13480.893442630027
APAT2rm_pos	10690.000965410822
APNNOXte_neg	7.477561302418026
APNNOXte_pos	0.0
APOCF_pos	5561.086815037871
APOCFm_pos	5962.063612143339
APOC_LYS_BTNP_pos	5561.086815037871
APOC_LYS_BTNPm_pos	5962.063612143339
APPNNte_neg	0.0
APPNNte_pos	7.477561302418026
APRGSTRNte_neg	61550.360686205524
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.362718539579941
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.362718539579941
ARACHCOAtx_neg	25723.506950574567
ARACHCOAtx_pos	11037.692419441459
ARACHCPT1_pos	11653.041639748322
ARACHCPT2_pos	11653.041639748322
ARACHCRNt_pos	11653.041639748322
ARACHDCOAtx_neg	4931.701897245972
ARACHDCOAtx_pos	189.02172809936206
ARACHDt2_neg	350.024627318981
ARACHDt2_pos	358.2165361660385
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4298.835599048183
ARACHt_neg	1201.7080999291938
ARACHt_pos	1209.9000087762513
ARGATB0tc_pos	1706.6171257918318
ARGDCm_pos	23346.431281267665
ARGLYSex_pos	654.6976834365686
ARGN_pos	13597.756555738744
ARGNm_pos	14401.624786375605
ARGSL_neg	0.0
ARGSL_pos	12942.780216109439
ARGSS_pos	12942.780216109435
ARGt4_pos	1477.5208465431278
ARGtiDF_pos	474.91957971806085
ARGtm_neg	1481.5082589073538
ARGtm_pos	1180.8796514453581
ARSA_pos	38162.0100082193
ARTCOAL1_pos	4882.613270477385
ARTCOAL2_pos	4882.613270477385
ARTCOAL3_pos	4882.613270477385
ASAH1_pos	37974.964306097274
ASCBOX_pos	8637.258464402172
ASCBSVCTtc_pos	3227.984438939784
ASCBt4_neg	432.5125312214679
ASCBt4_pos	1239.8131984089587
ASCBt_neg	1239.8131984089587
ASCBt_pos	1248.0051072560161
ASNALANaEx_pos	730.023534350539
ASNATB0tc_pos	1377.2954277889362
ASNCYSNaEx_pos	881.5801484070071
ASNGLNNaEx_pos	730.023534350539
ASNNm_pos	8779.178991296532
ASNPHELAT2tc_pos	521.2650901873342
ASNS1_pos	7453.520887584722
ASNSERNaEx_pos	881.8303559196368
ASNTHRNaEx_pos	908.8586139563349
ASNt4_pos	346.21067285419497
ASNtN1_neg	346.21067285419497
ASNtN1_pos	730.023534350539
ASNtm_pos	8779.178991296532
ASP1DC_pos	9109.463698693087
ASPCTr_neg	0.0
ASPCTr_pos	18556.764613037456
ASPDTDe_neg	11.384871666827825
ASPDTDe_pos	2052.604047793264
ASPDt6_pos	2052.604047793264
ASPDxt_neg	11.145044430608458
ASPDxt_pos	0.0
ASPGLUm_pos	2496.867176395301
ASPNATm_pos	7365.298860617139
ASPPROASCT1_pos	1587.4132804319358
ASPTA_neg	7113.1685769679825
ASPTA_pos	2496.8671763953016
ASPTAm_neg	2496.8671763953016
ASPTAm_pos	9202.348068780198
ASPt6_pos	2052.604047793264
ASPte_pos	1200.5934981819553
ATP1ter_neg	0.0
ATP1ter_pos	7128.363261267465
ATP2ter_neg	4500.828854695641
ATP2ter_pos	4500.828854695641
ATPH1e_pos	13903.34247757947
ATPH2e_pos	3.016895547610124
ATPS4m_pos	1567.0105245471116
ATPasel_pos	23855.29440388049
ATPtm_pos	597.9264365826001
ATPtn_neg	0.0
ATPtn_pos	9565.96904732091
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4146.639723900233
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17371.649839823618
Asn_X_Ser_Thrtr_neg	17061.261451347647
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11198.901271197134
B3GALT41g_pos	12386.545714817568
B3GALT42g_pos	12557.047171423452
B3GALT43g_pos	12719.503876751123
B3GALT44g_pos	13041.898290811494
B3GALT5g_pos	10400.725425956045
B3GALTg_pos	11564.740415028175
B3GNT11g_pos	9747.134837047472
B3GNT12g_pos	8890.388124050554
B3GNT310g_pos	11492.713923055095
B3GNT311g_pos	9509.991695441366
B3GNT312g_pos	9747.134837047472
B3GNT313g_pos	8906.512697617634
B3GNT314g_pos	8277.600119055676
B3GNT315g_pos	8890.388124050554
B3GNT31g_pos	9629.238576516167
B3GNT32g_pos	9629.238576516167
B3GNT33g_pos	9629.238576516167
B3GNT34g_pos	9401.917121503911
B3GNT35g_pos	9401.917121503911
B3GNT36g_pos	908.5894679775768
B3GNT37g_pos	12376.288497969774
B3GNT39g_pos	28920.515648943692
B3GNT51g_pos	11492.713923055097
BAAT1x_pos	4013.6599825099665
BAAT2x_pos	3229.498481821161
BAAT3x_pos	18036.627956984386
BAAT4x_pos	4013.6599825099665
BACCL_pos	5561.086815037871
BACCLm_pos	5962.063612143339
BALABETAtc_pos	1529.6360127971502
BALAPAT1tc_pos	1446.1109013745424
BALAVECSEC_pos	4155.760112587541
BALAtmr_neg	13480.893442630026
