	Ob.DHA.d_S147_L007_R1_001
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.452790298451896
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15085.464073607482
5MTAte_pos	15017.73606601014
5MTHFt2_neg	1275.5432473250023
5MTHFt2_pos	1275.5432473250023
5MTHFt2le_neg	2343.0599662888444
5MTHFt2le_pos	2343.0599662888444
5MTHFt_neg	1275.5432473250023
5MTHFt_pos	1275.5432473250023
5OXPROt_neg	10202.483517776556
5OXPROt_pos	6061.447966689039
5THFtl_pos	3198.187864177317
5THFtm_pos	3765.0602358035917
6DHFtl_pos	3432.9695332103443
6DHFtm_pos	3824.9615361164824
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51872.521480001466
6HTSTSTERONEtr_neg	51872.52148000147
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3432.9695332103447
6THFtm_pos	3824.9615361164833
7DHCHSTEROLtr_neg	10900.428429847187
7DHCHSTEROLtr_pos	76149.51631115774
7DHFtl_pos	3564.1991455621746
7DHFtm_pos	3867.3904120288566
7THFtl_pos	3564.199145562175
7THFtm_pos	3867.390412028858
A4GALTc_pos	0.0
A4GALTg_pos	11157.075694945468
A4GNT1g_pos	0.0
A4GNT2g_pos	251.0399305646456
AACOAT_pos	4080.2969653171026
AACTOOR_pos	12207.08946934426
AACTtm_pos	12207.08946934426
AASAD3m_pos	26.178972375965465
AATAi_neg	3823.832380186004
AATAi_pos	48.492373117005386
ABO1g_pos	10434.368817381746
ABO2g_pos	10059.563388822362
ABO3g_pos	10205.604556823553
ABO4g_pos	9417.97248067508
ABO5g_pos	9417.97248067508
ABO6g_pos	8818.154909079936
ABO7g_pos	8818.154909079936
ABO8g_pos	9099.915940264038
ABO9g_pos	8188.614792401606
ABTArm_neg	9379.817447965492
ABTArm_pos	12438.66684244219
ABTD_neg	5059.659431194632
ABTD_pos	7.876809683333766
ABTti_pos	5059.659431194632
ABUTD_pos	12213.594426148415
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	517.5067868609651
ABUTt2r_pos	639.8660263510142
ABUTt4_2_r_neg	639.8660263510142
ABUTt4_2_r_pos	517.5067868609651
ACACT10m_neg	13499.832272036525
ACACT10m_pos	9681.640827365049
ACACT1r_neg	7053.418235904693
ACACT1r_pos	15977.615860925776
ACACT1rm_pos	5022.602752410677
ACACT1x_pos	9648.509473395652
ACACT4p_pos	24007.2614784774
ACACT5p_pos	24007.26147847741
ACACT6p_pos	24007.2614784774
ACACT7p_pos	23348.205609622364
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	391.06076159434565
ACACt2_pos	391.06076159434565
ACACt2m_neg	1242.0572689130884
ACACt2m_pos	1242.0572689130884
ACACtx_neg	5723.1841660213495
ACACtx_pos	0.0
ACALDt_neg	6237.023188824396
ACALDt_pos	5.144117127321211
ACALDtm_neg	8952.737818576717
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54108.92408239755
ACALDtx_neg	0.0
ACALDtx_pos	11.730869811176166
ACCOAC_pos	4175.86737743794
ACCOACm_pos	4209.709773642085
ACCOAL_pos	3227.0931067024717
ACCOALm_pos	4430.5747578134715
ACCOAgt_neg	0.0
ACCOAgt_pos	19073.60589588801
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1477.8021493890626
ACCOAtr_pos	1477.8021493890626
ACETONEt2_neg	10555.10400957186
ACETONEt2_pos	5.507716160505868
ACETONEt2m_neg	10555.10400957186
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10937.34699051844
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10937.34699051844
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9417.972480675086
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9417.97248067508
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8818.154909079942
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8818.154909079945
ACGALK2_pos	543.6944739430311
ACGALK_pos	542.7403560431923
ACGALtlg_neg	901.9861362933992
ACGALtlg_pos	0.0
ACGALtly_pos	542.7403560431923
ACGAM2E_neg	3897.479965670528
ACGAM2E_pos	29808.497806961313
ACGAM6PSi_pos	3371.932012862127
ACGAMK_pos	3897.479965670528
ACGAMPM_neg	0.0
ACGAMPM_pos	3897.4799656705286
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	901.9861362933992
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	901.9861362933992
ACGPID_pos	50.807689837935705
ACGSm_pos	0.0
ACHEe_pos	5261.575908468746
ACHVESSEC_pos	4056.2049233286925
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5737.515737434463
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11066.1669321136
ACN13ACNGALGBSIDEtg_neg	11066.166932113598
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11066.1669321136
ACN23ACNGALGBSIDEtg_neg	11066.166932113598
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12255.080246663687
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12255.080246663687
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11105.327267061317
ACNACNGALGBSIDEtg_neg	11105.327267061315
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8565.099393058166
ACNAM9PL_pos	8262.312821682794
ACNAMPH_pos	8262.312821682794
ACNAMlt_neg	17723.36126402436
ACNAMlt_pos	0.0
ACNAMtn_pos	8777.330981044523
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10018.815203060267
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10018.815203060267
ACNMLr_neg	18381.095656606303
ACNMLr_pos	8262.312821682794
ACOAD10m_pos	294.7992173357606
ACOAD1fm_pos	18206.49497659259
ACOAD8m_pos	320.31676646343175
ACOAD9m_pos	11861.80404631327
ACOAHi_pos	3181.670181433537
ACOAO7p_pos	17615.598471163677
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1176.3909800751373
ACONT_pos	1176.3909800751373
ACONTm_neg	315.16947993196436
ACONTm_pos	315.16947993196436
ACOX22x_pos	68377.17357950071
ACOX2x_pos	58319.539190395975
ACP1_FMN__pos	3311.610772952751
ACRNtm_pos	2296.2817129872114
ACS2_pos	3167.857496117141
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3181.670181433539
ACSm_pos	4398.848148916041
ACTLMO_pos	5482.099282213413
ACTNMO_pos	14221.664663467296
ACYP_pos	3165.733521655469
ACt2m_neg	4125.283715415236
ACt2m_pos	4804.872126659402
ACt2r_neg	1218.527803552518
ACt2r_pos	1218.527803552518
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7333.92270079001
ADAe_pos	7503.728150492444
ADCim_pos	10555.104009571856
ADEt_neg	6106.446328086735
ADEt_pos	30400.262698634193
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1021.915906853345
ADK1_pos	1021.915906853345
ADK1m_neg	399.8763127729238
ADK1m_pos	399.8763127729238
ADK3_neg	1021.915906853345
ADK3_pos	1021.915906853345
ADK3m_neg	399.8763127729238
ADK3m_pos	399.8763127729238
ADKd_neg	1019.5514299346179
ADKd_pos	1019.5514299346179
ADMDC_pos	15085.464073607478
ADNCYC_pos	3241.8543976352503
ADNK1_pos	3259.4948024259866
ADNK1m_pos	2374.0488888219047
ADNK3_pos	4159.83536192659
ADNK4_pos	4159.835361926589
ADNt4_pos	850.6370465130839
ADNt5le_pos	1373.7383966941416
ADNt_neg	850.6370465130839
ADNt_pos	1203.1077485978997
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5725.856399583535
ADNtm_pos	8264.95775235054
ADPACDAc_pos	7767.579864348222
ADPACTD_neg	0.0
ADPACTD_pos	7767.579864348222
ADPCOACROT_neg	7767.579864348222
ADPCOACROT_pos	61418.314800885506
ADPCOAPTE_pos	7767.579864348222
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7929.938037252991
ADPRDPm_pos	0.0
ADPRIBt_pos	17.498537444561407
ADPT_pos	3757.446737404948
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.051491011479333
ADRNCOAtx_pos	14824.880066597696
ADRNCPT1_pos	325.6713095213906
ADRNCPT2_pos	325.6713095213906
ADRNCRNt_pos	325.6713095213906
ADRNLPVESSEC_pos	36922.151864943735
ADRNt_neg	1182.4801237286472
ADRNt_pos	1192.946040684263
ADSELK_pos	0.0
ADSK_pos	3279.624356483778
ADSL1_pos	8771.39426639588
ADSL2_pos	20306.406872397576
ADSS_pos	8771.39426639588
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.451796940900365
AG13T10g_pos	10662.07424295592
AG13T11g_pos	10662.07424295592
AG13T12g_pos	10662.07424295592
AG13T13g_pos	10662.07424295592
AG13T14g_pos	10662.07424295592
AG13T15g_pos	10662.07424295592
AG13T16g_pos	7427.802644693657
AG13T17g_pos	7427.802644693657
AG13T18g_pos	7427.802644693657
AG13T1g_pos	7452.594411107244
AG13T2g_pos	7452.594411107244
AG13T3g_pos	7452.594411107244
AG13T4g_pos	10662.07424295592
AG13T5g_pos	10662.07424295592
AG13T6g_pos	10662.07424295592
AG13T7g_pos	10662.07424295592
AG13T8g_pos	10662.07424295592
AG13T9g_pos	10662.07424295592
AGDC_pos	3371.9320128621284
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23203.704548240872
AGPAT1_pos	10097.043792960467
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8710.400951377982
AGTix_pos	12271.28942074028
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2124.853861055516
AHCYStd_pos	2124.853861055516
AHCYSte_neg	26876.20401699983
AHCYSte_pos	11203.895339098772
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5696.23501945814
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9788.219990349313
AHEXASE2ly_pos	17039.15493960578
AHEXASEly_pos	17495.565005681558
AICART_neg	12859.78988115525
AICART_pos	10996.851897674529
AICARte_neg	12446.472634790269
AICARte_pos	10996.851897674525
AIRCr_neg	0.0
AIRCr_pos	20306.406872397572
AK2LGCHOLt_neg	6.8105302501507206
AK2LGCHOLt_pos	6385.8241998336325
AKGDm_pos	10560.438899965635
AKGMALtm_neg	449.88254637774133
AKGMALtm_pos	335.7830958198937
AKGt4_3_neg	705.4990747844231
AKGt4_3_pos	811.2576510225852
AKGtp_neg	0.0
AKGtp_pos	45.77131867784433
AKR1C1_pos	61405.03903659552
AKR1C41_pos	2092.647602102228
AKR1C42_pos	2092.647602102228
AKR1D2_pos	64542.97620764811
AKR1D_pos	11310.647793333806
ALA-DTDe_pos	1340.7219131694633
ALAALACNc_neg	0.0
ALAALACNc_pos	7520.192317271146
ALAALAPEPT1tc_pos	7520.192317271146
ALAASNNaEx_pos	730.4105251930324
ALAATB0tc_pos	1282.6079635078836
ALACYSNaEx_pos	670.6455909802128
ALADGLNexR_neg	633.2958808871299
ALADGLNexR_pos	602.2768710938856
ALADGLYexR_neg	609.3063924918259
ALADGLYexR_pos	514.799096438174
ALAGLNNaEx_pos	721.1094084202354
ALAGLNexR_neg	359.21221539564345
ALAGLNexR_pos	359.21221539564345
ALAGLYexR_neg	566.5311852787581
ALAGLYexR_pos	427.32132178246246
ALAR_neg	2.3961906189047113
ALAR_pos	3787.1669824896308
ALASERNaEx_pos	638.0315679314631
ALASm_pos	344.286201187138
ALATA_L_neg	4259.226481143314
ALATA_L_pos	3327.42625417235
ALATHRNaEx_pos	701.7962861192148
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	486.1394700682083
ALAt2r_pos	609.3063924918259
ALAt4_pos	249.88324483519318
ALAtN1_neg	359.21221539564345
ALAtN1_pos	359.21221539564345
ALAyLATthc_pos	486.1394700682083
ALCD1_neg	6577.7056669753965
ALCD1_pos	13.3969347381218
ALCD21_D_pos	400.446985878198
ALCD21_L_pos	827.5077131221447
ALCD22_D_pos	299.2345769226962
ALCD22_L_pos	827.5077131221447
ALCD2if_pos	5.627840888129938
ALCD2yf_pos	5.629197468145212
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.77131867784432
ALDD2x_pos	6740.286539566695
ALDD2xm_pos	8952.737818576714
ALDD2y_pos	6584.221770505514
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53027.94862170389
ALDSTRNtm_neg	53027.948621703865
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3504.4503562128193
ALOX5_pos	96.38381031409169
ALR2_pos	827.5077131221447
ALR3_pos	827.5077131221447
AMACR2p_pos	18114.917623010806
AMACR2r_pos	0.0
AMACRp_pos	58319.539190395975
AMACRr_pos	0.0
AMANK_pos	8262.312821682794
AMCOXO_pos	46.91261877742193
AMETr_neg	0.0
AMETr_pos	5696.23501945814
AMETt2m_neg	2124.853861055516
AMETt2m_pos	2124.853861055516
AMETtd_neg	2124.853861055516
AMETtd_pos	2124.853861055516
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6477.179626534362
AMPTASECG_pos	6801.5286046607
AMPTASECGe_pos	8029.418791919556
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.444307640716035
AMY2e_pos	13.444307640716035
ANDRSTRNGLCte_pos	68963.66139070674
ANDRSTRNGLCtr_neg	68963.66139070672
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55550.917750359135
ANDRSTRNte_pos	17.496092976254776
ANDRSTRNtr_neg	17.496092976254776
ANDRSTRNtr_pos	55550.91775035914
ANTHte_neg	10.844075436437603
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.903444894819448
AOBUTDsm_pos	12207.08946934426
AP4AH1_pos	0.0
APAT2rm_neg	13474.064200732822
APAT2rm_pos	10761.941348945516
APNNOXte_neg	7.451796940900364
APNNOXte_pos	0.0
APOCF_pos	5445.391193378409
APOCFm_pos	5880.168230160574
APOC_LYS_BTNP_pos	5445.391193378409
APOC_LYS_BTNPm_pos	5880.168230160574
APPNNte_neg	0.0
APPNNte_pos	7.451796940900364
APRGSTRNte_neg	61405.03903659552
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.352811463417999
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.352811463417999
ARACHCOAtx_neg	25840.03957747857
ARACHCOAtx_pos	11062.855273011948
ARACHCPT1_pos	11738.705315193905
ARACHCPT2_pos	11738.705315193905
ARACHCRNt_pos	11738.705315193905
ARACHDCOAtx_neg	4905.032504593236
ARACHDCOAtx_pos	189.74941371518838
ARACHDt2_neg	342.3785533920394
ARACHDt2_pos	352.8444703476552
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4268.6822176316045
ARACHt_neg	1195.4854072948176
ARACHt_pos	1205.9513242504333
ARGATB0tc_pos	1687.9203589522097
ARGDCm_pos	23203.704548240872
ARGLYSex_pos	661.3549132051277
ARGN_pos	13477.869538590368
ARGNm_pos	14315.537114364846
ARGSL_neg	0.0
ARGSL_pos	12776.550056721175
ARGSS_pos	12776.550056721173
ARGt4_pos	1488.6906600425557
ARGtiDF_pos	486.1394700682083
ARGtm_neg	1472.6128742569406
ARGtm_pos	1173.0306850350767
ARSA_pos	37961.65720742714
ARTCOAL1_pos	4850.0910545488005
ARTCOAL2_pos	4850.091054548801
ARTCOAL3_pos	4850.0910545488005
ASAH1_pos	37886.67066889365
ASCBOX_pos	8717.26908757065
ASCBSVCTtc_pos	3207.379308149973
ASCBt4_neg	419.1823971485654
ASCBt4_pos	1231.6385940653054
ASCBt_neg	1231.6385940653054
ASCBt_pos	1242.104511020921
ASNALANaEx_pos	730.4105251930324
ASNATB0tc_pos	1366.4051204998555
ASNCYSNaEx_pos	878.6305369641462
ASNGLNNaEx_pos	730.4105251930324
ASNNm_pos	8749.671260256568
ASNPHELAT2tc_pos	514.2767571403068
ASNS1_pos	7442.92872394224
ASNSERNaEx_pos	877.9141229871723
ASNTHRNaEx_pos	905.3660745044556
ASNt4_pos	344.49410551314935
ASNtN1_neg	344.49410551314935
ASNtN1_pos	632.8576123292214
ASNtm_pos	8749.671260256568
ASP1DC_pos	9171.671033456038
ASPCTr_neg	0.0
ASPCTr_pos	18680.975577745667
ASPDTDe_neg	11.396504806384357
ASPDTDe_pos	2050.4950245981736
ASPDt6_pos	2050.4950245981736
ASPDxt_neg	11.170685712662475
ASPDxt_pos	0.0
ASPGLUm_pos	2468.1628020961152
ASPNATm_pos	7319.142904696579
ASPPROASCT1_pos	1602.8702006736453
ASPTA_neg	7178.125704633243
ASPTA_pos	2468.1628020961152
ASPTAm_neg	2468.162802096116
ASPTAm_pos	9162.323963497569
ASPt6_pos	2050.4950245981736
ASPte_pos	1190.720594239706
ATP1ter_neg	0.0
ATP1ter_pos	7100.86250190039
ATP2ter_neg	4521.588441583506
ATP2ter_pos	4521.588441583506
ATPH1e_pos	13705.881360906904
ATPH2e_pos	3.0235614687638455
ATPS4m_pos	1559.7331047375405
ATPasel_pos	23614.333094604146
ATPtm_pos	607.8582013587387
ATPtn_neg	0.0
ATPtn_pos	9800.26520328358
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4125.337277265797
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17313.277541719865
Asn_X_Ser_Thrtr_neg	17005.08099083781
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11157.075694945464
B3GALT41g_pos	12349.109476172183
B3GALT42g_pos	12529.718161750787
B3GALT43g_pos	12705.919111163397
B3GALT44g_pos	12968.381968838152
B3GALT5g_pos	10311.356157771059
B3GALTg_pos	11466.360023195473
B3GNT11g_pos	9649.752514225302
B3GNT12g_pos	8788.729947335736
B3GNT310g_pos	11382.573283704996
B3GNT311g_pos	9417.97248067508
B3GNT312g_pos	9649.752514225302
B3GNT313g_pos	8818.154909079936
B3GNT314g_pos	8188.614792401606
B3GNT315g_pos	8788.729947335736
B3GNT31g_pos	9520.823451143053
B3GNT32g_pos	9520.823451143053
B3GNT33g_pos	9520.823451143053
B3GNT34g_pos	9316.801914264783
B3GNT35g_pos	9316.801914264783
B3GNT36g_pos	901.9861362933992
B3GNT37g_pos	12230.1420215076
B3GNT39g_pos	28819.853013214517
B3GNT51g_pos	11382.573283705
BAAT1x_pos	4025.279677664741
BAAT2x_pos	3237.881969870484
BAAT3x_pos	18114.91762301081
BAAT4x_pos	4025.279677664741
BACCL_pos	5445.391193378409
BACCLm_pos	5880.168230160574
BALABETAtc_pos	1516.560862754683
BALAPAT1tc_pos	1457.685718469164
BALAVECSEC_pos	4150.626252506949
BALAtmr_neg	13474.064200732817
BALAtmr_pos	10761.941348945518
