	exTreg_Lymph_exTreg4_L2
10FTHF5GLUtl_pos	3954.6022723976384
10FTHF5GLUtm_pos	6311.609707480935
10FTHF6GLUtl_pos	4817.149998376589
10FTHF6GLUtm_pos	6702.674901898883
10FTHF7GLUtl_pos	5392.181815695884
10FTHF7GLUtm_pos	6964.376578187034
10FTHFtl_neg	3954.602272397638
10FTHFtl_pos	0.0
10FTHFtm_neg	10657.311716744583
10FTHFtm_pos	23068.22878553604
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	72558.48276197191
11DOCRTSLtr_neg	72558.48276197193
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	75300.3637533274
11DOCRTSTRNtr_neg	75300.36375332739
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	49279.222716588025
1MNCAMti_pos	62.1454466750736
1PPDCRp_pos	74.88645683080502
1a25DHVITD3TRn_pos	69630.75462131016
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.177604184721783
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.693038054969882
24_25DHVITD2tm_pos	13.693038054969882
24_25DHVITD3t_pos	69538.10701714347
24_25DHVITD3tm_pos	72354.86539452916
24_25VITD2Hm_pos	13.693038054969882
24_25VITD3Hm_pos	72354.86539452909
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	69630.75462131001
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11883.068461519777
2AMACSULT_pos	30717.242775054474
2AMADPTm_pos	8172.993352524867
2DR1PP_pos	6659.884444503918
2HBO_neg	16472.529316338754
2HBO_pos	11.58336313989301
2HBt2_neg	1689.7022172019242
2HBt2_pos	1689.7022172019242
2HCO3_NAt_neg	1573.1313172931054
2HCO3_NAt_pos	1573.1313172931054
2MB2COAc_neg	0.0
2MB2COAc_pos	20028.01383446867
2MCITt_neg	0.0
2MCITt_pos	25598.72277645961
2OXOADOXm_pos	130.48652094289108
2OXOADPTm_neg	8172.993352524867
2OXOADPTm_pos	152.19974977740972
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	48280.17760539065
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	48280.17760539073
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	1054.161288912522
34DHPHEt_neg	1054.161288912522
34DHPHEt_pos	5.3881837796790215
34DHPLACOX_NADP__neg	2976.6473096158766
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	2976.6473096158766
34DHXMANDACOX_NADP__neg	2976.6473096158766
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	2976.6473096158766
34HPLFM_pos	77620.15485223394
34HPPOR_pos	69231.84034285622
34HPPte_neg	11296.776607250318
34HPPte_pos	7818.5745338543775
35CGMPtn_neg	0.0
35CGMPtn_pos	15517.0221187065
3AIBTm_neg	0.0
3AIBTm_pos	19242.126128426135
3AIB_Dtm_neg	19087.07917376356
3AIB_Dtm_pos	34736.134709887985
3AIBt_pos	19242.12612842614
3AIBtm_pos	19242.12612842614
3DPHBH1_pos	77620.15485223391
3DPHBH2_pos	77624.98231307064
3DSPHR_pos	32144.814330078767
3HAO_pos	79.13515977839394
3HBCDm_neg	0.0
3HBCDm_pos	18336.617763430804
3HBCOAHLm_pos	24320.51745322001
3HBCOARc_neg	0.0
3HBCOARc_pos	18336.617763430822
3HCO3_NAt_neg	2325.457739465678
3HCO3_NAt_pos	2315.965468419951
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	12576.404843739394
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	18264.867768407574
3MOBt2im_pos	6095.161664111445
3MOBte_neg	6.915230562331687
3MOBte_pos	8505.990054137943
3MOPt2im_pos	6095.161664111445
3MOPte_neg	26.53670323845595
3MOPte_pos	8503.558435224913
3MOX4HOXPGALDOX_NADP__neg	2976.6473096158766
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	2976.6473096158766
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26798.14546831032
3SALAASPm_pos	0.0
3SALACBOXL_pos	13586.093224854427
3SALAOX_pos	36023.366274923435
3SALATAi_pos	22002.838994051388
3SALATAim_pos	26798.145468310322
3SPYRSP_pos	22002.838994051388
3SPYRSPm_pos	26798.145468310322
41R1H2MAE12BOOX_pos	59044.30188925276
41R2A1H12BOOX_pos	48280.177605390694
42A12BOOX_pos	0.0
4ABUTtcn_pos	14002.303965933335
4ABUTtm_neg	16633.854431433367
4ABUTtm_pos	21318.57226598003
4HBZCOAFm_pos	77620.15485223391
4HBZFm_pos	77620.15485223391
4HDEBRISOQUINEte_neg	7.321906367186196
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	4375.745802829802
