	Ob-d_S146_L007_R1_001
5ADTSTSTERONEte_neg	55403.9919621165
5ADTSTSTERONEte_pos	7.235386391424019
5ADTSTSTERONEtr_neg	39.25846026388236
5ADTSTSTERONEtr_pos	55399.87503751623
5AOPtm_neg	14566.16599513401
5AOPtm_pos	0.0
5DHFtl_pos	3214.8547943085127
5FTHFt2_neg	0.0
5FTHFt2_pos	6.4071026529480894
5HLTDL_pos	7.4877860191382375
5HOMEPRAZOLEte_neg	7.466817070156784
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	442.67756931036195
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.475701094800468
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15132.322426104141
5MTAte_pos	14951.438501235663
5MTHFt2_neg	1279.0552563659967
5MTHFt2_pos	1279.0552563659967
5MTHFt2le_neg	2312.571956683143
5MTHFt2le_pos	2312.571956683143
5MTHFt_neg	1279.0552563659967
5MTHFt_pos	1279.0552563659967
5OXPROt_neg	10328.216599016407
5OXPROt_pos	6095.503113397902
5THFtl_pos	3214.0587955471333
5THFtm_pos	3787.0842956551005
6DHFtl_pos	3459.009978183113
6DHFtm_pos	3848.5560911525886
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52153.97623267021
6HTSTSTERONEtr_neg	52153.97623267022
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3459.009978183113
6THFtm_pos	3848.5560911525886
7DHCHSTEROLtr_neg	10952.26438331609
7DHCHSTEROLtr_pos	76533.8685575879
7DHFtl_pos	3594.9478643020057
7DHFtm_pos	3891.3368029857297
7THFtl_pos	3594.9478643020057
7THFtm_pos	3891.3368029857297
A4GALTc_pos	0.0
A4GALTg_pos	11295.054607431948
A4GNT1g_pos	0.0
A4GNT2g_pos	255.4299032963006
AACOAT_pos	4203.689139256091
AACTOOR_pos	12207.836700951077
AACTtm_pos	12207.836700951077
AASAD3m_pos	26.193380091212685
AATAi_neg	3768.019335296968
AATAi_pos	48.60841713929818
ABO1g_pos	10646.726616244574
ABO2g_pos	10276.312857788163
ABO3g_pos	10416.276919122001
ABO4g_pos	9621.783085782807
ABO5g_pos	9621.783085782807
ABO6g_pos	9004.971085050714
ABO7g_pos	9004.971085050714
ABO8g_pos	9291.308094013377
ABO9g_pos	8373.410322150474
ABTArm_neg	9429.894520069034
ABTArm_pos	12456.00452340103
ABTD_neg	5053.818232567784
ABTD_pos	7.941230109464671
ABTti_pos	5053.818232567784
ABUTD_pos	12235.237988500317
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	503.5926576159276
ABUTt2r_pos	622.1285028452877
ABUTt4_2_r_neg	622.1285028452877
ABUTt4_2_r_pos	503.5926576159276
ACACT10m_neg	13546.064575567967
ACACT10m_pos	9670.671266429792
ACACT1r_neg	7152.735786076151
ACACT1r_pos	16123.991639027736
ACACT1rm_pos	5052.228410333815
ACACT1x_pos	9745.91071584523
ACACT4p_pos	24193.094952555006
ACACT5p_pos	24193.094952555
ACACT6p_pos	24193.094952555
ACACT7p_pos	23532.306923555374
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	407.4894754336271
ACACt2_pos	407.4894754336271
ACACt2m_neg	1272.7162368953495
ACACt2m_pos	1272.7162368953495
ACACtx_neg	5813.199296448129
ACACtx_pos	0.0
ACALDt_neg	6314.085366664938
ACALDt_pos	5.1424244954829135
ACALDtm_neg	8879.484430129165
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54390.51216498485
ACALDtx_neg	0.0
ACALDtx_pos	11.76769472919766
ACCOAC_pos	4265.439744491179
ACCOACm_pos	4267.8408677801535
ACCOAL_pos	3315.8058861864433
ACCOALm_pos	4261.855172570329
ACCOAgt_neg	0.0
ACCOAgt_pos	19269.088777858433
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1478.6174582854353
ACCOAtr_pos	1478.6174582854353
ACETONEt2_neg	10550.077464169737
ACETONEt2_pos	5.4930698724484035
ACETONEt2m_neg	10550.077464169739
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11072.619888129611
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11072.61988812961
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9621.783085782807
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9621.783085782805
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9004.971085050714
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9004.971085050714
ACGALK2_pos	552.0188215235702
ACGALK_pos	551.0367413252682
ACGALtlg_neg	914.963719385299
ACGALtlg_pos	0.0
ACGALtly_pos	551.0367413252682
ACGAM2E_neg	3943.5869444887717
ACGAM2E_pos	30108.969481533204
ACGAM6PSi_pos	3472.5461517099207
ACGAMK_pos	3943.586944488772
ACGAMPM_neg	0.0
ACGAMPM_pos	3943.586944488773
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	914.963719385299
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	914.963719385299
ACGPID_pos	51.23955059244452
ACGSm_pos	0.0
ACHEe_pos	5326.966062747477
ACHVESSEC_pos	4122.161359967563
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5826.216119493294
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11224.770544219744
ACN13ACNGALGBSIDEtg_neg	11224.770544219744
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11224.770544219744
ACN23ACNGALGBSIDEtg_neg	11224.770544219744
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12414.078123712228
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12414.078123712225
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11259.272435519937
ACNACNGALGBSIDEtg_neg	11259.272435519937
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8737.584031506787
ACNAM9PL_pos	8418.279798858564
ACNAMPH_pos	8418.279798858564
ACNAMlt_neg	17960.393644576063
ACNAMlt_pos	0.0
ACNAMtn_pos	8799.073624330424
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10174.235890301727
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10174.235890301728
ACNMLr_neg	18575.30752916894
ACNMLr_pos	8418.279798858566
ACOAD10m_pos	287.61671196569455
ACOAD1fm_pos	18263.890871739422
ACOAD8m_pos	309.7675139247614
ACOAD9m_pos	11882.440554505383
ACOAHi_pos	3283.096657945569
ACOAO7p_pos	17673.2428480652
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1177.1823126679533
ACONT_pos	1177.1823126679533
ACONTm_neg	315.2190893063912
ACONTm_pos	315.2190893063912
ACOX22x_pos	68602.65777051888
ACOX2x_pos	58563.82333093053
ACP1_FMN__pos	3379.2268853295323
ACRNtm_pos	2354.1132639963957
ACS2_pos	3267.3572985465726
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3283.0966579455703
ACSm_pos	4224.672816527967
ACTLMO_pos	5509.118875903368
ACTNMO_pos	14264.201830621543
ACYP_pos	3241.9603815230585
ACt2m_neg	4139.890509505139
ACt2m_pos	4727.2715272875885
ACt2r_neg	1234.391058487034
ACt2r_pos	1234.391058487034
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7376.990876104086
ADAe_pos	7562.318480466236
ADCim_pos	10550.077464169737
ADEt_neg	6271.164409461291
ADEt_pos	30824.280371422148
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1159.8505760839814
ADK1_pos	1159.8505760839814
ADK1m_neg	430.07589292428884
ADK1m_pos	430.07589292428884
ADK3_neg	1159.8505760839814
ADK3_pos	1159.8505760839814
ADK3m_neg	430.07589292428884
ADK3m_pos	430.07589292428884
ADKd_neg	1157.572238254858
ADKd_pos	1157.572238254858
ADMDC_pos	15132.322426104143
ADNCYC_pos	3324.129749198157
ADNK1_pos	3329.8010138732234
ADNK1m_pos	2384.4456070411898
ADNK3_pos	4231.040111143198
ADNK4_pos	4231.040111143199
ADNt4_pos	810.7710351288766
ADNt5le_pos	1384.0173524354666
ADNt_neg	810.7710351288766
ADNt_pos	1203.0596347892872
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5809.851841970288
ADNtm_pos	8440.212235918243
ADPACDAc_pos	7869.813974650562
ADPACTD_neg	0.0
ADPACTD_pos	7869.813974650563
ADPCOACROT_neg	7869.813974650562
ADPCOACROT_pos	61619.94085678633
ADPCOAPTE_pos	7869.813974650562
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8082.507173112831
ADPRDPm_pos	0.0
ADPRIBt_pos	17.77140011144593
ADPT_pos	3861.606123667512
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.062612021808981
ADRNCOAtx_pos	14923.523436983905
ADRNCPT1_pos	326.1280826212417
ADRNCPT2_pos	326.1280826212417
ADRNCRNt_pos	326.1280826212417
ADRNLPVESSEC_pos	37064.59480212033
ADRNt_neg	1186.9282269682976
ADRNt_pos	1194.9104049478067
ADSELK_pos	0.0
ADSK_pos	3337.2372679951422
ADSL1_pos	8867.422763224251
ADSL2_pos	20359.410317482474
ADSS_pos	8867.422763224251
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.466817070156783
AG13T10g_pos	10842.543537763844
AG13T11g_pos	10842.543537763844
AG13T12g_pos	10842.543537763844
AG13T13g_pos	10842.543537763844
AG13T14g_pos	10842.543537763844
AG13T15g_pos	10842.543537763844
AG13T16g_pos	7550.318148158838
AG13T17g_pos	7550.318148158838
AG13T18g_pos	7550.318148158838
AG13T1g_pos	7580.108861187841
AG13T2g_pos	7580.108861187841
AG13T3g_pos	7580.108861187841
AG13T4g_pos	10842.543537763844
AG13T5g_pos	10842.543537763844
AG13T6g_pos	10842.543537763844
AG13T7g_pos	10842.543537763844
AG13T8g_pos	10842.543537763844
AG13T9g_pos	10842.543537763844
AGDC_pos	3472.5461517099197
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23269.33650912301
AGPAT1_pos	10364.591868864965
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8716.551493547277
AGTix_pos	12330.966115202875
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2116.354448043434
AHCYStd_pos	2116.354448043434
AHCYSte_neg	26919.1887549784
AHCYSte_pos	11261.538876351446
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5729.011909978792
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9817.95883637006
AHEXASE2ly_pos	17265.704649922962
AHEXASEly_pos	17733.973987211888
AICART_neg	12908.043730563846
AICART_pos	11161.757968916852
AICARte_neg	12504.817480638525
AICARte_pos	11161.757968916854
AIRCr_neg	0.0
AIRCr_pos	20359.410317482467
AK2LGCHOLt_neg	6.791712008793288
AK2LGCHOLt_pos	6497.490984700647
AKGDm_pos	10536.7814295384
AKGMALtm_neg	444.351634082165
AKGMALtm_pos	331.83494894501246
AKGt4_3_neg	687.1142914561409
AKGt4_3_pos	808.0847535501335
AKGtp_neg	0.0
AKGtp_pos	45.81183399159867
AKR1C1_pos	61618.344604901635
AKR1C41_pos	2091.448822754035
AKR1C42_pos	2091.448822754035
AKR1D2_pos	64706.66092993957
AKR1D_pos	11140.54668188066
ALA-DTDe_pos	1348.5295773710072
ALAALACNc_neg	0.0
ALAALACNc_pos	7525.88970941882
ALAALAPEPT1tc_pos	7525.889709418819
ALAASNNaEx_pos	797.684178505461
ALAATB0tc_pos	1308.4858939271314
ALACYSNaEx_pos	662.6341371257001
ALADGLNexR_neg	687.1700176854725
ALADGLNexR_pos	627.3498562516577
ALADGLYexR_neg	604.5592863339353
ALADGLYexR_pos	531.8369910944623
ALAGLNNaEx_pos	797.684178505461
ALAGLNexR_neg	374.58395306844784
ALAGLNexR_pos	374.58395306844784
ALAGLYexR_neg	585.944345423419
ALAGLYexR_pos	436.32412593726707
ALAR_neg	2.4181330475160747
ALAR_pos	3792.819066295464
ALASERNaEx_pos	638.6191429254668
ALASm_pos	294.34371378426334
ALATA_L_neg	4189.385628372687
ALATA_L_pos	3381.5806390837583
ALATHRNaEx_pos	697.8282546715079
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	487.503044885549
ALAt2r_pos	604.5592863339353
ALAt4_pos	242.3593365806828
ALAtN1_neg	374.58395306844784
ALAtN1_pos	374.58395306844784
ALAyLATthc_pos	490.6175955421927
ALCD1_neg	6584.947115823432
ALCD1_pos	13.371209952892704
ALCD21_D_pos	397.21647858698975
ALCD21_L_pos	838.8588597397127
ALCD22_D_pos	300.5817619997761
ALCD22_L_pos	838.8588597397127
ALCD2if_pos	5.605888692599096
ALCD2yf_pos	5.607809257305331
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.81183399159866
ALDD2x_pos	6796.007786221375
ALDD2xm_pos	8879.484430129167
ALDD2y_pos	6639.725898677859
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53219.142984819984
ALDSTRNtm_neg	53219.14298481999
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3444.3842886683615
ALOX5_pos	96.09547212753112
ALR2_pos	838.8588597397127
ALR3_pos	838.8588597397127
AMACR2p_pos	18187.52110706043
AMACR2r_pos	0.0
AMACRp_pos	58563.82333093053
AMACRr_pos	0.0
AMANK_pos	8418.279798858564
AMCOXO_pos	47.08297099262654
AMETr_neg	0.0
AMETr_pos	5729.011909978791
AMETt2m_neg	2116.354448043434
AMETt2m_pos	2116.354448043434
AMETtd_neg	2116.354448043434
AMETtd_pos	2116.354448043434
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6588.816513808379
AMPTASECG_pos	6922.6919601812615
AMPTASECGe_pos	8192.670828447495
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.455430041310022
AMY2e_pos	13.455430041310022
ANDRSTRNGLCte_pos	69351.00129966959
ANDRSTRNGLCtr_neg	69351.00129966957
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55865.495684594345
ANDRSTRNte_pos	17.70160810627333
ANDRSTRNtr_neg	17.70160810627333
ANDRSTRNtr_pos	55865.49568459437
ANTHte_neg	10.865972927350734
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.900531784856856
AOBUTDsm_pos	12207.836700951077
AP4AH1_pos	0.0
APAT2rm_neg	13505.989969520719
APAT2rm_pos	10773.040815703815
APNNOXte_neg	7.466817070156784
APNNOXte_pos	0.0
APOCF_pos	5562.067389965169
APOCFm_pos	5954.465635396108
APOC_LYS_BTNP_pos	5562.067389965169
APOC_LYS_BTNPm_pos	5954.465635396108
APPNNte_neg	0.0
APPNNte_pos	7.466817070156784
APRGSTRNte_neg	61618.344604901635
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.35468666041668
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.35468666041668
ARACHCOAtx_neg	25924.54343705585
ARACHCOAtx_pos	11093.891535728957
ARACHCPT1_pos	11707.933190860474
ARACHCPT2_pos	11707.933190860474
ARACHCRNt_pos	11707.933190860474
ARACHDCOAtx_neg	4970.515808828651
ARACHDCOAtx_pos	190.30408519637484
ARACHDt2_neg	349.3328121399551
ARACHDt2_pos	357.31499011946386
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4352.977647356618
ARACHt_neg	1201.5382898301832
ARACHt_pos	1209.5204678096923
ARGATB0tc_pos	1703.966015880816
ARGDCm_pos	23269.33650912301
ARGLYSex_pos	681.8201986019667
ARGN_pos	13645.521133386697
ARGNm_pos	14334.137039954674
ARGSL_neg	0.0
ARGSL_pos	12908.273300945588
ARGSS_pos	12908.273300945586
ARGt4_pos	1500.4934177470357
ARGtiDF_pos	490.6175955421927
ARGtm_neg	1481.0535423770573
ARGtm_pos	1179.158162945856
ARSA_pos	38252.31864192235
ARTCOAL1_pos	4931.742754855065
ARTCOAL2_pos	4931.742754855066
ARTCOAL3_pos	4931.742754855068
ASAH1_pos	38169.40779818474
ASCBOX_pos	8753.561806793205
ASCBSVCTtc_pos	3263.244690173385
ASCBt4_neg	426.2045762463765
ASCBt4_pos	1237.4728034616153
ASCBt_neg	1237.4728034616153
ASCBt_pos	1245.4549814411243
ASNALANaEx_pos	797.684178505461
ASNATB0tc_pos	1360.2393761435528
ASNCYSNaEx_pos	957.8219458002203
ASNGLNNaEx_pos	797.684178505461
ASNNm_pos	8979.772877643261
ASNPHELAT2tc_pos	522.0929619902364
ASNS1_pos	7656.597171171058
ASNSERNaEx_pos	951.2034627513087
ASNTHRNaEx_pos	988.7099088198516
ASNt4_pos	337.077506999905
ASNtN1_neg	337.077506999905
ASNtN1_pos	618.0353508102281
ASNtm_pos	8979.772877643261
ASP1DC_pos	9190.690210675588
ASPCTr_neg	0.0
ASPCTr_pos	18876.741888042256
ASPDTDe_neg	11.412587665241992
ASPDTDe_pos	2039.1122909056812
ASPDt6_pos	2039.1122909056812
ASPDxt_neg	11.19298203800151
ASPDxt_pos	0.0
ASPGLUm_pos	2467.4604523768944
ASPNATm_pos	7368.696478842824
ASPPROASCT1_pos	1606.9503142359738
ASPTA_neg	7209.547571565807
ASPTA_pos	2467.460452376894
ASPTAm_neg	2467.460452376894
ASPTAm_pos	9268.463100741526
ASPt6_pos	2039.1122909056812
ASPte_pos	1195.52287889744
ATP1ter_neg	0.0
ATP1ter_pos	7166.902180888538
ATP2ter_neg	4524.206502904979
ATP2ter_pos	4524.206502904979
ATPH1e_pos	14064.999729676263
ATPH2e_pos	3.0201541119456774
ATPS4m_pos	1583.2569824592852
ATPasel_pos	23873.267032854328
ATPtm_pos	629.4328035574476
ATPtn_neg	0.0
ATPtn_pos	9908.24329623306
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4187.385020870361
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17539.313557891677
Asn_X_Ser_Thrtr_neg	17233.26893334234
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11295.05460743195
B3GALT41g_pos	12519.041283255958
B3GALT42g_pos	12692.228824506732
B3GALT43g_pos	12872.358202946358
B3GALT44g_pos	13145.690221395118
B3GALT5g_pos	10510.505157481091
B3GALTg_pos	11679.331631474195
B3GNT11g_pos	9842.583409857541
B3GNT12g_pos	8983.798550201016
B3GNT310g_pos	11605.976793274047
B3GNT311g_pos	9621.783085782807
B3GNT312g_pos	9842.583409857541
B3GNT313g_pos	9004.971085050714
B3GNT314g_pos	8373.410322150474
B3GNT315g_pos	8983.798550201016
B3GNT31g_pos	9731.522520738872
B3GNT32g_pos	9731.522520738872
B3GNT33g_pos	9731.522520738872
B3GNT34g_pos	9488.445128712516
B3GNT35g_pos	9488.445128712516
B3GNT36g_pos	914.963719385299
B3GNT37g_pos	12419.700015125261
B3GNT39g_pos	29087.479414433958
B3GNT51g_pos	11605.976793274041
BAAT1x_pos	4023.428849383714
BAAT2x_pos	3250.9824404107385
BAAT3x_pos	18187.52110706043
BAAT4x_pos	4023.428849383714
BACCL_pos	5562.067389965169
BACCLm_pos	5954.465635396108
BALABETAtc_pos	1544.7829730896533
BALAPAT1tc_pos	1459.7834902235845
BALAVECSEC_pos	4205.9639894948605
BALAtmr_neg	13505.989969520719
BALAtmr_pos	10773.040815703815
BAMPPALDOX_pos	29760.365324619175
