	Ob.EPA.e_S153_L007_R1_001
ADKd_neg	1156.0378260069429
ADKd_pos	1156.0378260069429
ADMDC_pos	15011.508584620102
ADNCYC_pos	3253.2250286214476
ADNK1_pos	3253.2939064238903
ADNK1m_pos	2367.5019059011906
ADNK3_pos	4155.755724291541
ADNK4_pos	4155.755724291543
ADNt4_pos	666.2910295954669
ADNt5le_pos	1363.9367356534867
ADNt_neg	666.2910295954669
ADNt_pos	1189.652879468899
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5711.888072099138
ADNtm_pos	8303.104857625445
ADPACDAc_pos	7790.638008697177
ADPACTD_neg	0.0
ADPACTD_pos	7790.638008697177
ADPCOACROT_neg	7790.638008697177
ADPCOACROT_pos	61258.995665746275
ADPCOAPTE_pos	7790.638008697177
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7689.731900433257
ADPRDPm_pos	0.0
ADPRIBt_pos	17.411525593336663
ADPT_pos	3758.417226622055
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	9.987808060031147
ADRNCOAtx_pos	14722.557764951183
ADRNCPT1_pos	323.5713829876895
ADRNCPT2_pos	323.5713829876895
ADRNCRNt_pos	323.5713829876895
ADRNLPVESSEC_pos	36891.63366028276
ADRNt_neg	1179.7786681497491
ADRNt_pos	1187.0225679765829
ADSELK_pos	0.0
ADSK_pos	3270.0261901132794
ADSL1_pos	8785.299642064767
ADSL2_pos	20315.7691086744
ADSS_pos	8785.299642064767
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.45242165268625
AG13T10g_pos	10670.432772376369
AG13T11g_pos	10670.432772376369
AG13T12g_pos	10670.432772376369
AG13T13g_pos	10670.432772376369
AG13T14g_pos	10670.432772376369
AG13T15g_pos	10670.432772376369
AG13T16g_pos	7420.940632677449
AG13T17g_pos	7420.940632677449
AG13T18g_pos	7420.940632677449
AG13T1g_pos	7445.132705336715
AG13T2g_pos	7445.132705336715
AG13T3g_pos	7445.132705336715
AG13T4g_pos	10670.432772376369
AG13T5g_pos	10670.432772376369
AG13T6g_pos	10670.432772376369
AG13T7g_pos	10670.432772376369
AG13T8g_pos	10670.432772376369
AG13T9g_pos	10670.432772376369
AGDC_pos	3380.429585341861
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23297.690858323385
AGPAT1_pos	10188.170441970859
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8675.749495047496
AGTix_pos	12281.867267444408
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2117.9419531035833
AHCYStd_pos	2117.9419531035833
AHCYSte_neg	26885.38832129408
AHCYSte_pos	11156.216171460008
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5698.628215498821
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9700.161544975545
AHEXASE2ly_pos	17063.331934171034
AHEXASEly_pos	17517.778651625
AICART_neg	12797.296113040213
AICART_pos	11018.41848696286
AICARte_neg	12360.734877582616
AICARte_pos	11018.418486962852
AIRCr_neg	0.0
AIRCr_pos	20315.769108674423
AK2LGCHOLt_neg	6.776200199463744
AK2LGCHOLt_pos	6344.438259738638
AKGDm_pos	10499.418299106464
AKGMALtm_neg	443.0658102800725
AKGMALtm_pos	330.80532741696885
AKGt4_3_neg	683.4375914248582
AKGt4_3_pos	781.514529142534
AKGtp_neg	0.0
AKGtp_pos	45.611163384175974
AKR1C1_pos	61248.889459759455
AKR1C41_pos	2090.825385671196
AKR1C42_pos	2090.825385671196
AKR1D2_pos	64345.5427849619
AKR1D_pos	11281.449684823388
ALA-DTDe_pos	1327.7709443971407
ALAALACNc_neg	0.0
ALAALACNc_pos	7457.783857423027
ALAALAPEPT1tc_pos	7457.783857423027
ALAASNNaEx_pos	746.8085719515597
ALAATB0tc_pos	1285.9323409973472
ALACYSNaEx_pos	667.2943152864893
ALADGLNexR_neg	663.0672785652448
ALADGLNexR_pos	601.9837658031536
ALADGLYexR_neg	561.0672859345531
ALADGLYexR_pos	509.94159995309997
ALAGLNNaEx_pos	746.8085719515597
ALAGLNexR_neg	361.7958998159356
ALAGLNexR_pos	361.7958998159356
ALAGLYexR_neg	561.0672859345531
ALAGLYexR_pos	417.89943410304625
ALAR_neg	2.4006141329552135
ALAR_pos	3754.608660005556
ALASERNaEx_pos	616.171231979371
ALASm_pos	326.3111724389808
ALATA_L_neg	4263.778711043916
ALATA_L_pos	3409.0005438311564
ALATHRNaEx_pos	676.1330056622144
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	462.84308662466395
ALAt2r_pos	561.0672859345531
ALAt4_pos	231.39786390778676
ALAtN1_neg	361.7958998159356
ALAtN1_pos	361.7958998159356
ALAyLATthc_pos	462.8957075236533
ALCD1_neg	6542.502877742507
ALCD1_pos	13.347258799406232
ALCD21_D_pos	394.551434291724
ALCD21_L_pos	806.3161590186736
ALCD22_D_pos	296.2293481729085
ALCD22_L_pos	806.3161590186736
ALCD2if_pos	5.585902659926609
ALCD2yf_pos	5.589569173763277
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.61116338417595
ALDD2x_pos	6645.343120645555
ALDD2xm_pos	8862.970236081335
ALDD2y_pos	6490.400397113714
ALDSTRNte_neg	0.0
ALDSTRNte_pos	52904.65759621942
ALDSTRNtm_neg	52904.65759621937
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3353.5878703109765
ALOX5_pos	95.16481186092034
ALR2_pos	806.3161590186736
ALR3_pos	806.3161590186736
AMACR2p_pos	17977.096160297573
AMACR2r_pos	0.0
AMACRp_pos	58171.60293424758
AMACRr_pos	0.0
AMANK_pos	8285.708071236286
AMCOXO_pos	46.73422321220786
AMETr_neg	0.0
AMETr_pos	5698.628215498821
AMETt2m_neg	2117.9419531035833
AMETt2m_pos	2117.9419531035833
AMETtd_neg	2117.9419531035833
AMETtd_pos	2117.9419531035833
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6486.514536920197
AMPTASECG_pos	6777.23628009779
AMPTASECGe_pos	7948.042564165897
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.443983504451804
AMY2e_pos	13.443983504451804
ANDRSTRNGLCte_pos	68804.47695065777
ANDRSTRNGLCtr_neg	68804.47695065777
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55494.219979067995
ANDRSTRNte_pos	17.47887119934677
ANDRSTRNtr_neg	17.47887119934677
ANDRSTRNtr_pos	55494.21997906799
ANTHte_neg	10.804738703422837
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.897305484537792
AOBUTDsm_pos	12092.81445018395
AP4AH1_pos	0.0
APAT2rm_neg	13432.904870051445
APAT2rm_pos	10681.872793964047
APNNOXte_neg	7.452421652686251
APNNOXte_pos	0.0
APOCF_pos	5400.108679108534
APOCFm_pos	5842.462763558293
APOC_LYS_BTNP_pos	5400.108679108534
APOC_LYS_BTNPm_pos	5842.462763558293
APPNNte_neg	0.0
APPNNte_pos	7.452421652686251
APRGSTRNte_neg	61248.88945975945
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.329402348406152
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.329402348406152
ARACHCOAtx_neg	25717.27889149918
ARACHCOAtx_pos	11007.346681044426
ARACHCPT1_pos	11641.066257851166
ARACHCPT2_pos	11641.066257851166
ARACHCRNt_pos	11641.066257851166
ARACHDCOAtx_neg	4907.341728288552
ARACHDCOAtx_pos	188.91422128752757
ARACHDt2_neg	334.7881541453144
ARACHDt2_pos	342.03205397214816
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4274.575191105718
ARACHt_neg	1190.9216510524166
ARACHt_pos	1198.1655508792503
ARGATB0tc_pos	1681.052268770306
ARGDCm_pos	23297.690858323385
ARGLYSex_pos	646.6223155990544
ARGN_pos	13573.498454150103
ARGNm_pos	14272.105205951058
ARGSL_neg	0.0
ARGSL_pos	12819.997370493391
ARGSS_pos	12819.997370493391
ARGt4_pos	1466.5966695830632
ARGtiDF_pos	462.8957075236533
ARGtm_neg	1463.9077004950805
ARGtm_pos	1164.4582131920008
ARSA_pos	38110.23024829862
ARTCOAL1_pos	4867.56609776195
ARTCOAL2_pos	4867.56609776195
ARTCOAL3_pos	4867.56609776195
ASAH1_pos	37717.32094730226
ASCBOX_pos	8645.66020283338
ASCBSVCTtc_pos	3191.2584831433264
ASCBt4_neg	404.4076882173657
ASCBt4_pos	1224.1550381054294
ASCBt_neg	1224.1550381054294
ASCBt_pos	1231.3989379322632
ASNALANaEx_pos	746.8085719515597
ASNATB0tc_pos	1369.6755810884506
ASNCYSNaEx_pos	901.765775443185
ASNGLNNaEx_pos	746.8085719515597
ASNNm_pos	8452.886415120996
ASNPHELAT2tc_pos	499.50713227658883
ASNS1_pos	7158.606418184676
ASNSERNaEx_pos	891.7678902965846
ASNTHRNaEx_pos	930.892903651667
ASNt4_pos	322.6708864608531
ASNtN1_neg	322.6708864608531
ASNtN1_pos	575.8109237817325
ASNtm_pos	8452.886415120996
ASP1DC_pos	9128.769768038916
ASPCTr_neg	0.0
ASPCTr_pos	18536.16973297259
ASPDTDe_neg	11.381980871909455
ASPDTDe_pos	2022.4960808918247
ASPDt6_pos	2022.4960808918247
ASPDxt_neg	11.128259427030528
ASPDxt_pos	0.0
ASPGLUm_pos	2427.0767078351314
ASPNATm_pos	7279.729140827003
ASPPROASCT1_pos	1591.1151872960172
ASPTA_neg	7105.381621007338
ASPTA_pos	2427.076707835131
ASPTAm_neg	2427.076707835131
ASPTAm_pos	8908.757310003855
ASPt6_pos	2022.4960808918247
ASPte_pos	1185.9109320174327
ATP1ter_neg	0.0
ATP1ter_pos	7087.768470997324
ATP2ter_neg	4505.3238989157
ATP2ter_pos	4505.3238989157
ATPH1e_pos	13879.857217146162
ATPH2e_pos	3.020218640132429
ATPS4m_pos	1555.225599955857
ATPasel_pos	23750.31017472754
ATPtm_pos	637.8060839112273
ATPtn_neg	0.0
ATPtn_pos	9529.946630635104
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4115.213886361026
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17336.316262790435
Asn_X_Ser_Thrtr_neg	17030.140298809958
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11149.354023024262
B3GALT41g_pos	12306.808477017119
B3GALT42g_pos	12486.832149601218
B3GALT43g_pos	12656.877759566014
B3GALT44g_pos	12941.74928296336
B3GALT5g_pos	10320.803092762735
B3GALTg_pos	11498.410863265162
B3GNT11g_pos	9675.648368670918
B3GNT12g_pos	8831.518255763887
B3GNT310g_pos	11422.041281951253
B3GNT311g_pos	9441.604925992671
B3GNT312g_pos	9675.648368670918
B3GNT313g_pos	8834.477466652643
B3GNT314g_pos	8216.633606574744
B3GNT315g_pos	8831.518255763887
B3GNT31g_pos	9554.366268071284
B3GNT32g_pos	9554.366268071284
B3GNT33g_pos	9554.366268071284
B3GNT34g_pos	9322.071039764978
B3GNT35g_pos	9322.071039764978
B3GNT36g_pos	898.5191339537247
B3GNT37g_pos	12249.057199379475
B3GNT39g_pos	28726.296999302765
B3GNT51g_pos	11422.041281951255
BAAT1x_pos	4017.6870849290353
BAAT2x_pos	3220.746960713958
BAAT3x_pos	17977.09616029758
BAAT4x_pos	4017.6870849290353
BACCL_pos	5400.108679108534
BACCLm_pos	5842.462763558293
BALABETAtc_pos	1497.1045048570518
BALAPAT1tc_pos	1424.2202556643101
BALAVECSEC_pos	4126.749624301119
BALAtmr_neg	13432.904870051443
